Date,Time,Values
23/03/2017,00:00:00,19.68
23/03/2017,01:00:00,20.49
23/03/2017,02:00:00,19.05
23/03/2017,03:00:00,19.36
23/03/2017,04:00:00,19.20
23/03/2017,05:00:00,19.75
23/03/2017,06:00:00,23.08
23/03/2017,07:00:00,31.11
23/03/2017,08:00:00,38.72
23/03/2017,09:00:00,36.54
23/03/2017,10:00:00,39.48
23/03/2017,11:00:00,42.39
23/03/2017,12:00:00,37.49
23/03/2017,13:00:00,29.15
23/03/2017,14:00:00,19.88
23/03/2017,15:00:00,16.19
23/03/2017,16:00:00,13.94
23/03/2017,17:00:00,16.02
23/03/2017,18:00:00,20.15
23/03/2017,19:00:00,23.72
23/03/2017,20:00:00,21.38
23/03/2017,21:00:00,20.58
23/03/2017,22:00:00,18.71
23/03/2017,23:00:00,18.41
24/03/2017,00:00:00,20.96
24/03/2017,01:00:00,18.98
24/03/2017,02:00:00,18.11
24/03/2017,03:00:00,19.57
24/03/2017,04:00:00,18.68
24/03/2017,05:00:00,19.12
24/03/2017,06:00:00,18.09
24/03/2017,07:00:00,19.60
24/03/2017,08:00:00,23.46
24/03/2017,09:00:00,29.38
24/03/2017,10:00:00,28.96
24/03/2017,11:00:00,25.69
24/03/2017,12:00:00,20.96
24/03/2017,13:00:00,19.37
24/03/2017,14:00:00,15.92
24/03/2017,15:00:00,10.17
24/03/2017,16:00:00,8.60
24/03/2017,17:00:00,10.55
24/03/2017,18:00:00,13.35
24/03/2017,19:00:00,15.10
24/03/2017,20:00:00,16.29
24/03/2017,21:00:00,16.81
24/03/2017,22:00:00,17.33
24/03/2017,23:00:00,18.30
25/03/2017,00:00:00,19.17
25/03/2017,01:00:00,16.22
25/03/2017,02:00:00,17.78
25/03/2017,03:00:00,18.92
25/03/2017,04:00:00,20.42
25/03/2017,05:00:00,20.93
25/03/2017,06:00:00,23.88
25/03/2017,07:00:00,27.38
25/03/2017,08:00:00,28.07
25/03/2017,09:00:00,24.33
25/03/2017,10:00:00,21.52
