Date,Time,Values
23/03/2017,00:00:00,2.56
23/03/2017,01:00:00,2.28
23/03/2017,02:00:00,2.52
23/03/2017,03:00:00,2.24
23/03/2017,04:00:00,2.46
23/03/2017,05:00:00,2.67
23/03/2017,06:00:00,2.80
23/03/2017,07:00:00,2.51
23/03/2017,08:00:00,2.63
23/03/2017,09:00:00,2.30
23/03/2017,10:00:00,2.20
23/03/2017,11:00:00,2.69
23/03/2017,12:00:00,2.64
23/03/2017,13:00:00,2.76
23/03/2017,14:00:00,2.63
23/03/2017,15:00:00,2.72
23/03/2017,16:00:00,2.86
23/03/2017,17:00:00,2.72
23/03/2017,18:00:00,2.38
23/03/2017,19:00:00,2.37
23/03/2017,20:00:00,2.32
23/03/2017,21:00:00,2.58
23/03/2017,22:00:00,2.58
23/03/2017,23:00:00,2.49
24/03/2017,00:00:00,2.25
24/03/2017,01:00:00,2.17
24/03/2017,02:00:00,2.61
24/03/2017,03:00:00,2.80
24/03/2017,04:00:00,2.55
24/03/2017,05:00:00,2.50
24/03/2017,06:00:00,2.64
24/03/2017,07:00:00,2.66
24/03/2017,08:00:00,2.75
24/03/2017,09:00:00,2.70
24/03/2017,10:00:00,2.64
24/03/2017,11:00:00,2.64
24/03/2017,12:00:00,2.71
24/03/2017,13:00:00,2.87
24/03/2017,14:00:00,2.67
24/03/2017,15:00:00,2.45
24/03/2017,16:00:00,2.34
24/03/2017,17:00:00,2.56
24/03/2017,18:00:00,2.33
24/03/2017,19:00:00,2.38
24/03/2017,20:00:00,2.36
24/03/2017,21:00:00,2.54
24/03/2017,22:00:00,2.41
24/03/2017,23:00:00,2.53
25/03/2017,00:00:00,2.50
25/03/2017,01:00:00,2.53
25/03/2017,02:00:00,2.73
25/03/2017,03:00:00,2.68
25/03/2017,04:00:00,2.67
25/03/2017,05:00:00,2.93
25/03/2017,06:00:00,2.75
25/03/2017,07:00:00,2.63
25/03/2017,08:00:00,2.36
25/03/2017,09:00:00,2.35
25/03/2017,10:00:00,2.84
25/03/2017,11:00:00,2.68
25/03/2017,12:00:00,2.59
25/03/2017,13:00:00,2.61
25/03/2017,14:00:00,2.75
25/03/2017,15:00:00,2.46
25/03/2017,16:00:00,2.68
25/03/2017,17:00:00,2.77
25/03/2017,18:00:00,2.52
25/03/2017,19:00:00,2.70
25/03/2017,20:00:00,2.38
25/03/2017,21:00:00,2.27
25/03/2017,22:00:00,2.65
25/03/2017,23:00:00,2.69
26/03/2017,00:00:00,2.61
26/03/2017,01:00:00,2.54
26/03/2017,02:00:00,2.66
26/03/2017,03:00:00,2.83
26/03/2017,04:00:00,2.59
26/03/2017,05:00:00,2.54
26/03/2017,06:00:00,2.85
26/03/2017,07:00:00,2.73
26/03/2017,08:00:00,2.36
26/03/2017,09:00:00,2.77
26/03/2017,10:00:00,2.48
26/03/2017,11:00:00,2.68
26/03/2017,12:00:00,2.43
26/03/2017,13:00:00,2.38
26/03/2017,14:00:00,2.56
26/03/2017,15:00:00,2.44
26/03/2017,16:00:00,2.77
26/03/2017,17:00:00,2.63
26/03/2017,18:00:00,2.71
26/03/2017,19:00:00,2.71
26/03/2017,20:00:00,2.61
26/03/2017,21:00:00,2.73
26/03/2017,22:00:00,2.76
26/03/2017,23:00:00,3.03
27/03/2017,00:00:00,2.46
27/03/2017,01:00:00,2.63
27/03/2017,02:00:00,2.58
27/03/2017,03:00:00,2.44
27/03/2017,04:00:00,2.53
27/03/2017,05:00:00,2.92
27/03/2017,06:00:00,2.87
27/03/2017,07:00:00,2.79
27/03/2017,08:00:00,2.44
27/03/2017,09:00:00,2.78
27/03/2017,10:00:00,2.62
27/03/2017,11:00:00,2.69
27/03/2017,12:00:00,2.53
27/03/2017,13:00:00,2.51
27/03/2017,14:00:00,2.88
27/03/2017,15:00:00,2.29
27/03/2017,16:00:00,2.43
27/03/2017,17:00:00,2.74
27/03/2017,18:00:00,2.51
27/03/2017,19:00:00,2.70
27/03/2017,20:00:00,2.51
27/03/2017,21:00:00,2.55
27/03/2017,22:00:00,2.21
27/03/2017,23:00:00,2.08
28/03/2017,00:00:00,2.61
28/03/2017,01:00:00,2.59
28/03/2017,02:00:00,2.59
28/03/2017,03:00:00,2.88
28/03/2017,04:00:00,2.56
28/03/2017,05:00:00,2.33
28/03/2017,07:00:00,2.56
28/03/2017,08:00:00,2.61
28/03/2017,09:00:00,2.68
28/03/2017,10:00:00,2.91
28/03/2017,11:00:00,2.29
28/03/2017,12:00:00,2.36
28/03/2017,13:00:00,2.45
28/03/2017,14:00:00,2.46
28/03/2017,15:00:00,3.01
28/03/2017,16:00:00,3.04
28/03/2017,17:00:00,2.75
28/03/2017,18:00:00,2.71
05/04/2016,12:00:00,11.81
05/04/2016,13:00:00,10.97
05/04/2016,14:00:00,14.10
05/04/2016,15:00:00,5.86
05/04/2016,16:00:00,13.79
05/04/2016,17:00:00,21.45
05/04/2016,18:00:00,20.98
05/04/2016,19:00:00,33.14
05/04/2016,20:00:00,11.13
05/04/2016,21:00:00,15.11
05/04/2016,22:00:00,12.66
05/04/2016,23:00:00,13.60
06/04/2016,00:00:00,13.63
06/04/2016,01:00:00,11.91
06/04/2016,02:00:00,8.63
06/04/2016,03:00:00,9.33
06/04/2016,04:00:00,15.92
06/04/2016,05:00:00,13.35
06/04/2016,06:00:00,15.21
06/04/2016,07:00:00,16.80
06/04/2016,08:00:00,15.24
06/04/2016,09:00:00,24.12
08/04/2016,13:00:00,19.81
08/04/2016,14:00:00,16.26
08/04/2016,15:00:00,20.01
08/04/2016,16:00:00,12.86
08/04/2016,17:00:00,11.42
08/04/2016,18:00:00,8.75
08/04/2016,19:00:00,5.71
08/04/2016,20:00:00,18.42
08/04/2016,21:00:00,11.54
08/04/2016,22:00:00,6.96
08/04/2016,23:00:00,59.08
09/04/2016,00:00:00,56.43
09/04/2016,01:00:00,34.04
09/04/2016,02:00:00,49.89
09/04/2016,03:00:00,37.85
09/04/2016,04:00:00,53.30
09/04/2016,05:00:00,61.59
09/04/2016,06:00:00,43.54
09/04/2016,07:00:00,37.40
09/04/2016,08:00:00,36.57
09/04/2016,09:00:00,17.84
09/04/2016,10:00:00,11.24
09/04/2016,11:00:00,11.57
09/04/2016,12:00:00,8.90
09/04/2016,13:00:00,8.94
09/04/2016,14:00:00,12.48
09/04/2016,15:00:00,11.54
09/04/2016,16:00:00,17.92
09/04/2016,17:00:00,21.14
09/04/2016,18:00:00,33.25
09/04/2016,19:00:00,19.66
09/04/2016,20:00:00,45.86
09/04/2016,21:00:00,21.30
09/04/2016,22:00:00,15.71
09/04/2016,23:00:00,14.90
10/04/2016,00:00:00,11.64
10/04/2016,01:00:00,11.24
10/04/2016,02:00:00,10.03
10/04/2016,03:00:00,5.52
10/04/2016,04:00:00,17.23
10/04/2016,05:00:00,6.90
10/04/2016,06:00:00,10.89
10/04/2016,07:00:00,11.41
10/04/2016,08:00:00,14.63
10/04/2016,09:00:00,11.28
10/04/2016,10:00:00,15.56
10/04/2016,11:00:00,16.56
10/04/2016,12:00:00,10.95
10/04/2016,13:00:00,13.75
10/04/2016,14:00:00,9.30
10/04/2016,15:00:00,10.51
10/04/2016,16:00:00,22.84
10/04/2016,17:00:00,37.62
10/04/2016,18:00:00,31.99
10/04/2016,19:00:00,36.18
10/04/2016,20:00:00,38.37
10/04/2016,21:00:00,45.27
10/04/2016,22:00:00,39.83
10/04/2016,23:00:00,17.89
11/04/2016,00:00:00,9.21
11/04/2016,01:00:00,9.26
11/04/2016,02:00:00,6.20
11/04/2016,03:00:00,13.63
11/04/2016,04:00:00,12.21
11/04/2016,05:00:00,18.77
11/04/2016,06:00:00,13.07
11/04/2016,07:00:00,17.33
11/04/2016,08:00:00,13.19
12/04/2016,10:00:00,10.71
12/04/2016,11:00:00,11.41
12/04/2016,12:00:00,14.17
12/04/2016,13:00:00,12.51
12/04/2016,14:00:00,17.79
12/04/2016,15:00:00,6.90
12/04/2016,16:00:00,10.38
12/04/2016,17:00:00,5.30
12/04/2016,18:00:00,11.33
12/04/2016,19:00:00,18.55
12/04/2016,20:00:00,23.60
12/04/2016,21:00:00,7.38
12/04/2016,22:00:00,10.51
12/04/2016,23:00:00,10.97
13/04/2016,10:00:00,9.06
13/04/2016,11:00:00,5.23
13/04/2016,12:00:00,9.86
18/04/2016,13:00:00,12.65
18/04/2016,14:00:00,13.88
18/04/2016,15:00:00,20.35
18/04/2016,16:00:00,12.67
18/04/2016,17:00:00,15.54
18/04/2016,18:00:00,29.98
18/04/2016,19:00:00,23.27
18/04/2016,20:00:00,39.70
18/04/2016,21:00:00,99.52
18/04/2016,22:00:00,33.03
18/04/2016,23:00:00,38.34
19/04/2016,00:00:00,21.67
19/04/2016,01:00:00,11.22
19/04/2016,02:00:00,35.38
19/04/2016,03:00:00,27.18
19/04/2016,04:00:00,11.43
19/04/2016,05:00:00,21.62
19/04/2016,06:00:00,30.71
19/04/2016,07:00:00,30.21
19/04/2016,08:00:00,41.44
19/04/2016,09:00:00,38.53
19/04/2016,10:00:00,29.62
19/04/2016,11:00:00,44.97
27/04/2016,10:00:00,14.59
27/04/2016,11:00:00,12.64
27/04/2016,12:00:00,9.42
27/04/2016,13:00:00,4.82
27/04/2016,14:00:00,21.06
27/04/2016,15:00:00,3.25
27/04/2016,16:00:00,4.03
27/04/2016,17:00:00,17.55
27/04/2016,18:00:00,19.09
27/04/2016,19:00:00,21.68
27/04/2016,20:00:00,58.38
27/04/2016,21:00:00,80.78
27/04/2016,22:00:00,39.09
27/04/2016,23:00:00,86.61
28/04/2016,00:00:00,86.63
28/04/2016,01:00:00,75.82
28/04/2016,02:00:00,52.75
28/04/2016,03:00:00,57.88
28/04/2016,04:00:00,48.63
28/04/2016,05:00:00,82.84
28/04/2016,06:00:00,59.45
28/04/2016,07:00:00,55.89
28/04/2016,08:00:00,53.79
28/04/2016,09:00:00,27.42
28/04/2016,10:00:00,16.21
07/06/2016,08:00:00,14.81
07/06/2016,09:00:00,7.09
07/06/2016,10:00:00,6.54
07/06/2016,11:00:00,6.98
07/06/2016,12:00:00,4.20
07/06/2016,13:00:00,9.53
07/06/2016,14:00:00,9.75
07/06/2016,15:00:00,7.12
07/06/2016,16:00:00,6.63
07/06/2016,17:00:00,10.84
07/06/2016,18:00:00,12.95
07/06/2016,19:00:00,15.45
07/06/2016,20:00:00,14.25
07/06/2016,21:00:00,9.64
07/06/2016,22:00:00,15.74
07/06/2016,23:00:00,9.11
08/06/2016,00:00:00,13.20
08/06/2016,01:00:00,19.74
08/06/2016,02:00:00,22.31
08/06/2016,03:00:00,33.91
08/06/2016,04:00:00,26.58
08/06/2016,05:00:00,14.95
08/06/2016,06:00:00,15.03
08/06/2016,07:00:00,10.86
08/06/2016,08:00:00,8.65
08/06/2016,09:00:00,5.85
08/06/2016,10:00:00,5.82
08/06/2016,11:00:00,7.17
08/06/2016,12:00:00,7.69
08/06/2016,13:00:00,7.13
08/06/2016,14:00:00,9.51
09/06/2016,08:00:00,28.68
09/06/2016,09:00:00,28.68
09/06/2016,10:00:00,28.68
09/06/2016,11:00:00,28.68
09/06/2016,12:00:00,28.68
09/06/2016,13:00:00,28.68
09/06/2016,14:00:00,28.68
09/06/2016,15:00:00,28.68
09/06/2016,16:00:00,10.73
09/06/2016,17:00:00,8.27
