Date,Time,Values
05/04/2016,12:00:00,10.13
05/04/2016,13:00:00,12.24
05/04/2016,14:00:00,10.43
05/04/2016,15:00:00,8.77
05/04/2016,16:00:00,11.35
05/04/2016,17:00:00,10.75
05/04/2016,18:00:00,4.98
05/04/2016,19:00:00,9.16
05/04/2016,20:00:00,12.27
05/04/2016,21:00:00,13.79
05/04/2016,22:00:00,8.37
05/04/2016,23:00:00,11.05
06/04/2016,00:00:00,17.66
06/04/2016,01:00:00,7.17
06/04/2016,02:00:00,8.59
06/04/2016,03:00:00,10.19
06/04/2016,04:00:00,13.39
06/04/2016,05:00:00,13.83
06/04/2016,06:00:00,12.21
06/04/2016,07:00:00,29.44
06/04/2016,08:00:00,13.17
06/04/2016,09:00:00,14.45
08/04/2016,13:00:00,9.37
08/04/2016,14:00:00,9.04
08/04/2016,15:00:00,9.22
08/04/2016,16:00:00,7.24
08/04/2016,17:00:00,10.67
08/04/2016,18:00:00,12.57
08/04/2016,19:00:00,19.20
08/04/2016,20:00:00,32.36
08/04/2016,21:00:00,36.17
08/04/2016,22:00:00,52.05
08/04/2016,23:00:00,35.65
09/04/2016,00:00:00,33.68
09/04/2016,01:00:00,36.36
09/04/2016,02:00:00,27.23
09/04/2016,03:00:00,14.82
09/04/2016,04:00:00,16.34
09/04/2016,05:00:00,16.50
09/04/2016,06:00:00,23.62
09/04/2016,07:00:00,67.86
09/04/2016,08:00:00,70.75
09/04/2016,09:00:00,28.02
09/04/2016,10:00:00,24.02
09/04/2016,11:00:00,18.54
09/04/2016,12:00:00,10.45
09/04/2016,13:00:00,11.62
09/04/2016,14:00:00,9.50
09/04/2016,15:00:00,11.49
09/04/2016,16:00:00,11.81
09/04/2016,17:00:00,14.04
09/04/2016,18:00:00,17.19
09/04/2016,19:00:00,17.21
09/04/2016,20:00:00,24.95
09/04/2016,21:00:00,9.32
09/04/2016,22:00:00,12.78
09/04/2016,23:00:00,9.58
10/04/2016,00:00:00,14.43
10/04/2016,01:00:00,14.02
10/04/2016,02:00:00,14.59
10/04/2016,03:00:00,9.88
10/04/2016,04:00:00,13.93
10/04/2016,05:00:00,9.26
10/04/2016,06:00:00,10.13
10/04/2016,07:00:00,13.05
10/04/2016,08:00:00,13.60
10/04/2016,09:00:00,12.82
10/04/2016,10:00:00,14.59
10/04/2016,11:00:00,12.82
10/04/2016,12:00:00,11.65
10/04/2016,13:00:00,8.62
10/04/2016,14:00:00,10.36
10/04/2016,15:00:00,9.66
10/04/2016,16:00:00,10.21
10/04/2016,17:00:00,12.23
10/04/2016,18:00:00,11.86
10/04/2016,19:00:00,18.29
10/04/2016,20:00:00,40.42
10/04/2016,21:00:00,26.92
10/04/2016,22:00:00,32.86
10/04/2016,23:00:00,11.96
11/04/2016,00:00:00,7.76
11/04/2016,01:00:00,9.43
11/04/2016,02:00:00,8.80
11/04/2016,03:00:00,12.05
11/04/2016,04:00:00,12.22
11/04/2016,05:00:00,9.04
11/04/2016,06:00:00,15.46
11/04/2016,07:00:00,11.31
11/04/2016,08:00:00,18.68
12/04/2016,10:00:00,15.63
12/04/2016,11:00:00,13.23
12/04/2016,12:00:00,12.90
12/04/2016,13:00:00,8.97
12/04/2016,14:00:00,14.10
12/04/2016,15:00:00,11.52
12/04/2016,16:00:00,12.45
12/04/2016,17:00:00,20.29
12/04/2016,18:00:00,12.35
12/04/2016,19:00:00,15.70
12/04/2016,20:00:00,18.95
12/04/2016,21:00:00,21.52
12/04/2016,22:00:00,20.49
12/04/2016,23:00:00,14.37
13/04/2016,10:00:00,14.81
13/04/2016,11:00:00,13.02
13/04/2016,12:00:00,18.64
18/04/2016,13:00:00,10.29
18/04/2016,14:00:00,15.84
18/04/2016,15:00:00,14.55
18/04/2016,16:00:00,13.25
18/04/2016,17:00:00,17.32
18/04/2016,18:00:00,22.29
18/04/2016,19:00:00,37.81
18/04/2016,20:00:00,68.73
18/04/2016,21:00:00,76.78
18/04/2016,22:00:00,26.58
18/04/2016,23:00:00,37.29
19/04/2016,00:00:00,55.68
19/04/2016,01:00:00,16.64
19/04/2016,02:00:00,23.75
19/04/2016,03:00:00,23.36
19/04/2016,04:00:00,25.34
19/04/2016,05:00:00,44.83
19/04/2016,06:00:00,50.73
19/04/2016,07:00:00,55.14
19/04/2016,08:00:00,43.94
19/04/2016,09:00:00,30.23
19/04/2016,10:00:00,26.84
19/04/2016,11:00:00,25.47
27/04/2016,10:00:00,23.88
27/04/2016,11:00:00,20.19
27/04/2016,12:00:00,15.27
27/04/2016,13:00:00,17.98
27/04/2016,14:00:00,21.10
27/04/2016,15:00:00,11.73
27/04/2016,16:00:00,17.46
27/04/2016,17:00:00,26.80
27/04/2016,18:00:00,29.36
27/04/2016,19:00:00,52.00
27/04/2016,20:00:00,108.31
27/04/2016,21:00:00,126.47
27/04/2016,22:00:00,126.47
27/04/2016,23:00:00,122.13
28/04/2016,00:00:00,114.56
28/04/2016,01:00:00,44.94
28/04/2016,02:00:00,39.23
28/04/2016,03:00:00,46.17
28/04/2016,04:00:00,85.45
28/04/2016,05:00:00,108.20
28/04/2016,06:00:00,133.56
28/04/2016,07:00:00,81.70
28/04/2016,08:00:00,41.14
28/04/2016,09:00:00,21.85
28/04/2016,10:00:00,10.94
07/06/2016,08:00:00,19.75
07/06/2016,09:00:00,17.07
07/06/2016,10:00:00,18.52
07/06/2016,11:00:00,13.91
07/06/2016,12:00:00,11.51
07/06/2016,13:00:00,12.25
07/06/2016,14:00:00,11.09
07/06/2016,15:00:00,11.00
07/06/2016,16:00:00,11.89
07/06/2016,17:00:00,10.58
07/06/2016,18:00:00,15.01
07/06/2016,19:00:00,17.07
07/06/2016,20:00:00,17.75
07/06/2016,21:00:00,20.73
07/06/2016,22:00:00,16.90
07/06/2016,23:00:00,18.02
08/06/2016,00:00:00,21.60
08/06/2016,01:00:00,20.32
08/06/2016,02:00:00,20.60
08/06/2016,03:00:00,19.33
08/06/2016,04:00:00,15.69
08/06/2016,05:00:00,18.87
08/06/2016,06:00:00,17.30
08/06/2016,07:00:00,20.66
08/06/2016,08:00:00,21.64
08/06/2016,09:00:00,15.27
08/06/2016,10:00:00,16.77
08/06/2016,11:00:00,12.21
08/06/2016,12:00:00,12.17
