Date,Time,Values
05/04/2016,12:00:00,7.85
05/04/2016,13:00:00,5.30
05/04/2016,14:00:00,7.29
05/04/2016,15:00:00,9.95
05/04/2016,16:00:00,12.97
05/04/2016,17:00:00,14.55
05/04/2016,18:00:00,9.33
05/04/2016,19:00:00,7.96
05/04/2016,20:00:00,31.65
05/04/2016,21:00:00,15.27
05/04/2016,22:00:00,8.45
05/04/2016,23:00:00,33.22
06/04/2016,00:00:00,9.57
06/04/2016,01:00:00,11.81
06/04/2016,02:00:00,11.41
06/04/2016,03:00:00,9.45
06/04/2016,04:00:00,12.28
06/04/2016,05:00:00,13.55
06/04/2016,06:00:00,12.21
06/04/2016,07:00:00,18.03
06/04/2016,08:00:00,15.75
06/04/2016,09:00:00,5.33
08/04/2016,13:00:00,9.77
08/04/2016,14:00:00,6.33
08/04/2016,15:00:00,11.10
08/04/2016,16:00:00,8.50
08/04/2016,17:00:00,12.23
08/04/2016,18:00:00,22.10
08/04/2016,19:00:00,43.04
08/04/2016,20:00:00,59.42
08/04/2016,21:00:00,65.36
08/04/2016,22:00:00,68.04
08/04/2016,23:00:00,27.28
09/04/2016,00:00:00,25.16
09/04/2016,01:00:00,37.28
09/04/2016,02:00:00,19.70
09/04/2016,03:00:00,17.75
09/04/2016,04:00:00,6.47
09/04/2016,05:00:00,14.82
09/04/2016,06:00:00,20.77
09/04/2016,07:00:00,18.04
09/04/2016,08:00:00,65.69
09/04/2016,09:00:00,44.25
09/04/2016,10:00:00,26.54
09/04/2016,11:00:00,13.53
09/04/2016,12:00:00,8.99
09/04/2016,13:00:00,10.73
09/04/2016,14:00:00,27.53
09/04/2016,15:00:00,8.87
09/04/2016,16:00:00,10.19
09/04/2016,17:00:00,11.67
09/04/2016,18:00:00,17.13
09/04/2016,19:00:00,22.19
09/04/2016,20:00:00,23.67
09/04/2016,21:00:00,9.50
09/04/2016,22:00:00,11.99
09/04/2016,23:00:00,7.01
10/04/2016,00:00:00,5.50
10/04/2016,01:00:00,14.05
10/04/2016,02:00:00,8.65
10/04/2016,03:00:00,19.50
10/04/2016,04:00:00,6.32
10/04/2016,05:00:00,7.50
10/04/2016,06:00:00,8.10
10/04/2016,07:00:00,10.96
10/04/2016,08:00:00,9.19
10/04/2016,09:00:00,16.14
10/04/2016,10:00:00,12.84
10/04/2016,11:00:00,10.18
10/04/2016,12:00:00,10.85
10/04/2016,13:00:00,8.13
10/04/2016,14:00:00,9.26
10/04/2016,15:00:00,8.65
10/04/2016,16:00:00,9.03
10/04/2016,17:00:00,9.38
10/04/2016,18:00:00,15.99
10/04/2016,19:00:00,19.77
10/04/2016,20:00:00,48.89
10/04/2016,21:00:00,48.91
10/04/2016,22:00:00,32.57
10/04/2016,23:00:00,13.38
11/04/2016,00:00:00,7.06
11/04/2016,01:00:00,10.35
11/04/2016,02:00:00,8.23
11/04/2016,03:00:00,10.60
11/04/2016,04:00:00,7.78
11/04/2016,05:00:00,12.13
11/04/2016,06:00:00,10.38
11/04/2016,07:00:00,9.19
11/04/2016,08:00:00,13.65
12/04/2016,10:00:00,9.48
12/04/2016,11:00:00,4.83
12/04/2016,12:00:00,10.79
12/04/2016,13:00:00,9.03
12/04/2016,14:00:00,6.42
12/04/2016,15:00:00,11.89
12/04/2016,16:00:00,7.23
12/04/2016,17:00:00,6.79
12/04/2016,18:00:00,18.01
12/04/2016,19:00:00,27.07
12/04/2016,20:00:00,15.13
12/04/2016,21:00:00,27.99
12/04/2016,22:00:00,32.42
12/04/2016,23:00:00,8.89
13/04/2016,10:00:00,8.01
13/04/2016,11:00:00,6.07
13/04/2016,12:00:00,12.21
18/04/2016,13:00:00,9.36
18/04/2016,14:00:00,6.95
18/04/2016,15:00:00,35.34
18/04/2016,16:00:00,11.37
18/04/2016,17:00:00,10.12
18/04/2016,18:00:00,15.02
18/04/2016,19:00:00,30.05
18/04/2016,20:00:00,31.49
18/04/2016,21:00:00,14.50
18/04/2016,22:00:00,14.24
18/04/2016,23:00:00,12.46
19/04/2016,00:00:00,39.27
19/04/2016,01:00:00,29.92
19/04/2016,02:00:00,13.35
19/04/2016,03:00:00,11.83
19/04/2016,04:00:00,17.05
19/04/2016,05:00:00,34.46
19/04/2016,06:00:00,28.86
19/04/2016,07:00:00,11.26
19/04/2016,08:00:00,18.91
19/04/2016,09:00:00,22.25
19/04/2016,10:00:00,34.23
19/04/2016,11:00:00,10.22
27/04/2016,10:00:00,11.11
27/04/2016,11:00:00,11.61
27/04/2016,12:00:00,6.01
27/04/2016,13:00:00,9.14
27/04/2016,14:00:00,7.78
27/04/2016,15:00:00,10.06
27/04/2016,16:00:00,13.40
27/04/2016,17:00:00,5.38
27/04/2016,18:00:00,4.21
27/04/2016,19:00:00,26.64
27/04/2016,20:00:00,26.65
27/04/2016,21:00:00,7.75
27/04/2016,22:00:00,26.50
27/04/2016,23:00:00,11.26
28/04/2016,00:00:00,9.55
28/04/2016,01:00:00,15.85
28/04/2016,02:00:00,12.26
28/04/2016,03:00:00,20.96
28/04/2016,04:00:00,20.80
28/04/2016,05:00:00,14.28
28/04/2016,06:00:00,27.32
28/04/2016,07:00:00,29.12
28/04/2016,08:00:00,25.88
28/04/2016,09:00:00,11.34
28/04/2016,10:00:00,17.72
07/06/2016,08:00:00,15.23
07/06/2016,09:00:00,11.02
07/06/2016,10:00:00,11.43
07/06/2016,11:00:00,5.26
07/06/2016,12:00:00,9.98
07/06/2016,13:00:00,14.14
07/06/2016,14:00:00,5.31
07/06/2016,15:00:00,7.72
07/06/2016,16:00:00,8.27
07/06/2016,17:00:00,7.76
07/06/2016,18:00:00,9.38
07/06/2016,19:00:00,5.83
07/06/2016,20:00:00,29.27
07/06/2016,21:00:00,12.21
07/06/2016,22:00:00,9.83
07/06/2016,23:00:00,25.45
08/06/2016,00:00:00,13.97
08/06/2016,01:00:00,8.24
08/06/2016,02:00:00,21.25
08/06/2016,03:00:00,11.16
08/06/2016,04:00:00,11.21
08/06/2016,05:00:00,12.43
08/06/2016,06:00:00,6.84
08/06/2016,07:00:00,10.59
08/06/2016,08:00:00,7.38
08/06/2016,09:00:00,15.51
08/06/2016,10:00:00,28.53
08/06/2016,11:00:00,10.15
08/06/2016,12:00:00,30.06
08/06/2016,13:00:00,10.20
08/06/2016,14:00:00,9.58
09/06/2016,08:00:00,26.69
09/06/2016,09:00:00,26.69
09/06/2016,10:00:00,26.69
09/06/2016,11:00:00,26.69
09/06/2016,12:00:00,26.69
09/06/2016,13:00:00,26.69
09/06/2016,14:00:00,26.69
09/06/2016,15:00:00,24.81
09/06/2016,16:00:00,7.29
09/06/2016,17:00:00,12.84
09/06/2016,18:00:00,9.10
09/06/2016,19:00:00,26.06
09/06/2016,20:00:00,27.98
09/06/2016,21:00:00,43.95
09/06/2016,22:00:00,12.36
09/06/2016,23:00:00,16.27
10/06/2016,00:00:00,9.48
10/06/2016,01:00:00,20.44
10/06/2016,02:00:00,12.75
10/06/2016,03:00:00,12.45
10/06/2016,04:00:00,12.26
10/06/2016,05:00:00,29.27
10/06/2016,06:00:00,28.82
10/06/2016,07:00:00,16.10
10/06/2016,08:00:00,6.16
10/06/2016,09:00:00,5.38
10/06/2016,10:00:00,15.06
10/06/2016,11:00:00,5.77
10/06/2016,12:00:00,24.44
10/06/2016,13:00:00,14.28
10/06/2016,14:00:00,14.66
10/06/2016,15:00:00,18.91
10/06/2016,16:00:00,21.07
10/06/2016,17:00:00,45.26
10/06/2016,18:00:00,53.59
10/06/2016,19:00:00,68.92
10/06/2016,20:00:00,72.38
10/06/2016,21:00:00,60.43
10/06/2016,22:00:00,56.50
10/06/2016,23:00:00,34.43
11/06/2016,00:00:00,14.54
11/06/2016,01:00:00,15.16
11/06/2016,02:00:00,18.37
11/06/2016,03:00:00,14.11
11/06/2016,04:00:00,28.37
11/06/2016,05:00:00,34.39
11/06/2016,06:00:00,35.23
11/06/2016,07:00:00,40.15
11/06/2016,08:00:00,41.32
11/06/2016,09:00:00,43.69
11/06/2016,10:00:00,33.02
11/06/2016,11:00:00,28.18
11/06/2016,12:00:00,28.84
11/06/2016,13:00:00,26.02
11/06/2016,14:00:00,18.97
11/06/2016,15:00:00,12.35
11/06/2016,16:00:00,15.04
11/06/2016,17:00:00,20.95
11/06/2016,18:00:00,31.56
11/06/2016,19:00:00,39.14
11/06/2016,20:00:00,25.19
11/06/2016,21:00:00,24.08
11/06/2016,22:00:00,44.16
11/06/2016,23:00:00,41.55
12/06/2016,00:00:00,33.98
12/06/2016,01:00:00,45.08
