Date,Time,Values
23/03/2017,00:00:00,27.05
23/03/2017,01:00:00,21.75
23/03/2017,02:00:00,15.92
23/03/2017,03:00:00,17.95
23/03/2017,04:00:00,20.36
23/03/2017,05:00:00,22.64
23/03/2017,06:00:00,23.94
23/03/2017,07:00:00,19.49
23/03/2017,08:00:00,29.98
23/03/2017,09:00:00,41.87
23/03/2017,10:00:00,58.22
23/03/2017,11:00:00,92.00
23/03/2017,12:00:00,128.51
23/03/2017,13:00:00,121.52
23/03/2017,14:00:00,100.98
23/03/2017,15:00:00,93.69
23/03/2017,16:00:00,70.90
23/03/2017,17:00:00,62.28
23/03/2017,18:00:00,47.30
23/03/2017,19:00:00,30.65
23/03/2017,20:00:00,38.29
23/03/2017,21:00:00,30.75
23/03/2017,22:00:00,38.58
23/03/2017,23:00:00,47.22
24/03/2017,00:00:00,38.76
24/03/2017,01:00:00,37.32
24/03/2017,02:00:00,40.68
24/03/2017,03:00:00,36.75
24/03/2017,04:00:00,26.26
24/03/2017,05:00:00,21.44
24/03/2017,06:00:00,19.34
24/03/2017,07:00:00,18.47
24/03/2017,08:00:00,34.83
24/03/2017,09:00:00,42.50
24/03/2017,10:00:00,58.41
24/03/2017,11:00:00,68.68
24/03/2017,12:00:00,69.33
24/03/2017,13:00:00,84.91
24/03/2017,14:00:00,82.71
24/03/2017,15:00:00,66.83
24/03/2017,16:00:00,49.74
24/03/2017,17:00:00,46.01
24/03/2017,18:00:00,34.39
24/03/2017,19:00:00,23.37
24/03/2017,20:00:00,21.36
24/03/2017,21:00:00,23.79
24/03/2017,22:00:00,25.16
24/03/2017,23:00:00,27.36
25/03/2017,00:00:00,21.37
25/03/2017,01:00:00,32.64
25/03/2017,02:00:00,43.02
25/03/2017,03:00:00,41.45
25/03/2017,04:00:00,30.94
25/03/2017,05:00:00,24.05
25/03/2017,06:00:00,17.45
25/03/2017,07:00:00,20.37
25/03/2017,08:00:00,38.86
25/03/2017,09:00:00,60.25
25/03/2017,10:00:00,70.27
25/03/2017,11:00:00,77.85
25/03/2017,12:00:00,69.53
25/03/2017,13:00:00,65.32
25/03/2017,14:00:00,60.42
25/03/2017,15:00:00,59.92
25/03/2017,16:00:00,56.20
25/03/2017,17:00:00,53.75
25/03/2017,18:00:00,49.01
25/03/2017,19:00:00,35.18
25/03/2017,20:00:00,32.45
25/03/2017,21:00:00,27.79
25/03/2017,22:00:00,30.98
25/03/2017,23:00:00,43.54
26/03/2017,00:00:00,49.23
26/03/2017,01:00:00,47.13
26/03/2017,02:00:00,38.70
26/03/2017,03:00:00,37.19
26/03/2017,04:00:00,32.75
26/03/2017,05:00:00,25.71
26/03/2017,06:00:00,20.73
26/03/2017,07:00:00,36.79
26/03/2017,08:00:00,53.86
26/03/2017,09:00:00,64.41
26/03/2017,10:00:00,74.41
26/03/2017,11:00:00,65.31
26/03/2017,12:00:00,64.02
26/03/2017,13:00:00,63.79
26/03/2017,14:00:00,74.66
26/03/2017,15:00:00,63.58
26/03/2017,16:00:00,62.94
26/03/2017,17:00:00,61.16
26/03/2017,18:00:00,54.46
26/03/2017,19:00:00,51.51
26/03/2017,20:00:00,42.77
26/03/2017,21:00:00,48.31
26/03/2017,22:00:00,44.29
26/03/2017,23:00:00,43.01
27/03/2017,00:00:00,48.15
27/03/2017,01:00:00,52.28
27/03/2017,02:00:00,52.93
27/03/2017,03:00:00,51.48
27/03/2017,04:00:00,49.73
27/03/2017,05:00:00,46.03
27/03/2017,06:00:00,33.79
27/03/2017,07:00:00,34.81
27/03/2017,08:00:00,44.34
27/03/2017,09:00:00,54.16
27/03/2017,10:00:00,68.10
27/03/2017,11:00:00,74.04
27/03/2017,12:00:00,73.27
27/03/2017,13:00:00,63.20
27/03/2017,14:00:00,56.41
27/03/2017,15:00:00,58.52
27/03/2017,16:00:00,63.34
27/03/2017,17:00:00,61.40
27/03/2017,18:00:00,45.95
27/03/2017,19:00:00,35.94
27/03/2017,20:00:00,37.14
27/03/2017,21:00:00,46.48
27/03/2017,22:00:00,42.79
27/03/2017,23:00:00,35.88
28/03/2017,00:00:00,41.93
28/03/2017,01:00:00,38.10
28/03/2017,02:00:00,39.16
28/03/2017,03:00:00,34.21
28/03/2017,04:00:00,29.90
28/03/2017,05:00:00,34.08
28/03/2017,07:00:00,39.08
28/03/2017,08:00:00,58.07
28/03/2017,09:00:00,73.39
28/03/2017,10:00:00,92.69
28/03/2017,11:00:00,108.00
28/03/2017,12:00:00,76.13
28/03/2017,13:00:00,58.11
28/03/2017,14:00:00,52.33
28/03/2017,15:00:00,51.61
28/03/2017,16:00:00,48.53
28/03/2017,17:00:00,52.43
28/03/2017,18:00:00,45.98
05/04/2016,12:00:00,15.11
05/04/2016,13:00:00,15.11
05/04/2016,14:00:00,13.27
05/04/2016,15:00:00,8.17
05/04/2016,16:00:00,11.35
05/04/2016,17:00:00,5.91
05/04/2016,18:00:00,4.38
05/04/2016,19:00:00,11.26
05/04/2016,20:00:00,12.27
05/04/2016,21:00:00,13.79
05/04/2016,22:00:00,8.13
05/04/2016,23:00:00,11.05
06/04/2016,00:00:00,17.76
06/04/2016,01:00:00,6.98
06/04/2016,02:00:00,8.61
06/04/2016,03:00:00,8.14
06/04/2016,04:00:00,13.39
06/04/2016,05:00:00,15.31
06/04/2016,06:00:00,12.21
06/04/2016,07:00:00,27.07
06/04/2016,08:00:00,13.17
06/04/2016,09:00:00,14.45
08/04/2016,13:00:00,4.86
08/04/2016,14:00:00,4.86
08/04/2016,15:00:00,4.86
08/04/2016,16:00:00,7.93
08/04/2016,17:00:00,9.44
08/04/2016,18:00:00,12.57
08/04/2016,19:00:00,20.46
08/04/2016,20:00:00,32.36
08/04/2016,21:00:00,38.90
08/04/2016,22:00:00,46.50
08/04/2016,23:00:00,40.30
09/04/2016,00:00:00,32.86
09/04/2016,01:00:00,36.36
09/04/2016,02:00:00,24.08
09/04/2016,03:00:00,14.82
09/04/2016,04:00:00,16.34
09/04/2016,05:00:00,16.40
09/04/2016,06:00:00,23.62
09/04/2016,07:00:00,67.86
09/04/2016,08:00:00,70.75
09/04/2016,09:00:00,27.22
09/04/2016,10:00:00,24.18
09/04/2016,11:00:00,16.79
09/04/2016,12:00:00,13.46
09/04/2016,13:00:00,11.62
09/04/2016,14:00:00,8.08
09/04/2016,15:00:00,11.49
09/04/2016,16:00:00,11.18
09/04/2016,17:00:00,14.04
09/04/2016,18:00:00,17.19
09/04/2016,19:00:00,18.38
09/04/2016,20:00:00,24.95
09/04/2016,21:00:00,9.03
09/04/2016,22:00:00,12.78
09/04/2016,23:00:00,13.43
10/04/2016,00:00:00,12.76
10/04/2016,01:00:00,17.27
10/04/2016,02:00:00,15.49
10/04/2016,03:00:00,8.68
10/04/2016,04:00:00,13.93
10/04/2016,05:00:00,8.99
10/04/2016,06:00:00,10.11
10/04/2016,07:00:00,10.41
10/04/2016,08:00:00,13.51
10/04/2016,09:00:00,14.84
10/04/2016,10:00:00,13.34
10/04/2016,11:00:00,12.82
10/04/2016,12:00:00,10.46
10/04/2016,13:00:00,8.62
10/04/2016,14:00:00,7.49
10/04/2016,15:00:00,9.66
10/04/2016,16:00:00,10.36
10/04/2016,17:00:00,13.08
10/04/2016,18:00:00,9.91
10/04/2016,19:00:00,18.12
10/04/2016,20:00:00,40.42
10/04/2016,21:00:00,26.92
10/04/2016,22:00:00,32.86
10/04/2016,23:00:00,11.96
11/04/2016,00:00:00,7.76
11/04/2016,01:00:00,9.43
11/04/2016,02:00:00,11.77
11/04/2016,03:00:00,8.48
11/04/2016,04:00:00,12.22
11/04/2016,05:00:00,9.04
11/04/2016,06:00:00,16.23
11/04/2016,07:00:00,11.31
11/04/2016,08:00:00,18.68
12/04/2016,10:00:00,15.89
12/04/2016,11:00:00,15.89
12/04/2016,12:00:00,15.19
12/04/2016,13:00:00,6.75
12/04/2016,14:00:00,14.10
12/04/2016,15:00:00,9.46
12/04/2016,16:00:00,12.45
12/04/2016,17:00:00,48.63
12/04/2016,18:00:00,114.31
12/04/2016,19:00:00,121.32
12/04/2016,20:00:00,115.27
12/04/2016,21:00:00,118.89
12/04/2016,22:00:00,111.88
12/04/2016,23:00:00,116.14
13/04/2016,10:00:00,89.05
13/04/2016,11:00:00,89.47
13/04/2016,12:00:00,52.47
18/04/2016,13:00:00,NA
18/04/2016,14:00:00,NA
18/04/2016,15:00:00,178.69
18/04/2016,16:00:00,188.41
18/04/2016,17:00:00,NA
18/04/2016,18:00:00,NA
18/04/2016,19:00:00,NA
18/04/2016,20:00:00,NA
18/04/2016,21:00:00,NA
18/04/2016,22:00:00,162.63
18/04/2016,23:00:00,183.00
19/04/2016,00:00:00,168.56
19/04/2016,01:00:00,163.34
19/04/2016,02:00:00,NA
19/04/2016,03:00:00,NA
19/04/2016,04:00:00,180.44
19/04/2016,05:00:00,NA
19/04/2016,06:00:00,185.57
19/04/2016,07:00:00,177.41
19/04/2016,08:00:00,194.06
19/04/2016,09:00:00,196.66
19/04/2016,10:00:00,NA
19/04/2016,11:00:00,NA
27/04/2016,10:00:00,106.61
27/04/2016,11:00:00,82.66
27/04/2016,12:00:00,91.86
27/04/2016,13:00:00,99.52
27/04/2016,14:00:00,72.84
27/04/2016,15:00:00,69.72
27/04/2016,16:00:00,69.28
27/04/2016,17:00:00,52.00
27/04/2016,18:00:00,39.38
27/04/2016,19:00:00,24.86
27/04/2016,20:00:00,29.45
27/04/2016,21:00:00,30.45
27/04/2016,22:00:00,35.85
27/04/2016,23:00:00,35.45
28/04/2016,00:00:00,33.57
28/04/2016,01:00:00,34.38
28/04/2016,02:00:00,34.09
28/04/2016,03:00:00,32.78
28/04/2016,04:00:00,34.57
28/04/2016,05:00:00,35.12
