Date,Time,Values
23/03/2017,00:00:00,20.12
23/03/2017,01:00:00,15.78
23/03/2017,02:00:00,22.67
23/03/2017,03:00:00,17.37
23/03/2017,04:00:00,18.16
23/03/2017,05:00:00,12.58
23/03/2017,06:00:00,11.99
23/03/2017,07:00:00,11.84
23/03/2017,08:00:00,15.82
23/03/2017,09:00:00,20.41
23/03/2017,10:00:00,18.48
23/03/2017,11:00:00,13.39
23/03/2017,12:00:00,12.55
23/03/2017,13:00:00,9.27
23/03/2017,14:00:00,6.01
23/03/2017,15:00:00,7.66
23/03/2017,16:00:00,7.35
23/03/2017,17:00:00,6.54
23/03/2017,18:00:00,6.36
23/03/2017,19:00:00,18.38
23/03/2017,20:00:00,26.46
23/03/2017,21:00:00,21.65
23/03/2017,22:00:00,19.85
23/03/2017,23:00:00,20.36
24/03/2017,00:00:00,35.34
24/03/2017,01:00:00,33.16
24/03/2017,02:00:00,19.73
24/03/2017,03:00:00,19.7
24/03/2017,04:00:00,22.66
24/03/2017,05:00:00,21.37
24/03/2017,06:00:00,22.53
24/03/2017,07:00:00,30.45
24/03/2017,08:00:00,25.92
24/03/2017,09:00:00,17.56
24/03/2017,10:00:00,12.71
24/03/2017,11:00:00,10.1
24/03/2017,12:00:00,9.5
24/03/2017,13:00:00,12.35
24/03/2017,14:00:00,14.19
24/03/2017,15:00:00,6.42
24/03/2017,16:00:00,3.09
24/03/2017,17:00:00,2.11
24/03/2017,18:00:00,2.27
24/03/2017,19:00:00,3.21
24/03/2017,20:00:00,4.1
24/03/2017,21:00:00,7.23
24/03/2017,22:00:00,7.08
24/03/2017,23:00:00,7.48
25/03/2017,00:00:00,6.14
25/03/2017,01:00:00,4.64
25/03/2017,02:00:00,5.56
25/03/2017,03:00:00,7.98
25/03/2017,04:00:00,8.22
25/03/2017,05:00:00,7.63
25/03/2017,06:00:00,8.13
25/03/2017,07:00:00,12.1
25/03/2017,08:00:00,11.19
25/03/2017,09:00:00,10.48
25/03/2017,10:00:00,8.38
25/03/2017,11:00:00,6.21
25/03/2017,12:00:00,3.11
