Date,Time,Values
05/04/2016,12:00:00,20.77
05/04/2016,13:00:00,9.76
05/04/2016,14:00:00,24.09
05/04/2016,15:00:00,12.28
05/04/2016,16:00:00,13.92
05/04/2016,17:00:00,20.37
05/04/2016,18:00:00,17.71
05/04/2016,19:00:00,20.76
05/04/2016,20:00:00,18.34
05/04/2016,21:00:00,17.16
05/04/2016,22:00:00,13.09
05/04/2016,23:00:00,18.36
06/04/2016,00:00:00,12.31
06/04/2016,01:00:00,16.88
06/04/2016,02:00:00,17.53
06/04/2016,03:00:00,13.30
06/04/2016,04:00:00,8.75
06/04/2016,05:00:00,11.59
06/04/2016,06:00:00,12.68
06/04/2016,07:00:00,20.50
06/04/2016,08:00:00,10.91
06/04/2016,09:00:00,9.67
08/04/2016,13:00:00,17.47
08/04/2016,14:00:00,13.86
08/04/2016,15:00:00,21.36
08/04/2016,16:00:00,19.48
08/04/2016,17:00:00,18.70
08/04/2016,18:00:00,10.67
08/04/2016,19:00:00,21.14
08/04/2016,20:00:00,14.19
08/04/2016,21:00:00,51.99
08/04/2016,22:00:00,57.80
08/04/2016,23:00:00,22.81
09/04/2016,00:00:00,18.60
09/04/2016,01:00:00,47.91
09/04/2016,02:00:00,14.82
09/04/2016,03:00:00,18.04
09/04/2016,04:00:00,14.74
09/04/2016,05:00:00,2.51
09/04/2016,06:00:00,26.33
09/04/2016,07:00:00,21.04
09/04/2016,08:00:00,41.42
09/04/2016,09:00:00,27.63
09/04/2016,10:00:00,10.33
09/04/2016,11:00:00,12.17
09/04/2016,12:00:00,13.91
09/04/2016,13:00:00,12.65
09/04/2016,14:00:00,10.34
09/04/2016,15:00:00,9.57
09/04/2016,16:00:00,21.32
09/04/2016,17:00:00,13.00
09/04/2016,18:00:00,24.02
09/04/2016,19:00:00,48.09
09/04/2016,20:00:00,41.23
09/04/2016,21:00:00,21.23
09/04/2016,22:00:00,12.73
09/04/2016,23:00:00,10.19
10/04/2016,00:00:00,16.49
10/04/2016,01:00:00,9.93
10/04/2016,02:00:00,10.02
10/04/2016,03:00:00,7.88
10/04/2016,04:00:00,7.35
10/04/2016,05:00:00,7.69
10/04/2016,06:00:00,8.83
10/04/2016,07:00:00,16.99
10/04/2016,08:00:00,19.71
10/04/2016,09:00:00,11.41
10/04/2016,10:00:00,13.61
10/04/2016,11:00:00,13.51
10/04/2016,12:00:00,11.58
10/04/2016,13:00:00,13.10
10/04/2016,14:00:00,10.98
10/04/2016,15:00:00,5.69
10/04/2016,16:00:00,21.02
10/04/2016,17:00:00,13.57
10/04/2016,18:00:00,16.87
10/04/2016,19:00:00,13.59
10/04/2016,20:00:00,54.85
10/04/2016,21:00:00,29.39
10/04/2016,22:00:00,28.28
10/04/2016,23:00:00,17.50
11/04/2016,00:00:00,8.32
11/04/2016,01:00:00,10.16
11/04/2016,02:00:00,7.94
11/04/2016,03:00:00,10.45
11/04/2016,04:00:00,12.39
11/04/2016,05:00:00,12.47
11/04/2016,06:00:00,9.32
11/04/2016,07:00:00,15.75
11/04/2016,08:00:00,15.79
12/04/2016,10:00:00,9.91
12/04/2016,11:00:00,12.91
12/04/2016,12:00:00,15.70
12/04/2016,13:00:00,16.87
12/04/2016,14:00:00,12.09
12/04/2016,15:00:00,11.19
12/04/2016,16:00:00,10.62
12/04/2016,17:00:00,7.33
12/04/2016,18:00:00,15.29
12/04/2016,19:00:00,18.49
12/04/2016,20:00:00,23.96
12/04/2016,21:00:00,22.39
12/04/2016,22:00:00,12.12
12/04/2016,23:00:00,10.86
13/04/2016,10:00:00,11.28
13/04/2016,11:00:00,8.98
13/04/2016,12:00:00,12.17
18/04/2016,13:00:00,14.82
18/04/2016,14:00:00,15.26
18/04/2016,15:00:00,18.88
18/04/2016,16:00:00,19.35
18/04/2016,17:00:00,17.25
18/04/2016,18:00:00,24.66
18/04/2016,19:00:00,28.77
18/04/2016,20:00:00,47.30
18/04/2016,21:00:00,17.66
18/04/2016,22:00:00,10.25
18/04/2016,23:00:00,23.37
19/04/2016,00:00:00,32.38
19/04/2016,01:00:00,21.48
19/04/2016,02:00:00,29.07
19/04/2016,03:00:00,31.84
19/04/2016,04:00:00,20.81
19/04/2016,05:00:00,18.94
19/04/2016,06:00:00,27.80
19/04/2016,07:00:00,41.60
19/04/2016,08:00:00,32.20
19/04/2016,09:00:00,24.50
19/04/2016,10:00:00,36.54
19/04/2016,11:00:00,33.09
27/04/2016,10:00:00,29.21
27/04/2016,11:00:00,13.63
27/04/2016,12:00:00,13.28
27/04/2016,13:00:00,9.09
27/04/2016,14:00:00,13.17
27/04/2016,15:00:00,10.72
27/04/2016,16:00:00,11.60
27/04/2016,17:00:00,12.71
27/04/2016,18:00:00,13.34
27/04/2016,19:00:00,23.84
27/04/2016,20:00:00,25.26
27/04/2016,21:00:00,59.87
27/04/2016,22:00:00,39.90
27/04/2016,23:00:00,30.01
28/04/2016,00:00:00,18.82
28/04/2016,01:00:00,50.78
28/04/2016,02:00:00,16.09
28/04/2016,03:00:00,46.13
28/04/2016,04:00:00,37.79
28/04/2016,05:00:00,32.88
28/04/2016,06:00:00,48.56
28/04/2016,07:00:00,64.58
28/04/2016,08:00:00,45.48
28/04/2016,09:00:00,30.65
