Date,Time,Values
05/04/2016,12:00:00,19.05
05/04/2016,13:00:00,11.41
05/04/2016,14:00:00,9.42
05/04/2016,15:00:00,11.77
05/04/2016,16:00:00,8.93
05/04/2016,17:00:00,12.24
05/04/2016,18:00:00,14.25
05/04/2016,19:00:00,9.48
05/04/2016,20:00:00,16.33
05/04/2016,21:00:00,10.54
05/04/2016,22:00:00,9.32
05/04/2016,23:00:00,11.8
06/04/2016,00:00:00,11.34
06/04/2016,01:00:00,9.47
06/04/2016,02:00:00,9.62
06/04/2016,03:00:00,10.8
06/04/2016,04:00:00,8.88
06/04/2016,05:00:00,14.2
06/04/2016,06:00:00,13.26
06/04/2016,07:00:00,18.57
06/04/2016,08:00:00,20.15
08/04/2016,14:00:00,15.79
08/04/2016,15:00:00,19.41
08/04/2016,16:00:00,27.39
08/04/2016,17:00:00,19.2
08/04/2016,18:00:00,8.23
08/04/2016,19:00:00,18.79
08/04/2016,20:00:00,15.94
08/04/2016,21:00:00,13.45
08/04/2016,22:00:00,27.3
08/04/2016,23:00:00,23.92
09/04/2016,00:00:00,14.07
09/04/2016,01:00:00,5.21
09/04/2016,02:00:00,14.5
09/04/2016,03:00:00,5.56
09/04/2016,04:00:00,3.92
09/04/2016,05:00:00,72.32
09/04/2016,06:00:00,7.28
09/04/2016,07:00:00,2.75
09/04/2016,08:00:00,22.79
09/04/2016,09:00:00,15.99
09/04/2016,10:00:00,18.0
09/04/2016,11:00:00,9.37
09/04/2016,12:00:00,12.77
09/04/2016,13:00:00,14.54
09/04/2016,14:00:00,11.37
09/04/2016,15:00:00,7.51
09/04/2016,16:00:00,25.67
09/04/2016,17:00:00,11.41
09/04/2016,18:00:00,29.28
09/04/2016,19:00:00,55.59
09/04/2016,20:00:00,14.94
09/04/2016,21:00:00,12.92
09/04/2016,22:00:00,15.94
09/04/2016,23:00:00,14.43
10/04/2016,00:00:00,10.91
10/04/2016,01:00:00,10.32
10/04/2016,02:00:00,6.41
10/04/2016,03:00:00,7.83
10/04/2016,04:00:00,7.38
10/04/2016,05:00:00,10.03
10/04/2016,06:00:00,11.27
10/04/2016,07:00:00,12.53
10/04/2016,08:00:00,14.22
10/04/2016,09:00:00,18.86
10/04/2016,10:00:00,15.72
10/04/2016,11:00:00,10.59
10/04/2016,12:00:00,9.85
10/04/2016,13:00:00,19.67
10/04/2016,14:00:00,10.05
10/04/2016,15:00:00,20.78
10/04/2016,16:00:00,28.5
10/04/2016,17:00:00,10.07
10/04/2016,18:00:00,21.95
10/04/2016,19:00:00,51.88
10/04/2016,20:00:00,26.38
10/04/2016,21:00:00,70.0
10/04/2016,22:00:00,15.23
10/04/2016,23:00:00,10.54
11/04/2016,00:00:00,8.78
11/04/2016,01:00:00,7.55
11/04/2016,02:00:00,9.82
11/04/2016,03:00:00,10.43
11/04/2016,04:00:00,10.33
11/04/2016,05:00:00,8.51
11/04/2016,06:00:00,17.35
11/04/2016,07:00:00,14.96
11/04/2016,08:00:00,12.1
12/04/2016,10:00:00,12.48
12/04/2016,11:00:00,10.58
12/04/2016,12:00:00,14.34
12/04/2016,13:00:00,18.88
12/04/2016,14:00:00,14.43
12/04/2016,15:00:00,7.69
12/04/2016,16:00:00,10.11
12/04/2016,17:00:00,4.91
12/04/2016,18:00:00,17.74
12/04/2016,19:00:00,17.42
12/04/2016,20:00:00,14.94
12/04/2016,21:00:00,20.03
12/04/2016,22:00:00,23.0
12/04/2016,23:00:00,7.25
13/04/2016,10:00:00,11.02
13/04/2016,11:00:00,11.43
13/04/2016,12:00:00,9.1
18/04/2016,13:00:00,15.9
18/04/2016,14:00:00,18.35
18/04/2016,15:00:00,23.87
18/04/2016,16:00:00,21.46
18/04/2016,17:00:00,20.22
18/04/2016,18:00:00,42.78
18/04/2016,19:00:00,34.25
18/04/2016,20:00:00,33.89
18/04/2016,21:00:00,49.95
18/04/2016,22:00:00,37.28
18/04/2016,23:00:00,15.16
19/04/2016,00:00:00,23.26
19/04/2016,01:00:00,35.13
19/04/2016,02:00:00,59.37
19/04/2016,03:00:00,26.35
19/04/2016,04:00:00,30.49
19/04/2016,05:00:00,20.38
19/04/2016,06:00:00,21.43
19/04/2016,07:00:00,21.64
19/04/2016,08:00:00,10.01
19/04/2016,09:00:00,46.38
19/04/2016,10:00:00,47.36
27/04/2016,10:00:00,14.15
27/04/2016,11:00:00,12.74
27/04/2016,12:00:00,13.05
27/04/2016,13:00:00,10.88
27/04/2016,14:00:00,13.61
27/04/2016,15:00:00,11.47
27/04/2016,16:00:00,9.84
27/04/2016,17:00:00,11.41
27/04/2016,18:00:00,8.74
27/04/2016,19:00:00,29.33
27/04/2016,20:00:00,54.46
27/04/2016,21:00:00,29.7
27/04/2016,23:00:00,6.35
28/04/2016,00:00:00,69.82
28/04/2016,01:00:00,34.11
28/04/2016,02:00:00,41.13
28/04/2016,03:00:00,33.76
28/04/2016,04:00:00,11.4
28/04/2016,05:00:00,29.35
28/04/2016,06:00:00,11.77
28/04/2016,07:00:00,28.44
28/04/2016,08:00:00,31.8
28/04/2016,09:00:00,35.11
28/04/2016,10:00:00,20.62
07/06/2016,08:00:00,12.1
07/06/2016,09:00:00,9.84
07/06/2016,10:00:00,9.34
07/06/2016,11:00:00,9.14
07/06/2016,12:00:00,9.04
07/06/2016,13:00:00,9.04
07/06/2016,14:00:00,8.92
07/06/2016,15:00:00,9.82
07/06/2016,16:00:00,8.75
07/06/2016,17:00:00,7.38
07/06/2016,18:00:00,8.19
07/06/2016,19:00:00,17.17
07/06/2016,20:00:00,14.07
07/06/2016,21:00:00,14.36
07/06/2016,22:00:00,8.04
07/06/2016,23:00:00,10.65
08/06/2016,00:00:00,17.62
08/06/2016,01:00:00,15.46
08/06/2016,02:00:00,8.96
08/06/2016,03:00:00,25.62
08/06/2016,04:00:00,17.57
08/06/2016,05:00:00,19.8
08/06/2016,06:00:00,9.32
08/06/2016,07:00:00,12.54
08/06/2016,08:00:00,13.95
08/06/2016,09:00:00,11.28
08/06/2016,10:00:00,11.5
08/06/2016,11:00:00,9.1
08/06/2016,12:00:00,8.43
08/06/2016,13:00:00,9.64
08/06/2016,14:00:00,11.97
09/06/2016,08:00:00,3.5
09/06/2016,09:00:00,3.5
09/06/2016,10:00:00,3.5
09/06/2016,11:00:00,3.5
09/06/2016,12:00:00,3.5
09/06/2016,13:00:00,3.5
09/06/2016,14:00:00,3.5
09/06/2016,15:00:00,4.88
09/06/2016,16:00:00,15.64
09/06/2016,17:00:00,12.12
09/06/2016,18:00:00,11.41
09/06/2016,19:00:00,8.58
09/06/2016,20:00:00,13.66
09/06/2016,21:00:00,44.13
09/06/2016,22:00:00,27.09
