Date,Time,Values
01/01/2011,00:00:00,0.61
01/01/2011,01:00:00,-1.94
01/01/2011,02:00:00,-4.16
01/01/2011,03:00:00,-6.22
01/01/2011,04:00:00,-3.09
01/01/2011,05:00:00,-3.41
01/01/2011,06:00:00,-3.0
01/01/2011,07:00:00,-4.07
01/01/2011,08:00:00,-6.16
01/01/2011,09:00:00,-3.54
01/01/2011,10:00:00,-2.93
01/01/2011,11:00:00,-2.36
01/01/2011,12:00:00,-2.48
01/01/2011,13:00:00,-3.45
01/01/2011,14:00:00,-1.39
01/01/2011,15:00:00,-3.4
01/01/2011,16:00:00,-3.39
01/01/2011,17:00:00,-1.65
01/01/2011,18:00:00,-0.67
01/01/2011,19:00:00,-2.77
01/01/2011,20:00:00,-3.75
01/01/2011,21:00:00,-2.53
01/01/2011,22:00:00,-1.56
01/01/2011,23:00:00,-2.41
02/01/2011,00:00:00,-3.08
02/01/2011,01:00:00,-4.74
02/01/2011,02:00:00,-3.46
02/01/2011,03:00:00,-3.65
02/01/2011,04:00:00,-3.63
02/01/2011,05:00:00,-3.11
02/01/2011,06:00:00,-2.62
02/01/2011,07:00:00,-4.04
02/01/2011,08:00:00,-5.86
02/01/2011,09:00:00,-4.89
02/01/2011,10:00:00,-5.69
02/01/2011,11:00:00,-4.04
02/01/2011,12:00:00,-3.71
02/01/2011,13:00:00,-2.71
02/01/2011,14:00:00,-3.92
02/01/2011,15:00:00,-3.5
02/01/2011,16:00:00,-3.09
02/01/2011,17:00:00,-4.56
02/01/2011,18:00:00,-2.5
02/01/2011,19:00:00,-5.87
02/01/2011,20:00:00,-2.28
02/01/2011,21:00:00,-5.27
02/01/2011,22:00:00,-6.72
02/01/2011,23:00:00,-6.57
03/01/2011,00:00:00,-7.38
03/01/2011,01:00:00,-6.56
03/01/2011,02:00:00,-7.23
03/01/2011,03:00:00,-8.52
03/01/2011,04:00:00,-6.42
03/01/2011,05:00:00,-5.03
03/01/2011,06:00:00,-7.0
03/01/2011,07:00:00,-8.23
03/01/2011,08:00:00,-7.84
03/01/2011,09:00:00,-8.31
03/01/2011,10:00:00,-6.18
03/01/2011,11:00:00,-3.73
03/01/2011,12:00:00,-1.75
03/01/2011,13:00:00,-4.0
03/01/2011,14:00:00,-3.06
03/01/2011,15:00:00,-2.5
03/01/2011,16:00:00,-1.44
03/01/2011,17:00:00,-2.94
03/01/2011,18:00:00,-6.07
03/01/2011,19:00:00,-1.88
03/01/2011,20:00:00,-1.6
03/01/2011,21:00:00,-1.56
03/01/2011,22:00:00,-2.23
03/01/2011,23:00:00,3.57
04/01/2011,00:00:00,1.11
04/01/2011,01:00:00,0.54
04/01/2011,02:00:00,-0.74
04/01/2011,03:00:00,2.1
04/01/2011,04:00:00,3.19
04/01/2011,05:00:00,3.55
04/01/2011,06:00:00,6.75
04/01/2011,07:00:00,-0.48
04/01/2011,08:00:00,0.61
04/01/2011,09:00:00,-3.23
04/01/2011,10:00:00,-4.25
04/01/2011,11:00:00,-2.6
04/01/2011,12:00:00,-2.73
04/01/2011,13:00:00,-4.29
04/01/2011,14:00:00,-3.37
04/01/2011,15:00:00,-3.32
04/01/2011,16:00:00,-1.26
04/01/2011,17:00:00,-3.79
04/01/2011,18:00:00,-1.9
04/01/2011,19:00:00,-3.43
04/01/2011,20:00:00,-2.95
04/01/2011,21:00:00,-2.3
04/01/2011,22:00:00,-0.37
04/01/2011,23:00:00,-0.42
05/01/2011,00:00:00,0.12
05/01/2011,01:00:00,-2.77
05/01/2011,02:00:00,-4.25
05/01/2011,03:00:00,-1.01
05/01/2011,04:00:00,-1.18
05/01/2011,05:00:00,-2.77
05/01/2011,06:00:00,-0.76
05/01/2011,07:00:00,-1.43
05/01/2011,08:00:00,-0.99
05/01/2011,09:00:00,-0.58
05/01/2011,10:00:00,-2.63
05/01/2011,11:00:00,-1.74
05/01/2011,12:00:00,-3.03
05/01/2011,13:00:00,-2.0
05/01/2011,14:00:00,-0.94
05/01/2011,15:00:00,-0.09
05/01/2011,16:00:00,-0.49
05/01/2011,17:00:00,0.34
05/01/2011,18:00:00,-0.3
05/01/2011,19:00:00,-0.26
05/01/2011,20:00:00,3.23
05/01/2011,21:00:00,0.62
05/01/2011,22:00:00,2.05
05/01/2011,23:00:00,2.05
06/01/2011,00:00:00,4.1
06/01/2011,01:00:00,-0.2
06/01/2011,02:00:00,-0.23
06/01/2011,03:00:00,1.33
06/01/2011,04:00:00,0.73
06/01/2011,05:00:00,-2.01
06/01/2011,06:00:00,-0.77
06/01/2011,07:00:00,-1.04
06/01/2011,08:00:00,-1.22
06/01/2011,09:00:00,-1.02
06/01/2011,10:00:00,0.24
06/01/2011,11:00:00,0.28
06/01/2011,12:00:00,0.82
06/01/2011,13:00:00,-1.57
06/01/2011,14:00:00,1.36
06/01/2011,15:00:00,1.92
06/01/2011,16:00:00,2.33
06/01/2011,17:00:00,0.06
06/01/2011,18:00:00,3.08
06/01/2011,19:00:00,1.77
06/01/2011,20:00:00,3.21
06/01/2011,21:00:00,3.25
06/01/2011,22:00:00,6.53
06/01/2011,23:00:00,5.07
07/01/2011,00:00:00,-1.03
07/01/2011,01:00:00,-1.03
07/01/2011,02:00:00,-1.03
07/01/2011,03:00:00,-1.03
07/01/2011,04:00:00,-1.62
07/01/2011,05:00:00,4.41
07/01/2011,06:00:00,4.88
07/01/2011,07:00:00,2.54
07/01/2011,08:00:00,3.04
07/01/2011,09:00:00,2.56
07/01/2011,10:00:00,2.1
07/01/2011,11:00:00,1.35
07/01/2011,12:00:00,2.83
07/01/2011,13:00:00,2.28
07/01/2011,14:00:00,1.68
07/01/2011,15:00:00,3.1
07/01/2011,16:00:00,1.62
07/01/2011,17:00:00,4.17
07/01/2011,18:00:00,2.55
07/01/2011,19:00:00,7.25
07/01/2011,20:00:00,6.15
07/01/2011,21:00:00,13.87
07/01/2011,22:00:00,11.48
07/01/2011,23:00:00,10.64
08/01/2011,00:00:00,28.68
08/01/2011,01:00:00,45.09
08/01/2011,02:00:00,45.09
08/01/2011,03:00:00,45.09
08/01/2011,04:00:00,45.09
08/01/2011,05:00:00,45.09
08/01/2011,06:00:00,45.09
08/01/2011,07:00:00,45.09
08/01/2011,08:00:00,33.35
08/01/2011,09:00:00,-0.58
08/01/2011,10:00:00,-2.88
08/01/2011,11:00:00,-1.76
08/01/2011,12:00:00,-2.04
08/01/2011,13:00:00,-0.8
08/01/2011,14:00:00,-1.21
08/01/2011,15:00:00,-0.4
08/01/2011,16:00:00,-1.41
08/01/2011,17:00:00,-1.1
08/01/2011,18:00:00,0.63
08/01/2011,19:00:00,2.05
08/01/2011,20:00:00,1.57
08/01/2011,21:00:00,5.4
08/01/2011,22:00:00,6.46
08/01/2011,23:00:00,6.9
09/01/2011,00:00:00,6.9
09/01/2011,01:00:00,16.22
09/01/2011,02:00:00,-0.44
09/01/2011,03:00:00,-2.37
09/01/2011,04:00:00,-2.76
09/01/2011,05:00:00,-1.67
09/01/2011,06:00:00,-1.22
09/01/2011,07:00:00,-3.16
09/01/2011,08:00:00,-2.66
09/01/2011,09:00:00,-1.37
09/01/2011,10:00:00,-2.6
09/01/2011,11:00:00,-0.4
09/01/2011,12:00:00,-0.71
09/01/2011,13:00:00,-0.28
09/01/2011,14:00:00,0.94
09/01/2011,15:00:00,-0.4
09/01/2011,16:00:00,0.31
09/01/2011,17:00:00,0.68
09/01/2011,18:00:00,0.79
09/01/2011,19:00:00,2.56
09/01/2011,20:00:00,1.39
09/01/2011,21:00:00,3.76
09/01/2011,22:00:00,4.32
09/01/2011,23:00:00,2.44
10/01/2011,00:00:00,2.39
10/01/2011,01:00:00,3.01
10/01/2011,02:00:00,2.02
10/01/2011,03:00:00,0.33
10/01/2011,04:00:00,0.06
10/01/2011,05:00:00,1.51
10/01/2011,06:00:00,1.62
10/01/2011,07:00:00,-0.12
10/01/2011,08:00:00,-0.46
10/01/2011,09:00:00,-1.38
10/01/2011,10:00:00,-3.53
10/01/2011,11:00:00,-2.09
10/01/2011,12:00:00,-3.04
