Date,Time,Values
01/01/2011,00:00:00,987.53
01/01/2011,01:00:00,987.63
01/01/2011,02:00:00,987.61
01/01/2011,03:00:00,987.58
01/01/2011,04:00:00,987.64
01/01/2011,05:00:00,988.23
01/01/2011,06:00:00,988.79
01/01/2011,07:00:00,989.51
01/01/2011,08:00:00,990.28
01/01/2011,09:00:00,991.14
01/01/2011,10:00:00,991.38
01/01/2011,11:00:00,990.62
01/01/2011,12:00:00,989.65
01/01/2011,13:00:00,988.89
01/01/2011,14:00:00,988.21
01/01/2011,15:00:00,987.74
01/01/2011,16:00:00,987.43
01/01/2011,17:00:00,987.49
01/01/2011,18:00:00,987.82
01/01/2011,19:00:00,988.07
01/01/2011,20:00:00,988.30
01/01/2011,21:00:00,988.43
01/01/2011,22:00:00,988.41
01/01/2011,23:00:00,987.92
02/01/2011,00:00:00,987.52
02/01/2011,01:00:00,987.19
02/01/2011,02:00:00,986.77
02/01/2011,03:00:00,986.24
02/01/2011,04:00:00,986.02
02/01/2011,05:00:00,986.36
02/01/2011,06:00:00,986.98
02/01/2011,07:00:00,987.56
02/01/2011,08:00:00,988.61
02/01/2011,09:00:00,989.79
02/01/2011,10:00:00,990.25
02/01/2011,11:00:00,989.67
02/01/2011,12:00:00,988.77
02/01/2011,13:00:00,988.42
02/01/2011,14:00:00,988.41
02/01/2011,15:00:00,988.44
02/01/2011,16:00:00,988.73
02/01/2011,17:00:00,989.19
02/01/2011,18:00:00,989.97
02/01/2011,19:00:00,990.40
02/01/2011,20:00:00,990.76
02/01/2011,21:00:00,990.96
02/01/2011,22:00:00,990.74
02/01/2011,23:00:00,990.64
03/01/2011,00:00:00,990.13
03/01/2011,01:00:00,989.95
03/01/2011,02:00:00,989.77
03/01/2011,03:00:00,989.96
03/01/2011,04:00:00,990.02
03/01/2011,05:00:00,990.13
03/01/2011,06:00:00,990.66
03/01/2011,07:00:00,991.41
03/01/2011,08:00:00,992.02
03/01/2011,09:00:00,993.09
03/01/2011,10:00:00,993.42
03/01/2011,11:00:00,992.98
03/01/2011,12:00:00,992.33
03/01/2011,13:00:00,991.76
03/01/2011,14:00:00,991.31
03/01/2011,15:00:00,990.72
03/01/2011,16:00:00,990.48
03/01/2011,17:00:00,990.38
03/01/2011,18:00:00,990.82
03/01/2011,19:00:00,991.34
03/01/2011,20:00:00,991.70
03/01/2011,21:00:00,991.52
03/01/2011,22:00:00,991.43
03/01/2011,23:00:00,991.21
04/01/2011,00:00:00,991.05
04/01/2011,01:00:00,990.83
04/01/2011,02:00:00,990.70
04/01/2011,03:00:00,990.48
04/01/2011,04:00:00,990.41
04/01/2011,05:00:00,990.43
04/01/2011,06:00:00,990.98
04/01/2011,07:00:00,991.53
04/01/2011,08:00:00,992.24
04/01/2011,09:00:00,992.92
04/01/2011,10:00:00,992.82
04/01/2011,11:00:00,992.16
04/01/2011,12:00:00,991.46
04/01/2011,13:00:00,990.76
04/01/2011,14:00:00,990.04
04/01/2011,15:00:00,989.68
04/01/2011,16:00:00,989.45
04/01/2011,17:00:00,989.30
04/01/2011,18:00:00,989.52
04/01/2011,19:00:00,989.94
04/01/2011,20:00:00,990.22
04/01/2011,21:00:00,990.35
04/01/2011,22:00:00,990.35
04/01/2011,23:00:00,990.34
05/01/2011,00:00:00,990.17
05/01/2011,01:00:00,989.95
05/01/2011,02:00:00,989.65
05/01/2011,03:00:00,989.39
05/01/2011,04:00:00,989.11
05/01/2011,05:00:00,989.15
05/01/2011,06:00:00,989.73
05/01/2011,07:00:00,990.35
05/01/2011,08:00:00,990.85
05/01/2011,09:00:00,991.31
05/01/2011,10:00:00,991.43
05/01/2011,11:00:00,990.91
05/01/2011,12:00:00,989.83
05/01/2011,13:00:00,989.02
05/01/2011,14:00:00,988.53
05/01/2011,15:00:00,988.19
05/01/2011,16:00:00,988.16
05/01/2011,17:00:00,988.40
05/01/2011,18:00:00,988.75
05/01/2011,19:00:00,989.74
05/01/2011,20:00:00,990.16
05/01/2011,21:00:00,990.54
05/01/2011,22:00:00,990.75
05/01/2011,23:00:00,990.47
06/01/2011,00:00:00,990.28
06/01/2011,01:00:00,990.21
06/01/2011,02:00:00,990.04
06/01/2011,03:00:00,989.76
06/01/2011,04:00:00,989.77
06/01/2011,05:00:00,990.30
06/01/2011,06:00:00,990.91
06/01/2011,07:00:00,991.88
06/01/2011,08:00:00,993.03
06/01/2011,09:00:00,994.08
06/01/2011,10:00:00,993.92
06/01/2011,11:00:00,992.86
06/01/2011,12:00:00,991.74
06/01/2011,13:00:00,990.70
06/01/2011,14:00:00,989.87
06/01/2011,15:00:00,989.48
06/01/2011,16:00:00,989.25
06/01/2011,17:00:00,989.45
06/01/2011,18:00:00,989.66
06/01/2011,19:00:00,990.01
06/01/2011,20:00:00,990.19
06/01/2011,21:00:00,990.35
06/01/2011,22:00:00,990.35
06/01/2011,23:00:00,990.10
07/01/2011,00:00:00,989.75
07/01/2011,01:00:00,989.89
07/01/2011,02:00:00,989.74
07/01/2011,03:00:00,989.29
07/01/2011,04:00:00,989.09
07/01/2011,05:00:00,989.38
07/01/2011,06:00:00,989.85
07/01/2011,07:00:00,990.41
07/01/2011,08:00:00,991.05
07/01/2011,09:00:00,991.53
07/01/2011,10:00:00,991.24
07/01/2011,11:00:00,990.65
07/01/2011,12:00:00,989.54
07/01/2011,13:00:00,988.86
07/01/2011,14:00:00,988.28
07/01/2011,15:00:00,987.81
07/01/2011,16:00:00,987.56
07/01/2011,17:00:00,987.52
07/01/2011,18:00:00,987.82
07/01/2011,19:00:00,988.10
07/01/2011,20:00:00,988.35
07/01/2011,21:00:00,988.44
07/01/2011,22:00:00,988.23
07/01/2011,23:00:00,987.95
08/01/2011,00:00:00,987.68
08/01/2011,01:00:00,987.55
08/01/2011,02:00:00,987.27
08/01/2011,03:00:00,987.01
08/01/2011,04:00:00,986.93
08/01/2011,05:00:00,986.88
08/01/2011,06:00:00,987.30
