Date,Time,Values
01/01/2011,00:00:00,13.79
01/01/2011,01:00:00,17.29
01/01/2011,02:00:00,14.37
01/01/2011,03:00:00,9.75
01/01/2011,04:00:00,8.91
01/01/2011,05:00:00,3.34
01/01/2011,06:00:00,11.01
01/01/2011,07:00:00,4.97
01/01/2011,08:00:00,10.54
01/01/2011,09:00:00,7.59
01/01/2011,10:00:00,8.46
01/01/2011,11:00:00,8.00
01/01/2011,12:00:00,8.53
01/01/2011,13:00:00,10.36
01/01/2011,14:00:00,7.67
01/01/2011,15:00:00,9.93
01/01/2011,16:00:00,8.85
01/01/2011,17:00:00,7.41
01/01/2011,18:00:00,10.53
01/01/2011,19:00:00,9.58
01/01/2011,20:00:00,9.29
01/01/2011,21:00:00,7.91
01/01/2011,22:00:00,5.81
01/01/2011,23:00:00,5.81
02/01/2011,00:00:00,7.37
02/01/2011,01:00:00,4.37
02/01/2011,02:00:00,4.65
02/01/2011,03:00:00,9.13
02/01/2011,04:00:00,4.45
02/01/2011,05:00:00,6.45
02/01/2011,06:00:00,3.00
02/01/2011,07:00:00,4.92
02/01/2011,08:00:00,9.12
02/01/2011,09:00:00,4.34
02/01/2011,10:00:00,8.12
02/01/2011,11:00:00,6.07
02/01/2011,12:00:00,8.88
02/01/2011,13:00:00,4.09
02/01/2011,14:00:00,11.66
02/01/2011,15:00:00,13.65
02/01/2011,16:00:00,11.29
02/01/2011,17:00:00,11.07
02/01/2011,18:00:00,9.75
02/01/2011,19:00:00,10.02
02/01/2011,20:00:00,6.45
02/01/2011,21:00:00,9.26
02/01/2011,22:00:00,5.33
02/01/2011,23:00:00,13.38
03/01/2011,00:00:00,9.86
03/01/2011,01:00:00,11.56
03/01/2011,02:00:00,8.40
03/01/2011,03:00:00,13.79
03/01/2011,04:00:00,9.21
03/01/2011,05:00:00,5.34
03/01/2011,06:00:00,14.04
03/01/2011,07:00:00,12.43
03/01/2011,08:00:00,13.48
03/01/2011,09:00:00,14.78
03/01/2011,10:00:00,12.15
03/01/2011,11:00:00,11.99
03/01/2011,12:00:00,14.25
03/01/2011,13:00:00,13.90
03/01/2011,14:00:00,12.52
03/01/2011,15:00:00,17.05
03/01/2011,16:00:00,14.74
03/01/2011,17:00:00,17.23
03/01/2011,18:00:00,21.89
03/01/2011,19:00:00,21.04
03/01/2011,20:00:00,29.56
03/01/2011,21:00:00,29.60
03/01/2011,22:00:00,38.19
03/01/2011,23:00:00,44.29
04/01/2011,00:00:00,28.60
04/01/2011,01:00:00,29.22
04/01/2011,02:00:00,31.30
04/01/2011,03:00:00,29.30
04/01/2011,04:00:00,31.50
04/01/2011,05:00:00,28.68
04/01/2011,06:00:00,23.70
04/01/2011,07:00:00,21.59
04/01/2011,08:00:00,21.71
04/01/2011,09:00:00,19.02
04/01/2011,10:00:00,15.68
04/01/2011,11:00:00,14.93
04/01/2011,12:00:00,13.11
04/01/2011,13:00:00,13.64
04/01/2011,14:00:00,13.79
04/01/2011,15:00:00,8.74
04/01/2011,16:00:00,6.44
04/01/2011,17:00:00,7.02
04/01/2011,18:00:00,10.70
04/01/2011,19:00:00,12.14
04/01/2011,20:00:00,12.20
04/01/2011,21:00:00,16.52
04/01/2011,22:00:00,12.03
04/01/2011,23:00:00,9.87
05/01/2011,00:00:00,11.90
05/01/2011,01:00:00,16.40
05/01/2011,02:00:00,10.53
05/01/2011,03:00:00,14.39
05/01/2011,04:00:00,12.49
05/01/2011,05:00:00,12.86
05/01/2011,06:00:00,10.63
05/01/2011,07:00:00,12.74
05/01/2011,08:00:00,12.89
05/01/2011,09:00:00,19.09
05/01/2011,10:00:00,15.69
05/01/2011,11:00:00,12.91
05/01/2011,12:00:00,13.97
