Date,Time,Values
01/01/2011,00:00:00,40.72
01/01/2011,01:00:00,20.41
01/01/2011,02:00:00,17.69
01/01/2011,03:00:00,16.6
01/01/2011,04:00:00,16.14
01/01/2011,05:00:00,16.51
01/01/2011,06:00:00,12.76
01/01/2011,07:00:00,17.75
01/01/2011,08:00:00,13.56
01/01/2011,09:00:00,16.23
01/01/2011,10:00:00,16.03
01/01/2011,11:00:00,16.83
01/01/2011,12:00:00,15.63
01/01/2011,13:00:00,13.37
01/01/2011,14:00:00,16.49
01/01/2011,15:00:00,28.71
01/01/2011,16:00:00,21.98
01/01/2011,17:00:00,14.31
01/01/2011,18:00:00,14.81
01/01/2011,19:00:00,18.12
01/01/2011,20:00:00,14.49
01/01/2011,21:00:00,14.58
01/01/2011,22:00:00,11.02
01/01/2011,23:00:00,17.8
02/01/2011,00:00:00,12.56
02/01/2011,01:00:00,13.53
02/01/2011,02:00:00,15.34
02/01/2011,03:00:00,17.56
02/01/2011,04:00:00,15.17
02/01/2011,05:00:00,12.72
02/01/2011,06:00:00,12.63
02/01/2011,07:00:00,12.92
02/01/2011,08:00:00,11.88
02/01/2011,09:00:00,12.78
02/01/2011,10:00:00,12.93
02/01/2011,11:00:00,13.42
02/01/2011,12:00:00,12.59
02/01/2011,13:00:00,13.81
02/01/2011,14:00:00,17.74
02/01/2011,15:00:00,13.31
02/01/2011,16:00:00,14.58
02/01/2011,17:00:00,14.49
02/01/2011,18:00:00,12.6
02/01/2011,19:00:00,17.2
02/01/2011,20:00:00,14.65
02/01/2011,21:00:00,16.18
02/01/2011,22:00:00,12.53
02/01/2011,23:00:00,12.54
03/01/2011,00:00:00,17.26
03/01/2011,01:00:00,12.22
03/01/2011,02:00:00,13.13
03/01/2011,03:00:00,22.87
03/01/2011,04:00:00,12.3
03/01/2011,05:00:00,16.39
03/01/2011,06:00:00,19.36
03/01/2011,07:00:00,21.19
03/01/2011,08:00:00,21.78
03/01/2011,09:00:00,21.39
03/01/2011,10:00:00,22.05
03/01/2011,11:00:00,19.15
03/01/2011,12:00:00,18.32
03/01/2011,13:00:00,13.72
03/01/2011,14:00:00,15.26
03/01/2011,15:00:00,17.23
03/01/2011,16:00:00,18.14
03/01/2011,17:00:00,17.85
03/01/2011,18:00:00,26.48
03/01/2011,19:00:00,49.97
03/01/2011,20:00:00,73.26
03/01/2011,21:00:00,42.87
03/01/2011,22:00:00,63.53
03/01/2011,23:00:00,81.79
04/01/2011,00:00:00,71.37
04/01/2011,01:00:00,58.15
04/01/2011,02:00:00,106.85
04/01/2011,03:00:00,153.19
04/01/2011,04:00:00,230.68
04/01/2011,05:00:00,156.71
04/01/2011,06:00:00,83.31
04/01/2011,07:00:00,38.62
04/01/2011,08:00:00,45.48
04/01/2011,09:00:00,24.32
04/01/2011,10:00:00,16.04
04/01/2011,11:00:00,17.19
04/01/2011,12:00:00,15.03
04/01/2011,13:00:00,15.32
04/01/2011,14:00:00,14.75
04/01/2011,15:00:00,15.21
04/01/2011,16:00:00,14.7
04/01/2011,17:00:00,14.73
04/01/2011,18:00:00,16.53
04/01/2011,19:00:00,13.29
04/01/2011,20:00:00,15.11
04/01/2011,21:00:00,12.75
04/01/2011,22:00:00,15.15
04/01/2011,23:00:00,13.65
05/01/2011,00:00:00,13.13
05/01/2011,01:00:00,13.53
05/01/2011,02:00:00,18.7
05/01/2011,03:00:00,17.46
05/01/2011,04:00:00,12.67
05/01/2011,05:00:00,18.58
05/01/2011,06:00:00,20.5
05/01/2011,07:00:00,16.22
05/01/2011,08:00:00,15.13
05/01/2011,09:00:00,16.38
05/01/2011,10:00:00,17.98
05/01/2011,11:00:00,15.3
05/01/2011,12:00:00,18.28
05/01/2011,13:00:00,17.05
05/01/2011,14:00:00,17.5
05/01/2011,15:00:00,15.67
05/01/2011,16:00:00,24.3
05/01/2011,17:00:00,23.63
05/01/2011,18:00:00,26.69
05/01/2011,19:00:00,42.63
05/01/2011,20:00:00,32.04
05/01/2011,21:00:00,30.28
05/01/2011,22:00:00,14.7
05/01/2011,23:00:00,23.38
06/01/2011,00:00:00,31.99
06/01/2011,01:00:00,33.86
06/01/2011,02:00:00,14.69
06/01/2011,03:00:00,16.96
06/01/2011,04:00:00,13.36
06/01/2011,05:00:00,14.61
06/01/2011,06:00:00,13.3
06/01/2011,07:00:00,17.41
06/01/2011,08:00:00,18.76
06/01/2011,09:00:00,18.81
06/01/2011,10:00:00,20.81
06/01/2011,11:00:00,21.55
06/01/2011,12:00:00,20.22
06/01/2011,13:00:00,17.08
06/01/2011,14:00:00,27.45
06/01/2011,15:00:00,21.01
06/01/2011,16:00:00,22.57
06/01/2011,17:00:00,18.17
06/01/2011,18:00:00,32.64
06/01/2011,19:00:00,43.18
06/01/2011,20:00:00,53.26
06/01/2011,21:00:00,37.89
06/01/2011,22:00:00,41.44
06/01/2011,23:00:00,50.47
07/01/2011,00:00:00,74.63
07/01/2011,01:00:00,74.63
07/01/2011,02:00:00,74.63
07/01/2011,03:00:00,74.63
07/01/2011,04:00:00,54.93
07/01/2011,05:00:00,20.52
07/01/2011,06:00:00,18.25
07/01/2011,07:00:00,20.03
07/01/2011,08:00:00,27.9
07/01/2011,09:00:00,38.29
07/01/2011,10:00:00,46.67
07/01/2011,11:00:00,41.84
07/01/2011,12:00:00,31.92
07/01/2011,13:00:00,27.46
07/01/2011,14:00:00,27.05
07/01/2011,15:00:00,30.39
07/01/2011,16:00:00,27.46
07/01/2011,17:00:00,35.75
07/01/2011,18:00:00,22.05
07/01/2011,19:00:00,29.35
07/01/2011,20:00:00,35.57
07/01/2011,21:00:00,62.81
07/01/2011,22:00:00,83.8
07/01/2011,23:00:00,68.24
08/01/2011,00:00:00,45.23
08/01/2011,01:00:00,27.99
08/01/2011,02:00:00,27.99
08/01/2011,03:00:00,27.99
08/01/2011,04:00:00,27.99
08/01/2011,05:00:00,27.99
08/01/2011,06:00:00,27.99
08/01/2011,07:00:00,27.99
08/01/2011,08:00:00,30.63
08/01/2011,09:00:00,36.95
08/01/2011,10:00:00,39.19
08/01/2011,11:00:00,30.61
08/01/2011,12:00:00,23.9
08/01/2011,13:00:00,20.42
08/01/2011,14:00:00,20.46
