Date,Time,Values
01/01/2011,00:00:00,57.87
01/01/2011,01:00:00,43.43
01/01/2011,02:00:00,31.99
01/01/2011,03:00:00,20.09
01/01/2011,04:00:00,14.36
01/01/2011,05:00:00,20.95
01/01/2011,06:00:00,19.11
01/01/2011,07:00:00,17.60
01/01/2011,08:00:00,15.33
01/01/2011,09:00:00,30.12
01/01/2011,10:00:00,22.85
01/01/2011,11:00:00,17.30
01/01/2011,12:00:00,15.50
01/01/2011,13:00:00,17.48
01/01/2011,14:00:00,24.64
01/01/2011,15:00:00,25.85
01/01/2011,16:00:00,34.27
01/01/2011,17:00:00,30.20
01/01/2011,18:00:00,32.80
01/01/2011,19:00:00,33.78
01/01/2011,20:00:00,30.30
01/01/2011,21:00:00,22.00
01/01/2011,22:00:00,18.72
01/01/2011,23:00:00,15.79
02/01/2011,00:00:00,18.74
02/01/2011,01:00:00,17.97
02/01/2011,02:00:00,17.72
02/01/2011,03:00:00,32.51
02/01/2011,04:00:00,21.25
02/01/2011,05:00:00,13.69
02/01/2011,06:00:00,14.26
02/01/2011,07:00:00,14.06
02/01/2011,08:00:00,9.36
02/01/2011,09:00:00,11.78
02/01/2011,10:00:00,17.41
02/01/2011,11:00:00,11.66
02/01/2011,12:00:00,11.46
02/01/2011,13:00:00,14.67
02/01/2011,14:00:00,25.95
02/01/2011,15:00:00,29.05
02/01/2011,16:00:00,21.86
02/01/2011,17:00:00,17.43
02/01/2011,18:00:00,15.47
02/01/2011,19:00:00,17.02
02/01/2011,20:00:00,23.89
02/01/2011,21:00:00,26.51
02/01/2011,22:00:00,31.59
02/01/2011,23:00:00,25.28
03/01/2011,00:00:00,17.65
03/01/2011,01:00:00,11.66
03/01/2011,02:00:00,16.04
03/01/2011,03:00:00,35.44
03/01/2011,04:00:00,21.70
03/01/2011,05:00:00,15.56
03/01/2011,06:00:00,33.99
03/01/2011,07:00:00,54.31
03/01/2011,08:00:00,53.21
03/01/2011,09:00:00,58.37
03/01/2011,10:00:00,44.83
03/01/2011,11:00:00,29.07
