Date,Time,Values
01/01/2011,00:00:00,44.57
01/01/2011,01:00:00,44.94
01/01/2011,02:00:00,49.08
01/01/2011,03:00:00,64.59
01/01/2011,04:00:00,63.27
01/01/2011,05:00:00,53.74
01/01/2011,06:00:00,61.10
01/01/2011,07:00:00,43.61
01/01/2011,08:00:00,60.88
01/01/2011,09:00:00,69.07
01/01/2011,10:00:00,73.43
01/01/2011,11:00:00,82.40
01/01/2011,12:00:00,94.33
01/01/2011,13:00:00,106.30
01/01/2011,14:00:00,110.22
01/01/2011,15:00:00,89.37
01/01/2011,16:00:00,78.44
01/01/2011,17:00:00,64.25
01/01/2011,18:00:00,58.44
01/01/2011,19:00:00,53.35
01/01/2011,20:00:00,51.99
01/01/2011,21:00:00,51.98
01/01/2011,22:00:00,59.69
01/01/2011,23:00:00,58.68
02/01/2011,00:00:00,60.64
02/01/2011,01:00:00,58.54
02/01/2011,02:00:00,63.75
02/01/2011,03:00:00,61.69
02/01/2011,04:00:00,64.04
02/01/2011,05:00:00,71.27
02/01/2011,06:00:00,72.30
02/01/2011,07:00:00,76.71
02/01/2011,08:00:00,81.45
02/01/2011,09:00:00,77.70
02/01/2011,10:00:00,77.35
02/01/2011,11:00:00,81.15
02/01/2011,12:00:00,88.20
02/01/2011,13:00:00,87.97
02/01/2011,14:00:00,77.60
02/01/2011,15:00:00,71.30
02/01/2011,16:00:00,68.44
02/01/2011,17:00:00,68.88
02/01/2011,18:00:00,68.17
02/01/2011,19:00:00,64.95
02/01/2011,20:00:00,62.49
02/01/2011,21:00:00,56.81
02/01/2011,22:00:00,52.40
02/01/2011,23:00:00,49.79
03/01/2011,00:00:00,53.22
03/01/2011,01:00:00,60.02
03/01/2011,02:00:00,61.23
03/01/2011,03:00:00,42.40
03/01/2011,04:00:00,55.20
03/01/2011,05:00:00,56.05
03/01/2011,06:00:00,52.71
03/01/2011,07:00:00,43.78
03/01/2011,08:00:00,60.20
03/01/2011,09:00:00,73.18
03/01/2011,10:00:00,90.60
03/01/2011,11:00:00,104.22
03/01/2011,12:00:00,119.40
