Date,Time,Values
14/01/2011,00:00:00,319.80
14/01/2011,01:00:00,352.44
14/01/2011,02:00:00,329.24
14/01/2011,03:00:00,367.78
14/01/2011,04:00:00,423.83
14/01/2011,05:00:00,479.16
14/01/2011,06:00:00,469.80
14/01/2011,07:00:00,483.95
14/01/2011,08:00:00,477.85
14/01/2011,09:00:00,462.36
14/01/2011,10:00:00,431.68
14/01/2011,11:00:00,384.31
14/01/2011,12:00:00,337.82
14/01/2011,13:00:00,224.00
14/01/2011,14:00:00,223.52
14/01/2011,15:00:00,205.57
14/01/2011,16:00:00,185.97
14/01/2011,17:00:00,273.60
14/01/2011,18:00:00,295.80
14/01/2011,19:00:00,330.88
14/01/2011,20:00:00,315.17
14/01/2011,21:00:00,316.11
14/01/2011,22:00:00,315.92
14/01/2011,23:00:00,309.95
15/01/2011,00:00:00,311.52
15/01/2011,01:00:00,315.68
15/01/2011,02:00:00,301.06
15/01/2011,03:00:00,275.38
15/01/2011,04:00:00,297.12
15/01/2011,05:00:00,336.95
15/01/2011,06:00:00,398.02
15/01/2011,07:00:00,224.45
15/01/2011,08:00:00,127.08
15/01/2011,09:00:00,158.18
15/01/2011,10:00:00,183.99
15/01/2011,11:00:00,185.99
15/01/2011,12:00:00,208.47
15/01/2011,13:00:00,246.28
15/01/2011,14:00:00,479.04
15/01/2011,15:00:00,271.21
15/01/2011,16:00:00,235.08
15/01/2011,17:00:00,255.98
15/01/2011,18:00:00,287.25
15/01/2011,19:00:00,281.05
15/01/2011,20:00:00,273.11
15/01/2011,21:00:00,213.79
15/01/2011,22:00:00,243.57
15/01/2011,23:00:00,320.13
16/01/2011,00:00:00,369.66
16/01/2011,01:00:00,398.34
16/01/2011,02:00:00,426.27
16/01/2011,03:00:00,421.19
16/01/2011,04:00:00,381.49
16/01/2011,05:00:00,358.24
16/01/2011,06:00:00,364.42
16/01/2011,07:00:00,400.41
16/01/2011,08:00:00,356.23
16/01/2011,09:00:00,319.24
16/01/2011,10:00:00,234.53
16/01/2011,11:00:00,206.43
16/01/2011,12:00:00,332.70
16/01/2011,13:00:00,255.23
16/01/2011,14:00:00,133.41
16/01/2011,15:00:00,92.29
16/01/2011,16:00:00,76.61
16/01/2011,17:00:00,80.46
16/01/2011,18:00:00,90.77
16/01/2011,19:00:00,96.78
16/01/2011,20:00:00,81.77
16/01/2011,21:00:00,90.05
16/01/2011,22:00:00,130.48
16/01/2011,23:00:00,161.29
17/01/2011,00:00:00,206.54
17/01/2011,01:00:00,170.48
17/01/2011,02:00:00,112.00
17/01/2011,03:00:00,78.67
17/01/2011,04:00:00,71.81
17/01/2011,05:00:00,84.50
17/01/2011,06:00:00,186.71
17/01/2011,07:00:00,204.31
17/01/2011,08:00:00,128.16
17/01/2011,09:00:00,134.33
17/01/2011,10:00:00,125.59
17/01/2011,11:00:00,98.84
17/01/2011,12:00:00,127.96
17/01/2011,13:00:00,122.61
17/01/2011,14:00:00,128.24
17/01/2011,15:00:00,110.82
17/01/2011,16:00:00,114.44
17/01/2011,17:00:00,314.67
17/01/2011,18:00:00,202.32
17/01/2011,19:00:00,206.61
17/01/2011,20:00:00,301.41
17/01/2011,21:00:00,479.99
17/01/2011,22:00:00,492.16
17/01/2011,23:00:00,553.86
18/01/2011,00:00:00,460.56
18/01/2011,01:00:00,390.73
18/01/2011,02:00:00,304.65
18/01/2011,03:00:00,284.70
18/01/2011,04:00:00,295.71
18/01/2011,05:00:00,285.29
