Date,Time,Values
01/01/2011,00:00:00,100.00
01/01/2011,01:00:00,100.00
01/01/2011,02:00:00,100.00
01/01/2011,03:00:00,100.00
01/01/2011,04:00:00,100.00
01/01/2011,05:00:00,96.96
01/01/2011,06:00:00,96.86
01/01/2011,07:00:00,96.67
01/01/2011,08:00:00,98.53
01/01/2011,09:00:00,91.43
01/01/2011,10:00:00,83.12
01/01/2011,11:00:00,75.10
01/01/2011,12:00:00,70.06
01/01/2011,13:00:00,67.57
01/01/2011,14:00:00,65.61
01/01/2011,15:00:00,65.86
01/01/2011,16:00:00,74.05
01/01/2011,17:00:00,83.66
01/01/2011,18:00:00,90.67
01/01/2011,19:00:00,94.22
01/01/2011,20:00:00,95.68
01/01/2011,21:00:00,94.30
01/01/2011,22:00:00,93.33
01/01/2011,23:00:00,93.70
02/01/2011,00:00:00,93.17
02/01/2011,01:00:00,93.91
02/01/2011,02:00:00,93.72
02/01/2011,03:00:00,91.02
02/01/2011,04:00:00,89.91
02/01/2011,05:00:00,88.96
02/01/2011,06:00:00,88.93
02/01/2011,07:00:00,85.58
02/01/2011,08:00:00,82.58
02/01/2011,09:00:00,79.73
02/01/2011,10:00:00,75.37
02/01/2011,11:00:00,72.22
02/01/2011,12:00:00,69.68
02/01/2011,13:00:00,67.74
02/01/2011,14:00:00,70.07
02/01/2011,15:00:00,72.57
02/01/2011,16:00:00,74.26
02/01/2011,17:00:00,76.40
02/01/2011,18:00:00,76.66
02/01/2011,19:00:00,75.36
02/01/2011,20:00:00,74.75
02/01/2011,21:00:00,74.62
02/01/2011,22:00:00,75.84
02/01/2011,23:00:00,75.16
03/01/2011,00:00:00,75.16
03/01/2011,01:00:00,76.12
03/01/2011,02:00:00,75.57
03/01/2011,03:00:00,75.66
03/01/2011,04:00:00,75.97
03/01/2011,05:00:00,76.68
03/01/2011,06:00:00,76.52
03/01/2011,07:00:00,76.63
03/01/2011,08:00:00,73.65
03/01/2011,09:00:00,69.78
03/01/2011,10:00:00,65.49
03/01/2011,11:00:00,60.22
03/01/2011,12:00:00,58.25
03/01/2011,13:00:00,55.90
03/01/2011,14:00:00,56.88
03/01/2011,15:00:00,58.82
03/01/2011,16:00:00,61.67
03/01/2011,17:00:00,67.88
03/01/2011,18:00:00,72.64
03/01/2011,19:00:00,76.67
03/01/2011,20:00:00,78.09
03/01/2011,21:00:00,81.89
03/01/2011,22:00:00,84.59
03/01/2011,23:00:00,85.99
04/01/2011,00:00:00,87.23
04/01/2011,01:00:00,88.61
04/01/2011,02:00:00,89.75
04/01/2011,03:00:00,89.95
04/01/2011,04:00:00,92.68
04/01/2011,05:00:00,95.32
04/01/2011,06:00:00,96.16
