Date,Time,Values
01/01/2011,00:00:00,8.22
01/01/2011,01:00:00,7.30
01/01/2011,02:00:00,6.38
01/01/2011,03:00:00,3.91
01/01/2011,04:00:00,2.13
01/01/2011,05:00:00,4.20
01/01/2011,06:00:00,4.41
01/01/2011,07:00:00,3.49
01/01/2011,08:00:00,2.64
01/01/2011,09:00:00,2.90
01/01/2011,10:00:00,2.47
01/01/2011,11:00:00,5.67
01/01/2011,12:00:00,3.56
01/01/2011,13:00:00,7.55
01/01/2011,14:00:00,9.48
01/01/2011,15:00:00,8.08
01/01/2011,16:00:00,5.05
01/01/2011,17:00:00,4.01
01/01/2011,18:00:00,5.82
01/01/2011,19:00:00,6.25
01/01/2011,20:00:00,3.18
01/01/2011,21:00:00,6.48
01/01/2011,22:00:00,3.82
01/01/2011,23:00:00,2.57
02/01/2011,00:00:00,2.55
02/01/2011,01:00:00,5.07
02/01/2011,02:00:00,6.71
02/01/2011,03:00:00,6.16
02/01/2011,04:00:00,3.61
02/01/2011,05:00:00,2.84
02/01/2011,06:00:00,3.05
02/01/2011,07:00:00,3.08
02/01/2011,08:00:00,2.70
02/01/2011,09:00:00,2.74
02/01/2011,10:00:00,2.81
02/01/2011,11:00:00,3.07
02/01/2011,12:00:00,2.77
02/01/2011,13:00:00,4.49
02/01/2011,14:00:00,6.99
02/01/2011,15:00:00,3.90
02/01/2011,16:00:00,3.50
02/01/2011,17:00:00,2.46
02/01/2011,18:00:00,2.62
02/01/2011,19:00:00,3.52
02/01/2011,20:00:00,4.46
02/01/2011,21:00:00,2.63
02/01/2011,22:00:00,7.71
02/01/2011,23:00:00,29.69
03/01/2011,00:00:00,9.89
03/01/2011,01:00:00,2.82
03/01/2011,02:00:00,3.60
03/01/2011,03:00:00,9.44
03/01/2011,04:00:00,4.47
03/01/2011,05:00:00,4.04
03/01/2011,06:00:00,6.69
03/01/2011,07:00:00,16.31
03/01/2011,08:00:00,20.92
03/01/2011,09:00:00,20.42
03/01/2011,10:00:00,10.49
03/01/2011,11:00:00,5.64
03/01/2011,12:00:00,6.20
03/01/2011,13:00:00,6.89
03/01/2011,14:00:00,8.38
03/01/2011,15:00:00,6.66
03/01/2011,16:00:00,9.06
03/01/2011,17:00:00,29.36
03/01/2011,18:00:00,31.12
03/01/2011,19:00:00,12.85
03/01/2011,20:00:00,11.69
03/01/2011,21:00:00,32.51
03/01/2011,22:00:00,44.80
03/01/2011,23:00:00,36.81
04/01/2011,00:00:00,19.36
04/01/2011,01:00:00,14.50
04/01/2011,02:00:00,18.17
04/01/2011,03:00:00,17.62
04/01/2011,04:00:00,14.99
04/01/2011,05:00:00,10.30
04/01/2011,06:00:00,12.38
04/01/2011,07:00:00,8.69
04/01/2011,08:00:00,8.33
04/01/2011,09:00:00,15.12
04/01/2011,10:00:00,3.08
04/01/2011,11:00:00,3.60
04/01/2011,12:00:00,2.86
04/01/2011,13:00:00,2.79
04/01/2011,14:00:00,2.26
04/01/2011,15:00:00,2.20
04/01/2011,16:00:00,3.15
04/01/2011,17:00:00,2.20
04/01/2011,18:00:00,2.78
04/01/2011,19:00:00,2.72
04/01/2011,20:00:00,2.40
04/01/2011,21:00:00,2.95
04/01/2011,22:00:00,3.89
04/01/2011,23:00:00,3.07
05/01/2011,00:00:00,2.32
05/01/2011,01:00:00,4.07
05/01/2011,02:00:00,4.10
05/01/2011,03:00:00,2.17
05/01/2011,04:00:00,2.20
05/01/2011,05:00:00,3.80
05/01/2011,06:00:00,2.18
05/01/2011,07:00:00,4.13
05/01/2011,08:00:00,2.20
05/01/2011,09:00:00,2.06
05/01/2011,10:00:00,3.15
05/01/2011,11:00:00,3.12
05/01/2011,12:00:00,5.51
05/01/2011,13:00:00,6.38
05/01/2011,14:00:00,5.52
05/01/2011,15:00:00,7.19
05/01/2011,16:00:00,4.43
05/01/2011,17:00:00,3.39
05/01/2011,18:00:00,4.61
05/01/2011,19:00:00,6.65
05/01/2011,20:00:00,5.51
05/01/2011,21:00:00,6.32
05/01/2011,22:00:00,4.90
05/01/2011,23:00:00,7.47
06/01/2011,00:00:00,5.87
06/01/2011,01:00:00,3.97
06/01/2011,02:00:00,2.68
06/01/2011,03:00:00,2.55
06/01/2011,04:00:00,2.64
06/01/2011,05:00:00,2.50
06/01/2011,06:00:00,2.10
06/01/2011,07:00:00,2.57
06/01/2011,08:00:00,1.85
06/01/2011,09:00:00,3.11
06/01/2011,10:00:00,3.14
06/01/2011,11:00:00,3.80
06/01/2011,12:00:00,3.07
06/01/2011,13:00:00,7.99
06/01/2011,14:00:00,4.93
06/01/2011,15:00:00,5.57
06/01/2011,16:00:00,5.40
06/01/2011,17:00:00,6.14
06/01/2011,18:00:00,8.75
06/01/2011,19:00:00,9.26
06/01/2011,20:00:00,10.64
06/01/2011,21:00:00,5.61
06/01/2011,22:00:00,5.48
06/01/2011,23:00:00,8.12
07/01/2011,00:00:00,7.71
07/01/2011,01:00:00,6.32
07/01/2011,02:00:00,6.32
07/01/2011,03:00:00,6.32
07/01/2011,04:00:00,1.43
07/01/2011,05:00:00,2.18
07/01/2011,06:00:00,3.05
07/01/2011,07:00:00,1.86
07/01/2011,08:00:00,1.98
07/01/2011,09:00:00,2.29
07/01/2011,10:00:00,3.16
07/01/2011,11:00:00,4.36
07/01/2011,12:00:00,6.08
07/01/2011,13:00:00,6.31
07/01/2011,14:00:00,11.69
07/01/2011,15:00:00,18.60
07/01/2011,16:00:00,12.28
07/01/2011,17:00:00,8.06
07/01/2011,18:00:00,6.93
07/01/2011,19:00:00,7.42
07/01/2011,20:00:00,7.73
07/01/2011,21:00:00,26.42
07/01/2011,22:00:00,65.65
07/01/2011,23:00:00,22.76
08/01/2011,00:00:00,24.18
08/01/2011,01:00:00,8.32
08/01/2011,02:00:00,13.29
08/01/2011,03:00:00,13.29
08/01/2011,04:00:00,13.29
08/01/2011,05:00:00,13.29
08/01/2011,06:00:00,8.19
08/01/2011,07:00:00,6.26
08/01/2011,08:00:00,18.08
08/01/2011,09:00:00,2.91
08/01/2011,10:00:00,2.03
08/01/2011,11:00:00,3.18
08/01/2011,12:00:00,4.37
08/01/2011,13:00:00,5.06
08/01/2011,14:00:00,7.82
08/01/2011,15:00:00,12.74
08/01/2011,16:00:00,16.19
08/01/2011,17:00:00,16.15
08/01/2011,18:00:00,12.97
08/01/2011,19:00:00,7.73
08/01/2011,20:00:00,18.13
08/01/2011,21:00:00,19.52
08/01/2011,22:00:00,15.96
08/01/2011,23:00:00,5.13
09/01/2011,00:00:00,2.63
09/01/2011,01:00:00,3.64
09/01/2011,02:00:00,2.41
09/01/2011,03:00:00,1.72
09/01/2011,04:00:00,2.44
09/01/2011,05:00:00,2.60
09/01/2011,06:00:00,1.80
09/01/2011,07:00:00,1.60
09/01/2011,08:00:00,2.84
09/01/2011,09:00:00,2.15
09/01/2011,10:00:00,3.60
09/01/2011,11:00:00,2.40
09/01/2011,12:00:00,2.82
09/01/2011,13:00:00,4.57
09/01/2011,14:00:00,3.30
09/01/2011,15:00:00,3.72
09/01/2011,16:00:00,5.33
09/01/2011,17:00:00,4.45
09/01/2011,18:00:00,3.85
09/01/2011,19:00:00,3.39
09/01/2011,20:00:00,3.96
09/01/2011,21:00:00,5.08
09/01/2011,22:00:00,3.41
09/01/2011,23:00:00,4.85
10/01/2011,00:00:00,3.48
