Date,Time,Values
01/01/2011,00:00:00,11.49
01/01/2011,01:00:00,11.66
01/01/2011,02:00:00,11.58
01/01/2011,03:00:00,11.73
01/01/2011,04:00:00,11.23
01/01/2011,05:00:00,10.71
01/01/2011,06:00:00,10.52
01/01/2011,07:00:00,10.20
01/01/2011,08:00:00,10.26
01/01/2011,09:00:00,11.38
01/01/2011,10:00:00,12.18
01/01/2011,11:00:00,13.38
01/01/2011,12:00:00,14.83
01/01/2011,13:00:00,15.88
01/01/2011,14:00:00,16.43
01/01/2011,15:00:00,16.24
01/01/2011,16:00:00,15.16
01/01/2011,17:00:00,13.64
01/01/2011,18:00:00,12.15
01/01/2011,19:00:00,11.13
01/01/2011,20:00:00,10.50
01/01/2011,21:00:00,10.29
01/01/2011,22:00:00,10.01
01/01/2011,23:00:00,9.82
02/01/2011,00:00:00,9.50
02/01/2011,01:00:00,9.50
02/01/2011,02:00:00,9.71
02/01/2011,03:00:00,10.17
02/01/2011,04:00:00,10.52
02/01/2011,05:00:00,10.71
02/01/2011,06:00:00,10.77
02/01/2011,07:00:00,11.00
02/01/2011,08:00:00,11.33
02/01/2011,09:00:00,11.65
02/01/2011,10:00:00,12.09
02/01/2011,11:00:00,12.74
02/01/2011,12:00:00,13.45
02/01/2011,13:00:00,13.77
02/01/2011,14:00:00,13.41
02/01/2011,15:00:00,12.86
02/01/2011,16:00:00,12.46
02/01/2011,17:00:00,11.90
02/01/2011,18:00:00,11.87
02/01/2011,19:00:00,11.69
02/01/2011,20:00:00,11.59
02/01/2011,21:00:00,11.37
02/01/2011,22:00:00,10.96
02/01/2011,23:00:00,11.11
03/01/2011,00:00:00,11.02
03/01/2011,01:00:00,10.91
03/01/2011,02:00:00,10.90
03/01/2011,03:00:00,10.79
03/01/2011,04:00:00,10.49
03/01/2011,05:00:00,10.41
03/01/2011,06:00:00,9.93
03/01/2011,07:00:00,9.85
03/01/2011,08:00:00,10.15
03/01/2011,09:00:00,10.75
03/01/2011,10:00:00,11.53
03/01/2011,11:00:00,12.62
03/01/2011,12:00:00,13.53
03/01/2011,13:00:00,14.30
03/01/2011,14:00:00,14.68
03/01/2011,15:00:00,14.67
03/01/2011,16:00:00,14.15
03/01/2011,17:00:00,13.26
03/01/2011,18:00:00,12.34
03/01/2011,19:00:00,11.70
