Date,Time,Values
01/01/2011,00:00:00,44.17
01/01/2011,01:00:00,25.87
01/01/2011,02:00:00,18.58
01/01/2011,03:00:00,12.83
01/01/2011,04:00:00,12.25
01/01/2011,05:00:00,8.80
01/01/2011,06:00:00,12.90
01/01/2011,07:00:00,12.89
01/01/2011,08:00:00,18.38
01/01/2011,09:00:00,20.93
01/01/2011,10:00:00,20.11
01/01/2011,11:00:00,14.91
01/01/2011,12:00:00,15.61
01/01/2011,13:00:00,18.18
01/01/2011,14:00:00,9.88
01/01/2011,15:00:00,13.73
01/01/2011,16:00:00,22.62
01/01/2011,17:00:00,21.42
01/01/2011,18:00:00,34.66
01/01/2011,19:00:00,29.12
01/01/2011,20:00:00,23.90
01/01/2011,21:00:00,20.23
01/01/2011,22:00:00,14.60
01/01/2011,23:00:00,13.31
02/01/2011,00:00:00,14.13
02/01/2011,01:00:00,10.38
02/01/2011,02:00:00,7.58
02/01/2011,03:00:00,8.01
02/01/2011,04:00:00,9.31
02/01/2011,05:00:00,8.63
02/01/2011,06:00:00,8.83
02/01/2011,07:00:00,9.83
02/01/2011,08:00:00,9.78
02/01/2011,09:00:00,8.30
02/01/2011,10:00:00,10.50
02/01/2011,11:00:00,11.65
02/01/2011,12:00:00,12.92
02/01/2011,13:00:00,12.85
02/01/2011,14:00:00,13.34
02/01/2011,15:00:00,17.83
02/01/2011,16:00:00,16.47
02/01/2011,17:00:00,19.31
02/01/2011,18:00:00,19.29
02/01/2011,19:00:00,17.22
02/01/2011,20:00:00,18.78
02/01/2011,21:00:00,16.58
02/01/2011,22:00:00,14.97
02/01/2011,23:00:00,13.68
03/01/2011,00:00:00,12.05
03/01/2011,01:00:00,12.00
03/01/2011,02:00:00,13.48
03/01/2011,03:00:00,14.09
03/01/2011,04:00:00,11.93
03/01/2011,05:00:00,9.68
03/01/2011,06:00:00,11.38
03/01/2011,07:00:00,19.29
03/01/2011,08:00:00,22.60
03/01/2011,09:00:00,28.24
03/01/2011,10:00:00,24.79
03/01/2011,11:00:00,21.08
03/01/2011,12:00:00,23.41
03/01/2011,13:00:00,24.18
03/01/2011,14:00:00,21.13
03/01/2011,15:00:00,33.06
03/01/2011,16:00:00,41.54
03/01/2011,17:00:00,51.79
03/01/2011,18:00:00,74.94
03/01/2011,19:00:00,92.34
03/01/2011,20:00:00,126.11
03/01/2011,21:00:00,128.19
03/01/2011,22:00:00,144.07
03/01/2011,23:00:00,146.10
04/01/2011,00:00:00,94.19
04/01/2011,01:00:00,72.26
04/01/2011,02:00:00,86.07
04/01/2011,03:00:00,80.64
04/01/2011,04:00:00,91.64
04/01/2011,05:00:00,81.24
04/01/2011,06:00:00,63.93
04/01/2011,07:00:00,50.48
04/01/2011,08:00:00,60.09
04/01/2011,09:00:00,38.47
04/01/2011,10:00:00,21.85
04/01/2011,11:00:00,29.61
04/01/2011,12:00:00,26.63
04/01/2011,13:00:00,27.12
04/01/2011,14:00:00,21.23
04/01/2011,15:00:00,17.74
04/01/2011,16:00:00,15.14
04/01/2011,17:00:00,21.48
04/01/2011,18:00:00,21.94
04/01/2011,19:00:00,30.64
04/01/2011,20:00:00,31.93
04/01/2011,21:00:00,25.70
04/01/2011,22:00:00,22.29
04/01/2011,23:00:00,19.93
05/01/2011,00:00:00,18.29
05/01/2011,01:00:00,15.22
05/01/2011,02:00:00,15.81
05/01/2011,03:00:00,17.92
05/01/2011,04:00:00,17.40
05/01/2011,05:00:00,16.71
05/01/2011,06:00:00,14.16
05/01/2011,07:00:00,17.04
05/01/2011,08:00:00,22.24
05/01/2011,09:00:00,23.92
05/01/2011,10:00:00,21.37
05/01/2011,11:00:00,26.77
05/01/2011,12:00:00,27.64
05/01/2011,13:00:00,25.99
05/01/2011,14:00:00,22.42
05/01/2011,15:00:00,25.23
05/01/2011,16:00:00,24.75
05/01/2011,17:00:00,26.68
05/01/2011,18:00:00,47.79
05/01/2011,19:00:00,94.28
05/01/2011,20:00:00,109.35
05/01/2011,21:00:00,75.54
05/01/2011,22:00:00,44.14
05/01/2011,23:00:00,36.91
06/01/2011,00:00:00,40.89
06/01/2011,01:00:00,32.38
06/01/2011,02:00:00,23.27
06/01/2011,03:00:00,18.57
06/01/2011,04:00:00,17.18
06/01/2011,05:00:00,15.32
06/01/2011,06:00:00,12.59
06/01/2011,07:00:00,17.64
06/01/2011,08:00:00,24.00
06/01/2011,09:00:00,24.33
06/01/2011,10:00:00,34.01
06/01/2011,11:00:00,45.76
06/01/2011,12:00:00,51.30
06/01/2011,13:00:00,43.26
06/01/2011,14:00:00,42.83
06/01/2011,15:00:00,48.11
06/01/2011,16:00:00,33.84
06/01/2011,17:00:00,30.22
06/01/2011,18:00:00,54.17
06/01/2011,19:00:00,91.02
06/01/2011,20:00:00,87.17
06/01/2011,21:00:00,87.85
06/01/2011,22:00:00,74.06
06/01/2011,23:00:00,58.24
07/01/2011,00:00:00,56.61
07/01/2011,01:00:00,56.61
07/01/2011,02:00:00,56.61
07/01/2011,03:00:00,56.61
07/01/2011,04:00:00,43.57
07/01/2011,05:00:00,20.96
07/01/2011,06:00:00,26.04
07/01/2011,07:00:00,30.11
07/01/2011,08:00:00,35.37
07/01/2011,09:00:00,42.50
07/01/2011,10:00:00,44.14
07/01/2011,11:00:00,39.07
07/01/2011,12:00:00,43.51
07/01/2011,13:00:00,45.89
07/01/2011,14:00:00,45.41
07/01/2011,15:00:00,44.19
07/01/2011,16:00:00,41.56
07/01/2011,17:00:00,56.33
07/01/2011,18:00:00,90.19
07/01/2011,19:00:00,100.80
07/01/2011,20:00:00,73.28
07/01/2011,21:00:00,76.87
07/01/2011,22:00:00,124.92
07/01/2011,23:00:00,100.55
08/01/2011,00:00:00,74.57
08/01/2011,01:00:00,58.70
08/01/2011,02:00:00,60.20
08/01/2011,03:00:00,60.20
08/01/2011,04:00:00,60.20
08/01/2011,05:00:00,60.20
08/01/2011,06:00:00,60.20
08/01/2011,07:00:00,32.79
08/01/2011,08:00:00,35.07
08/01/2011,09:00:00,56.11
08/01/2011,10:00:00,59.82
08/01/2011,11:00:00,68.92
08/01/2011,12:00:00,63.83
08/01/2011,13:00:00,59.14
08/01/2011,14:00:00,56.50
08/01/2011,15:00:00,55.11
08/01/2011,16:00:00,69.86
08/01/2011,17:00:00,86.18
08/01/2011,18:00:00,113.42
08/01/2011,19:00:00,172.47
08/01/2011,20:00:00,153.08
08/01/2011,21:00:00,148.62
08/01/2011,22:00:00,106.07
08/01/2011,23:00:00,65.60
09/01/2011,00:00:00,46.00
09/01/2011,01:00:00,50.42
09/01/2011,02:00:00,54.35
09/01/2011,03:00:00,58.82
09/01/2011,04:00:00,52.98
09/01/2011,05:00:00,40.65
09/01/2011,06:00:00,28.58
09/01/2011,07:00:00,27.30
09/01/2011,08:00:00,32.05
09/01/2011,09:00:00,32.55
09/01/2011,10:00:00,33.75
09/01/2011,11:00:00,35.97
09/01/2011,12:00:00,39.55
09/01/2011,13:00:00,35.55
09/01/2011,14:00:00,35.54
09/01/2011,15:00:00,31.78
09/01/2011,16:00:00,43.42
09/01/2011,17:00:00,46.89
09/01/2011,18:00:00,56.62
09/01/2011,19:00:00,54.73
09/01/2011,20:00:00,48.82
09/01/2011,21:00:00,48.16
09/01/2011,22:00:00,37.15
09/01/2011,23:00:00,26.33
10/01/2011,00:00:00,23.81
10/01/2011,01:00:00,18.66
10/01/2011,02:00:00,19.88
10/01/2011,03:00:00,20.48
10/01/2011,04:00:00,15.79
10/01/2011,05:00:00,16.54
10/01/2011,06:00:00,14.28
10/01/2011,07:00:00,18.39
10/01/2011,08:00:00,19.51
10/01/2011,09:00:00,24.16
10/01/2011,10:00:00,25.87
10/01/2011,11:00:00,20.00
10/01/2011,12:00:00,19.64
10/01/2011,13:00:00,17.30
10/01/2011,14:00:00,12.48
10/01/2011,15:00:00,10.02
10/01/2011,16:00:00,12.74
10/01/2011,17:00:00,19.70
10/01/2011,18:00:00,31.99
10/01/2011,19:00:00,36.26
10/01/2011,20:00:00,40.87
10/01/2011,21:00:00,45.40
10/01/2011,22:00:00,31.23
10/01/2011,23:00:00,30.33
11/01/2011,00:00:00,40.17
11/01/2011,01:00:00,41.42
11/01/2011,02:00:00,31.91
11/01/2011,03:00:00,27.41
11/01/2011,04:00:00,32.80
11/01/2011,05:00:00,30.70
11/01/2011,06:00:00,27.22
11/01/2011,07:00:00,30.82
11/01/2011,08:00:00,26.17
11/01/2011,09:00:00,27.33
11/01/2011,10:00:00,24.29
11/01/2011,11:00:00,16.66
11/01/2011,12:00:00,9.05
11/01/2011,13:00:00,10.24
11/01/2011,14:00:00,12.03
11/01/2011,15:00:00,12.17
11/01/2011,16:00:00,11.79
11/01/2011,17:00:00,19.17
11/01/2011,18:00:00,29.06
11/01/2011,19:00:00,59.65
11/01/2011,20:00:00,60.37
11/01/2011,21:00:00,78.02
11/01/2011,22:00:00,89.46
11/01/2011,23:00:00,108.06
12/01/2011,00:00:00,120.66
12/01/2011,01:00:00,119.52
12/01/2011,02:00:00,120.76
12/01/2011,03:00:00,102.67
12/01/2011,04:00:00,77.72
12/01/2011,05:00:00,85.96
12/01/2011,06:00:00,90.17
12/01/2011,07:00:00,103.44
12/01/2011,08:00:00,83.78
12/01/2011,09:00:00,54.75
12/01/2011,10:00:00,31.57
12/01/2011,11:00:00,20.95
12/01/2011,12:00:00,17.36
12/01/2011,13:00:00,6.34
12/01/2011,14:00:00,10.92
12/01/2011,15:00:00,10.29
12/01/2011,16:00:00,12.07
12/01/2011,17:00:00,16.77
12/01/2011,18:00:00,49.79
12/01/2011,19:00:00,53.58
12/01/2011,20:00:00,61.79
12/01/2011,21:00:00,92.18
12/01/2011,22:00:00,166.75
12/01/2011,23:00:00,149.90
13/01/2011,00:00:00,134.42
13/01/2011,01:00:00,98.38
13/01/2011,02:00:00,75.06
13/01/2011,03:00:00,90.15
13/01/2011,04:00:00,120.95
13/01/2011,05:00:00,128.70
13/01/2011,06:00:00,115.79
13/01/2011,07:00:00,111.59
13/01/2011,08:00:00,62.39
13/01/2011,09:00:00,56.83
13/01/2011,10:00:00,46.59
13/01/2011,11:00:00,28.24
13/01/2011,12:00:00,19.81
13/01/2011,13:00:00,10.91
13/01/2011,14:00:00,9.81
13/01/2011,15:00:00,4.19
13/01/2011,16:00:00,10.29
13/01/2011,17:00:00,17.06
13/01/2011,18:00:00,49.40
13/01/2011,19:00:00,86.77
13/01/2011,20:00:00,128.73
13/01/2011,21:00:00,44.32
13/01/2011,22:00:00,39.50
13/01/2011,23:00:00,39.72
14/01/2011,00:00:00,38.49
14/01/2011,01:00:00,44.26
14/01/2011,02:00:00,34.67
14/01/2011,03:00:00,41.67
14/01/2011,04:00:00,56.51
14/01/2011,05:00:00,63.63
14/01/2011,06:00:00,64.98
14/01/2011,07:00:00,63.34
14/01/2011,08:00:00,47.98
14/01/2011,09:00:00,43.53
14/01/2011,10:00:00,41.90
14/01/2011,11:00:00,33.17
14/01/2011,12:00:00,23.40
14/01/2011,13:00:00,17.00
14/01/2011,14:00:00,13.46
14/01/2011,15:00:00,12.25
14/01/2011,16:00:00,14.19
14/01/2011,17:00:00,29.18
14/01/2011,18:00:00,37.68
14/01/2011,19:00:00,48.40
14/01/2011,20:00:00,42.73
14/01/2011,21:00:00,28.37
14/01/2011,22:00:00,28.06
14/01/2011,23:00:00,26.10
15/01/2011,00:00:00,24.54
15/01/2011,01:00:00,22.60
15/01/2011,02:00:00,19.97
15/01/2011,03:00:00,21.10
15/01/2011,04:00:00,21.07
15/01/2011,05:00:00,29.02
15/01/2011,06:00:00,34.88
15/01/2011,07:00:00,36.66
15/01/2011,08:00:00,22.79
15/01/2011,09:00:00,20.23
15/01/2011,10:00:00,11.35
15/01/2011,11:00:00,8.36
15/01/2011,12:00:00,4.99
15/01/2011,13:00:00,3.29
15/01/2011,14:00:00,4.50
15/01/2011,15:00:00,5.38
15/01/2011,16:00:00,5.37
15/01/2011,17:00:00,10.04
15/01/2011,18:00:00,25.09
15/01/2011,19:00:00,34.31
15/01/2011,20:00:00,35.35
15/01/2011,21:00:00,40.25
15/01/2011,22:00:00,28.03
15/01/2011,23:00:00,21.06
16/01/2011,00:00:00,19.47
16/01/2011,01:00:00,19.56
16/01/2011,02:00:00,17.19
16/01/2011,03:00:00,22.12
16/01/2011,04:00:00,15.41
16/01/2011,05:00:00,15.87
16/01/2011,06:00:00,18.34
16/01/2011,07:00:00,21.75
16/01/2011,08:00:00,19.50
16/01/2011,09:00:00,21.53
16/01/2011,10:00:00,19.42
16/01/2011,11:00:00,13.95
16/01/2011,12:00:00,7.65
16/01/2011,13:00:00,4.63
16/01/2011,14:00:00,5.44
16/01/2011,15:00:00,6.82
16/01/2011,16:00:00,8.38
16/01/2011,17:00:00,13.75
16/01/2011,18:00:00,19.43
16/01/2011,19:00:00,24.68
16/01/2011,20:00:00,29.20
16/01/2011,21:00:00,28.38
16/01/2011,22:00:00,32.38
16/01/2011,23:00:00,29.02
17/01/2011,00:00:00,29.78
17/01/2011,01:00:00,22.72
17/01/2011,02:00:00,20.98
17/01/2011,03:00:00,18.49
17/01/2011,04:00:00,17.08
17/01/2011,05:00:00,20.54
17/01/2011,06:00:00,24.78
17/01/2011,07:00:00,29.63
17/01/2011,08:00:00,27.89
17/01/2011,09:00:00,23.51
17/01/2011,10:00:00,16.86
17/01/2011,11:00:00,12.47
17/01/2011,12:00:00,8.67
17/01/2011,13:00:00,6.90
17/01/2011,14:00:00,5.21
17/01/2011,15:00:00,5.87
17/01/2011,16:00:00,6.86
17/01/2011,17:00:00,12.14
17/01/2011,18:00:00,28.27
17/01/2011,19:00:00,48.88
17/01/2011,20:00:00,65.76
17/01/2011,21:00:00,81.18
17/01/2011,22:00:00,59.49
17/01/2011,23:00:00,95.38
18/01/2011,00:00:00,127.56
18/01/2011,01:00:00,144.78
18/01/2011,02:00:00,91.53
18/01/2011,03:00:00,77.29
18/01/2011,04:00:00,85.70
18/01/2011,05:00:00,72.68
18/01/2011,06:00:00,82.11
18/01/2011,07:00:00,109.85
18/01/2011,08:00:00,82.17
18/01/2011,09:00:00,32.59
18/01/2011,10:00:00,19.10
18/01/2011,11:00:00,27.86
18/01/2011,12:00:00,8.15
18/01/2011,13:00:00,6.68
18/01/2011,14:00:00,11.26
18/01/2011,15:00:00,14.51
18/01/2011,16:00:00,12.35
18/01/2011,17:00:00,26.81
18/01/2011,18:00:00,46.75
18/01/2011,19:00:00,54.99
18/01/2011,20:00:00,84.49
18/01/2011,21:00:00,108.34
18/01/2011,22:00:00,84.20
18/01/2011,23:00:00,61.62
19/01/2011,00:00:00,49.24
19/01/2011,01:00:00,44.55
19/01/2011,02:00:00,40.68
19/01/2011,03:00:00,36.66
19/01/2011,04:00:00,32.44
19/01/2011,05:00:00,27.71
19/01/2011,06:00:00,37.05
19/01/2011,07:00:00,31.93
19/01/2011,08:00:00,29.47
19/01/2011,09:00:00,22.89
19/01/2011,10:00:00,21.60
19/01/2011,11:00:00,12.72
19/01/2011,12:00:00,9.04
19/01/2011,13:00:00,6.54
19/01/2011,14:00:00,8.35
19/01/2011,15:00:00,9.69
19/01/2011,16:00:00,7.75
19/01/2011,17:00:00,13.19
19/01/2011,18:00:00,22.45
19/01/2011,19:00:00,41.28
19/01/2011,20:00:00,41.01
19/01/2011,21:00:00,38.75
19/01/2011,22:00:00,33.15
19/01/2011,23:00:00,26.04
20/01/2011,00:00:00,38.88
20/01/2011,01:00:00,38.22
20/01/2011,02:00:00,32.06
20/01/2011,03:00:00,26.28
20/01/2011,04:00:00,29.04
20/01/2011,05:00:00,28.33
20/01/2011,06:00:00,24.40
20/01/2011,07:00:00,32.60
20/01/2011,08:00:00,30.80
20/01/2011,09:00:00,24.67
20/01/2011,10:00:00,18.82
20/01/2011,11:00:00,17.47
20/01/2011,12:00:00,20.50
20/01/2011,13:00:00,19.97
20/01/2011,14:00:00,16.80
20/01/2011,15:00:00,10.85
20/01/2011,16:00:00,10.14
20/01/2011,17:00:00,27.96
20/01/2011,18:00:00,35.50
20/01/2011,19:00:00,70.82
20/01/2011,20:00:00,115.29
20/01/2011,21:00:00,136.02
20/01/2011,22:00:00,154.29
20/01/2011,23:00:00,123.86
21/01/2011,00:00:00,114.56
21/01/2011,01:00:00,112.15
21/01/2011,02:00:00,127.94
21/01/2011,03:00:00,108.66
21/01/2011,04:00:00,106.49
21/01/2011,05:00:00,102.08
21/01/2011,06:00:00,105.42
21/01/2011,07:00:00,112.21
21/01/2011,08:00:00,104.98
21/01/2011,09:00:00,66.03
21/01/2011,10:00:00,34.01
21/01/2011,11:00:00,13.76
21/01/2011,12:00:00,10.46
21/01/2011,13:00:00,9.26
21/01/2011,14:00:00,5.50
