Date,Time,Values
01/01/2011,00:00:00,224.88
01/01/2011,01:00:00,254.50
01/01/2011,02:00:00,281.79
01/01/2011,03:00:00,282.09
01/01/2011,04:00:00,283.70
01/01/2011,05:00:00,303.81
01/01/2011,06:00:00,293.01
01/01/2011,07:00:00,320.78
01/01/2011,08:00:00,311.44
01/01/2011,09:00:00,292.22
01/01/2011,10:00:00,275.49
01/01/2011,11:00:00,273.29
01/01/2011,12:00:00,294.71
01/01/2011,13:00:00,296.63
01/01/2011,14:00:00,299.79
01/01/2011,15:00:00,298.19
01/01/2011,16:00:00,292.83
01/01/2011,17:00:00,286.12
01/01/2011,18:00:00,284.23
01/01/2011,19:00:00,295.85
01/01/2011,20:00:00,295.39
01/01/2011,21:00:00,305.03
01/01/2011,22:00:00,307.41
01/01/2011,23:00:00,294.58
02/01/2011,00:00:00,299.79
02/01/2011,01:00:00,291.74
02/01/2011,02:00:00,304.09
02/01/2011,03:00:00,293.34
02/01/2011,04:00:00,285.49
02/01/2011,05:00:00,280.11
02/01/2011,06:00:00,279.29
02/01/2011,07:00:00,286.81
02/01/2011,08:00:00,286.22
02/01/2011,09:00:00,277.35
02/01/2011,10:00:00,289.54
02/01/2011,11:00:00,300.57
02/01/2011,12:00:00,296.57
02/01/2011,13:00:00,303.36
02/01/2011,14:00:00,313.16
02/01/2011,15:00:00,323.81
02/01/2011,16:00:00,310.11
02/01/2011,17:00:00,314.45
02/01/2011,18:00:00,320.14
02/01/2011,19:00:00,331.27
02/01/2011,20:00:00,318.28
02/01/2011,21:00:00,331.47
02/01/2011,22:00:00,320.74
02/01/2011,23:00:00,318.50
03/01/2011,00:00:00,311.40
03/01/2011,01:00:00,324.24
03/01/2011,02:00:00,259.06
03/01/2011,03:00:00,283.58
03/01/2011,04:00:00,315.62
03/01/2011,05:00:00,322.35
03/01/2011,06:00:00,212.20
03/01/2011,07:00:00,273.60
03/01/2011,08:00:00,283.92
03/01/2011,09:00:00,256.44
03/01/2011,10:00:00,267.64
03/01/2011,11:00:00,239.23
03/01/2011,12:00:00,281.13
03/01/2011,13:00:00,307.23
03/01/2011,14:00:00,303.02
03/01/2011,15:00:00,295.63
03/01/2011,16:00:00,321.98
03/01/2011,17:00:00,94.18
03/01/2011,18:00:00,106.46
03/01/2011,19:00:00,280.50
03/01/2011,20:00:00,279.87
03/01/2011,21:00:00,194.03
