Date,Time,Values
01/01/2011,00:00:00,-1.74
01/01/2011,01:00:00,0.11
01/01/2011,02:00:00,3.29
01/01/2011,03:00:00,4.52
01/01/2011,04:00:00,1.78
01/01/2011,05:00:00,3.76
01/01/2011,06:00:00,2.48
01/01/2011,07:00:00,2.09
01/01/2011,08:00:00,3.04
01/01/2011,09:00:00,5.23
01/01/2011,10:00:00,5.11
01/01/2011,11:00:00,5.03
01/01/2011,12:00:00,5.78
01/01/2011,13:00:00,5.27
01/01/2011,14:00:00,6.14
01/01/2011,15:00:00,5.91
01/01/2011,16:00:00,4.08
01/01/2011,17:00:00,5.29
01/01/2011,18:00:00,3.62
01/01/2011,19:00:00,4.06
01/01/2011,20:00:00,3.77
01/01/2011,21:00:00,5.23
01/01/2011,22:00:00,5.18
01/01/2011,23:00:00,4.61
02/01/2011,00:00:00,4.86
02/01/2011,01:00:00,5.09
02/01/2011,02:00:00,4.35
02/01/2011,03:00:00,4.56
02/01/2011,04:00:00,6.39
02/01/2011,05:00:00,6.66
02/01/2011,06:00:00,6.79
02/01/2011,07:00:00,6.97
02/01/2011,08:00:00,5.65
02/01/2011,09:00:00,6.88
02/01/2011,10:00:00,6.17
02/01/2011,11:00:00,6.56
02/01/2011,12:00:00,5.83
02/01/2011,13:00:00,6.52
02/01/2011,14:00:00,5.86
02/01/2011,15:00:00,6.50
02/01/2011,16:00:00,6.80
02/01/2011,17:00:00,5.80
02/01/2011,18:00:00,6.33
02/01/2011,19:00:00,6.20
02/01/2011,20:00:00,6.29
02/01/2011,21:00:00,6.98
02/01/2011,22:00:00,7.99
02/01/2011,23:00:00,7.98
03/01/2011,00:00:00,6.82
03/01/2011,01:00:00,6.10
03/01/2011,02:00:00,6.64
03/01/2011,03:00:00,7.01
03/01/2011,04:00:00,7.65
03/01/2011,05:00:00,6.60
03/01/2011,06:00:00,6.86
03/01/2011,07:00:00,6.44
03/01/2011,08:00:00,7.55
03/01/2011,09:00:00,7.09
03/01/2011,10:00:00,6.42
03/01/2011,11:00:00,4.71
03/01/2011,12:00:00,6.48
03/01/2011,13:00:00,4.95
03/01/2011,14:00:00,5.85
03/01/2011,15:00:00,5.93
03/01/2011,16:00:00,5.49
03/01/2011,17:00:00,6.17
03/01/2011,18:00:00,7.73
03/01/2011,19:00:00,2.08
03/01/2011,20:00:00,0.55
03/01/2011,21:00:00,-1.27
03/01/2011,22:00:00,2.88
03/01/2011,23:00:00,-0.64
04/01/2011,00:00:00,-0.55
04/01/2011,01:00:00,1.95
04/01/2011,02:00:00,1.29
04/01/2011,03:00:00,-0.39
04/01/2011,04:00:00,-1.10
04/01/2011,05:00:00,0.79
04/01/2011,06:00:00,0.75
04/01/2011,07:00:00,0.60
04/01/2011,08:00:00,-0.08
04/01/2011,09:00:00,2.87
04/01/2011,10:00:00,5.18
04/01/2011,11:00:00,5.38
04/01/2011,12:00:00,5.01
04/01/2011,13:00:00,5.41
04/01/2011,14:00:00,6.42
04/01/2011,15:00:00,6.50
04/01/2011,16:00:00,4.93
04/01/2011,17:00:00,6.32
04/01/2011,18:00:00,5.48
04/01/2011,19:00:00,4.87
04/01/2011,20:00:00,6.32
04/01/2011,21:00:00,5.56
04/01/2011,22:00:00,6.57
04/01/2011,23:00:00,5.91
05/01/2011,00:00:00,7.24
05/01/2011,01:00:00,5.78
05/01/2011,02:00:00,5.27
05/01/2011,03:00:00,5.67
05/01/2011,04:00:00,5.36
05/01/2011,05:00:00,5.58
05/01/2011,06:00:00,6.17
05/01/2011,07:00:00,5.07
05/01/2011,08:00:00,5.24
05/01/2011,09:00:00,5.35
05/01/2011,10:00:00,6.58
05/01/2011,11:00:00,5.74
05/01/2011,12:00:00,6.15
05/01/2011,13:00:00,5.88
05/01/2011,14:00:00,5.53
05/01/2011,15:00:00,5.43
05/01/2011,16:00:00,5.68
05/01/2011,17:00:00,4.59
05/01/2011,18:00:00,4.04
05/01/2011,19:00:00,0.15
05/01/2011,20:00:00,-1.52
05/01/2011,21:00:00,0.56
05/01/2011,22:00:00,1.10
05/01/2011,23:00:00,1.56
06/01/2011,00:00:00,1.19
06/01/2011,01:00:00,1.65
06/01/2011,02:00:00,3.89
06/01/2011,03:00:00,3.85
06/01/2011,04:00:00,4.10
06/01/2011,05:00:00,4.82
06/01/2011,06:00:00,4.82
06/01/2011,07:00:00,4.87
06/01/2011,08:00:00,4.82
06/01/2011,09:00:00,4.00
06/01/2011,10:00:00,4.68
06/01/2011,11:00:00,3.05
06/01/2011,12:00:00,5.48
06/01/2011,13:00:00,5.83
06/01/2011,14:00:00,5.75
06/01/2011,15:00:00,5.19
06/01/2011,16:00:00,6.07
06/01/2011,17:00:00,4.43
06/01/2011,18:00:00,3.95
06/01/2011,19:00:00,-0.37
06/01/2011,20:00:00,0.51
06/01/2011,21:00:00,-1.15
06/01/2011,22:00:00,-0.02
06/01/2011,23:00:00,-2.40
07/01/2011,00:00:00,-2.17
07/01/2011,01:00:00,-2.17
07/01/2011,02:00:00,-2.17
07/01/2011,03:00:00,-2.17
07/01/2011,04:00:00,0.91
07/01/2011,05:00:00,0.82
07/01/2011,06:00:00,-2.15
07/01/2011,07:00:00,-0.69
07/01/2011,08:00:00,2.19
07/01/2011,09:00:00,2.15
07/01/2011,10:00:00,5.11
