Date,Time,Values
09/11/2015,13:00:00,29.67
09/11/2015,14:00:00,29.79
09/11/2015,16:00:00,28.60
09/11/2015,17:00:00,27.09
10/11/2015,11:00:00,27.96
10/11/2015,12:00:00,28.96
10/11/2015,13:00:00,29.46
10/11/2015,14:00:00,29.84
10/11/2015,15:00:00,29.56
10/11/2015,16:00:00,28.74
10/11/2015,17:00:00,25.65
10/11/2015,18:00:00,23.40
10/11/2015,19:00:00,22.82
10/11/2015,20:00:00,23.39
10/11/2015,21:00:00,23.19
10/11/2015,22:00:00,24.16
10/11/2015,23:00:00,24.01
11/11/2015,00:00:00,23.54
11/11/2015,01:00:00,23.10
11/11/2015,02:00:00,22.71
11/11/2015,03:00:00,22.43
11/11/2015,04:00:00,21.95
11/11/2015,05:00:00,21.25
11/11/2015,06:00:00,20.61
11/11/2015,07:00:00,20.66
11/11/2015,08:00:00,21.72
11/11/2015,09:00:00,23.37
11/11/2015,10:00:00,25.26
11/11/2015,11:00:00,27.33
11/11/2015,12:00:00,28.93
11/11/2015,13:00:00,29.38
11/11/2015,14:00:00,29.72
11/11/2015,15:00:00,29.54
11/11/2015,16:00:00,28.78
11/11/2015,17:00:00,27.49
11/11/2015,18:00:00,26.18
11/11/2015,19:00:00,25.55
11/11/2015,20:00:00,25.05
11/11/2015,21:00:00,24.44
11/11/2015,22:00:00,23.65
11/11/2015,23:00:00,23.18
12/11/2015,00:00:00,22.48
12/11/2015,01:00:00,21.77
12/11/2015,02:00:00,21.29
12/11/2015,03:00:00,20.76
12/11/2015,04:00:00,20.25
12/11/2015,05:00:00,19.80
12/11/2015,06:00:00,19.55
12/11/2015,07:00:00,20.32
12/11/2015,08:00:00,21.84
12/11/2015,09:00:00,23.61
12/11/2015,10:00:00,25.27
12/11/2015,11:00:00,26.78
12/11/2015,12:00:00,27.84
12/11/2015,13:00:00,28.80
12/11/2015,14:00:00,29.36
12/11/2015,15:00:00,29.41
12/11/2015,16:00:00,28.78
12/11/2015,17:00:00,27.48
12/11/2015,18:00:00,24.35
12/11/2015,19:00:00,24.16
12/11/2015,20:00:00,23.47
12/11/2015,21:00:00,21.52
12/11/2015,22:00:00,20.88
12/11/2015,23:00:00,21.67
13/11/2015,00:00:00,22.91
13/11/2015,01:00:00,22.71
13/11/2015,02:00:00,22.41
13/11/2015,03:00:00,21.81
13/11/2015,04:00:00,21.47
13/11/2015,05:00:00,20.85
13/11/2015,06:00:00,20.55
13/11/2015,07:00:00,20.46
13/11/2015,08:00:00,21.78
13/11/2015,09:00:00,23.38
13/11/2015,10:00:00,25.65
13/11/2015,11:00:00,27.70
13/11/2015,12:00:00,28.91
13/11/2015,13:00:00,29.63
13/11/2015,14:00:00,30.12
13/11/2015,15:00:00,30.04
13/11/2015,16:00:00,29.58
13/11/2015,17:00:00,28.30
13/11/2015,18:00:00,26.80
13/11/2015,19:00:00,26.57
