Date,Time,Values
09/11/2015,13:00:00,752.96
09/11/2015,14:00:00,752.96
09/11/2015,16:00:00,752.55
09/11/2015,17:00:00,752.15
10/11/2015,11:00:00,753.25
10/11/2015,12:00:00,753.32
10/11/2015,13:00:00,753.24
10/11/2015,14:00:00,753.00
10/11/2015,15:00:00,752.79
10/11/2015,16:00:00,752.85
10/11/2015,17:00:00,752.36
10/11/2015,18:00:00,752.46
10/11/2015,19:00:00,752.44
10/11/2015,20:00:00,752.40
10/11/2015,21:00:00,752.40
10/11/2015,22:00:00,752.38
10/11/2015,23:00:00,752.34
11/11/2015,00:00:00,752.29
11/11/2015,01:00:00,752.16
11/11/2015,02:00:00,751.86
11/11/2015,03:00:00,752.49
11/11/2015,04:00:00,752.61
11/11/2015,05:00:00,752.51
11/11/2015,06:00:00,752.42
11/11/2015,07:00:00,752.38
11/11/2015,08:00:00,752.66
11/11/2015,09:00:00,752.85
11/11/2015,10:00:00,753.06
11/11/2015,11:00:00,753.23
11/11/2015,12:00:00,753.28
11/11/2015,13:00:00,753.13
11/11/2015,14:00:00,752.68
11/11/2015,15:00:00,752.72
11/11/2015,16:00:00,752.59
11/11/2015,17:00:00,752.57
11/11/2015,18:00:00,752.46
11/11/2015,19:00:00,752.44
11/11/2015,20:00:00,752.53
11/11/2015,21:00:00,752.70
11/11/2015,22:00:00,752.70
11/11/2015,23:00:00,752.64
12/11/2015,00:00:00,752.63
12/11/2015,01:00:00,752.55
12/11/2015,02:00:00,752.53
12/11/2015,03:00:00,752.47
12/11/2015,04:00:00,752.46
12/11/2015,05:00:00,752.40
12/11/2015,06:00:00,752.40
12/11/2015,07:00:00,752.48
12/11/2015,08:00:00,752.76
12/11/2015,09:00:00,752.96
12/11/2015,10:00:00,753.09
12/11/2015,11:00:00,753.21
12/11/2015,12:00:00,753.22
12/11/2015,13:00:00,753.09
12/11/2015,14:00:00,752.68
12/11/2015,15:00:00,752.61
12/11/2015,16:00:00,752.63
12/11/2015,17:00:00,752.29
12/11/2015,18:00:00,751.82
12/11/2015,19:00:00,750.75
12/11/2015,20:00:00,751.07
12/11/2015,21:00:00,751.54
12/11/2015,22:00:00,751.01
12/11/2015,23:00:00,751.03
13/11/2015,00:00:00,751.11
