Date,Time,Values
01/01/2011,00:00:00,"2,884.09"
01/01/2011,01:00:00,"2,710.08"
01/01/2011,02:00:00,"2,598.80"
01/01/2011,03:00:00,"2,542.15"
01/01/2011,04:00:00,"2,516.54"
01/01/2011,05:00:00,"2,474.75"
01/01/2011,06:00:00,"2,563.65"
01/01/2011,07:00:00,"2,524.01"
01/01/2011,08:00:00,"2,425.31"
01/01/2011,09:00:00,"2,535.32"
01/01/2011,10:00:00,"2,502.55"
01/01/2011,11:00:00,"2,523.81"
01/01/2011,12:00:00,"2,596.45"
01/01/2011,13:00:00,"2,469.23"
01/01/2011,14:00:00,"2,471.44"
01/01/2011,15:00:00,"2,565.07"
01/01/2011,16:00:00,"2,653.80"
01/01/2011,17:00:00,"2,705.14"
01/01/2011,18:00:00,"2,830.66"
01/01/2011,19:00:00,"2,805.61"
01/01/2011,20:00:00,"2,743.29"
01/01/2011,21:00:00,"2,701.13"
01/01/2011,22:00:00,"2,624.84"
01/01/2011,23:00:00,"2,554.76"
02/01/2011,00:00:00,"2,412.66"
02/01/2011,01:00:00,"2,400.27"
02/01/2011,02:00:00,"2,354.81"
02/01/2011,03:00:00,"2,402.95"
02/01/2011,04:00:00,"2,398.87"
02/01/2011,05:00:00,"2,378.10"
02/01/2011,06:00:00,"2,443.45"
02/01/2011,07:00:00,"2,427.96"
02/01/2011,08:00:00,"2,438.81"
02/01/2011,09:00:00,"2,477.61"
02/01/2011,10:00:00,"2,472.13"
02/01/2011,11:00:00,"2,428.30"
02/01/2011,12:00:00,"2,465.54"
02/01/2011,13:00:00,"2,474.43"
02/01/2011,14:00:00,"2,422.29"
02/01/2011,15:00:00,"2,507.81"
02/01/2011,16:00:00,"2,551.73"
02/01/2011,17:00:00,"2,507.05"
02/01/2011,18:00:00,"2,537.10"
02/01/2011,19:00:00,"2,620.05"
02/01/2011,20:00:00,"2,634.23"
02/01/2011,21:00:00,"2,573.44"
02/01/2011,22:00:00,"2,542.98"
02/01/2011,23:00:00,"2,424.21"
03/01/2011,00:00:00,"2,586.97"
03/01/2011,01:00:00,"2,608.59"
03/01/2011,02:00:00,"2,555.43"
03/01/2011,03:00:00,"2,658.89"
03/01/2011,04:00:00,"2,658.99"
03/01/2011,05:00:00,"2,620.49"
03/01/2011,06:00:00,"2,482.00"
03/01/2011,07:00:00,"2,525.07"
03/01/2011,08:00:00,"2,470.65"
03/01/2011,09:00:00,"2,523.89"
03/01/2011,10:00:00,"2,530.68"
03/01/2011,11:00:00,"2,505.23"
03/01/2011,12:00:00,"2,641.40"
03/01/2011,13:00:00,"2,604.17"
03/01/2011,14:00:00,"2,532.24"
03/01/2011,15:00:00,"2,565.16"
03/01/2011,16:00:00,"2,569.29"
03/01/2011,17:00:00,"2,696.94"
03/01/2011,18:00:00,"3,047.58"
03/01/2011,19:00:00,"3,335.85"
