Date,Time,Values
01/01/2011,00:00:00,2.30
01/01/2011,01:00:00,1.45
01/01/2011,02:00:00,1.22
01/01/2011,03:00:00,NA
01/01/2011,04:00:00,1.32
01/01/2011,05:00:00,NA
01/01/2011,06:00:00,1.28
01/01/2011,07:00:00,NA
01/01/2011,08:00:00,1.05
01/01/2011,09:00:00,1.13
01/01/2011,10:00:00,1.12
01/01/2011,11:00:00,1.36
01/01/2011,12:00:00,1.78
01/01/2011,13:00:00,NA
01/01/2011,14:00:00,NA
01/01/2011,15:00:00,NA
01/01/2011,16:00:00,NA
01/01/2011,17:00:00,NA
01/01/2011,18:00:00,1.09
01/01/2011,19:00:00,1.76
01/01/2011,20:00:00,1.19
01/01/2011,21:00:00,NA
01/01/2011,22:00:00,NA
01/01/2011,23:00:00,NA
02/01/2011,00:00:00,NA
02/01/2011,01:00:00,NA
02/01/2011,02:00:00,NA
02/01/2011,03:00:00,NA
02/01/2011,04:00:00,NA
02/01/2011,05:00:00,NA
02/01/2011,06:00:00,NA
02/01/2011,07:00:00,NA
02/01/2011,08:00:00,NA
02/01/2011,09:00:00,NA
02/01/2011,10:00:00,NA
02/01/2011,11:00:00,NA
02/01/2011,12:00:00,NA
02/01/2011,13:00:00,NA
02/01/2011,14:00:00,NA
02/01/2011,15:00:00,NA
02/01/2011,16:00:00,NA
02/01/2011,17:00:00,NA
02/01/2011,18:00:00,1.12
02/01/2011,19:00:00,1.38
02/01/2011,20:00:00,1.67
02/01/2011,21:00:00,NA
02/01/2011,22:00:00,NA
02/01/2011,23:00:00,NA
03/01/2011,00:00:00,NA
03/01/2011,01:00:00,NA
03/01/2011,02:00:00,NA
03/01/2011,03:00:00,NA
03/01/2011,04:00:00,NA
03/01/2011,05:00:00,NA
03/01/2011,06:00:00,NA
03/01/2011,07:00:00,NA
03/01/2011,08:00:00,1.59
03/01/2011,09:00:00,1.66
03/01/2011,10:00:00,2.10
03/01/2011,11:00:00,1.50
03/01/2011,12:00:00,1.30
03/01/2011,13:00:00,NA
03/01/2011,14:00:00,NA
03/01/2011,15:00:00,NA
03/01/2011,16:00:00,NA
03/01/2011,17:00:00,NA
03/01/2011,18:00:00,1.86
03/01/2011,19:00:00,4.24
03/01/2011,20:00:00,5.66
03/01/2011,21:00:00,6.37
03/01/2011,22:00:00,2.82
03/01/2011,23:00:00,6.24
04/01/2011,00:00:00,2.59
04/01/2011,01:00:00,1.98
04/01/2011,02:00:00,7.11
04/01/2011,03:00:00,8.62
04/01/2011,04:00:00,5.34
04/01/2011,05:00:00,2.18
04/01/2011,06:00:00,5.46
04/01/2011,07:00:00,27.25
04/01/2011,08:00:00,13.77
04/01/2011,09:00:00,8.32
04/01/2011,10:00:00,NA
04/01/2011,11:00:00,1.04
04/01/2011,12:00:00,NA
04/01/2011,13:00:00,NA
04/01/2011,14:00:00,NA
04/01/2011,15:00:00,NA
04/01/2011,16:00:00,NA
04/01/2011,17:00:00,NA
04/01/2011,18:00:00,1.16
04/01/2011,19:00:00,1.15
04/01/2011,20:00:00,NA
04/01/2011,21:00:00,NA
04/01/2011,22:00:00,NA
04/01/2011,23:00:00,NA
05/01/2011,00:00:00,NA
05/01/2011,01:00:00,NA
05/01/2011,02:00:00,NA
05/01/2011,04:00:00,NA
05/01/2011,05:00:00,NA
05/01/2011,07:00:00,NA
05/01/2011,08:00:00,NA
05/01/2011,09:00:00,7.38
05/01/2011,10:00:00,1.69
05/01/2011,11:00:00,2.36
05/01/2011,12:00:00,1.54
05/01/2011,13:00:00,NA
05/01/2011,14:00:00,NA
05/01/2011,15:00:00,NA
05/01/2011,16:00:00,NA
05/01/2011,17:00:00,NA
05/01/2011,18:00:00,2.29
05/01/2011,19:00:00,5.60
05/01/2011,20:00:00,2.84
05/01/2011,21:00:00,4.01
05/01/2011,22:00:00,5.86
05/01/2011,23:00:00,5.57
