Date,Time,Values
01/01/2011,00:00:00,18.08
01/01/2011,01:00:00,15.66
01/01/2011,02:00:00,16.68
01/01/2011,03:00:00,12.88
01/01/2011,04:00:00,11.55
01/01/2011,05:00:00,10.66
01/01/2011,06:00:00,9.12
01/01/2011,07:00:00,8.58
01/01/2011,08:00:00,9.04
01/01/2011,09:00:00,10.21
01/01/2011,10:00:00,9.42
01/01/2011,11:00:00,10.57
01/01/2011,12:00:00,13.19
01/01/2011,13:00:00,9.83
01/01/2011,14:00:00,9.42
01/01/2011,15:00:00,9.99
01/01/2011,16:00:00,11.91
01/01/2011,17:00:00,15.02
01/01/2011,18:00:00,15.59
01/01/2011,19:00:00,14.14
01/01/2011,20:00:00,13.55
01/01/2011,21:00:00,11.03
01/01/2011,22:00:00,9.99
01/01/2011,23:00:00,8.36
02/01/2011,00:00:00,6.96
02/01/2011,01:00:00,7.27
02/01/2011,02:00:00,6.65
02/01/2011,03:00:00,7.28
02/01/2011,04:00:00,6.77
02/01/2011,05:00:00,6.22
02/01/2011,06:00:00,6.18
02/01/2011,07:00:00,6.65
02/01/2011,08:00:00,7.78
02/01/2011,09:00:00,8.90
02/01/2011,10:00:00,8.88
02/01/2011,11:00:00,9.34
02/01/2011,12:00:00,8.52
02/01/2011,13:00:00,7.93
02/01/2011,14:00:00,8.16
02/01/2011,15:00:00,9.67
02/01/2011,16:00:00,10.32
02/01/2011,17:00:00,10.40
02/01/2011,18:00:00,12.08
02/01/2011,19:00:00,14.84
02/01/2011,20:00:00,16.07
02/01/2011,21:00:00,13.50
02/01/2011,22:00:00,11.20
02/01/2011,23:00:00,8.95
03/01/2011,00:00:00,7.68
03/01/2011,01:00:00,7.72
03/01/2011,02:00:00,7.11
03/01/2011,03:00:00,8.14
03/01/2011,04:00:00,9.10
03/01/2011,05:00:00,10.54
03/01/2011,06:00:00,10.55
03/01/2011,07:00:00,11.50
03/01/2011,08:00:00,9.82
03/01/2011,09:00:00,10.28
03/01/2011,10:00:00,11.62
03/01/2011,11:00:00,10.58
03/01/2011,12:00:00,13.39
03/01/2011,13:00:00,14.24
03/01/2011,14:00:00,12.47
03/01/2011,15:00:00,11.57
03/01/2011,16:00:00,12.42
03/01/2011,17:00:00,19.81
03/01/2011,18:00:00,32.04
03/01/2011,19:00:00,39.59
03/01/2011,20:00:00,41.15
03/01/2011,21:00:00,38.34
03/01/2011,22:00:00,34.35
03/01/2011,23:00:00,40.28
04/01/2011,00:00:00,23.21
04/01/2011,01:00:00,18.97
04/01/2011,02:00:00,16.38
04/01/2011,03:00:00,12.62
04/01/2011,04:00:00,11.05
04/01/2011,05:00:00,11.00
04/01/2011,06:00:00,12.14
04/01/2011,07:00:00,14.79
04/01/2011,08:00:00,16.60
04/01/2011,09:00:00,18.31
04/01/2011,10:00:00,12.28
04/01/2011,11:00:00,10.21
04/01/2011,12:00:00,10.77
04/01/2011,13:00:00,10.16
04/01/2011,14:00:00,12.43
04/01/2011,15:00:00,13.54
04/01/2011,16:00:00,13.96
