Date,Time,Values
01/01/2011,00:00:00,923.65
01/01/2011,01:00:00,904.56
01/01/2011,02:00:00,917.15
01/01/2011,03:00:00,892.75
01/01/2011,04:00:00,894.07
01/01/2011,05:00:00,867.81
01/01/2011,06:00:00,884.04
01/01/2011,07:00:00,892.11
01/01/2011,08:00:00,861.51
01/01/2011,09:00:00,929.14
01/01/2011,10:00:00,929.74
01/01/2011,11:00:00,941.80
01/01/2011,12:00:00,917.15
01/01/2011,13:00:00,869.32
01/01/2011,14:00:00,865.34
01/01/2011,15:00:00,845.69
01/01/2011,16:00:00,887.13
01/01/2011,17:00:00,953.36
01/01/2011,18:00:00,"1,070.56"
01/01/2011,19:00:00,"1,053.08"
01/01/2011,20:00:00,"1,008.82"
01/01/2011,21:00:00,"1,092.74"
01/01/2011,22:00:00,"1,056.01"
01/01/2011,23:00:00,"1,023.64"
02/01/2011,00:00:00,853.05
02/01/2011,01:00:00,850.15
02/01/2011,02:00:00,845.74
02/01/2011,03:00:00,844.86
02/01/2011,04:00:00,837.62
02/01/2011,05:00:00,840.75
02/01/2011,06:00:00,852.74
02/01/2011,07:00:00,847.75
02/01/2011,08:00:00,882.93
02/01/2011,09:00:00,899.11
02/01/2011,10:00:00,914.23
02/01/2011,11:00:00,909.98
02/01/2011,12:00:00,907.90
02/01/2011,13:00:00,917.72
02/01/2011,14:00:00,908.50
02/01/2011,15:00:00,918.75
02/01/2011,16:00:00,948.18
02/01/2011,17:00:00,931.22
02/01/2011,18:00:00,920.63
02/01/2011,19:00:00,979.68
02/01/2011,20:00:00,990.64
02/01/2011,21:00:00,852.43
02/01/2011,22:00:00,806.61
02/01/2011,23:00:00,827.79
03/01/2011,00:00:00,909.76
03/01/2011,01:00:00,899.27
03/01/2011,02:00:00,880.38
03/01/2011,03:00:00,"1,015.78"
03/01/2011,04:00:00,"1,022.63"
03/01/2011,05:00:00,"1,043.77"
03/01/2011,06:00:00,886.25
03/01/2011,07:00:00,880.78
03/01/2011,08:00:00,874.67
03/01/2011,09:00:00,896.35
03/01/2011,10:00:00,890.03
03/01/2011,11:00:00,895.31
03/01/2011,12:00:00,955.26
03/01/2011,13:00:00,961.65
03/01/2011,14:00:00,968.18
03/01/2011,15:00:00,972.14
03/01/2011,16:00:00,967.16
03/01/2011,17:00:00,"1,065.12"
03/01/2011,18:00:00,"1,256.62"
03/01/2011,19:00:00,"1,398.12"
03/01/2011,20:00:00,"1,346.59"
03/01/2011,21:00:00,"1,478.38"
03/01/2011,22:00:00,"1,356.06"
03/01/2011,23:00:00,"1,355.72"
04/01/2011,00:00:00,977.35
04/01/2011,01:00:00,998.01
04/01/2011,02:00:00,959.35
04/01/2011,03:00:00,930.25
04/01/2011,04:00:00,907.68
04/01/2011,05:00:00,903.91
04/01/2011,06:00:00,"1,070.13"
04/01/2011,07:00:00,"1,146.93"
04/01/2011,08:00:00,"1,142.09"
04/01/2011,09:00:00,"1,283.55"
04/01/2011,10:00:00,"1,167.30"
04/01/2011,11:00:00,"1,082.37"
04/01/2011,12:00:00,935.78
04/01/2011,13:00:00,907.19
04/01/2011,14:00:00,940.76
04/01/2011,15:00:00,943.82
04/01/2011,16:00:00,945.51
04/01/2011,17:00:00,965.47
04/01/2011,18:00:00,"1,025.49"
04/01/2011,19:00:00,967.83
04/01/2011,20:00:00,969.48
04/01/2011,21:00:00,943.53
04/01/2011,22:00:00,921.90
04/01/2011,23:00:00,901.76
05/01/2011,00:00:00,865.36
05/01/2011,01:00:00,872.76
05/01/2011,02:00:00,868.56
05/01/2011,03:00:00,880.16
05/01/2011,04:00:00,892.33
05/01/2011,05:00:00,869.42
05/01/2011,06:00:00,850.76
05/01/2011,07:00:00,856.94
05/01/2011,08:00:00,882.27
05/01/2011,09:00:00,"1,011.05"
05/01/2011,10:00:00,931.01
05/01/2011,11:00:00,915.09
05/01/2011,12:00:00,"1,019.06"
05/01/2011,13:00:00,995.80
05/01/2011,14:00:00,997.05
05/01/2011,15:00:00,"1,055.47"
05/01/2011,16:00:00,"1,109.22"
05/01/2011,17:00:00,"1,128.26"
05/01/2011,18:00:00,"1,085.84"
05/01/2011,19:00:00,"1,169.86"
05/01/2011,20:00:00,"1,036.29"
05/01/2011,21:00:00,"1,008.85"
05/01/2011,22:00:00,"1,002.31"
05/01/2011,23:00:00,962.01
06/01/2011,00:00:00,909.43
06/01/2011,01:00:00,883.21
06/01/2011,02:00:00,868.87
06/01/2011,03:00:00,857.24
06/01/2011,04:00:00,865.14
06/01/2011,05:00:00,873.82
06/01/2011,06:00:00,876.65
06/01/2011,07:00:00,888.11
06/01/2011,08:00:00,996.40
06/01/2011,09:00:00,948.75
06/01/2011,10:00:00,994.25
06/01/2011,11:00:00,982.46
06/01/2011,12:00:00,957.80
06/01/2011,13:00:00,949.16
06/01/2011,14:00:00,931.10
06/01/2011,15:00:00,905.51
06/01/2011,16:00:00,963.75
06/01/2011,17:00:00,"1,130.85"
06/01/2011,18:00:00,"1,347.13"
06/01/2011,19:00:00,"1,334.35"
06/01/2011,20:00:00,"1,301.91"
06/01/2011,21:00:00,"1,405.09"
06/01/2011,22:00:00,"1,224.55"
06/01/2011,23:00:00,"1,096.24"
07/01/2011,00:00:00,913.10
07/01/2011,01:00:00,860.61
07/01/2011,02:00:00,879.49
07/01/2011,03:00:00,864.65
07/01/2011,04:00:00,862.54
07/01/2011,05:00:00,883.38
07/01/2011,06:00:00,894.71
07/01/2011,07:00:00,908.78
07/01/2011,08:00:00,964.20
07/01/2011,09:00:00,"1,029.07"
07/01/2011,10:00:00,"1,118.94"
07/01/2011,11:00:00,973.55
07/01/2011,12:00:00,"1,112.57"
07/01/2011,13:00:00,"1,207.86"
07/01/2011,14:00:00,"1,204.81"
07/01/2011,15:00:00,"1,158.38"
07/01/2011,16:00:00,"1,242.42"
07/01/2011,17:00:00,"1,118.34"
07/01/2011,18:00:00,"1,517.36"
07/01/2011,19:00:00,"1,732.15"
07/01/2011,20:00:00,"1,643.26"
07/01/2011,21:00:00,"1,479.33"
07/01/2011,22:00:00,"1,561.56"
07/01/2011,23:00:00,"1,331.73"
08/01/2011,00:00:00,"1,099.76"
08/01/2011,01:00:00,"1,009.61"
08/01/2011,02:00:00,940.08
08/01/2011,03:00:00,"1,118.42"
08/01/2011,04:00:00,"1,112.33"
08/01/2011,05:00:00,"1,086.98"
08/01/2011,06:00:00,948.22
08/01/2011,07:00:00,956.15
08/01/2011,08:00:00,992.06
08/01/2011,09:00:00,"1,092.28"
08/01/2011,10:00:00,"1,113.96"
08/01/2011,11:00:00,"1,113.20"
08/01/2011,12:00:00,"1,148.31"
08/01/2011,13:00:00,"1,138.86"
08/01/2011,14:00:00,"1,122.36"
08/01/2011,15:00:00,"1,131.84"
08/01/2011,16:00:00,"1,172.37"
08/01/2011,17:00:00,"1,402.82"
08/01/2011,18:00:00,"1,361.73"
08/01/2011,19:00:00,"1,559.26"
08/01/2011,20:00:00,"1,652.30"
08/01/2011,21:00:00,"2,236.63"
08/01/2011,22:00:00,"2,521.81"
08/01/2011,23:00:00,"2,486.09"
09/01/2011,00:00:00,"1,271.95"
09/01/2011,01:00:00,"1,047.54"
09/01/2011,02:00:00,933.57
09/01/2011,03:00:00,931.40
09/01/2011,04:00:00,917.28
09/01/2011,05:00:00,892.50
09/01/2011,06:00:00,959.31
09/01/2011,07:00:00,972.20
09/01/2011,08:00:00,994.60
09/01/2011,09:00:00,"1,110.71"
09/01/2011,10:00:00,"1,160.78"
09/01/2011,11:00:00,"1,144.62"
09/01/2011,12:00:00,"1,071.93"
09/01/2011,13:00:00,"1,040.66"
09/01/2011,14:00:00,990.66
09/01/2011,15:00:00,986.84
09/01/2011,16:00:00,"1,002.43"
09/01/2011,17:00:00,"1,040.58"
09/01/2011,18:00:00,"1,001.63"
09/01/2011,19:00:00,"1,004.01"
09/01/2011,20:00:00,"1,001.50"
09/01/2011,21:00:00,998.03
09/01/2011,22:00:00,934.02
09/01/2011,23:00:00,918.92
10/01/2011,00:00:00,880.65
10/01/2011,01:00:00,887.66
10/01/2011,02:00:00,883.87
10/01/2011,03:00:00,907.38
10/01/2011,04:00:00,887.54
10/01/2011,05:00:00,889.08
10/01/2011,06:00:00,874.27
10/01/2011,07:00:00,908.83
10/01/2011,08:00:00,911.37
10/01/2011,09:00:00,862.71
10/01/2011,10:00:00,885.46
10/01/2011,11:00:00,923.03
10/01/2011,12:00:00,"1,023.74"
10/01/2011,13:00:00,"1,021.88"
10/01/2011,14:00:00,996.63
10/01/2011,15:00:00,"1,025.61"
10/01/2011,16:00:00,"1,058.19"
10/01/2011,17:00:00,"1,104.31"
10/01/2011,18:00:00,"1,262.17"
10/01/2011,19:00:00,"1,329.88"
10/01/2011,20:00:00,"1,301.24"
10/01/2011,21:00:00,"1,163.54"
10/01/2011,22:00:00,"1,046.64"
10/01/2011,23:00:00,939.20
11/01/2011,00:00:00,3.19
11/01/2011,13:00:00,480.36
11/01/2011,14:00:00,960.76
11/01/2011,15:00:00,"1,001.11"
11/01/2011,16:00:00,"1,052.54"
11/01/2011,17:00:00,"1,180.31"
11/01/2011,18:00:00,"1,466.89"
11/01/2011,19:00:00,"1,886.59"
11/01/2011,20:00:00,"1,891.54"
11/01/2011,21:00:00,"2,725.99"
11/01/2011,22:00:00,"3,027.36"
11/01/2011,23:00:00,"2,713.47"
12/01/2011,00:00:00,"2,238.41"
12/01/2011,01:00:00,"1,580.33"
12/01/2011,02:00:00,"1,365.78"
12/01/2011,03:00:00,"1,476.68"
12/01/2011,04:00:00,"1,629.90"
12/01/2011,05:00:00,"1,693.28"
12/01/2011,06:00:00,"2,087.36"
12/01/2011,07:00:00,"2,180.53"
12/01/2011,08:00:00,"2,049.12"
12/01/2011,09:00:00,"1,832.98"
12/01/2011,10:00:00,"1,727.13"
12/01/2011,11:00:00,"1,399.13"
12/01/2011,12:00:00,"1,123.81"
12/01/2011,13:00:00,"1,089.06"
12/01/2011,14:00:00,"1,032.55"
12/01/2011,15:00:00,"1,023.73"
12/01/2011,16:00:00,"1,111.04"
12/01/2011,17:00:00,"1,273.68"
12/01/2011,18:00:00,"1,553.18"
12/01/2011,19:00:00,"2,187.45"
12/01/2011,20:00:00,"2,116.60"
12/01/2011,21:00:00,"3,184.96"
12/01/2011,22:00:00,"3,898.18"
