Date,Time,Values
01/01/2011,00:00:00,12.11
01/01/2011,01:00:00,10.16
01/01/2011,02:00:00,10.52
01/01/2011,03:00:00,8.07
01/01/2011,04:00:00,7.90
01/01/2011,05:00:00,7.18
01/01/2011,06:00:00,6.60
01/01/2011,07:00:00,5.59
01/01/2011,08:00:00,6.37
01/01/2011,09:00:00,7.05
01/01/2011,10:00:00,6.63
01/01/2011,11:00:00,7.42
01/01/2011,12:00:00,9.13
01/01/2011,13:00:00,6.41
01/01/2011,14:00:00,6.09
01/01/2011,15:00:00,6.49
01/01/2011,16:00:00,7.44
01/01/2011,17:00:00,9.27
01/01/2011,18:00:00,9.84
01/01/2011,19:00:00,9.61
01/01/2011,20:00:00,8.85
01/01/2011,21:00:00,7.04
01/01/2011,22:00:00,6.36
01/01/2011,23:00:00,5.37
02/01/2011,00:00:00,4.52
02/01/2011,01:00:00,4.61
02/01/2011,02:00:00,4.30
02/01/2011,03:00:00,4.59
02/01/2011,04:00:00,4.34
02/01/2011,05:00:00,4.02
02/01/2011,06:00:00,3.91
02/01/2011,07:00:00,4.21
02/01/2011,08:00:00,5.06
02/01/2011,09:00:00,5.78
02/01/2011,10:00:00,5.96
02/01/2011,11:00:00,6.16
02/01/2011,12:00:00,5.48
02/01/2011,13:00:00,5.30
02/01/2011,14:00:00,5.21
02/01/2011,15:00:00,6.32
02/01/2011,16:00:00,6.65
02/01/2011,17:00:00,6.61
02/01/2011,18:00:00,8.02
02/01/2011,19:00:00,9.67
02/01/2011,20:00:00,10.54
02/01/2011,21:00:00,8.60
02/01/2011,22:00:00,6.93
02/01/2011,23:00:00,5.45
03/01/2011,00:00:00,4.74
03/01/2011,01:00:00,4.86
03/01/2011,02:00:00,4.51
03/01/2011,03:00:00,5.22
03/01/2011,04:00:00,5.66
03/01/2011,05:00:00,6.42
03/01/2011,06:00:00,6.43
03/01/2011,07:00:00,7.38
03/01/2011,08:00:00,7.21
03/01/2011,09:00:00,7.51
03/01/2011,10:00:00,8.56
03/01/2011,11:00:00,7.54
03/01/2011,12:00:00,8.85
03/01/2011,13:00:00,8.68
03/01/2011,14:00:00,7.33
03/01/2011,15:00:00,6.87
03/01/2011,16:00:00,7.35
03/01/2011,17:00:00,11.69
03/01/2011,18:00:00,19.07
03/01/2011,19:00:00,24.92
03/01/2011,20:00:00,26.85
03/01/2011,21:00:00,25.97
03/01/2011,22:00:00,21.03
03/01/2011,23:00:00,26.88
04/01/2011,00:00:00,15.03
04/01/2011,01:00:00,12.31
04/01/2011,02:00:00,15.07
04/01/2011,03:00:00,14.30
04/01/2011,04:00:00,10.86
04/01/2011,05:00:00,8.30
04/01/2011,06:00:00,11.53
04/01/2011,07:00:00,30.34
04/01/2011,08:00:00,20.51
04/01/2011,09:00:00,17.02
04/01/2011,10:00:00,7.98
04/01/2011,11:00:00,6.98
04/01/2011,12:00:00,7.04
04/01/2011,13:00:00,6.37
04/01/2011,14:00:00,8.09
04/01/2011,15:00:00,8.51
04/01/2011,16:00:00,8.69
04/01/2011,17:00:00,9.71
04/01/2011,18:00:00,10.53
04/01/2011,19:00:00,9.46
