Date,Time,Values
01/01/2012,12:00:00,218.24
01/01/2012,13:00:00,147.18
01/01/2012,14:00:00,118.80
01/01/2012,15:00:00,105.27
01/01/2012,16:00:00,83.62
01/01/2012,17:00:00,78.11
01/01/2012,18:00:00,89.42
01/01/2012,19:00:00,92.64
01/01/2012,20:00:00,89.12
01/01/2012,21:00:00,78.14
01/01/2012,22:00:00,84.88
01/01/2012,23:00:00,69.31
02/01/2012,00:00:00,37.39
02/01/2012,01:00:00,49.36
02/01/2012,02:00:00,57.10
02/01/2012,03:00:00,50.59
02/01/2012,04:00:00,44.65
02/01/2012,05:00:00,50.52
02/01/2012,06:00:00,94.73
02/01/2012,07:00:00,132.96
02/01/2012,08:00:00,124.87
02/01/2012,09:00:00,131.71
02/01/2012,10:00:00,127.80
02/01/2012,11:00:00,119.57
02/01/2012,13:00:00,120.93
02/01/2012,14:00:00,191.84
02/01/2012,15:00:00,251.04
02/01/2012,16:00:00,292.58
02/01/2012,19:00:00,350.21
02/01/2012,20:00:00,308.70
02/01/2012,21:00:00,316.44
02/01/2012,22:00:00,308.99
02/01/2012,23:00:00,292.76
03/01/2012,00:00:00,281.16
03/01/2012,01:00:00,275.90
03/01/2012,02:00:00,246.62
03/01/2012,03:00:00,212.41
03/01/2012,04:00:00,256.17
03/01/2012,05:00:00,336.92
03/01/2012,06:00:00,381.55
03/01/2012,07:00:00,410.16
03/01/2012,08:00:00,393.70
03/01/2012,09:00:00,371.92
03/01/2012,10:00:00,428.16
03/01/2012,11:00:00,501.78
03/01/2012,12:00:00,441.17
03/01/2012,13:00:00,332.03
03/01/2012,14:00:00,243.64
03/01/2012,15:00:00,219.32
03/01/2012,16:00:00,236.99
03/01/2012,17:00:00,248.13
03/01/2012,18:00:00,272.95
03/01/2012,19:00:00,316.42
03/01/2012,20:00:00,341.84
03/01/2012,21:00:00,393.85
03/01/2012,22:00:00,480.85
03/01/2012,23:00:00,536.55
04/01/2012,00:00:00,546.64
04/01/2012,01:00:00,544.13
04/01/2012,02:00:00,550.88
04/01/2012,03:00:00,532.96
04/01/2012,04:00:00,542.31
04/01/2012,05:00:00,558.25
04/01/2012,06:00:00,536.42
04/01/2012,07:00:00,503.27
04/01/2012,08:00:00,469.33
04/01/2012,09:00:00,449.04
04/01/2012,10:00:00,445.47
04/01/2012,11:00:00,525.76
04/01/2012,12:00:00,596.06
04/01/2012,13:00:00,487.61
04/01/2012,14:00:00,319.16
04/01/2012,15:00:00,308.97
04/01/2012,16:00:00,398.48
04/01/2012,17:00:00,477.48
04/01/2012,18:00:00,546.32
04/01/2012,19:00:00,561.61
04/01/2012,20:00:00,536.89
04/01/2012,21:00:00,514.30
04/01/2012,22:00:00,491.99
04/01/2012,23:00:00,447.45
05/01/2012,00:00:00,401.77
05/01/2012,01:00:00,376.44
05/01/2012,02:00:00,307.31
05/01/2012,03:00:00,270.50
05/01/2012,04:00:00,292.20
05/01/2012,09:00:00,241.23
05/01/2012,13:00:00,305.35
05/01/2012,14:00:00,317.88
05/01/2012,15:00:00,288.28
05/01/2012,16:00:00,289.20
05/01/2012,17:00:00,278.93
05/01/2012,18:00:00,262.13
05/01/2012,19:00:00,252.95
05/01/2012,20:00:00,262.29
05/01/2012,21:00:00,260.49
05/01/2012,22:00:00,259.01
05/01/2012,23:00:00,248.91
06/01/2012,00:00:00,166.72
06/01/2012,01:00:00,179.36
06/01/2012,02:00:00,173.59
06/01/2012,14:00:00,138.63
06/01/2012,15:00:00,151.64
06/01/2012,16:00:00,154.93
06/01/2012,17:00:00,132.13
06/01/2012,18:00:00,149.29
06/01/2012,19:00:00,140.66
06/01/2012,20:00:00,101.87
06/01/2012,21:00:00,71.01
06/01/2012,22:00:00,100.76
06/01/2012,23:00:00,116.24
07/01/2012,00:00:00,706.29
07/01/2012,01:00:00,908.71
07/01/2012,02:00:00,482.02
07/01/2012,03:00:00,279.51
07/01/2012,04:00:00,175.82
07/01/2012,05:00:00,112.52
07/01/2012,06:00:00,104.53
07/01/2012,07:00:00,106.70
07/01/2012,08:00:00,114.24
07/01/2012,09:00:00,129.29
07/01/2012,10:00:00,126.25
07/01/2012,11:00:00,113.22
07/01/2012,12:00:00,109.44
07/01/2012,13:00:00,106.36
07/01/2012,14:00:00,113.81
07/01/2012,15:00:00,139.77
07/01/2012,16:00:00,148.56
07/01/2012,17:00:00,143.76
07/01/2012,18:00:00,142.64
07/01/2012,19:00:00,146.50
07/01/2012,20:00:00,149.10
07/01/2012,21:00:00,140.26
07/01/2012,22:00:00,110.65
07/01/2012,23:00:00,79.36
08/01/2012,00:00:00,71.03
08/01/2012,01:00:00,67.95
08/01/2012,02:00:00,80.78
08/01/2012,03:00:00,97.62
08/01/2012,04:00:00,106.00
08/01/2012,05:00:00,111.53
08/01/2012,06:00:00,109.92
08/01/2012,07:00:00,114.21
08/01/2012,08:00:00,138.80
08/01/2012,09:00:00,144.50
08/01/2012,10:00:00,154.38
08/01/2012,11:00:00,175.66
08/01/2012,12:00:00,175.50
08/01/2012,13:00:00,183.69
08/01/2012,14:00:00,206.83
08/01/2012,15:00:00,211.44
08/01/2012,16:00:00,196.67
08/01/2012,17:00:00,211.30
08/01/2012,18:00:00,244.22
08/01/2012,19:00:00,268.88
08/01/2012,20:00:00,260.39
08/01/2012,21:00:00,250.38
08/01/2012,22:00:00,238.31
08/01/2012,23:00:00,205.91
09/01/2012,00:00:00,184.98
09/01/2012,01:00:00,185.01
09/01/2012,02:00:00,181.15
09/01/2012,03:00:00,161.95
09/01/2012,04:00:00,154.67
09/01/2012,05:00:00,147.91
09/01/2012,06:00:00,132.85
09/01/2012,07:00:00,135.79
09/01/2012,08:00:00,136.80
09/01/2012,09:00:00,139.71
09/01/2012,10:00:00,144.94
09/01/2012,11:00:00,141.67
09/01/2012,12:00:00,141.01
09/01/2012,13:00:00,133.91
09/01/2012,14:00:00,117.81
09/01/2012,15:00:00,100.28
09/01/2012,16:00:00,79.31
09/01/2012,17:00:00,97.95
09/01/2012,18:00:00,152.10
09/01/2012,19:00:00,210.22
09/01/2012,20:00:00,227.46
09/01/2012,21:00:00,228.35
09/01/2012,22:00:00,236.02
09/01/2012,23:00:00,257.88
10/01/2012,00:00:00,284.29
10/01/2012,01:00:00,274.89
10/01/2012,02:00:00,239.28
10/01/2012,03:00:00,229.88
10/01/2012,04:00:00,225.70
10/01/2012,05:00:00,225.62
10/01/2012,06:00:00,234.72
10/01/2012,07:00:00,232.87
10/01/2012,08:00:00,238.21
10/01/2012,09:00:00,252.44
10/01/2012,10:00:00,247.94
10/01/2012,11:00:00,223.70
10/01/2012,12:00:00,177.71
10/01/2012,13:00:00,139.14
10/01/2012,14:00:00,110.36
10/01/2012,15:00:00,106.88
10/01/2012,16:00:00,103.69
10/01/2012,17:00:00,121.08
10/01/2012,18:00:00,159.92
10/01/2012,19:00:00,211.25
10/01/2012,20:00:00,279.10
10/01/2012,21:00:00,329.57
10/01/2012,22:00:00,332.25
10/01/2012,23:00:00,321.83
11/01/2012,00:00:00,265.22
11/01/2012,01:00:00,235.27
11/01/2012,02:00:00,206.63
11/01/2012,03:00:00,180.32
11/01/2012,04:00:00,195.85
11/01/2012,05:00:00,197.93
11/01/2012,06:00:00,188.59
11/01/2012,07:00:00,192.48
11/01/2012,08:00:00,214.37
11/01/2012,09:00:00,250.18
11/01/2012,10:00:00,212.26
11/01/2012,11:00:00,175.19
11/01/2012,12:00:00,200.60
11/01/2012,13:00:00,176.82
11/01/2012,14:00:00,134.12
11/01/2012,15:00:00,120.17
11/01/2012,16:00:00,126.70
11/01/2012,17:00:00,137.11
11/01/2012,18:00:00,174.68
11/01/2012,19:00:00,231.60
11/01/2012,20:00:00,294.51
11/01/2012,21:00:00,377.25
11/01/2012,22:00:00,483.47
11/01/2012,23:00:00,490.40
12/01/2012,00:00:00,406.25
12/01/2012,01:00:00,361.07
12/01/2012,02:00:00,278.68
12/01/2012,03:00:00,204.45
12/01/2012,04:00:00,194.98
12/01/2012,05:00:00,225.58
12/01/2012,06:00:00,240.55
12/01/2012,07:00:00,244.25
12/01/2012,08:00:00,254.11
