Date,Time,Values
01/01/2011,00:00:00,55.05
01/01/2011,01:00:00,38.77
01/01/2011,02:00:00,35.38
01/01/2011,03:00:00,33.03
01/01/2011,04:00:00,49.36
01/01/2011,05:00:00,86.54
01/01/2011,06:00:00,68.12
01/01/2011,07:00:00,85.26
01/01/2011,08:00:00,76.27
01/01/2011,09:00:00,76.28
01/01/2011,10:00:00,126.78
01/01/2011,11:00:00,94.13
01/01/2011,12:00:00,113.40
01/01/2011,13:00:00,118.37
01/01/2011,14:00:00,72.05
01/01/2011,15:00:00,101.81
01/01/2011,16:00:00,86.88
01/01/2011,17:00:00,109.72
01/01/2011,18:00:00,150.42
01/01/2011,19:00:00,148.33
01/01/2011,20:00:00,146.43
01/01/2011,21:00:00,152.66
01/01/2011,22:00:00,178.91
01/01/2011,23:00:00,199.94
02/01/2011,00:00:00,192.13
02/01/2011,01:00:00,190.95
02/01/2011,02:00:00,128.34
02/01/2011,03:00:00,150.95
02/01/2011,04:00:00,145.66
02/01/2011,05:00:00,121.45
02/01/2011,06:00:00,115.63
02/01/2011,07:00:00,89.09
02/01/2011,08:00:00,52.75
02/01/2011,09:00:00,112.25
02/01/2011,10:00:00,153.35
02/01/2011,11:00:00,184.56
02/01/2011,12:00:00,200.57
02/01/2011,13:00:00,155.61
02/01/2011,14:00:00,102.84
02/01/2011,15:00:00,112.59
02/01/2011,16:00:00,110.77
02/01/2011,17:00:00,151.21
02/01/2011,18:00:00,127.99
02/01/2011,19:00:00,148.93
02/01/2011,20:00:00,148.22
02/01/2011,21:00:00,92.34
02/01/2011,22:00:00,78.34
02/01/2011,23:00:00,82.60
03/01/2011,00:00:00,148.82
03/01/2011,01:00:00,189.59
03/01/2011,02:00:00,137.10
03/01/2011,03:00:00,75.80
03/01/2011,04:00:00,128.20
03/01/2011,05:00:00,150.76
03/01/2011,06:00:00,146.15
03/01/2011,07:00:00,92.36
03/01/2011,08:00:00,47.14
03/01/2011,09:00:00,85.83
03/01/2011,10:00:00,127.27
03/01/2011,11:00:00,143.27
03/01/2011,12:00:00,177.88
03/01/2011,13:00:00,115.91
03/01/2011,14:00:00,89.50
03/01/2011,15:00:00,78.14
03/01/2011,16:00:00,100.05
03/01/2011,17:00:00,107.09
03/01/2011,18:00:00,131.47
03/01/2011,19:00:00,150.88
03/01/2011,20:00:00,174.06
03/01/2011,21:00:00,145.85
03/01/2011,22:00:00,90.31
03/01/2011,23:00:00,63.55
04/01/2011,00:00:00,89.78
04/01/2011,01:00:00,106.33
04/01/2011,02:00:00,129.73
04/01/2011,03:00:00,119.73
04/01/2011,04:00:00,81.01
04/01/2011,05:00:00,133.77
04/01/2011,06:00:00,202.87
04/01/2011,07:00:00,197.75
