Date,Time,Values
01/01/2011,00:00:00,87.23
01/01/2011,01:00:00,88.33
01/01/2011,02:00:00,88.85
01/01/2011,03:00:00,92.01
01/01/2011,04:00:00,93.09
01/01/2011,05:00:00,93.70
01/01/2011,06:00:00,95.03
01/01/2011,07:00:00,95.58
01/01/2011,08:00:00,92.46
01/01/2011,09:00:00,87.22
01/01/2011,10:00:00,82.01
01/01/2011,11:00:00,75.21
01/01/2011,12:00:00,70.36
01/01/2011,13:00:00,69.51
01/01/2011,14:00:00,68.16
01/01/2011,15:00:00,68.23
01/01/2011,16:00:00,72.49
01/01/2011,17:00:00,77.60
01/01/2011,18:00:00,81.90
01/01/2011,19:00:00,84.77
01/01/2011,20:00:00,85.47
01/01/2011,21:00:00,85.22
01/01/2011,22:00:00,86.18
01/01/2011,23:00:00,87.35
02/01/2011,00:00:00,86.02
02/01/2011,01:00:00,86.48
02/01/2011,02:00:00,85.24
02/01/2011,03:00:00,83.25
02/01/2011,04:00:00,82.02
02/01/2011,05:00:00,80.66
02/01/2011,06:00:00,79.83
02/01/2011,07:00:00,78.56
02/01/2011,08:00:00,77.45
02/01/2011,09:00:00,76.41
02/01/2011,10:00:00,73.58
02/01/2011,11:00:00,71.46
02/01/2011,12:00:00,69.24
02/01/2011,13:00:00,68.37
02/01/2011,14:00:00,68.71
02/01/2011,15:00:00,71.09
02/01/2011,16:00:00,71.83
02/01/2011,17:00:00,72.15
02/01/2011,18:00:00,71.65
02/01/2011,19:00:00,71.95
02/01/2011,20:00:00,69.90
02/01/2011,21:00:00,69.68
02/01/2011,22:00:00,69.61
02/01/2011,23:00:00,70.27
03/01/2011,00:00:00,71.35
03/01/2011,01:00:00,71.93
03/01/2011,02:00:00,71.89
03/01/2011,03:00:00,72.25
03/01/2011,04:00:00,71.83
03/01/2011,05:00:00,71.86
03/01/2011,06:00:00,71.82
03/01/2011,07:00:00,71.92
03/01/2011,08:00:00,71.27
03/01/2011,09:00:00,69.35
03/01/2011,10:00:00,67.75
03/01/2011,11:00:00,64.11
03/01/2011,12:00:00,61.75
03/01/2011,13:00:00,60.34
03/01/2011,14:00:00,60.40
03/01/2011,15:00:00,60.71
03/01/2011,16:00:00,62.32
03/01/2011,17:00:00,66.25
03/01/2011,18:00:00,68.85
03/01/2011,19:00:00,70.61
03/01/2011,20:00:00,73.54
03/01/2011,21:00:00,81.18
03/01/2011,22:00:00,79.84
03/01/2011,23:00:00,81.48
04/01/2011,00:00:00,82.93
04/01/2011,01:00:00,83.73
04/01/2011,02:00:00,86.07
04/01/2011,03:00:00,89.77
04/01/2011,04:00:00,90.88
04/01/2011,05:00:00,90.60
04/01/2011,06:00:00,91.01
04/01/2011,07:00:00,89.06
04/01/2011,08:00:00,88.66
04/01/2011,09:00:00,83.39
04/01/2011,10:00:00,78.22
04/01/2011,11:00:00,74.94
04/01/2011,12:00:00,72.27
04/01/2011,13:00:00,67.98
04/01/2011,14:00:00,65.94
04/01/2011,15:00:00,68.00
04/01/2011,16:00:00,71.16
04/01/2011,17:00:00,74.05
04/01/2011,18:00:00,75.83
04/01/2011,19:00:00,77.15
04/01/2011,20:00:00,78.17
04/01/2011,21:00:00,79.09
04/01/2011,22:00:00,79.42
04/01/2011,23:00:00,79.99
05/01/2011,00:00:00,81.07
05/01/2011,01:00:00,81.84
05/01/2011,02:00:00,83.02
05/01/2011,03:00:00,83.08
05/01/2011,04:00:00,82.81
05/01/2011,05:00:00,82.48
05/01/2011,06:00:00,82.85
05/01/2011,07:00:00,82.01
05/01/2011,08:00:00,80.17
05/01/2011,09:00:00,78.89
05/01/2011,10:00:00,77.62
05/01/2011,11:00:00,75.98
05/01/2011,12:00:00,72.36
05/01/2011,13:00:00,69.09
05/01/2011,14:00:00,66.92
05/01/2011,15:00:00,66.69
05/01/2011,16:00:00,69.22
05/01/2011,17:00:00,73.91
05/01/2011,18:00:00,78.14
05/01/2011,19:00:00,80.76
05/01/2011,20:00:00,81.84
05/01/2011,21:00:00,82.22
05/01/2011,22:00:00,84.55
05/01/2011,23:00:00,85.30
06/01/2011,00:00:00,84.77
06/01/2011,01:00:00,86.18
06/01/2011,02:00:00,86.19
06/01/2011,03:00:00,85.88
06/01/2011,04:00:00,85.84
06/01/2011,05:00:00,86.22
06/01/2011,06:00:00,86.71
06/01/2011,07:00:00,86.50
06/01/2011,08:00:00,85.86
06/01/2011,09:00:00,84.94
06/01/2011,10:00:00,81.83
06/01/2011,11:00:00,77.52
06/01/2011,12:00:00,71.93
06/01/2011,13:00:00,67.29
06/01/2011,14:00:00,64.15
06/01/2011,15:00:00,63.30
06/01/2011,16:00:00,66.06
06/01/2011,17:00:00,71.31
06/01/2011,18:00:00,77.33
06/01/2011,19:00:00,81.97
06/01/2011,20:00:00,83.29
06/01/2011,21:00:00,87.17
06/01/2011,22:00:00,89.48
06/01/2011,23:00:00,91.66
07/01/2011,00:00:00,91.44
07/01/2011,01:00:00,92.29
07/01/2011,02:00:00,92.81
07/01/2011,03:00:00,93.48
07/01/2011,04:00:00,93.95
07/01/2011,05:00:00,93.92
07/01/2011,06:00:00,93.62
07/01/2011,07:00:00,92.55
07/01/2011,08:00:00,91.42
07/01/2011,09:00:00,90.05
07/01/2011,10:00:00,84.85
07/01/2011,11:00:00,73.63
07/01/2011,12:00:00,63.93
07/01/2011,13:00:00,56.47
07/01/2011,14:00:00,54.87
07/01/2011,15:00:00,56.34
07/01/2011,16:00:00,61.55
07/01/2011,17:00:00,68.27
07/01/2011,18:00:00,78.94
07/01/2011,19:00:00,83.39
07/01/2011,20:00:00,85.03
07/01/2011,21:00:00,86.94
07/01/2011,22:00:00,87.94
07/01/2011,23:00:00,88.58
08/01/2011,00:00:00,89.78
08/01/2011,01:00:00,91.97
08/01/2011,02:00:00,93.32
08/01/2011,03:00:00,94.07
08/01/2011,04:00:00,94.40
08/01/2011,05:00:00,94.82
08/01/2011,06:00:00,95.00
08/01/2011,07:00:00,95.19
08/01/2011,08:00:00,95.29
08/01/2011,09:00:00,95.70
08/01/2011,10:00:00,95.94
08/01/2011,11:00:00,95.89
08/01/2011,12:00:00,89.55
08/01/2011,13:00:00,77.58
08/01/2011,14:00:00,71.67
08/01/2011,15:00:00,68.66
08/01/2011,16:00:00,68.34
08/01/2011,17:00:00,74.86
08/01/2011,18:00:00,82.20
08/01/2011,19:00:00,85.32
08/01/2011,20:00:00,88.54
08/01/2011,21:00:00,90.14
08/01/2011,22:00:00,92.16
08/01/2011,23:00:00,92.16
09/01/2011,00:00:00,92.80
09/01/2011,01:00:00,94.86
09/01/2011,02:00:00,95.59
09/01/2011,03:00:00,96.08
09/01/2011,04:00:00,96.05
09/01/2011,05:00:00,96.03
09/01/2011,06:00:00,95.23
09/01/2011,07:00:00,93.42
09/01/2011,08:00:00,92.02
09/01/2011,09:00:00,92.14
09/01/2011,10:00:00,91.32
09/01/2011,11:00:00,89.11
09/01/2011,12:00:00,86.55
09/01/2011,13:00:00,83.78
09/01/2011,14:00:00,81.20
09/01/2011,15:00:00,79.45
09/01/2011,16:00:00,81.41
09/01/2011,17:00:00,83.53
09/01/2011,18:00:00,84.57
09/01/2011,19:00:00,85.03
09/01/2011,20:00:00,87.12
09/01/2011,21:00:00,88.25
09/01/2011,22:00:00,89.10
09/01/2011,23:00:00,89.81
10/01/2011,00:00:00,89.54
10/01/2011,01:00:00,90.55
10/01/2011,02:00:00,90.03
10/01/2011,03:00:00,88.59
10/01/2011,04:00:00,88.74
10/01/2011,05:00:00,88.75
10/01/2011,06:00:00,87.56
10/01/2011,07:00:00,87.76
10/01/2011,08:00:00,87.14
10/01/2011,09:00:00,84.52
10/01/2011,10:00:00,80.47
10/01/2011,11:00:00,75.06
10/01/2011,12:00:00,68.51
10/01/2011,13:00:00,64.61
10/01/2011,14:00:00,61.20
10/01/2011,15:00:00,56.49
10/01/2011,16:00:00,56.90
10/01/2011,17:00:00,61.47
10/01/2011,18:00:00,65.78
10/01/2011,19:00:00,70.45
