Date,Time,Values
09/11/2015,13:00:00,146.92
09/11/2015,14:00:00,117.80
09/11/2015,16:00:00,55.22
09/11/2015,17:00:00,43.91
10/11/2015,11:00:00,158.73
10/11/2015,12:00:00,159.32
10/11/2015,13:00:00,144.49
10/11/2015,14:00:00,108.87
10/11/2015,15:00:00,82.43
10/11/2015,16:00:00,57.03
10/11/2015,17:00:00,43.01
10/11/2015,18:00:00,41.72
10/11/2015,19:00:00,41.72
10/11/2015,20:00:00,41.72
10/11/2015,21:00:00,41.72
10/11/2015,22:00:00,41.72
10/11/2015,23:00:00,41.72
11/11/2015,00:00:00,41.72
11/11/2015,01:00:00,41.72
11/11/2015,02:00:00,41.72
11/11/2015,03:00:00,41.72
11/11/2015,04:00:00,41.72
11/11/2015,05:00:00,41.72
11/11/2015,06:00:00,42.98
11/11/2015,07:00:00,57.20
11/11/2015,08:00:00,88.77
11/11/2015,09:00:00,128.55
11/11/2015,10:00:00,168.94
11/11/2015,11:00:00,196.02
11/11/2015,12:00:00,198.57
11/11/2015,13:00:00,166.81
11/11/2015,14:00:00,129.15
11/11/2015,15:00:00,84.21
11/11/2015,16:00:00,55.31
11/11/2015,17:00:00,43.19
11/11/2015,18:00:00,41.72
11/11/2015,19:00:00,41.72
11/11/2015,20:00:00,41.72
11/11/2015,21:00:00,41.72
11/11/2015,22:00:00,41.72
11/11/2015,23:00:00,41.72
12/11/2015,00:00:00,41.72
12/11/2015,01:00:00,41.72
12/11/2015,02:00:00,41.72
12/11/2015,03:00:00,41.72
12/11/2015,04:00:00,41.72
12/11/2015,05:00:00,41.93
12/11/2015,06:00:00,43.08
12/11/2015,07:00:00,56.17
12/11/2015,08:00:00,87.44
12/11/2015,09:00:00,126.98
12/11/2015,10:00:00,165.09
12/11/2015,11:00:00,185.83
12/11/2015,12:00:00,180.73
12/11/2015,13:00:00,156.45
12/11/2015,14:00:00,121.29
12/11/2015,15:00:00,82.98
12/11/2015,16:00:00,56.48
12/11/2015,17:00:00,43.04
12/11/2015,18:00:00,41.72
12/11/2015,19:00:00,41.72
12/11/2015,20:00:00,41.72
12/11/2015,21:00:00,42.02
12/11/2015,22:00:00,42.15
12/11/2015,23:00:00,42.09
13/11/2015,00:00:00,41.78
13/11/2015,01:00:00,41.72
13/11/2015,02:00:00,41.72
13/11/2015,03:00:00,41.72
13/11/2015,04:00:00,41.72
13/11/2015,05:00:00,41.72
13/11/2015,06:00:00,42.67
13/11/2015,07:00:00,56.02
13/11/2015,08:00:00,82.84
13/11/2015,09:00:00,115.26
13/11/2015,10:00:00,148.00
13/11/2015,11:00:00,170.94
13/11/2015,12:00:00,168.58
13/11/2015,13:00:00,147.06
13/11/2015,14:00:00,116.61
13/11/2015,15:00:00,83.39
13/11/2015,16:00:00,57.38
13/11/2015,17:00:00,43.10
13/11/2015,18:00:00,41.72
13/11/2015,19:00:00,41.72
13/11/2015,20:00:00,41.72
13/11/2015,21:00:00,41.72
13/11/2015,22:00:00,41.72
13/11/2015,23:00:00,41.72
14/11/2015,00:00:00,41.72
14/11/2015,01:00:00,41.72
14/11/2015,02:00:00,41.72
14/11/2015,03:00:00,41.72
14/11/2015,04:00:00,41.72
14/11/2015,05:00:00,41.72
14/11/2015,06:00:00,42.48
14/11/2015,07:00:00,56.21
14/11/2015,08:00:00,82.95
14/11/2015,09:00:00,118.37
14/11/2015,10:00:00,155.23
14/11/2015,11:00:00,178.79
14/11/2015,12:00:00,176.89
14/11/2015,13:00:00,156.31
14/11/2015,14:00:00,119.85
14/11/2015,15:00:00,83.25
14/11/2015,16:00:00,56.18
14/11/2015,17:00:00,43.01
14/11/2015,18:00:00,41.72
14/11/2015,19:00:00,41.69
14/11/2015,20:00:00,41.67
14/11/2015,21:00:00,41.70
14/11/2015,22:00:00,41.72
14/11/2015,23:00:00,41.72
15/11/2015,00:00:00,41.72
15/11/2015,01:00:00,41.72
15/11/2015,02:00:00,41.72
15/11/2015,03:00:00,41.72
15/11/2015,04:00:00,41.72
15/11/2015,05:00:00,41.72
15/11/2015,06:00:00,42.73
15/11/2015,07:00:00,56.55
15/11/2015,08:00:00,83.30
15/11/2015,09:00:00,119.10
15/11/2015,10:00:00,153.93
15/11/2015,11:00:00,178.36
15/11/2015,12:00:00,184.66
15/11/2015,13:00:00,157.88
15/11/2015,14:00:00,121.00
15/11/2015,15:00:00,80.69
15/11/2015,16:00:00,54.82
15/11/2015,17:00:00,42.95
15/11/2015,18:00:00,41.75
15/11/2015,19:00:00,41.99
15/11/2015,20:00:00,42.14
15/11/2015,21:00:00,42.08
15/11/2015,22:00:00,42.14
15/11/2015,23:00:00,41.72
16/11/2015,00:00:00,41.96
16/11/2015,01:00:00,42.12
16/11/2015,02:00:00,42.15
16/11/2015,03:00:00,41.72
16/11/2015,04:00:00,41.72
16/11/2015,05:00:00,41.72
16/11/2015,06:00:00,42.62
16/11/2015,07:00:00,56.31
16/11/2015,08:00:00,91.58
16/11/2015,09:00:00,111.71
16/11/2015,10:00:00,135.09
16/11/2015,11:00:00,156.45
16/11/2015,12:00:00,157.81
16/11/2015,13:00:00,144.54
16/11/2015,14:00:00,115.07
16/11/2015,15:00:00,80.94
16/11/2015,16:00:00,55.26
16/11/2015,17:00:00,42.88
16/11/2015,18:00:00,41.62
16/11/2015,19:00:00,41.72
16/11/2015,20:00:00,41.98
16/11/2015,21:00:00,42.14
16/11/2015,22:00:00,42.15
16/11/2015,23:00:00,42.15
17/11/2015,00:00:00,42.15
17/11/2015,01:00:00,42.15
17/11/2015,02:00:00,42.15
17/11/2015,03:00:00,42.15
17/11/2015,04:00:00,42.15
17/11/2015,05:00:00,42.15
17/11/2015,06:00:00,42.84
17/11/2015,07:00:00,54.65
17/11/2015,08:00:00,84.30
17/11/2015,09:00:00,124.63
17/11/2015,10:00:00,162.96
17/11/2015,11:00:00,185.92
17/11/2015,12:00:00,183.66
17/11/2015,13:00:00,162.73
17/11/2015,14:00:00,121.51
17/11/2015,15:00:00,83.30
17/11/2015,16:00:00,52.94
17/11/2015,17:00:00,42.90
17/11/2015,18:00:00,41.72
17/11/2015,19:00:00,41.80
17/11/2015,20:00:00,41.88
17/11/2015,21:00:00,42.01
17/11/2015,22:00:00,42.14
17/11/2015,23:00:00,42.15
18/11/2015,00:00:00,42.02
18/11/2015,01:00:00,42.01
18/11/2015,02:00:00,42.05
18/11/2015,03:00:00,42.15
18/11/2015,04:00:00,42.15
18/11/2015,05:00:00,42.15
18/11/2015,06:00:00,42.81
18/11/2015,07:00:00,54.48
18/11/2015,08:00:00,81.51
18/11/2015,09:00:00,114.28
18/11/2015,10:00:00,146.91
18/11/2015,11:00:00,172.83
18/11/2015,12:00:00,170.22
18/11/2015,13:00:00,147.47
18/11/2015,14:00:00,114.87
18/11/2015,15:00:00,79.63
18/11/2015,16:00:00,56.71
18/11/2015,17:00:00,42.45
18/11/2015,18:00:00,41.72
18/11/2015,19:00:00,41.81
18/11/2015,20:00:00,41.75
18/11/2015,21:00:00,42.03
18/11/2015,22:00:00,42.13
18/11/2015,23:00:00,42.15
19/11/2015,00:00:00,42.15
19/11/2015,01:00:00,42.15
19/11/2015,02:00:00,42.15
19/11/2015,03:00:00,42.15
19/11/2015,04:00:00,42.15
19/11/2015,05:00:00,42.15
19/11/2015,06:00:00,42.71
19/11/2015,07:00:00,53.79
19/11/2015,08:00:00,76.14
19/11/2015,09:00:00,111.86
19/11/2015,10:00:00,143.62
19/11/2015,11:00:00,159.19
19/11/2015,12:00:00,166.97
19/11/2015,13:00:00,143.41
19/11/2015,14:00:00,115.59
19/11/2015,15:00:00,80.01
19/11/2015,16:00:00,53.83
19/11/2015,17:00:00,42.79
19/11/2015,18:00:00,41.72
19/11/2015,19:00:00,41.85
19/11/2015,20:00:00,42.15
19/11/2015,21:00:00,42.15
19/11/2015,22:00:00,42.15
19/11/2015,23:00:00,42.15
20/11/2015,00:00:00,42.15
20/11/2015,01:00:00,42.15
20/11/2015,02:00:00,42.15
20/11/2015,03:00:00,42.15
20/11/2015,04:00:00,42.15
20/11/2015,05:00:00,42.15
20/11/2015,06:00:00,42.83
20/11/2015,07:00:00,57.03
20/11/2015,08:00:00,84.06
20/11/2015,09:00:00,116.74
20/11/2015,10:00:00,145.37
20/11/2015,11:00:00,169.46
20/11/2015,12:00:00,158.91
20/11/2015,13:00:00,159.37
21/11/2015,18:00:00,41.72
21/11/2015,19:00:00,41.72
21/11/2015,20:00:00,41.75
21/11/2015,21:00:00,42.04
21/11/2015,22:00:00,42.15
21/11/2015,23:00:00,42.15
22/11/2015,00:00:00,42.15
22/11/2015,01:00:00,42.15
22/11/2015,02:00:00,42.15
22/11/2015,03:00:00,42.15
22/11/2015,04:00:00,42.15
22/11/2015,05:00:00,41.90
22/11/2015,06:00:00,42.59
22/11/2015,07:00:00,49.58
22/11/2015,08:00:00,70.20
22/11/2015,09:00:00,108.14
22/11/2015,10:00:00,133.63
22/11/2015,11:00:00,149.75
22/11/2015,12:00:00,162.13
22/11/2015,13:00:00,136.56
22/11/2015,14:00:00,102.14
22/11/2015,15:00:00,75.87
22/11/2015,16:00:00,53.34
22/11/2015,17:00:00,42.70
22/11/2015,18:00:00,41.72
22/11/2015,19:00:00,41.72
22/11/2015,20:00:00,41.72
22/11/2015,21:00:00,41.72
22/11/2015,22:00:00,41.72
22/11/2015,23:00:00,41.74
23/11/2015,00:00:00,41.92
23/11/2015,01:00:00,42.07
23/11/2015,02:00:00,42.10
23/11/2015,03:00:00,42.14
23/11/2015,04:00:00,42.14
23/11/2015,05:00:00,42.14
23/11/2015,06:00:00,42.52
23/11/2015,07:00:00,54.93
23/11/2015,08:00:00,83.50
23/11/2015,09:00:00,112.03
23/11/2015,10:00:00,125.28
23/11/2015,11:00:00,145.25
23/11/2015,12:00:00,154.61
23/11/2015,13:00:00,131.33
23/11/2015,14:00:00,106.35
23/11/2015,15:00:00,73.11
23/11/2015,16:00:00,52.37
23/11/2015,17:00:00,42.55
23/11/2015,18:00:00,41.72
23/11/2015,19:00:00,41.73
23/11/2015,20:00:00,41.86
23/11/2015,21:00:00,41.95
23/11/2015,22:00:00,42.06
23/11/2015,23:00:00,42.12
24/11/2015,00:00:00,42.13
24/11/2015,01:00:00,42.15
24/11/2015,02:00:00,42.15
24/11/2015,03:00:00,42.15
24/11/2015,04:00:00,42.15
24/11/2015,05:00:00,42.15
24/11/2015,06:00:00,42.44
24/11/2015,07:00:00,51.96
24/11/2015,08:00:00,73.90
24/11/2015,09:00:00,101.61
24/11/2015,10:00:00,124.97
