Date,Time,Values
01/01/2011,00:00:00,3.45
01/01/2011,01:00:00,3.56
01/01/2011,02:00:00,3.75
01/01/2011,03:00:00,3.59
01/01/2011,04:00:00,3.38
01/01/2011,05:00:00,3.97
01/01/2011,06:00:00,3.55
01/01/2011,07:00:00,3.75
01/01/2011,08:00:00,3.57
01/01/2011,09:00:00,4.19
01/01/2011,10:00:00,4.29
01/01/2011,11:00:00,4.63
01/01/2011,12:00:00,4.86
01/01/2011,13:00:00,4.16
01/01/2011,14:00:00,3.88
01/01/2011,15:00:00,4.63
01/01/2011,16:00:00,4.22
01/01/2011,17:00:00,4.37
01/01/2011,18:00:00,4.11
01/01/2011,19:00:00,3.96
01/01/2011,20:00:00,3.81
01/01/2011,21:00:00,3.19
01/01/2011,22:00:00,2.82
01/01/2011,23:00:00,3.33
02/01/2011,00:00:00,3.13
02/01/2011,01:00:00,3.86
02/01/2011,02:00:00,3.82
02/01/2011,03:00:00,4.14
02/01/2011,04:00:00,4.01
02/01/2011,05:00:00,4.14
02/01/2011,06:00:00,3.94
02/01/2011,07:00:00,3.26
02/01/2011,08:00:00,3.07
02/01/2011,09:00:00,4.37
02/01/2011,10:00:00,4.75
02/01/2011,11:00:00,4.47
02/01/2011,12:00:00,4.79
02/01/2011,13:00:00,4.33
02/01/2011,14:00:00,4.31
02/01/2011,15:00:00,4.40
02/01/2011,16:00:00,4.17
02/01/2011,17:00:00,4.00
02/01/2011,18:00:00,3.85
02/01/2011,19:00:00,4.00
02/01/2011,20:00:00,5.33
02/01/2011,21:00:00,5.45
02/01/2011,22:00:00,5.67
02/01/2011,23:00:00,5.93
03/01/2011,00:00:00,5.19
03/01/2011,01:00:00,5.75
03/01/2011,02:00:00,5.34
03/01/2011,03:00:00,6.31
03/01/2011,04:00:00,7.36
03/01/2011,05:00:00,15.32
03/01/2011,06:00:00,19.38
03/01/2011,07:00:00,13.55
03/01/2011,08:00:00,9.74
03/01/2011,09:00:00,7.51
03/01/2011,10:00:00,6.70
03/01/2011,11:00:00,6.35
03/01/2011,12:00:00,13.13
03/01/2011,13:00:00,17.75
03/01/2011,14:00:00,18.13
03/01/2011,15:00:00,17.51
03/01/2011,16:00:00,14.98
03/01/2011,17:00:00,10.66
03/01/2011,18:00:00,11.43
03/01/2011,19:00:00,11.16
03/01/2011,20:00:00,11.10
03/01/2011,21:00:00,6.25
03/01/2011,22:00:00,5.79
03/01/2011,23:00:00,9.62
04/01/2011,00:00:00,14.11
04/01/2011,01:00:00,16.66
04/01/2011,02:00:00,13.64
04/01/2011,03:00:00,8.06
04/01/2011,04:00:00,6.58
04/01/2011,05:00:00,5.50
04/01/2011,06:00:00,4.84
04/01/2011,07:00:00,6.16
04/01/2011,08:00:00,5.92
04/01/2011,09:00:00,6.82
04/01/2011,10:00:00,6.99
04/01/2011,11:00:00,6.05
04/01/2011,12:00:00,5.33
04/01/2011,13:00:00,6.37
04/01/2011,14:00:00,5.63
04/01/2011,15:00:00,4.58
04/01/2011,16:00:00,3.95
04/01/2011,17:00:00,4.56
04/01/2011,18:00:00,4.11
04/01/2011,19:00:00,3.47
04/01/2011,20:00:00,3.28
04/01/2011,21:00:00,4.08
04/01/2011,22:00:00,3.83
04/01/2011,23:00:00,3.50
05/01/2011,00:00:00,3.23
05/01/2011,01:00:00,4.07
05/01/2011,02:00:00,4.15
05/01/2011,03:00:00,4.05
05/01/2011,04:00:00,3.90
05/01/2011,05:00:00,4.03
05/01/2011,06:00:00,3.87
05/01/2011,07:00:00,3.76
05/01/2011,08:00:00,3.73
05/01/2011,09:00:00,3.58
05/01/2011,10:00:00,3.88
05/01/2011,11:00:00,4.50
05/01/2011,12:00:00,5.20
05/01/2011,13:00:00,3.62
05/01/2011,14:00:00,3.00
05/01/2011,15:00:00,4.74
05/01/2011,16:00:00,4.77
05/01/2011,17:00:00,4.23
05/01/2011,18:00:00,4.28
05/01/2011,19:00:00,2.23
05/01/2011,20:00:00,2.49
05/01/2011,21:00:00,3.96
05/01/2011,22:00:00,4.04
05/01/2011,23:00:00,3.25
06/01/2011,00:00:00,3.20
06/01/2011,01:00:00,4.47
06/01/2011,02:00:00,4.42
06/01/2011,03:00:00,3.71
06/01/2011,04:00:00,3.42
06/01/2011,05:00:00,4.19
06/01/2011,06:00:00,3.84
06/01/2011,07:00:00,3.69
06/01/2011,08:00:00,3.93
06/01/2011,09:00:00,3.14
06/01/2011,10:00:00,3.47
06/01/2011,11:00:00,3.53
06/01/2011,12:00:00,4.57
06/01/2011,13:00:00,4.91
06/01/2011,14:00:00,5.32
06/01/2011,15:00:00,5.45
06/01/2011,16:00:00,5.36
06/01/2011,17:00:00,4.54
06/01/2011,18:00:00,5.74
06/01/2011,19:00:00,6.56
06/01/2011,20:00:00,6.67
06/01/2011,21:00:00,6.16
06/01/2011,22:00:00,5.47
06/01/2011,23:00:00,5.07
07/01/2011,00:00:00,4.14
07/01/2011,01:00:00,4.66
07/01/2011,02:00:00,4.14
07/01/2011,03:00:00,4.31
07/01/2011,04:00:00,3.96
07/01/2011,05:00:00,3.80
07/01/2011,06:00:00,3.38
07/01/2011,07:00:00,3.31
07/01/2011,08:00:00,3.08
07/01/2011,09:00:00,3.77
07/01/2011,10:00:00,4.31
07/01/2011,11:00:00,5.28
07/01/2011,12:00:00,9.54
07/01/2011,13:00:00,16.96
07/01/2011,14:00:00,13.11
07/01/2011,15:00:00,9.15
07/01/2011,16:00:00,10.42
07/01/2011,17:00:00,6.74
07/01/2011,18:00:00,4.47
07/01/2011,19:00:00,4.17
07/01/2011,20:00:00,4.86
07/01/2011,21:00:00,2.49
07/01/2011,22:00:00,2.81
07/01/2011,23:00:00,2.97
08/01/2011,00:00:00,2.58
08/01/2011,01:00:00,4.14
08/01/2011,02:00:00,3.62
08/01/2011,03:00:00,3.39
08/01/2011,04:00:00,3.17
08/01/2011,05:00:00,4.13
08/01/2011,06:00:00,3.57
08/01/2011,07:00:00,4.00
08/01/2011,08:00:00,3.85
08/01/2011,09:00:00,3.97
08/01/2011,10:00:00,4.12
08/01/2011,11:00:00,5.25
08/01/2011,12:00:00,5.55
08/01/2011,13:00:00,12.35
08/01/2011,14:00:00,16.70
08/01/2011,15:00:00,21.72
08/01/2011,16:00:00,22.17
08/01/2011,17:00:00,10.19
08/01/2011,18:00:00,5.91
08/01/2011,19:00:00,2.63
08/01/2011,20:00:00,2.63
08/01/2011,21:00:00,1.49
08/01/2011,22:00:00,2.44
08/01/2011,23:00:00,NA
09/01/2011,00:00:00,NA
09/01/2011,01:00:00,4.15
09/01/2011,02:00:00,3.54
09/01/2011,03:00:00,3.73
09/01/2011,04:00:00,3.40
09/01/2011,05:00:00,4.59
09/01/2011,06:00:00,3.86
09/01/2011,07:00:00,3.90
09/01/2011,08:00:00,3.17
09/01/2011,09:00:00,3.64
09/01/2011,10:00:00,3.28
09/01/2011,11:00:00,4.28
09/01/2011,12:00:00,4.18
09/01/2011,13:00:00,3.77
09/01/2011,14:00:00,3.60
09/01/2011,15:00:00,3.25
09/01/2011,16:00:00,2.94
09/01/2011,17:00:00,3.44
09/01/2011,18:00:00,3.31
09/01/2011,19:00:00,2.83
09/01/2011,20:00:00,2.64
09/01/2011,21:00:00,3.75
09/01/2011,22:00:00,3.76
09/01/2011,23:00:00,3.36
10/01/2011,00:00:00,2.88
10/01/2011,01:00:00,3.52
10/01/2011,02:00:00,3.29
10/01/2011,03:00:00,4.02
10/01/2011,04:00:00,3.74
10/01/2011,05:00:00,4.19
10/01/2011,06:00:00,4.17
10/01/2011,07:00:00,4.37
10/01/2011,08:00:00,4.33
10/01/2011,09:00:00,3.77
10/01/2011,10:00:00,4.13
10/01/2011,11:00:00,3.02
10/01/2011,12:00:00,3.47
10/01/2011,13:00:00,4.41
10/01/2011,14:00:00,4.13
10/01/2011,15:00:00,4.10
10/01/2011,16:00:00,4.20
10/01/2011,17:00:00,3.77
10/01/2011,18:00:00,3.73
