Date,Time,Values
01/01/2011,00:00:00,"3,807.74"
01/01/2011,01:00:00,"3,614.64"
01/01/2011,02:00:00,"3,515.94"
01/01/2011,03:00:00,"3,434.90"
01/01/2011,04:00:00,"3,410.61"
01/01/2011,05:00:00,"3,342.57"
01/01/2011,06:00:00,"3,447.69"
01/01/2011,07:00:00,"3,416.12"
01/01/2011,08:00:00,"3,286.82"
01/01/2011,09:00:00,"3,464.46"
01/01/2011,10:00:00,"3,432.30"
01/01/2011,11:00:00,"3,465.61"
01/01/2011,12:00:00,"3,513.60"
01/01/2011,13:00:00,"3,338.55"
01/01/2011,14:00:00,"3,336.78"
01/01/2011,15:00:00,"3,410.76"
01/01/2011,16:00:00,"3,540.94"
01/01/2011,17:00:00,"3,658.49"
01/01/2011,18:00:00,"3,901.22"
01/01/2011,19:00:00,"3,858.68"
01/01/2011,20:00:00,"3,752.11"
01/01/2011,21:00:00,"3,793.88"
01/01/2011,22:00:00,"3,680.85"
01/01/2011,23:00:00,"3,578.40"
02/01/2011,00:00:00,"3,265.72"
02/01/2011,01:00:00,"3,250.42"
02/01/2011,02:00:00,"3,200.55"
02/01/2011,03:00:00,"3,247.81"
02/01/2011,04:00:00,"3,236.49"
02/01/2011,05:00:00,"3,218.85"
02/01/2011,06:00:00,"3,296.19"
02/01/2011,07:00:00,"3,275.71"
02/01/2011,08:00:00,"3,321.74"
02/01/2011,09:00:00,"3,376.71"
02/01/2011,10:00:00,"3,386.36"
02/01/2011,11:00:00,"3,338.28"
02/01/2011,12:00:00,"3,373.44"
02/01/2011,13:00:00,"3,392.15"
02/01/2011,14:00:00,"3,330.79"
02/01/2011,15:00:00,"3,426.57"
02/01/2011,16:00:00,"3,499.91"
02/01/2011,17:00:00,"3,438.27"
02/01/2011,18:00:00,"3,457.73"
02/01/2011,19:00:00,"3,599.72"
02/01/2011,20:00:00,"3,624.87"
02/01/2011,21:00:00,"3,425.88"
02/01/2011,22:00:00,"3,349.59"
02/01/2011,23:00:00,"3,248.53"
03/01/2011,00:00:00,"3,496.73"
03/01/2011,01:00:00,"3,507.86"
03/01/2011,02:00:00,"3,435.80"
03/01/2011,03:00:00,"3,674.68"
03/01/2011,04:00:00,"3,681.63"
03/01/2011,05:00:00,"3,664.27"
03/01/2011,06:00:00,"3,368.24"
