Date,Time,Values
11/11/2015,03:00:00,-0.01
11/11/2015,04:00:00,-0.01
11/11/2015,05:00:00,-0.01
11/11/2015,06:00:00,-0.01
11/11/2015,09:00:00,-0.01
11/11/2015,10:00:00,0.01
11/11/2015,12:00:00,-0.01
11/11/2015,13:00:00,-0.01
11/11/2015,14:00:00,0.01
11/11/2015,15:00:00,0.01
11/11/2015,16:00:00,-0.01
11/11/2015,23:00:00,-0.01
12/11/2015,00:00:00,-0.01
12/11/2015,02:00:00,-0.01
12/11/2015,03:00:00,-0.01
12/11/2015,04:00:00,-0.01
12/11/2015,06:00:00,-0.01
12/11/2015,07:00:00,-0.01
12/11/2015,08:00:00,-0.01
12/11/2015,09:00:00,-0.01
12/11/2015,10:00:00,-0.02
12/11/2015,11:00:00,-0.02
12/11/2015,12:00:00,-0.01
12/11/2015,14:00:00,-0.01
12/11/2015,15:00:00,NA
13/11/2015,08:00:00,-0.01
13/11/2015,10:00:00,-0.01
13/11/2015,11:00:00,-0.01
13/11/2015,12:00:00,-0.01
13/11/2015,13:00:00,-0.01
13/11/2015,14:00:00,-0.02
13/11/2015,15:00:00,-0.02
13/11/2015,16:00:00,-0.01
13/11/2015,17:00:00,-0.01
13/11/2015,23:00:00,-0.01
14/11/2015,01:00:00,-0.01
14/11/2015,02:00:00,-0.01
14/11/2015,03:00:00,-0.01
14/11/2015,04:00:00,-0.01
14/11/2015,05:00:00,-0.01
14/11/2015,06:00:00,-0.01
14/11/2015,07:00:00,-0.01
14/11/2015,08:00:00,-0.01
14/11/2015,11:00:00,-0.01
14/11/2015,12:00:00,-0.01
14/11/2015,13:00:00,-0.02
14/11/2015,14:00:00,-0.02
14/11/2015,15:00:00,0.01
14/11/2015,16:00:00,-0.01
14/11/2015,17:00:00,-0.01
14/11/2015,23:00:00,-0.01
15/11/2015,00:00:00,-0.01
15/11/2015,01:00:00,-0.01
15/11/2015,11:00:00,-0.01
15/11/2015,12:00:00,-0.01
15/11/2015,13:00:00,-0.01
15/11/2015,14:00:00,-0.01
15/11/2015,15:00:00,-0.01
15/11/2015,16:00:00,-0.01
15/11/2015,17:00:00,-0.01
15/11/2015,18:00:00,-0.01
15/11/2015,19:00:00,-0.01
15/11/2015,20:00:00,-0.01
15/11/2015,21:00:00,-0.01
16/11/2015,01:00:00,-0.01
16/11/2015,02:00:00,-0.01
16/11/2015,05:00:00,-0.01
16/11/2015,06:00:00,-0.01
16/11/2015,08:00:00,-0.01
16/11/2015,09:00:00,-0.01
16/11/2015,12:00:00,0.01
16/11/2015,13:00:00,0.01
16/11/2015,14:00:00,0.01
16/11/2015,19:00:00,-0.01
