Date,Time,Values
09/11/2015,13:00:00,264.89
09/11/2015,14:00:00,263.47
09/11/2015,16:00:00,268.82
09/11/2015,17:00:00,258.10
10/11/2015,11:00:00,232.66
10/11/2015,12:00:00,196.08
10/11/2015,13:00:00,197.88
10/11/2015,14:00:00,180.96
10/11/2015,15:00:00,214.04
10/11/2015,16:00:00,219.90
10/11/2015,17:00:00,217.47
10/11/2015,18:00:00,218.57
10/11/2015,19:00:00,71.05
10/11/2015,20:00:00,101.47
10/11/2015,21:00:00,112.54
10/11/2015,22:00:00,189.17
10/11/2015,23:00:00,181.69
11/11/2015,00:00:00,181.91
11/11/2015,01:00:00,174.15
11/11/2015,02:00:00,179.06
11/11/2015,03:00:00,170.05
11/11/2015,04:00:00,169.46
11/11/2015,05:00:00,156.57
11/11/2015,06:00:00,168.05
11/11/2015,07:00:00,164.04
11/11/2015,08:00:00,176.14
11/11/2015,09:00:00,181.31
11/11/2015,10:00:00,187.70
11/11/2015,11:00:00,179.46
11/11/2015,12:00:00,168.92
11/11/2015,13:00:00,174.67
11/11/2015,14:00:00,173.61
11/11/2015,15:00:00,182.17
11/11/2015,16:00:00,182.95
11/11/2015,17:00:00,174.49
11/11/2015,18:00:00,175.72
11/11/2015,19:00:00,150.26
11/11/2015,20:00:00,166.92
11/11/2015,21:00:00,175.96
11/11/2015,22:00:00,168.90
11/11/2015,23:00:00,157.12
12/11/2015,00:00:00,143.61
12/11/2015,01:00:00,138.55
12/11/2015,02:00:00,138.59
12/11/2015,03:00:00,136.72
12/11/2015,04:00:00,140.25
12/11/2015,05:00:00,133.55
12/11/2015,06:00:00,136.16
12/11/2015,07:00:00,138.02
12/11/2015,08:00:00,144.44
12/11/2015,09:00:00,141.67
12/11/2015,10:00:00,164.18
12/11/2015,11:00:00,145.66
12/11/2015,12:00:00,165.16
12/11/2015,13:00:00,172.31
12/11/2015,14:00:00,153.44
12/11/2015,15:00:00,166.76
12/11/2015,16:00:00,177.83
12/11/2015,17:00:00,184.61
12/11/2015,18:00:00,195.72
12/11/2015,19:00:00,192.06
12/11/2015,20:00:00,231.98
12/11/2015,21:00:00,229.26
12/11/2015,22:00:00,229.95
12/11/2015,23:00:00,166.39
13/11/2015,00:00:00,177.01
13/11/2015,01:00:00,166.34
13/11/2015,02:00:00,165.52
13/11/2015,03:00:00,118.47
13/11/2015,04:00:00,124.08
13/11/2015,05:00:00,124.26
13/11/2015,06:00:00,144.52
13/11/2015,07:00:00,146.32
13/11/2015,08:00:00,166.46
13/11/2015,09:00:00,164.45
13/11/2015,10:00:00,128.41
13/11/2015,11:00:00,149.68
13/11/2015,12:00:00,152.63
13/11/2015,13:00:00,157.87
13/11/2015,14:00:00,152.34
13/11/2015,15:00:00,130.33
13/11/2015,16:00:00,130.72
13/11/2015,17:00:00,138.51
13/11/2015,18:00:00,121.17
13/11/2015,19:00:00,138.59
13/11/2015,20:00:00,151.32
13/11/2015,21:00:00,170.52
13/11/2015,22:00:00,175.95
13/11/2015,23:00:00,184.09
14/11/2015,00:00:00,191.48
14/11/2015,01:00:00,188.68
14/11/2015,02:00:00,160.69
14/11/2015,03:00:00,138.94
14/11/2015,04:00:00,128.94
14/11/2015,05:00:00,120.83
14/11/2015,06:00:00,106.09
14/11/2015,07:00:00,111.08
14/11/2015,08:00:00,118.12
14/11/2015,09:00:00,116.37
14/11/2015,10:00:00,115.22
14/11/2015,11:00:00,135.65
14/11/2015,12:00:00,148.53
14/11/2015,13:00:00,141.23
14/11/2015,14:00:00,149.03
14/11/2015,15:00:00,162.13
14/11/2015,16:00:00,142.27
14/11/2015,17:00:00,128.75
14/11/2015,18:00:00,110.66
14/11/2015,19:00:00,134.38
14/11/2015,20:00:00,123.48
14/11/2015,21:00:00,127.36
14/11/2015,22:00:00,120.49
14/11/2015,23:00:00,132.73
15/11/2015,00:00:00,158.66
15/11/2015,01:00:00,179.45
15/11/2015,02:00:00,164.72
15/11/2015,03:00:00,175.39
15/11/2015,04:00:00,177.67
15/11/2015,05:00:00,172.89
15/11/2015,06:00:00,140.41
15/11/2015,07:00:00,129.81
15/11/2015,08:00:00,168.95
15/11/2015,09:00:00,188.65
15/11/2015,10:00:00,203.89
15/11/2015,11:00:00,190.06
15/11/2015,12:00:00,174.97
15/11/2015,13:00:00,158.01
15/11/2015,14:00:00,170.55
15/11/2015,15:00:00,165.87
15/11/2015,16:00:00,196.04
15/11/2015,17:00:00,231.64
15/11/2015,18:00:00,231.68
15/11/2015,19:00:00,231.85
15/11/2015,20:00:00,231.70
15/11/2015,21:00:00,231.92
15/11/2015,22:00:00,231.88
15/11/2015,23:00:00,252.28
16/11/2015,00:00:00,310.90
16/11/2015,01:00:00,254.38
16/11/2015,02:00:00,207.78
16/11/2015,03:00:00,194.25
16/11/2015,04:00:00,200.68
16/11/2015,05:00:00,195.65
16/11/2015,06:00:00,198.38
16/11/2015,07:00:00,231.10
16/11/2015,08:00:00,183.81
16/11/2015,09:00:00,129.80
16/11/2015,10:00:00,205.76
16/11/2015,11:00:00,175.57
16/11/2015,12:00:00,173.84
