Date,Time,Values
09/11/2015,13:00:00,0.98
09/11/2015,14:00:00,0.98
09/11/2015,16:00:00,1.02
09/11/2015,17:00:00,1.03
10/11/2015,11:00:00,0.91
10/11/2015,12:00:00,0.92
10/11/2015,13:00:00,1.05
10/11/2015,14:00:00,0.94
10/11/2015,15:00:00,1.06
10/11/2015,16:00:00,1.08
10/11/2015,17:00:00,1.01
10/11/2015,18:00:00,1.01
10/11/2015,19:00:00,0.89
10/11/2015,20:00:00,0.90
10/11/2015,21:00:00,0.75
10/11/2015,22:00:00,1.04
10/11/2015,23:00:00,1.07
11/11/2015,00:00:00,1.05
11/11/2015,01:00:00,1.05
11/11/2015,02:00:00,1.04
11/11/2015,03:00:00,1.01
11/11/2015,04:00:00,1.01
11/11/2015,05:00:00,1.03
11/11/2015,06:00:00,1.01
11/11/2015,07:00:00,0.99
11/11/2015,08:00:00,1.09
11/11/2015,09:00:00,1.13
11/11/2015,10:00:00,1.19
11/11/2015,11:00:00,1.19
11/11/2015,12:00:00,1.11
11/11/2015,13:00:00,1.12
11/11/2015,14:00:00,1.12
11/11/2015,15:00:00,1.15
11/11/2015,16:00:00,1.15
11/11/2015,17:00:00,1.08
11/11/2015,18:00:00,1.03
11/11/2015,19:00:00,1.01
11/11/2015,20:00:00,1.00
11/11/2015,21:00:00,1.07
11/11/2015,22:00:00,1.03
11/11/2015,23:00:00,0.98
12/11/2015,00:00:00,1.04
12/11/2015,01:00:00,1.06
12/11/2015,02:00:00,1.07
12/11/2015,03:00:00,1.08
12/11/2015,04:00:00,1.07
12/11/2015,05:00:00,1.06
12/11/2015,06:00:00,1.10
12/11/2015,07:00:00,1.09
12/11/2015,08:00:00,1.06
12/11/2015,09:00:00,1.08
12/11/2015,10:00:00,1.04
12/11/2015,11:00:00,1.04
12/11/2015,12:00:00,1.05
12/11/2015,13:00:00,1.06
12/11/2015,14:00:00,1.07
12/11/2015,15:00:00,1.03
12/11/2015,16:00:00,1.06
12/11/2015,17:00:00,1.04
12/11/2015,18:00:00,1.01
12/11/2015,19:00:00,1.01
12/11/2015,20:00:00,1.02
12/11/2015,21:00:00,1.01
12/11/2015,22:00:00,1.01
12/11/2015,23:00:00,0.99
13/11/2015,00:00:00,1.03
13/11/2015,01:00:00,1.02
13/11/2015,02:00:00,0.97
