Date,Time,Values
16/11/2013,15:00:00,132.50
16/11/2013,16:00:00,63.25
16/11/2013,17:00:00,1.00
17/11/2013,02:00:00,9.50
17/11/2013,03:00:00,22.25
17/11/2013,04:00:00,31.75
17/11/2013,05:00:00,25.00
17/11/2013,06:00:00,12.67
17/11/2013,07:00:00,58.25
17/11/2013,08:00:00,77.25
17/11/2013,09:00:00,71.25
17/11/2013,10:00:00,90.50
17/11/2013,11:00:00,103.00
17/11/2013,12:00:00,104.50
17/11/2013,13:00:00,119.00
17/11/2013,14:00:00,117.25
17/11/2013,15:00:00,109.00
17/11/2013,16:00:00,95.25
17/11/2013,17:00:00,42.75
17/11/2013,18:00:00,34.25
17/11/2013,19:00:00,28.50
17/11/2013,20:00:00,21.00
17/11/2013,21:00:00,7.25
17/11/2013,22:00:00,16.75
17/11/2013,23:00:00,29.50
18/11/2013,00:00:00,31.50
18/11/2013,01:00:00,63.00
18/11/2013,02:00:00,89.50
18/11/2013,03:00:00,105.00
18/11/2013,04:00:00,94.00
18/11/2013,05:00:00,94.00
18/11/2013,06:00:00,97.00
18/11/2013,07:00:00,78.25
18/11/2013,08:00:00,85.25
18/11/2013,09:00:00,95.50
18/11/2013,10:00:00,100.50
18/11/2013,11:00:00,102.25
18/11/2013,12:00:00,106.25
18/11/2013,13:00:00,119.75
18/11/2013,14:00:00,107.50
18/11/2013,15:00:00,106.00
18/11/2013,16:00:00,85.75
18/11/2013,17:00:00,30.75
18/11/2013,18:00:00,19.50
18/11/2013,19:00:00,27.50
18/11/2013,20:00:00,37.00
18/11/2013,21:00:00,49.00
18/11/2013,22:00:00,67.75
18/11/2013,23:00:00,88.50
19/11/2013,00:00:00,71.50
19/11/2013,01:00:00,72.50
19/11/2013,02:00:00,65.25
19/11/2013,03:00:00,86.75
19/11/2013,04:00:00,107.00
19/11/2013,05:00:00,118.75
19/11/2013,06:00:00,117.50
19/11/2013,07:00:00,104.00
19/11/2013,08:00:00,96.00
19/11/2013,09:00:00,95.25
19/11/2013,10:00:00,94.75
19/11/2013,11:00:00,104.25
19/11/2013,12:00:00,105.50
19/11/2013,13:00:00,109.25
19/11/2013,14:00:00,111.75
19/11/2013,15:00:00,105.75
19/11/2013,16:00:00,97.00
19/11/2013,17:00:00,44.33
19/11/2013,18:00:00,2.00
