Date,Time,Values
01/01/2011,00:00:00,1.32
01/01/2011,01:00:00,10.52
01/01/2011,02:00:00,13.04
01/01/2011,03:00:00,11.76
01/01/2011,04:00:00,2.62
01/01/2011,05:00:00,0.23
01/01/2011,06:00:00,0.08
01/01/2011,07:00:00,0.23
01/01/2011,08:00:00,0.35
01/01/2011,09:00:00,0.29
01/01/2011,10:00:00,0.37
01/01/2011,11:00:00,0.36
01/01/2011,12:00:00,0.34
01/01/2011,13:00:00,0.34
01/01/2011,14:00:00,0.35
01/01/2011,15:00:00,0.17
01/01/2011,16:00:00,0.32
01/01/2011,17:00:00,1.11
01/01/2011,18:00:00,1.27
01/01/2011,19:00:00,1.20
01/01/2011,20:00:00,0.40
01/01/2011,21:00:00,0.18
01/01/2011,22:00:00,0.09
01/01/2011,23:00:00,0.12
02/01/2011,00:00:00,0.13
02/01/2011,01:00:00,0.12
02/01/2011,02:00:00,0.14
02/01/2011,03:00:00,0.15
02/01/2011,04:00:00,0.35
02/01/2011,05:00:00,0.46
02/01/2011,06:00:00,0.45
02/01/2011,07:00:00,0.45
02/01/2011,08:00:00,0.37
02/01/2011,09:00:00,0.29
02/01/2011,10:00:00,0.25
02/01/2011,11:00:00,0.23
02/01/2011,12:00:00,0.44
02/01/2011,13:00:00,0.43
02/01/2011,14:00:00,0.40
02/01/2011,15:00:00,0.40
02/01/2011,16:00:00,0.23
02/01/2011,17:00:00,0.25
02/01/2011,18:00:00,0.28
02/01/2011,19:00:00,0.25
02/01/2011,20:00:00,0.32
02/01/2011,21:00:00,0.31
02/01/2011,22:00:00,0.31
02/01/2011,23:00:00,0.32
03/01/2011,00:00:00,0.32
03/01/2011,01:00:00,0.28
03/01/2011,02:00:00,0.19
03/01/2011,03:00:00,0.13
03/01/2011,04:00:00,0.27
03/01/2011,05:00:00,0.35
03/01/2011,06:00:00,0.31
03/01/2011,07:00:00,0.44
03/01/2011,08:00:00,0.30
03/01/2011,09:00:00,0.23
03/01/2011,12:00:00,1.23
03/01/2011,13:00:00,0.57
03/01/2011,14:00:00,1.65
03/01/2011,15:00:00,0.05
03/01/2011,16:00:00,0.44
03/01/2011,17:00:00,0.43
03/01/2011,18:00:00,0.44
03/01/2011,19:00:00,0.49
03/01/2011,20:00:00,0.47
03/01/2011,23:00:00,0.86
04/01/2011,00:00:00,0.39
04/01/2011,02:00:00,12.51
04/01/2011,04:00:00,0.63
04/01/2011,05:00:00,1.08
04/01/2011,06:00:00,0.81
04/01/2011,07:00:00,0.55
04/01/2011,08:00:00,0.94
04/01/2011,09:00:00,0.33
04/01/2011,12:00:00,1.05
04/01/2011,13:00:00,3.13
04/01/2011,14:00:00,5.80
04/01/2011,15:00:00,10.97
04/01/2011,16:00:00,4.02
04/01/2011,17:00:00,9.52
04/01/2011,18:00:00,0.46
04/01/2011,20:00:00,1.58
04/01/2011,21:00:00,10.33
04/01/2011,22:00:00,12.33
04/01/2011,23:00:00,11.24
05/01/2011,00:00:00,2.39
05/01/2011,01:00:00,2.84
05/01/2011,02:00:00,7.43
05/01/2011,03:00:00,2.75
05/01/2011,04:00:00,5.93
05/01/2011,05:00:00,11.70
05/01/2011,06:00:00,11.45
05/01/2011,07:00:00,12.11
05/01/2011,08:00:00,2.72
05/01/2011,09:00:00,0.10
05/01/2011,10:00:00,0.04
05/01/2011,11:00:00,0.16
05/01/2011,12:00:00,2.14
05/01/2011,13:00:00,4.06
05/01/2011,15:00:00,1.15
05/01/2011,16:00:00,0.50
