Date,Time,Values
01/01/2011,00:00:00,52.27
01/01/2011,01:00:00,44.67
01/01/2011,02:00:00,18.78
01/01/2011,03:00:00,10.92
01/01/2011,04:00:00,6.47
01/01/2011,05:00:00,9.25
01/01/2011,06:00:00,11.78
01/01/2011,07:00:00,18.82
01/01/2011,08:00:00,15.05
01/01/2011,09:00:00,12.55
01/01/2011,10:00:00,15.57
01/01/2011,11:00:00,9.78
01/01/2011,12:00:00,9.30
01/01/2011,13:00:00,11.67
01/01/2011,14:00:00,11.13
01/01/2011,15:00:00,9.03
01/01/2011,16:00:00,11.03
01/01/2011,17:00:00,11.05
01/01/2011,18:00:00,16.60
01/01/2011,19:00:00,13.10
01/01/2011,20:00:00,19.15
01/01/2011,21:00:00,16.70
01/01/2011,22:00:00,11.05
01/01/2011,23:00:00,9.13
02/01/2011,00:00:00,9.42
02/01/2011,01:00:00,8.32
02/01/2011,02:00:00,6.72
02/01/2011,03:00:00,5.82
02/01/2011,04:00:00,6.08
02/01/2011,05:00:00,7.72
02/01/2011,06:00:00,8.38
02/01/2011,07:00:00,8.53
02/01/2011,08:00:00,7.93
02/01/2011,09:00:00,10.25
02/01/2011,10:00:00,14.15
02/01/2011,11:00:00,12.93
02/01/2011,12:00:00,17.35
02/01/2011,13:00:00,16.10
02/01/2011,14:00:00,17.23
02/01/2011,15:00:00,15.07
02/01/2011,16:00:00,19.38
02/01/2011,17:00:00,18.48
02/01/2011,18:00:00,14.70
02/01/2011,19:00:00,11.20
02/01/2011,20:00:00,16.48
02/01/2011,21:00:00,16.55
02/01/2011,22:00:00,16.40
02/01/2011,23:00:00,11.25
03/01/2011,00:00:00,9.00
03/01/2011,01:00:00,11.48
03/01/2011,02:00:00,9.35
03/01/2011,03:00:00,10.23
03/01/2011,04:00:00,10.03
03/01/2011,05:00:00,14.18
03/01/2011,06:00:00,16.70
03/01/2011,07:00:00,22.70
03/01/2011,08:00:00,26.33
03/01/2011,09:00:00,30.70
03/01/2011,10:00:00,22.45
03/01/2011,11:00:00,24.40
03/01/2011,12:00:00,20.70
03/01/2011,13:00:00,15.93
03/01/2011,14:00:00,14.05
03/01/2011,15:00:00,12.35
03/01/2011,16:00:00,9.80
03/01/2011,17:00:00,5.53
03/01/2011,18:00:00,5.20
03/01/2011,19:00:00,7.13
03/01/2011,20:00:00,117.77
03/01/2011,21:00:00,209.48
03/01/2011,22:00:00,104.23
03/01/2011,23:00:00,41.95
04/01/2011,00:00:00,61.48
04/01/2011,01:00:00,23.80
04/01/2011,02:00:00,35.70
04/01/2011,03:00:00,46.30
04/01/2011,04:00:00,71.72
04/01/2011,05:00:00,92.83
04/01/2011,06:00:00,160.57
04/01/2011,07:00:00,121.55
04/01/2011,08:00:00,49.35
04/01/2011,09:00:00,26.68
04/01/2011,10:00:00,16.82
04/01/2011,11:00:00,21.68
04/01/2011,12:00:00,18.23
04/01/2011,13:00:00,19.58
04/01/2011,14:00:00,17.18
04/01/2011,15:00:00,13.50
04/01/2011,16:00:00,11.90
04/01/2011,17:00:00,16.40
04/01/2011,18:00:00,17.68
04/01/2011,19:00:00,19.13
04/01/2011,20:00:00,24.38
04/01/2011,21:00:00,15.40
04/01/2011,22:00:00,13.32
04/01/2011,23:00:00,11.92
05/01/2011,00:00:00,9.53
05/01/2011,01:00:00,9.40
05/01/2011,02:00:00,8.82
05/01/2011,03:00:00,8.28
05/01/2011,04:00:00,6.80
05/01/2011,05:00:00,9.95
05/01/2011,06:00:00,13.88
05/01/2011,07:00:00,12.95
05/01/2011,08:00:00,13.43
05/01/2011,09:00:00,17.75
05/01/2011,10:00:00,14.88
05/01/2011,11:00:00,25.70
05/01/2011,12:00:00,21.35
05/01/2011,13:00:00,16.80
05/01/2011,14:00:00,13.88
05/01/2011,15:00:00,15.47
05/01/2011,16:00:00,16.98
05/01/2011,17:00:00,13.55
05/01/2011,18:00:00,16.05
05/01/2011,19:00:00,18.68
05/01/2011,20:00:00,26.90
05/01/2011,21:00:00,21.95
05/01/2011,22:00:00,17.35
05/01/2011,23:00:00,18.35
06/01/2011,00:00:00,15.90
06/01/2011,01:00:00,12.72
06/01/2011,02:00:00,10.70
06/01/2011,03:00:00,9.28
06/01/2011,04:00:00,8.38
06/01/2011,05:00:00,11.52
06/01/2011,06:00:00,15.82
06/01/2011,07:00:00,17.60
06/01/2011,08:00:00,18.00
06/01/2011,09:00:00,30.48
06/01/2011,10:00:00,22.30
06/01/2011,11:00:00,34.95
06/01/2011,12:00:00,25.27
06/01/2011,13:00:00,26.38
06/01/2011,14:00:00,22.17
06/01/2011,15:00:00,19.38
06/01/2011,16:00:00,20.15
06/01/2011,17:00:00,42.02
06/01/2011,18:00:00,29.27
06/01/2011,19:00:00,36.00
06/01/2011,20:00:00,30.30
06/01/2011,21:00:00,31.55
06/01/2011,22:00:00,31.13
06/01/2011,23:00:00,24.70
07/01/2011,00:00:00,16.13
07/01/2011,01:00:00,11.70
07/01/2011,02:00:00,8.57
07/01/2011,03:00:00,9.57
07/01/2011,04:00:00,11.45
07/01/2011,05:00:00,15.07
07/01/2011,06:00:00,23.78
07/01/2011,07:00:00,26.95
07/01/2011,08:00:00,32.85
07/01/2011,09:00:00,39.20
07/01/2011,10:00:00,40.25
07/01/2011,11:00:00,40.10
07/01/2011,12:00:00,68.80
07/01/2011,13:00:00,61.80
07/01/2011,14:00:00,61.23
07/01/2011,15:00:00,63.10
07/01/2011,16:00:00,91.60
07/01/2011,17:00:00,89.33
07/01/2011,18:00:00,124.70
07/01/2011,19:00:00,114.55
07/01/2011,20:00:00,109.35
07/01/2011,21:00:00,105.13
07/01/2011,22:00:00,100.00
07/01/2011,23:00:00,90.60
08/01/2011,00:00:00,94.13
08/01/2011,01:00:00,37.45
08/01/2011,02:00:00,38.20
08/01/2011,03:00:00,44.10
08/01/2011,04:00:00,46.65
08/01/2011,05:00:00,36.17
08/01/2011,06:00:00,35.57
08/01/2011,07:00:00,44.80
08/01/2011,08:00:00,54.60
08/01/2011,09:00:00,63.05
08/01/2011,10:00:00,67.68
08/01/2011,11:00:00,75.82
08/01/2011,12:00:00,78.68
08/01/2011,13:00:00,68.48
08/01/2011,14:00:00,57.03
08/01/2011,15:00:00,55.57
08/01/2011,16:00:00,75.50
08/01/2011,17:00:00,101.00
08/01/2011,18:00:00,139.38
08/01/2011,19:00:00,227.15
08/01/2011,20:00:00,245.43
08/01/2011,21:00:00,249.63
08/01/2011,22:00:00,286.77
08/01/2011,23:00:00,303.48
09/01/2011,00:00:00,131.58
09/01/2011,01:00:00,23.42
09/01/2011,02:00:00,21.32
09/01/2011,03:00:00,12.78
09/01/2011,04:00:00,12.20
09/01/2011,05:00:00,13.63
09/01/2011,06:00:00,16.25
09/01/2011,07:00:00,10.78
09/01/2011,08:00:00,20.90
09/01/2011,09:00:00,24.57
09/01/2011,10:00:00,13.57
09/01/2011,11:00:00,21.47
09/01/2011,12:00:00,23.70
09/01/2011,13:00:00,24.13
09/01/2011,14:00:00,15.82
09/01/2011,15:00:00,20.38
09/01/2011,16:00:00,16.73
09/01/2011,17:00:00,18.08
09/01/2011,18:00:00,16.02
09/01/2011,19:00:00,16.45
09/01/2011,20:00:00,16.88
09/01/2011,21:00:00,20.82
09/01/2011,22:00:00,22.23
09/01/2011,23:00:00,12.50
10/01/2011,00:00:00,11.55
10/01/2011,01:00:00,12.63
10/01/2011,02:00:00,9.57
10/01/2011,03:00:00,8.13
10/01/2011,04:00:00,9.05
10/01/2011,05:00:00,8.20
10/01/2011,06:00:00,8.45
10/01/2011,07:00:00,9.32
10/01/2011,08:00:00,15.02
10/01/2011,09:00:00,16.05
10/01/2011,10:00:00,20.13
10/01/2011,11:00:00,20.27
10/01/2011,12:00:00,15.70
10/01/2011,13:00:00,15.43
10/01/2011,14:00:00,12.08
10/01/2011,15:00:00,14.03
10/01/2011,16:00:00,10.65
10/01/2011,17:00:00,8.63
10/01/2011,18:00:00,17.33
10/01/2011,19:00:00,13.75
10/01/2011,20:00:00,12.10
10/01/2011,21:00:00,17.25
10/01/2011,22:00:00,28.65
10/01/2011,23:00:00,13.63
11/01/2011,06:00:00,11.15
11/01/2011,07:00:00,15.35
11/01/2011,08:00:00,18.43
11/01/2011,09:00:00,25.58
11/01/2011,10:00:00,16.00
11/01/2011,11:00:00,13.72
11/01/2011,12:00:00,12.85
11/01/2011,13:00:00,15.92
11/01/2011,14:00:00,12.57
11/01/2011,15:00:00,14.97
11/01/2011,16:00:00,11.03
11/01/2011,17:00:00,15.95
11/01/2011,18:00:00,88.25
11/01/2011,19:00:00,148.13
11/01/2011,20:00:00,160.15
11/01/2011,21:00:00,140.33
11/01/2011,22:00:00,120.05
11/01/2011,23:00:00,230.58
12/01/2011,00:00:00,246.97
12/01/2011,01:00:00,239.53
12/01/2011,02:00:00,177.05
12/01/2011,03:00:00,174.42
12/01/2011,04:00:00,162.20
12/01/2011,05:00:00,144.38
12/01/2011,06:00:00,135.88
12/01/2011,07:00:00,138.65
12/01/2011,08:00:00,129.30
12/01/2011,09:00:00,68.38
12/01/2011,10:00:00,26.60
12/01/2011,11:00:00,20.08
12/01/2011,12:00:00,10.40
12/01/2011,13:00:00,9.43
12/01/2011,14:00:00,7.38
12/01/2011,15:00:00,8.32
12/01/2011,16:00:00,7.25
12/01/2011,17:00:00,10.15
12/01/2011,18:00:00,108.68
12/01/2011,19:00:00,297.42
12/01/2011,20:00:00,365.90
12/01/2011,21:00:00,498.18
12/01/2011,22:00:00,508.20
12/01/2011,23:00:00,464.47
13/01/2011,00:00:00,428.67
13/01/2011,01:00:00,440.25
13/01/2011,02:00:00,464.15
