Date,Time,Values
01/01/2011,00:00:00,29.75
01/01/2011,01:00:00,26.25
01/01/2011,02:00:00,25.5
01/01/2011,03:00:00,19.0
01/01/2011,04:00:00,14.5
01/01/2011,05:00:00,15.25
01/01/2011,06:00:00,14.25
01/01/2011,07:00:00,17.75
01/01/2011,08:00:00,18.25
01/01/2011,09:00:00,17.25
01/01/2011,10:00:00,24.25
01/01/2011,11:00:00,20.0
01/01/2011,12:00:00,23.25
01/01/2011,13:00:00,23.75
01/01/2011,14:00:00,22.0
01/01/2011,15:00:00,22.75
01/01/2011,16:00:00,27.5
01/01/2011,17:00:00,32.75
01/01/2011,18:00:00,31.75
01/01/2011,19:00:00,29.25
01/01/2011,20:00:00,26.75
01/01/2011,21:00:00,24.75
01/01/2011,22:00:00,18.0
01/01/2011,23:00:00,15.5
02/01/2011,00:00:00,17.25
02/01/2011,01:00:00,14.0
02/01/2011,02:00:00,10.75
02/01/2011,03:00:00,9.75
02/01/2011,04:00:00,9.0
02/01/2011,05:00:00,12.5
02/01/2011,06:00:00,14.5
02/01/2011,07:00:00,17.75
02/01/2011,08:00:00,15.0
02/01/2011,09:00:00,18.75
02/01/2011,10:00:00,17.0
02/01/2011,11:00:00,17.0
02/01/2011,12:00:00,20.75
02/01/2011,13:00:00,19.75
02/01/2011,14:00:00,21.25
02/01/2011,15:00:00,22.0
02/01/2011,16:00:00,26.5
02/01/2011,17:00:00,23.25
02/01/2011,18:00:00,21.25
02/01/2011,19:00:00,19.75
02/01/2011,20:00:00,21.25
02/01/2011,21:00:00,21.5
02/01/2011,22:00:00,20.75
02/01/2011,23:00:00,20.5
03/01/2011,00:00:00,16.25
03/01/2011,01:00:00,16.0
03/01/2011,02:00:00,16.0
03/01/2011,03:00:00,19.25
03/01/2011,04:00:00,17.25
03/01/2011,05:00:00,24.25
03/01/2011,06:00:00,25.0
03/01/2011,07:00:00,20.75
03/01/2011,08:00:00,19.5
03/01/2011,09:00:00,18.25
03/01/2011,10:00:00,25.5
03/01/2011,11:00:00,39.75
03/01/2011,12:00:00,53.25
03/01/2011,13:00:00,53.75
03/01/2011,14:00:00,53.75
03/01/2011,15:00:00,41.25
03/01/2011,16:00:00,38.75
03/01/2011,17:00:00,44.5
03/01/2011,18:00:00,53.25
03/01/2011,19:00:00,68.5
03/01/2011,20:00:00,74.25
03/01/2011,21:00:00,71.25
03/01/2011,22:00:00,77.0
03/01/2011,23:00:00,60.25
04/01/2011,00:00:00,56.25
04/01/2011,01:00:00,40.5
04/01/2011,02:00:00,30.5
04/01/2011,03:00:00,26.0
04/01/2011,04:00:00,17.75
04/01/2011,05:00:00,17.75
04/01/2011,06:00:00,8.75
04/01/2011,07:00:00,13.5
04/01/2011,08:00:00,25.75
04/01/2011,09:00:00,27.5
04/01/2011,10:00:00,23.0
04/01/2011,11:00:00,22.5
