Date,Time,Values
01/01/2011,00:00:00,58.25
01/01/2011,01:00:00,50.50
01/01/2011,02:00:00,28.75
01/01/2011,03:00:00,19.25
01/01/2011,04:00:00,13.00
01/01/2011,05:00:00,15.75
01/01/2011,06:00:00,17.00
01/01/2011,07:00:00,24.75
01/01/2011,08:00:00,21.75
01/01/2011,09:00:00,19.25
01/01/2011,10:00:00,25.50
01/01/2011,11:00:00,18.75
01/01/2011,12:00:00,20.25
01/01/2011,13:00:00,22.00
01/01/2011,14:00:00,21.25
01/01/2011,15:00:00,19.50
01/01/2011,16:00:00,23.50
01/01/2011,17:00:00,26.25
01/01/2011,18:00:00,30.50
01/01/2011,19:00:00,26.25
01/01/2011,20:00:00,29.75
01/01/2011,21:00:00,26.50
01/01/2011,22:00:00,18.50
01/01/2011,23:00:00,16.00
02/01/2011,00:00:00,16.75
02/01/2011,01:00:00,14.25
02/01/2011,02:00:00,11.00
02/01/2011,03:00:00,10.00
02/01/2011,04:00:00,9.75
02/01/2011,05:00:00,13.00
02/01/2011,06:00:00,14.50
02/01/2011,07:00:00,16.50
02/01/2011,08:00:00,14.00
02/01/2011,09:00:00,18.00
02/01/2011,10:00:00,20.50
02/01/2011,11:00:00,19.50
02/01/2011,12:00:00,25.50
02/01/2011,13:00:00,23.75
02/01/2011,14:00:00,25.00
02/01/2011,15:00:00,24.00
02/01/2011,16:00:00,30.00
02/01/2011,17:00:00,27.25
02/01/2011,18:00:00,23.50
02/01/2011,19:00:00,19.50
02/01/2011,20:00:00,24.50
02/01/2011,21:00:00,25.00
02/01/2011,22:00:00,24.25
02/01/2011,23:00:00,20.25
03/01/2011,00:00:00,16.25
03/01/2011,01:00:00,18.00
03/01/2011,02:00:00,16.25
03/01/2011,03:00:00,18.50
03/01/2011,04:00:00,17.50
03/01/2011,05:00:00,24.50
03/01/2011,06:00:00,26.75
03/01/2011,07:00:00,29.50
03/01/2011,08:00:00,31.75
03/01/2011,09:00:00,35.00
03/01/2011,10:00:00,31.75
03/01/2011,11:00:00,41.25
03/01/2011,12:00:00,45.50
03/01/2011,13:00:00,41.50
03/01/2011,14:00:00,40.25
03/01/2011,15:00:00,32.00
03/01/2011,16:00:00,28.50
03/01/2011,17:00:00,28.25
03/01/2011,18:00:00,32.50
03/01/2011,19:00:00,42.25
03/01/2011,20:00:00,135.50
03/01/2011,21:00:00,208.25
03/01/2011,22:00:00,125.50
03/01/2011,23:00:00,66.50
04/01/2011,00:00:00,79.75
04/01/2011,01:00:00,40.75
04/01/2011,02:00:00,45.50
04/01/2011,03:00:00,51.50
04/01/2011,04:00:00,67.50
04/01/2011,05:00:00,85.00
04/01/2011,06:00:00,135.25
04/01/2011,07:00:00,106.00
04/01/2011,08:00:00,54.00
04/01/2011,09:00:00,36.25
04/01/2011,10:00:00,26.00
04/01/2011,11:00:00,29.75
04/01/2011,12:00:00,26.50
04/01/2011,13:00:00,28.75
04/01/2011,14:00:00,30.00
04/01/2011,15:00:00,24.75
04/01/2011,16:00:00,24.00
04/01/2011,17:00:00,29.00
04/01/2011,18:00:00,31.75
04/01/2011,19:00:00,31.50
04/01/2011,20:00:00,35.00
04/01/2011,21:00:00,25.25
04/01/2011,22:00:00,22.00
04/01/2011,23:00:00,21.25
05/01/2011,00:00:00,17.50
05/01/2011,01:00:00,18.75
05/01/2011,02:00:00,17.25
05/01/2011,03:00:00,15.50
05/01/2011,04:00:00,13.00
05/01/2011,05:00:00,17.00
05/01/2011,06:00:00,21.00
05/01/2011,07:00:00,21.25
05/01/2011,08:00:00,22.75
05/01/2011,09:00:00,26.50
05/01/2011,10:00:00,23.50
05/01/2011,11:00:00,33.25
05/01/2011,12:00:00,29.00
05/01/2011,13:00:00,27.75
05/01/2011,14:00:00,25.25
05/01/2011,15:00:00,27.50
05/01/2011,16:00:00,29.75
05/01/2011,17:00:00,28.25
05/01/2011,18:00:00,31.25
05/01/2011,19:00:00,33.25
05/01/2011,20:00:00,41.00
05/01/2011,21:00:00,31.75
05/01/2011,22:00:00,29.00
05/01/2011,23:00:00,31.00
06/01/2011,00:00:00,27.00
06/01/2011,01:00:00,21.25
06/01/2011,02:00:00,20.00
06/01/2011,03:00:00,16.75
06/01/2011,04:00:00,15.00
06/01/2011,05:00:00,19.50
06/01/2011,06:00:00,23.00
06/01/2011,07:00:00,24.50
06/01/2011,08:00:00,25.00
06/01/2011,09:00:00,36.50
06/01/2011,10:00:00,30.25
06/01/2011,11:00:00,44.25
06/01/2011,12:00:00,40.75
06/01/2011,13:00:00,42.25
06/01/2011,14:00:00,38.50
06/01/2011,15:00:00,36.00
06/01/2011,16:00:00,37.75
06/01/2011,17:00:00,60.25
06/01/2011,18:00:00,49.75
06/01/2011,19:00:00,48.25
06/01/2011,20:00:00,41.50
06/01/2011,21:00:00,41.75
06/01/2011,22:00:00,39.00
06/01/2011,23:00:00,32.00
07/01/2011,00:00:00,23.00
07/01/2011,01:00:00,18.25
07/01/2011,02:00:00,14.25
07/01/2011,03:00:00,14.50
07/01/2011,04:00:00,17.50
07/01/2011,05:00:00,20.75
07/01/2011,06:00:00,28.25
07/01/2011,07:00:00,30.50
07/01/2011,08:00:00,34.50
07/01/2011,09:00:00,39.50
07/01/2011,10:00:00,46.75
07/01/2011,11:00:00,61.50
07/01/2011,12:00:00,101.75
07/01/2011,13:00:00,101.75
07/01/2011,14:00:00,100.50
07/01/2011,15:00:00,97.50
07/01/2011,16:00:00,120.25
07/01/2011,17:00:00,111.75
07/01/2011,18:00:00,138.75
07/01/2011,19:00:00,127.25
07/01/2011,20:00:00,116.75
07/01/2011,21:00:00,111.75
07/01/2011,22:00:00,108.50
07/01/2011,23:00:00,98.50
08/01/2011,00:00:00,98.00
08/01/2011,01:00:00,46.25
08/01/2011,02:00:00,45.00
08/01/2011,03:00:00,48.75
08/01/2011,04:00:00,51.50
08/01/2011,05:00:00,41.50
08/01/2011,06:00:00,40.75
08/01/2011,07:00:00,48.25
08/01/2011,08:00:00,54.75
08/01/2011,09:00:00,62.25
08/01/2011,10:00:00,66.50
08/01/2011,11:00:00,78.00
08/01/2011,12:00:00,82.50
08/01/2011,13:00:00,77.00
08/01/2011,14:00:00,72.00
08/01/2011,15:00:00,75.75
08/01/2011,16:00:00,96.75
08/01/2011,17:00:00,118.00
08/01/2011,18:00:00,147.25
08/01/2011,19:00:00,216.00
08/01/2011,20:00:00,230.25
08/01/2011,21:00:00,231.75
08/01/2011,22:00:00,258.25
08/01/2011,23:00:00,269.00
09/01/2011,00:00:00,127.25
09/01/2011,01:00:00,35.00
09/01/2011,02:00:00,32.00
09/01/2011,03:00:00,27.00
09/01/2011,04:00:00,31.25
09/01/2011,05:00:00,28.75
09/01/2011,06:00:00,28.00
09/01/2011,07:00:00,22.75
09/01/2011,08:00:00,32.50
09/01/2011,09:00:00,35.75
09/01/2011,10:00:00,25.50
09/01/2011,11:00:00,33.00
09/01/2011,12:00:00,36.00
09/01/2011,13:00:00,37.25
09/01/2011,14:00:00,30.25
09/01/2011,15:00:00,33.50
09/01/2011,16:00:00,31.50
09/01/2011,17:00:00,33.75
09/01/2011,18:00:00,32.25
