Date,Time,Values
01/01/2011,00:00:00,7.50
01/01/2011,01:00:00,5.75
01/01/2011,02:00:00,6.75
01/01/2011,03:00:00,8.50
01/01/2011,04:00:00,11.50
01/01/2011,05:00:00,11.00
01/01/2011,06:00:00,8.75
01/01/2011,07:00:00,9.50
01/01/2011,08:00:00,11.00
01/01/2011,09:00:00,16.50
01/01/2011,10:00:00,18.00
01/01/2011,11:00:00,31.25
01/01/2011,12:00:00,44.75
01/01/2011,13:00:00,44.25
01/01/2011,14:00:00,42.50
01/01/2011,15:00:00,46.50
01/01/2011,16:00:00,34.00
01/01/2011,17:00:00,21.25
01/01/2011,18:00:00,14.00
01/01/2011,19:00:00,11.25
01/01/2011,20:00:00,11.00
01/01/2011,21:00:00,11.75
01/01/2011,22:00:00,15.50
01/01/2011,23:00:00,18.75
02/01/2011,00:00:00,17.25
02/01/2011,01:00:00,19.50
02/01/2011,02:00:00,23.25
02/01/2011,03:00:00,25.50
02/01/2011,04:00:00,28.25
02/01/2011,05:00:00,27.25
02/01/2011,06:00:00,28.00
02/01/2011,07:00:00,25.00
02/01/2011,08:00:00,33.50
02/01/2011,09:00:00,30.50
02/01/2011,10:00:00,34.50
02/01/2011,11:00:00,33.50
02/01/2011,12:00:00,33.75
02/01/2011,13:00:00,38.50
02/01/2011,14:00:00,35.00
02/01/2011,15:00:00,26.75
02/01/2011,16:00:00,17.75
02/01/2011,17:00:00,18.50
02/01/2011,18:00:00,19.75
02/01/2011,19:00:00,20.75
02/01/2011,20:00:00,17.25
02/01/2011,21:00:00,13.25
02/01/2011,22:00:00,10.75
02/01/2011,23:00:00,10.00
03/01/2011,00:00:00,11.25
03/01/2011,01:00:00,11.25
03/01/2011,02:00:00,10.25
03/01/2011,03:00:00,8.50
03/01/2011,04:00:00,9.25
03/01/2011,05:00:00,6.50
03/01/2011,06:00:00,6.00
03/01/2011,07:00:00,6.00
03/01/2011,08:00:00,7.00
03/01/2011,09:00:00,11.00
03/01/2011,10:00:00,17.25
03/01/2011,11:00:00,26.75
03/01/2011,12:00:00,52.25
03/01/2011,13:00:00,62.50
03/01/2011,14:00:00,78.50
03/01/2011,15:00:00,77.50
03/01/2011,16:00:00,70.75
03/01/2011,17:00:00,43.50
03/01/2011,18:00:00,25.75
03/01/2011,19:00:00,15.25
03/01/2011,20:00:00,11.25
03/01/2011,21:00:00,9.50
03/01/2011,22:00:00,6.75
03/01/2011,23:00:00,7.25
04/01/2011,00:00:00,7.25
04/01/2011,01:00:00,5.75
04/01/2011,02:00:00,8.00
04/01/2011,03:00:00,7.75
04/01/2011,04:00:00,8.25
04/01/2011,05:00:00,8.00
04/01/2011,06:00:00,8.50
