Date,Time,Values
03/11/2016,11:00:00,123.75
03/11/2016,12:00:00,116.00
03/11/2016,13:00:00,128.50
03/11/2016,14:00:00,141.25
03/11/2016,15:00:00,124.75
03/11/2016,16:00:00,136.50
03/11/2016,17:00:00,145.00
03/11/2016,18:00:00,202.50
03/11/2016,19:00:00,242.25
03/11/2016,20:00:00,277.00
03/11/2016,21:00:00,331.25
03/11/2016,22:00:00,403.50
03/11/2016,23:00:00,368.50
04/11/2016,00:00:00,322.75
04/11/2016,01:00:00,301.00
04/11/2016,02:00:00,342.50
04/11/2016,03:00:00,337.25
04/11/2016,04:00:00,328.50
04/11/2016,05:00:00,314.50
04/11/2016,06:00:00,287.50
04/11/2016,07:00:00,314.50
04/11/2016,08:00:00,384.25
04/11/2016,09:00:00,441.25
04/11/2016,10:00:00,441.75
04/11/2016,11:00:00,424.50
04/11/2016,12:00:00,355.50
04/11/2016,13:00:00,208.00
04/11/2016,14:00:00,177.50
04/11/2016,15:00:00,221.50
04/11/2016,16:00:00,412.50
04/11/2016,17:00:00,435.50
04/11/2016,18:00:00,448.50
04/11/2016,19:00:00,464.00
04/11/2016,20:00:00,484.50
04/11/2016,21:00:00,491.50
04/11/2016,22:00:00,533.25
04/11/2016,23:00:00,534.75
05/11/2016,00:00:00,576.50
05/11/2016,01:00:00,631.00
05/11/2016,02:00:00,616.00
05/11/2016,03:00:00,609.00
05/11/2016,04:00:00,598.75
05/11/2016,05:00:00,573.50
05/11/2016,06:00:00,556.50
05/11/2016,07:00:00,562.75
05/11/2016,08:00:00,561.00
05/11/2016,09:00:00,543.00
05/11/2016,10:00:00,593.50
05/11/2016,11:00:00,779.25
05/11/2016,12:00:00,928.50
05/11/2016,13:00:00,952.25
05/11/2016,14:00:00,758.00
05/11/2016,15:00:00,730.25
05/11/2016,16:00:00,998.50
05/11/2016,17:00:00,"1,073.75"
05/11/2016,18:00:00,951.75
05/11/2016,19:00:00,861.25
05/11/2016,20:00:00,818.00
05/11/2016,21:00:00,787.25
05/11/2016,22:00:00,785.50
05/11/2016,23:00:00,764.75
06/11/2016,00:00:00,725.00
06/11/2016,01:00:00,710.00
06/11/2016,02:00:00,702.50
06/11/2016,03:00:00,683.25
06/11/2016,04:00:00,692.50
06/11/2016,05:00:00,640.25
06/11/2016,06:00:00,566.50
06/11/2016,07:00:00,497.25
06/11/2016,08:00:00,492.00
06/11/2016,09:00:00,567.50
06/11/2016,10:00:00,712.50
06/11/2016,11:00:00,829.50
06/11/2016,12:00:00,920.50
06/11/2016,13:00:00,999.75
06/11/2016,14:00:00,829.75
06/11/2016,15:00:00,"1,003.00"
06/11/2016,16:00:00,"1,025.25"
06/11/2016,17:00:00,928.25
06/11/2016,18:00:00,872.50
06/11/2016,19:00:00,865.50
06/11/2016,20:00:00,804.00
06/11/2016,21:00:00,721.75
06/11/2016,22:00:00,682.75
06/11/2016,23:00:00,624.50
06/11/2016,00:00:00,725.00
06/11/2016,01:00:00,710.00
06/11/2016,02:00:00,702.50
06/11/2016,03:00:00,683.25
06/11/2016,04:00:00,692.50
06/11/2016,05:00:00,640.25
06/11/2016,06:00:00,566.50
06/11/2016,07:00:00,497.25
06/11/2016,08:00:00,492.00
06/11/2016,09:00:00,567.50
06/11/2016,10:00:00,712.50
06/11/2016,11:00:00,829.50
06/11/2016,12:00:00,920.50
06/11/2016,13:00:00,999.75
06/11/2016,14:00:00,829.75
06/11/2016,15:00:00,"1,003.00"
06/11/2016,16:00:00,"1,025.25"
06/11/2016,17:00:00,928.25
06/11/2016,18:00:00,872.50
06/11/2016,19:00:00,865.50
06/11/2016,20:00:00,804.00
06/11/2016,21:00:00,721.75
06/11/2016,22:00:00,682.75
06/11/2016,23:00:00,624.50
07/11/2016,00:00:00,599.00
07/11/2016,01:00:00,601.00
07/11/2016,02:00:00,560.25
07/11/2016,03:00:00,533.25
07/11/2016,04:00:00,501.75
07/11/2016,05:00:00,481.50
07/11/2016,06:00:00,487.00
07/11/2016,07:00:00,492.25
07/11/2016,08:00:00,481.00
07/11/2016,09:00:00,539.00
07/11/2016,10:00:00,496.25
07/11/2016,11:00:00,346.00
07/11/2016,12:00:00,268.50
07/11/2016,13:00:00,204.50
07/11/2016,14:00:00,183.50
07/11/2016,15:00:00,152.50
07/11/2016,16:00:00,125.25
07/11/2016,17:00:00,119.75
07/11/2016,18:00:00,156.75
07/11/2016,19:00:00,162.75
07/11/2016,20:00:00,205.50
07/11/2016,21:00:00,311.25
07/11/2016,22:00:00,465.25
07/11/2016,23:00:00,567.75
08/11/2016,00:00:00,560.75
08/11/2016,01:00:00,530.00
08/11/2016,02:00:00,482.25
08/11/2016,03:00:00,418.25
08/11/2016,04:00:00,371.25
08/11/2016,05:00:00,326.50
08/11/2016,06:00:00,296.75
08/11/2016,07:00:00,285.50
08/11/2016,08:00:00,294.50
08/11/2016,09:00:00,295.25
08/11/2016,10:00:00,277.00
08/11/2016,11:00:00,258.75
08/11/2016,12:00:00,235.50
08/11/2016,13:00:00,189.75
08/11/2016,14:00:00,152.50
08/11/2016,15:00:00,140.75
08/11/2016,16:00:00,134.00
08/11/2016,17:00:00,156.00
08/11/2016,18:00:00,173.50
08/11/2016,19:00:00,200.25
08/11/2016,20:00:00,223.25
08/11/2016,21:00:00,247.50
08/11/2016,22:00:00,261.75
08/11/2016,23:00:00,293.00
09/11/2016,00:00:00,308.75
09/11/2016,01:00:00,302.00
09/11/2016,02:00:00,286.50
09/11/2016,03:00:00,277.75
09/11/2016,04:00:00,284.00
09/11/2016,05:00:00,258.25
09/11/2016,06:00:00,243.50
09/11/2016,07:00:00,244.50
09/11/2016,08:00:00,266.00
09/11/2016,09:00:00,272.25
09/11/2016,10:00:00,272.25
09/11/2016,11:00:00,267.75
09/11/2016,12:00:00,243.50
09/11/2016,13:00:00,208.75
09/11/2016,14:00:00,210.50
09/11/2016,15:00:00,179.25
09/11/2016,16:00:00,146.50
09/11/2016,17:00:00,157.00
09/11/2016,18:00:00,174.00
09/11/2016,19:00:00,184.50
09/11/2016,20:00:00,181.00
09/11/2016,21:00:00,202.50
09/11/2016,22:00:00,211.50
09/11/2016,23:00:00,241.25
10/11/2016,00:00:00,244.25
10/11/2016,01:00:00,230.50
10/11/2016,02:00:00,222.75
10/11/2016,03:00:00,230.75
10/11/2016,04:00:00,240.25
10/11/2016,05:00:00,215.50
10/11/2016,06:00:00,179.75
10/11/2016,07:00:00,160.25
10/11/2016,08:00:00,148.25
10/11/2016,09:00:00,163.75
10/11/2016,10:00:00,186.00
10/11/2016,11:00:00,76.67
10/11/2016,12:00:00,217.25
10/11/2016,13:00:00,239.25
10/11/2016,14:00:00,240.25
10/11/2016,15:00:00,246.50
10/11/2016,16:00:00,258.25
10/11/2016,17:00:00,220.00
10/11/2016,18:00:00,258.50
10/11/2016,19:00:00,331.75
10/11/2016,20:00:00,343.75
10/11/2016,21:00:00,332.25
10/11/2016,22:00:00,332.75
10/11/2016,23:00:00,298.00
11/11/2016,00:00:00,279.50
11/11/2016,01:00:00,294.50
11/11/2016,02:00:00,314.25
11/11/2016,03:00:00,328.00
11/11/2016,04:00:00,310.25
11/11/2016,05:00:00,324.25
11/11/2016,06:00:00,331.50
11/11/2016,07:00:00,344.25
11/11/2016,08:00:00,389.00
11/11/2016,09:00:00,413.25
11/11/2016,10:00:00,326.25
11/11/2016,11:00:00,274.50
11/11/2016,12:00:00,241.50
11/11/2016,13:00:00,212.50
11/11/2016,14:00:00,194.75
11/11/2016,15:00:00,189.00
11/11/2016,16:00:00,176.50
11/11/2016,17:00:00,196.50
11/11/2016,18:00:00,227.00
11/11/2016,19:00:00,252.75
11/11/2016,20:00:00,256.25
11/11/2016,21:00:00,258.75
11/11/2016,22:00:00,279.25
11/11/2016,23:00:00,275.50
12/11/2016,00:00:00,263.25
12/11/2016,01:00:00,261.50
12/11/2016,02:00:00,255.25
12/11/2016,03:00:00,246.50
12/11/2016,04:00:00,243.50
12/11/2016,05:00:00,227.25
12/11/2016,06:00:00,223.50
12/11/2016,07:00:00,243.00
12/11/2016,08:00:00,276.75
12/11/2016,09:00:00,244.75
12/11/2016,10:00:00,180.25
12/11/2016,11:00:00,200.75
12/11/2016,12:00:00,250.00
12/11/2016,13:00:00,230.25
12/11/2016,14:00:00,220.25
12/11/2016,15:00:00,213.75
12/11/2016,16:00:00,201.75
12/11/2016,17:00:00,187.00
12/11/2016,18:00:00,213.25
12/11/2016,19:00:00,241.50
12/11/2016,20:00:00,244.75
12/11/2016,21:00:00,247.50
12/11/2016,22:00:00,255.00
12/11/2016,23:00:00,255.00
13/11/2016,00:00:00,263.25
13/11/2016,01:00:00,254.25
13/11/2016,02:00:00,231.00
13/11/2016,03:00:00,220.25
13/11/2016,04:00:00,189.75
13/11/2016,05:00:00,185.75
13/11/2016,06:00:00,202.75
13/11/2016,07:00:00,246.50
13/11/2016,08:00:00,260.50
13/11/2016,09:00:00,273.25
13/11/2016,10:00:00,237.25
13/11/2016,11:00:00,150.25
13/11/2016,12:00:00,143.75
13/11/2016,13:00:00,139.75
13/11/2016,14:00:00,114.75
13/11/2016,15:00:00,105.25
13/11/2016,16:00:00,112.75
13/11/2016,17:00:00,151.00
13/11/2016,18:00:00,190.75
13/11/2016,19:00:00,202.00
13/11/2016,20:00:00,192.00
13/11/2016,21:00:00,194.75
13/11/2016,22:00:00,194.75
13/11/2016,23:00:00,196.00
14/11/2016,00:00:00,178.25
14/11/2016,01:00:00,173.25
14/11/2016,02:00:00,168.75
14/11/2016,03:00:00,192.00
14/11/2016,04:00:00,196.50
14/11/2016,05:00:00,167.75
14/11/2016,06:00:00,171.25
14/11/2016,07:00:00,185.00
14/11/2016,08:00:00,214.75
14/11/2016,09:00:00,208.25
14/11/2016,10:00:00,164.00
14/11/2016,11:00:00,152.00
14/11/2016,12:00:00,115.75
14/11/2016,13:00:00,77.50
14/11/2016,14:00:00,69.00
14/11/2016,15:00:00,85.50
14/11/2016,16:00:00,102.00
14/11/2016,17:00:00,123.25
14/11/2016,18:00:00,137.50
14/11/2016,19:00:00,160.00
14/11/2016,20:00:00,184.25
14/11/2016,21:00:00,217.75
14/11/2016,22:00:00,227.50
14/11/2016,23:00:00,206.00
15/11/2016,00:00:00,203.75
15/11/2016,01:00:00,198.50
15/11/2016,02:00:00,192.50
15/11/2016,03:00:00,178.25
15/11/2016,04:00:00,165.00
15/11/2016,05:00:00,159.25
15/11/2016,06:00:00,178.75
15/11/2016,07:00:00,200.50
15/11/2016,08:00:00,239.00
15/11/2016,09:00:00,299.50
15/11/2016,10:00:00,266.25
15/11/2016,11:00:00,212.25
15/11/2016,12:00:00,160.50
15/11/2016,13:00:00,107.75
15/11/2016,14:00:00,109.00
15/11/2016,15:00:00,112.00
15/11/2016,16:00:00,102.25
15/11/2016,17:00:00,118.75
15/11/2016,18:00:00,155.75
15/11/2016,19:00:00,187.50
15/11/2016,20:00:00,211.75
15/11/2016,21:00:00,242.00
15/11/2016,22:00:00,264.00
15/11/2016,23:00:00,280.50
16/11/2016,00:00:00,279.25
16/11/2016,01:00:00,269.00
16/11/2016,02:00:00,260.25
16/11/2016,03:00:00,240.25
16/11/2016,04:00:00,218.00
16/11/2016,05:00:00,222.25
16/11/2016,06:00:00,244.25
16/11/2016,07:00:00,248.75
16/11/2016,08:00:00,261.00
16/11/2016,09:00:00,294.25
16/11/2016,10:00:00,288.75
16/11/2016,11:00:00,231.00
16/11/2016,12:00:00,185.25
16/11/2016,13:00:00,152.00
16/11/2016,14:00:00,125.50
16/11/2016,15:00:00,99.50
16/11/2016,16:00:00,66.00
16/11/2016,17:00:00,66.50
16/11/2016,18:00:00,76.75
16/11/2016,19:00:00,115.75
16/11/2016,20:00:00,169.50
16/11/2016,21:00:00,217.50
16/11/2016,22:00:00,261.75
16/11/2016,23:00:00,284.00
17/11/2016,00:00:00,276.25
17/11/2016,01:00:00,249.75
17/11/2016,02:00:00,210.00
17/11/2016,03:00:00,188.50
17/11/2016,04:00:00,181.25
17/11/2016,05:00:00,114.75
17/11/2016,06:00:00,157.00
17/11/2016,07:00:00,193.00
17/11/2016,08:00:00,204.75
17/11/2016,09:00:00,203.00
17/11/2016,10:00:00,189.00
17/11/2016,11:00:00,170.25
17/11/2016,12:00:00,149.25
17/11/2016,13:00:00,104.00
17/11/2016,14:00:00,-27.00
17/11/2016,15:00:00,NA
17/11/2016,16:00:00,23.75
17/11/2016,17:00:00,84.50
17/11/2016,18:00:00,133.50
17/11/2016,19:00:00,160.75
17/11/2016,20:00:00,185.00
17/11/2016,21:00:00,184.00
17/11/2016,22:00:00,181.00
