Date,Time,Values
03/11/2016,11:00:00,63.67
03/11/2016,12:00:00,65.00
03/11/2016,13:00:00,86.00
03/11/2016,14:00:00,104.25
03/11/2016,15:00:00,81.25
03/11/2016,16:00:00,89.00
03/11/2016,17:00:00,85.50
03/11/2016,18:00:00,118.50
03/11/2016,19:00:00,142.50
03/11/2016,20:00:00,165.25
03/11/2016,21:00:00,198.00
03/11/2016,22:00:00,231.50
03/11/2016,23:00:00,228.25
04/11/2016,00:00:00,206.25
04/11/2016,01:00:00,204.00
04/11/2016,02:00:00,215.25
04/11/2016,03:00:00,218.50
04/11/2016,04:00:00,215.75
04/11/2016,05:00:00,220.00
04/11/2016,06:00:00,221.00
04/11/2016,07:00:00,237.25
04/11/2016,08:00:00,269.00
04/11/2016,09:00:00,303.50
04/11/2016,10:00:00,304.50
04/11/2016,11:00:00,297.75
04/11/2016,12:00:00,258.75
04/11/2016,13:00:00,150.75
04/11/2016,14:00:00,121.75
04/11/2016,15:00:00,149.25
04/11/2016,16:00:00,296.50
04/11/2016,17:00:00,314.50
04/11/2016,18:00:00,315.50
04/11/2016,19:00:00,333.25
04/11/2016,20:00:00,344.50
04/11/2016,21:00:00,347.75
04/11/2016,22:00:00,379.00
04/11/2016,23:00:00,393.00
05/11/2016,00:00:00,428.75
05/11/2016,01:00:00,481.50
05/11/2016,02:00:00,474.50
05/11/2016,03:00:00,470.00
05/11/2016,04:00:00,477.75
05/11/2016,05:00:00,461.25
05/11/2016,06:00:00,441.00
05/11/2016,07:00:00,433.00
05/11/2016,08:00:00,404.50
05/11/2016,09:00:00,387.00
05/11/2016,10:00:00,445.00
05/11/2016,11:00:00,588.50
05/11/2016,12:00:00,717.00
05/11/2016,13:00:00,702.25
05/11/2016,14:00:00,568.75
05/11/2016,15:00:00,551.00
05/11/2016,16:00:00,783.00
05/11/2016,17:00:00,852.25
05/11/2016,18:00:00,724.00
05/11/2016,19:00:00,632.50
05/11/2016,20:00:00,601.25
05/11/2016,21:00:00,585.50
05/11/2016,22:00:00,594.25
05/11/2016,23:00:00,592.75
06/11/2016,00:00:00,566.25
06/11/2016,01:00:00,550.50
06/11/2016,02:00:00,537.25
06/11/2016,03:00:00,516.50
06/11/2016,04:00:00,519.00
06/11/2016,05:00:00,481.00
06/11/2016,06:00:00,423.75
06/11/2016,07:00:00,373.00
06/11/2016,08:00:00,367.00
06/11/2016,09:00:00,437.75
06/11/2016,10:00:00,576.50
06/11/2016,11:00:00,684.50
06/11/2016,12:00:00,759.00
06/11/2016,13:00:00,802.25
06/11/2016,14:00:00,659.75
06/11/2016,15:00:00,799.25
06/11/2016,16:00:00,809.75
06/11/2016,17:00:00,717.75
06/11/2016,18:00:00,655.50
06/11/2016,19:00:00,638.50
06/11/2016,20:00:00,598.50
06/11/2016,21:00:00,534.75
06/11/2016,22:00:00,519.75
06/11/2016,23:00:00,489.25
06/11/2016,00:00:00,566.25
06/11/2016,01:00:00,550.50
06/11/2016,02:00:00,537.25
06/11/2016,03:00:00,516.50
06/11/2016,04:00:00,519.00
06/11/2016,05:00:00,481.00
06/11/2016,06:00:00,423.75
06/11/2016,07:00:00,373.00
06/11/2016,08:00:00,367.00
06/11/2016,09:00:00,437.75
06/11/2016,10:00:00,576.50
06/11/2016,11:00:00,684.50
06/11/2016,12:00:00,759.00
06/11/2016,13:00:00,802.25
06/11/2016,14:00:00,659.75
06/11/2016,15:00:00,799.25
06/11/2016,16:00:00,809.75
06/11/2016,17:00:00,717.75
06/11/2016,18:00:00,655.50
06/11/2016,19:00:00,638.50
06/11/2016,20:00:00,598.50
06/11/2016,21:00:00,534.75
