Date,Time,Values
01/01/2011,00:00:00,6.25
01/01/2011,01:00:00,5.73
01/01/2011,02:00:00,5.95
01/01/2011,03:00:00,6.52
01/01/2011,04:00:00,6.35
01/01/2011,05:00:00,6.57
01/01/2011,06:00:00,6.17
01/01/2011,07:00:00,4.97
01/01/2011,08:00:00,4.97
01/01/2011,09:00:00,6.67
01/01/2011,10:00:00,6.50
01/01/2011,11:00:00,6.50
01/01/2011,12:00:00,6.50
01/01/2011,13:00:00,6.00
01/01/2011,14:00:00,6.00
01/01/2011,15:00:00,7.22
01/01/2011,16:00:00,6.57
01/01/2011,17:00:00,6.55
01/01/2011,18:00:00,6.95
01/01/2011,19:00:00,6.60
01/01/2011,20:00:00,6.60
01/01/2011,21:00:00,6.95
01/01/2011,22:00:00,6.60
01/01/2011,23:00:00,6.60
02/01/2011,00:00:00,6.95
02/01/2011,01:00:00,6.60
02/01/2011,02:00:00,6.60
02/01/2011,03:00:00,6.90
02/01/2011,04:00:00,6.50
02/01/2011,05:00:00,6.50
02/01/2011,06:00:00,6.65
02/01/2011,07:00:00,6.20
02/01/2011,08:00:00,6.20
02/01/2011,09:00:00,6.70
02/01/2011,10:00:00,6.30
02/01/2011,11:00:00,6.32
02/01/2011,12:00:00,6.63
02/01/2011,13:00:00,6.20
02/01/2011,14:00:00,6.20
02/01/2011,15:00:00,6.90
02/01/2011,16:00:00,6.60
02/01/2011,17:00:00,6.60
02/01/2011,18:00:00,6.60
02/01/2011,19:00:00,6.10
02/01/2011,20:00:00,6.10
02/01/2011,21:00:00,6.53
02/01/2011,22:00:00,6.15
02/01/2011,23:00:00,6.13
03/01/2011,00:00:00,6.63
03/01/2011,01:00:00,6.20
03/01/2011,02:00:00,6.20
03/01/2011,03:00:00,6.67
03/01/2011,04:00:00,6.30
03/01/2011,05:00:00,6.30
03/01/2011,06:00:00,6.57
03/01/2011,07:00:00,6.10
03/01/2011,08:00:00,4.57
03/01/2011,09:00:00,NA
03/01/2011,10:00:00,3.70
03/01/2011,11:00:00,5.00
03/01/2011,12:00:00,6.80
03/01/2011,13:00:00,3.63
03/01/2011,14:00:00,6.30
03/01/2011,15:00:00,7.18
03/01/2011,16:00:00,7.07
03/01/2011,17:00:00,6.57
03/01/2011,18:00:00,4.28
03/01/2011,19:00:00,6.55
03/01/2011,20:00:00,6.53
03/01/2011,21:00:00,6.88
03/01/2011,22:00:00,6.50
