Date,Time,Values
01/01/2011,00:00:00,NA
01/01/2011,01:00:00,NA
01/01/2011,02:00:00,NA
01/01/2011,03:00:00,NA
01/01/2011,04:00:00,NA
01/01/2011,05:00:00,NA
01/01/2011,06:00:00,NA
01/01/2011,07:00:00,NA
01/01/2011,08:00:00,NA
01/01/2011,09:00:00,NA
01/01/2011,10:00:00,NA
01/01/2011,11:00:00,NA
01/01/2011,12:00:00,NA
01/01/2011,13:00:00,NA
01/01/2011,19:00:00,NA
01/01/2011,20:00:00,NA
01/01/2011,21:00:00,NA
01/01/2011,22:00:00,NA
02/01/2011,00:00:00,NA
02/01/2011,01:00:00,NA
02/01/2011,02:00:00,NA
02/01/2011,03:00:00,NA
02/01/2011,04:00:00,NA
02/01/2011,05:00:00,NA
02/01/2011,06:00:00,NA
02/01/2011,07:00:00,NA
02/01/2011,08:00:00,NA
02/01/2011,09:00:00,NA
02/01/2011,10:00:00,NA
02/01/2011,11:00:00,NA
02/01/2011,12:00:00,NA
02/01/2011,13:00:00,NA
02/01/2011,14:00:00,NA
02/01/2011,15:00:00,NA
02/01/2011,16:00:00,NA
02/01/2011,17:00:00,NA
02/01/2011,18:00:00,NA
02/01/2011,19:00:00,NA
02/01/2011,20:00:00,1.33
02/01/2011,21:00:00,2.39
02/01/2011,22:00:00,2.28
02/01/2011,23:00:00,2.20
03/01/2011,00:00:00,2.14
03/01/2011,01:00:00,2.14
03/01/2011,02:00:00,2.15
03/01/2011,03:00:00,2.25
03/01/2011,04:00:00,2.27
03/01/2011,05:00:00,2.30
03/01/2011,06:00:00,2.34
03/01/2011,07:00:00,2.59
03/01/2011,08:00:00,2.57
03/01/2011,09:00:00,2.69
03/01/2011,10:00:00,2.76
03/01/2011,11:00:00,2.64
03/01/2011,12:00:00,2.60
03/01/2011,13:00:00,2.43
03/01/2011,14:00:00,2.23
03/01/2011,15:00:00,2.06
03/01/2011,16:00:00,2.07
03/01/2011,17:00:00,2.25
03/01/2011,18:00:00,2.63
03/01/2011,19:00:00,2.82
03/01/2011,20:00:00,2.91
03/01/2011,21:00:00,3.47
03/01/2011,22:00:00,2.87
03/01/2011,23:00:00,2.67
04/01/2011,00:00:00,2.52
04/01/2011,01:00:00,2.42
04/01/2011,02:00:00,2.39
04/01/2011,03:00:00,2.38
08/02/2011,15:00:00,NA
08/02/2011,16:00:00,NA
08/02/2011,17:00:00,NA
08/02/2011,18:00:00,NA
08/02/2011,19:00:00,NA
08/02/2011,20:00:00,NA
08/02/2011,21:00:00,NA
08/02/2011,22:00:00,NA
08/02/2011,23:00:00,NA
09/02/2011,00:00:00,NA
09/02/2011,01:00:00,NA
09/02/2011,02:00:00,NA
09/02/2011,03:00:00,NA
09/02/2011,04:00:00,NA
09/02/2011,05:00:00,NA
09/02/2011,06:00:00,NA
09/02/2011,07:00:00,NA
09/02/2011,08:00:00,NA
09/02/2011,09:00:00,NA
09/02/2011,10:00:00,NA
09/02/2011,11:00:00,NA
09/02/2011,12:00:00,NA
09/02/2011,13:00:00,NA
09/02/2011,14:00:00,NA
09/02/2011,15:00:00,NA
09/02/2011,16:00:00,NA
09/02/2011,17:00:00,NA
09/02/2011,18:00:00,NA
09/02/2011,19:00:00,NA
09/02/2011,20:00:00,NA
09/02/2011,21:00:00,NA
09/02/2011,22:00:00,NA
09/02/2011,23:00:00,NA
10/02/2011,00:00:00,NA
10/02/2011,01:00:00,NA
10/02/2011,02:00:00,NA
10/02/2011,03:00:00,NA
10/02/2011,04:00:00,NA
10/02/2011,05:00:00,NA
10/02/2011,06:00:00,NA
10/02/2011,07:00:00,NA
10/02/2011,08:00:00,NA
10/02/2011,09:00:00,NA
10/02/2011,10:00:00,NA
10/02/2011,11:00:00,NA
10/02/2011,12:00:00,NA
10/02/2011,13:00:00,NA
10/02/2011,14:00:00,NA
10/02/2011,15:00:00,NA
10/02/2011,16:00:00,NA
10/02/2011,17:00:00,NA
10/02/2011,18:00:00,NA
