Date,Time,Values
01/01/2011,00:00:00,4.0
01/01/2011,01:00:00,4.0
01/01/2011,02:00:00,4.0
01/01/2011,03:00:00,4.0
01/01/2011,04:00:00,4.0
01/01/2011,05:00:00,4.0
01/01/2011,06:00:00,4.0
01/01/2011,07:00:00,4.0
01/01/2011,08:00:00,4.0
01/01/2011,09:00:00,4.0
01/01/2011,10:00:00,4.0
01/01/2011,11:00:00,4.0
01/01/2011,12:00:00,4.0
01/01/2011,13:00:00,4.0
01/01/2011,14:00:00,4.0
01/01/2011,15:00:00,4.0
01/01/2011,16:00:00,4.0
01/01/2011,17:00:00,4.0
01/01/2011,18:00:00,4.0
01/01/2011,19:00:00,4.0
01/01/2011,20:00:00,4.0
01/01/2011,21:00:00,4.0
01/01/2011,22:00:00,4.0
01/01/2011,23:00:00,4.0
02/01/2011,00:00:00,4.0
02/01/2011,01:00:00,4.0
02/01/2011,02:00:00,4.0
02/01/2011,03:00:00,4.0
02/01/2011,04:00:00,4.0
02/01/2011,05:00:00,4.0
02/01/2011,06:00:00,4.0
02/01/2011,07:00:00,4.0
02/01/2011,08:00:00,4.0
02/01/2011,09:00:00,4.0
02/01/2011,10:00:00,4.0
02/01/2011,11:00:00,4.0
02/01/2011,12:00:00,4.0
02/01/2011,13:00:00,4.0
02/01/2011,14:00:00,4.0
02/01/2011,15:00:00,4.0
02/01/2011,16:00:00,4.0
02/01/2011,17:00:00,4.0
02/01/2011,18:00:00,4.0
02/01/2011,19:00:00,4.0
02/01/2011,20:00:00,4.0
02/01/2011,21:00:00,4.0
02/01/2011,22:00:00,4.0
02/01/2011,23:00:00,4.0
03/01/2011,00:00:00,4.0
03/01/2011,01:00:00,4.0
03/01/2011,02:00:00,4.0
03/01/2011,03:00:00,4.0
03/01/2011,04:00:00,4.0
03/01/2011,05:00:00,4.0
03/01/2011,06:00:00,4.0
03/01/2011,07:00:00,4.0
03/01/2011,08:00:00,4.0
03/01/2011,09:00:00,4.0
03/01/2011,10:00:00,4.0
03/01/2011,11:00:00,4.0
03/01/2011,12:00:00,4.0
03/01/2011,13:00:00,4.0
03/01/2011,14:00:00,4.0
03/01/2011,15:00:00,4.0
03/01/2011,16:00:00,4.0
03/01/2011,17:00:00,4.0
03/01/2011,18:00:00,4.0
03/01/2011,19:00:00,4.0
03/01/2011,20:00:00,4.0
03/01/2011,21:00:00,4.5
03/01/2011,22:00:00,4.0
03/01/2011,23:00:00,4.0
04/01/2011,00:00:00,4.0
04/01/2011,01:00:00,4.0
04/01/2011,02:00:00,4.0
04/01/2011,03:00:00,4.0
08/02/2011,14:00:00,2.0
08/02/2011,15:00:00,NA
08/02/2011,16:00:00,NA
08/02/2011,17:00:00,NA
08/02/2011,18:00:00,NA
08/02/2011,19:00:00,NA
08/02/2011,20:00:00,1.5
08/02/2011,21:00:00,2.0
08/02/2011,22:00:00,2.75
08/02/2011,23:00:00,2.0
09/02/2011,00:00:00,1.5
09/02/2011,01:00:00,NA
09/02/2011,02:00:00,NA
09/02/2011,03:00:00,NA
09/02/2011,04:00:00,NA
09/02/2011,05:00:00,NA
09/02/2011,06:00:00,NA
09/02/2011,07:00:00,1.25
09/02/2011,08:00:00,1.75
09/02/2011,09:00:00,NA
09/02/2011,10:00:00,NA
09/02/2011,11:00:00,NA
09/02/2011,12:00:00,NA
09/02/2011,13:00:00,NA
09/02/2011,14:00:00,NA
09/02/2011,15:00:00,NA
09/02/2011,16:00:00,2.0
09/02/2011,17:00:00,NA
09/02/2011,18:00:00,NA
09/02/2011,19:00:00,NA
09/02/2011,20:00:00,NA
09/02/2011,21:00:00,1.25
09/02/2011,22:00:00,NA
09/02/2011,23:00:00,1.75
10/02/2011,00:00:00,1.75
10/02/2011,01:00:00,NA
10/02/2011,02:00:00,1.25
10/02/2011,03:00:00,NA
10/02/2011,04:00:00,NA
10/02/2011,05:00:00,NA
10/02/2011,06:00:00,NA
10/02/2011,07:00:00,1.5
10/02/2011,08:00:00,2.25
10/02/2011,09:00:00,1.25
10/02/2011,10:00:00,NA
10/02/2011,11:00:00,NA
10/02/2011,12:00:00,NA
10/02/2011,13:00:00,NA
10/02/2011,14:00:00,NA
10/02/2011,15:00:00,2.0
10/02/2011,16:00:00,NA
10/02/2011,17:00:00,1.5
10/02/2011,18:00:00,NA
10/02/2011,19:00:00,1.25
10/02/2011,20:00:00,2.5
10/02/2011,21:00:00,4.0
10/02/2011,22:00:00,5.25
10/02/2011,23:00:00,5.0
11/02/2011,00:00:00,1.5
11/02/2011,01:00:00,2.5
11/02/2011,02:00:00,2.0
11/02/2011,03:00:00,NA
11/02/2011,04:00:00,NA
11/02/2011,05:00:00,NA
11/02/2011,06:00:00,NA
11/02/2011,07:00:00,1.75
11/02/2011,08:00:00,2.75
11/02/2011,09:00:00,1.5
11/02/2011,10:00:00,NA
11/02/2011,11:00:00,NA
11/02/2011,12:00:00,NA
11/02/2011,13:00:00,NA
11/02/2011,14:00:00,NA
11/02/2011,15:00:00,NA
11/02/2011,16:00:00,NA
11/02/2011,17:00:00,NA
11/02/2011,18:00:00,NA
11/02/2011,19:00:00,NA
11/02/2011,20:00:00,NA
11/02/2011,21:00:00,1.5
11/02/2011,22:00:00,NA
11/02/2011,23:00:00,NA
12/02/2011,00:00:00,NA
12/02/2011,01:00:00,NA
12/02/2011,02:00:00,NA
12/02/2011,03:00:00,NA
12/02/2011,04:00:00,NA
12/02/2011,05:00:00,NA
12/02/2011,06:00:00,NA
12/02/2011,07:00:00,1.5
12/02/2011,08:00:00,2.0
12/02/2011,09:00:00,2.0
12/02/2011,10:00:00,1.75
12/02/2011,11:00:00,NA
12/02/2011,12:00:00,NA
12/02/2011,13:00:00,NA
12/02/2011,14:00:00,2.0
12/02/2011,15:00:00,NA
12/02/2011,16:00:00,2.0
12/02/2011,17:00:00,NA
12/02/2011,18:00:00,NA
12/02/2011,19:00:00,3.5
12/02/2011,20:00:00,16.25
12/02/2011,21:00:00,36.0
12/02/2011,22:00:00,42.25
12/02/2011,23:00:00,39.5
13/02/2011,00:00:00,36.5
13/02/2011,01:00:00,40.25
13/02/2011,02:00:00,45.75
13/02/2011,03:00:00,50.0
13/02/2011,04:00:00,24.0
13/02/2011,05:00:00,7.25
13/02/2011,06:00:00,10.0
13/02/2011,07:00:00,18.5
13/02/2011,08:00:00,28.0
13/02/2011,09:00:00,18.25
13/02/2011,10:00:00,4.5
13/02/2011,11:00:00,2.0
13/02/2011,12:00:00,1.5
13/02/2011,13:00:00,NA
13/02/2011,14:00:00,NA
13/02/2011,15:00:00,NA
13/02/2011,16:00:00,NA
13/02/2011,17:00:00,NA
13/02/2011,18:00:00,2.0
13/02/2011,19:00:00,2.0
13/02/2011,20:00:00,1.75
13/02/2011,21:00:00,1.5
13/02/2011,22:00:00,2.0
13/02/2011,23:00:00,2.75
14/02/2011,00:00:00,1.75
14/02/2011,01:00:00,NA
14/02/2011,02:00:00,NA
14/02/2011,03:00:00,NA
14/02/2011,04:00:00,NA
14/02/2011,05:00:00,NA
14/02/2011,06:00:00,NA
14/02/2011,07:00:00,NA
14/02/2011,08:00:00,NA
14/02/2011,09:00:00,NA
14/02/2011,10:00:00,1.25
14/02/2011,11:00:00,1.25
14/02/2011,12:00:00,NA
14/02/2011,13:00:00,NA
14/02/2011,14:00:00,1.5
14/02/2011,15:00:00,NA
14/02/2011,16:00:00,NA
14/02/2011,17:00:00,NA
14/02/2011,18:00:00,NA
14/02/2011,19:00:00,NA
14/02/2011,20:00:00,2.0
14/02/2011,21:00:00,2.0
14/02/2011,22:00:00,2.0
14/02/2011,23:00:00,1.25
15/02/2011,00:00:00,NA
15/02/2011,01:00:00,1.25
15/02/2011,02:00:00,2.0
15/02/2011,03:00:00,1.5
15/02/2011,04:00:00,2.75
15/02/2011,05:00:00,2.5
15/02/2011,06:00:00,2.25
15/02/2011,07:00:00,5.0
15/02/2011,08:00:00,4.0
15/02/2011,09:00:00,2.25
15/02/2011,10:00:00,2.0
15/02/2011,11:00:00,1.75
15/02/2011,12:00:00,1.25
15/02/2011,13:00:00,2.0
15/02/2011,14:00:00,2.0
15/02/2011,15:00:00,2.0
15/02/2011,16:00:00,1.25
15/02/2011,17:00:00,1.25
15/02/2011,18:00:00,1.75
15/02/2011,19:00:00,1.5
15/02/2011,20:00:00,1.5
15/02/2011,21:00:00,2.0
15/02/2011,22:00:00,3.0
15/02/2011,23:00:00,2.25
16/02/2011,00:00:00,NA
16/02/2011,01:00:00,2.0
