Date,Time,Values
01/01/2011,00:00:00,42.25
01/01/2011,01:00:00,37.00
01/01/2011,02:00:00,34.00
01/01/2011,03:00:00,29.50
01/01/2011,04:00:00,21.50
01/01/2011,05:00:00,18.50
01/01/2011,06:00:00,16.00
01/01/2011,07:00:00,15.25
01/01/2011,08:00:00,16.50
01/01/2011,09:00:00,17.50
01/01/2011,10:00:00,18.75
01/01/2011,11:00:00,28.25
01/01/2011,12:00:00,30.00
01/01/2011,13:00:00,23.25
01/01/2011,14:00:00,21.00
01/01/2011,15:00:00,21.75
01/01/2011,16:00:00,27.00
01/01/2011,17:00:00,32.25
01/01/2011,18:00:00,30.00
01/01/2011,19:00:00,26.25
01/01/2011,20:00:00,23.25
01/01/2011,21:00:00,20.00
01/01/2011,22:00:00,16.50
01/01/2011,23:00:00,15.50
02/01/2011,00:00:00,14.25
02/01/2011,01:00:00,12.75
02/01/2011,02:00:00,11.50
02/01/2011,03:00:00,13.25
02/01/2011,04:00:00,13.00
02/01/2011,05:00:00,12.50
02/01/2011,06:00:00,11.50
02/01/2011,07:00:00,13.00
02/01/2011,08:00:00,16.00
02/01/2011,09:00:00,15.75
02/01/2011,10:00:00,17.75
02/01/2011,11:00:00,20.50
02/01/2011,12:00:00,22.75
02/01/2011,13:00:00,18.00
02/01/2011,14:00:00,17.25
02/01/2011,15:00:00,19.00
02/01/2011,16:00:00,17.50
02/01/2011,17:00:00,17.75
02/01/2011,18:00:00,23.00
02/01/2011,19:00:00,26.25
02/01/2011,20:00:00,25.50
02/01/2011,21:00:00,23.00
02/01/2011,22:00:00,18.75
02/01/2011,23:00:00,16.00
03/01/2011,00:00:00,13.00
03/01/2011,01:00:00,13.25
03/01/2011,02:00:00,11.00
03/01/2011,03:00:00,15.25
03/01/2011,04:00:00,14.75
03/01/2011,05:00:00,17.75
03/01/2011,06:00:00,18.75
03/01/2011,07:00:00,21.50
03/01/2011,08:00:00,18.00
03/01/2011,09:00:00,19.25
03/01/2011,10:00:00,24.50
03/01/2011,11:00:00,25.75
03/01/2011,12:00:00,30.50
03/01/2011,13:00:00,30.00
03/01/2011,14:00:00,25.25
03/01/2011,15:00:00,20.75
03/01/2011,16:00:00,24.25
03/01/2011,17:00:00,31.75
03/01/2011,18:00:00,45.50
03/01/2011,19:00:00,49.25
03/01/2011,20:00:00,57.00
03/01/2011,21:00:00,89.50
03/01/2011,22:00:00,50.00
03/01/2011,23:00:00,46.25
04/01/2011,00:00:00,44.75
04/01/2011,01:00:00,33.50
04/01/2011,02:00:00,45.25
04/01/2011,03:00:00,44.50
08/02/2011,14:00:00,63.00
08/02/2011,15:00:00,40.50
08/02/2011,16:00:00,22.00
08/02/2011,17:00:00,20.50
08/02/2011,18:00:00,16.00
08/02/2011,19:00:00,31.25
08/02/2011,20:00:00,43.75
08/02/2011,21:00:00,60.25
08/02/2011,22:00:00,72.50
08/02/2011,23:00:00,58.50
09/02/2011,00:00:00,49.25
09/02/2011,01:00:00,38.00
09/02/2011,02:00:00,28.50
09/02/2011,03:00:00,27.75
09/02/2011,04:00:00,29.00
