Date,Time,Values
01/01/2011,00:00:00,24.25
01/01/2011,01:00:00,21.25
01/01/2011,02:00:00,19.25
01/01/2011,03:00:00,16.75
01/01/2011,04:00:00,12.00
01/01/2011,05:00:00,10.25
01/01/2011,06:00:00,9.00
01/01/2011,07:00:00,8.75
01/01/2011,08:00:00,9.50
01/01/2011,09:00:00,10.00
01/01/2011,10:00:00,10.50
01/01/2011,11:00:00,16.00
01/01/2011,12:00:00,17.00
01/01/2011,13:00:00,13.25
01/01/2011,14:00:00,12.00
01/01/2011,15:00:00,12.50
01/01/2011,16:00:00,15.50
01/01/2011,17:00:00,18.00
01/01/2011,18:00:00,16.75
01/01/2011,19:00:00,15.00
01/01/2011,20:00:00,13.00
01/01/2011,21:00:00,11.50
01/01/2011,22:00:00,9.00
01/01/2011,23:00:00,8.50
02/01/2011,00:00:00,8.00
02/01/2011,01:00:00,7.25
02/01/2011,02:00:00,6.50
02/01/2011,03:00:00,7.25
02/01/2011,04:00:00,7.00
02/01/2011,05:00:00,7.00
02/01/2011,06:00:00,6.25
02/01/2011,07:00:00,7.00
02/01/2011,08:00:00,8.75
02/01/2011,09:00:00,9.00
02/01/2011,10:00:00,10.00
02/01/2011,11:00:00,11.50
02/01/2011,12:00:00,12.75
02/01/2011,13:00:00,10.00
02/01/2011,14:00:00,9.75
02/01/2011,15:00:00,10.75
02/01/2011,16:00:00,10.00
02/01/2011,17:00:00,10.00
02/01/2011,18:00:00,12.67
02/01/2011,19:00:00,14.50
02/01/2011,20:00:00,14.25
02/01/2011,21:00:00,13.00
02/01/2011,22:00:00,10.25
02/01/2011,23:00:00,9.00
03/01/2011,00:00:00,7.25
03/01/2011,01:00:00,7.50
03/01/2011,02:00:00,6.00
03/01/2011,03:00:00,8.50
03/01/2011,04:00:00,8.00
03/01/2011,05:00:00,10.00
03/01/2011,06:00:00,10.25
03/01/2011,07:00:00,12.00
03/01/2011,08:00:00,10.25
03/01/2011,09:00:00,10.75
03/01/2011,10:00:00,13.50
03/01/2011,11:00:00,14.25
03/01/2011,12:00:00,17.00
03/01/2011,13:00:00,16.50
03/01/2011,14:00:00,13.75
03/01/2011,15:00:00,11.50
03/01/2011,16:00:00,13.75
03/01/2011,17:00:00,17.75
03/01/2011,18:00:00,25.00
03/01/2011,19:00:00,27.25
03/01/2011,20:00:00,32.00
03/01/2011,21:00:00,51.25
03/01/2011,22:00:00,28.50
03/01/2011,23:00:00,26.50
04/01/2011,00:00:00,25.75
04/01/2011,01:00:00,19.50
04/01/2011,02:00:00,26.50
04/01/2011,03:00:00,26.25
08/02/2011,14:00:00,35.00
08/02/2011,15:00:00,22.50
08/02/2011,16:00:00,12.75
08/02/2011,17:00:00,11.50
08/02/2011,18:00:00,9.00
08/02/2011,19:00:00,17.00
08/02/2011,20:00:00,24.50
08/02/2011,21:00:00,33.75
08/02/2011,22:00:00,40.50
08/02/2011,23:00:00,32.50
09/02/2011,00:00:00,27.25
09/02/2011,01:00:00,21.25
09/02/2011,02:00:00,15.75
09/02/2011,03:00:00,15.50
09/02/2011,04:00:00,16.25
09/02/2011,05:00:00,15.50
09/02/2011,06:00:00,15.50
09/02/2011,07:00:00,23.00
09/02/2011,08:00:00,25.25
09/02/2011,09:00:00,20.00
09/02/2011,10:00:00,16.00
09/02/2011,11:00:00,14.75
09/02/2011,12:00:00,14.50
09/02/2011,13:00:00,14.75
09/02/2011,14:00:00,14.50
09/02/2011,15:00:00,16.25
09/02/2011,16:00:00,16.00
09/02/2011,17:00:00,17.50
09/02/2011,18:00:00,23.00
09/02/2011,19:00:00,29.25
09/02/2011,20:00:00,30.25
09/02/2011,21:00:00,30.50
09/02/2011,22:00:00,31.75
09/02/2011,23:00:00,31.50
10/02/2011,00:00:00,33.75
10/02/2011,01:00:00,29.50
10/02/2011,02:00:00,29.25
10/02/2011,03:00:00,21.25
10/02/2011,04:00:00,17.25
10/02/2011,05:00:00,18.25
10/02/2011,06:00:00,18.00
10/02/2011,07:00:00,24.50
10/02/2011,08:00:00,30.00
10/02/2011,09:00:00,24.75
10/02/2011,10:00:00,18.50
10/02/2011,11:00:00,16.25
10/02/2011,12:00:00,21.00
10/02/2011,13:00:00,18.00
10/02/2011,14:00:00,15.25
10/02/2011,15:00:00,15.25
10/02/2011,16:00:00,13.50
10/02/2011,17:00:00,16.25
10/02/2011,18:00:00,23.00
