Date,Time,Values
01/01/2011,00:00:00,5.75
01/01/2011,01:00:00,4.25
01/01/2011,02:00:00,4.25
01/01/2011,03:00:00,5.25
01/01/2011,04:00:00,2.50
01/01/2011,05:00:00,2.00
01/01/2011,06:00:00,4.25
01/01/2011,07:00:00,2.00
01/01/2011,08:00:00,NA
01/01/2011,09:00:00,6.75
01/01/2011,10:00:00,6.75
01/01/2011,11:00:00,9.00
01/01/2011,12:00:00,11.25
01/01/2011,13:00:00,13.50
01/01/2011,14:00:00,16.75
01/01/2011,15:00:00,11.50
01/01/2011,16:00:00,10.00
01/01/2011,17:00:00,9.75
01/01/2011,18:00:00,5.50
01/01/2011,19:00:00,1.33
01/01/2011,21:00:00,3.75
01/01/2011,22:00:00,1.50
02/01/2011,00:00:00,5.00
02/01/2011,01:00:00,3.75
02/01/2011,02:00:00,3.50
02/01/2011,03:00:00,6.00
02/01/2011,04:00:00,4.00
02/01/2011,05:00:00,4.00
02/01/2011,06:00:00,5.50
02/01/2011,07:00:00,3.75
02/01/2011,08:00:00,3.50
02/01/2011,09:00:00,4.50
02/01/2011,10:00:00,4.75
02/01/2011,11:00:00,4.50
02/01/2011,12:00:00,5.50
02/01/2011,13:00:00,5.00
02/01/2011,14:00:00,7.00
02/01/2011,15:00:00,5.75
02/01/2011,16:00:00,4.25
02/01/2011,17:00:00,3.50
02/01/2011,18:00:00,6.33
02/01/2011,19:00:00,4.25
02/01/2011,20:00:00,9.25
02/01/2011,21:00:00,11.00
02/01/2011,22:00:00,10.00
02/01/2011,23:00:00,9.75
03/01/2011,00:00:00,10.50
03/01/2011,01:00:00,12.25
03/01/2011,02:00:00,10.00
03/01/2011,03:00:00,15.25
03/01/2011,04:00:00,21.25
03/01/2011,05:00:00,35.75
03/01/2011,06:00:00,35.50
03/01/2011,07:00:00,36.25
03/01/2011,08:00:00,20.75
03/01/2011,09:00:00,17.75
03/01/2011,10:00:00,14.50
03/01/2011,11:00:00,26.25
03/01/2011,12:00:00,49.25
03/01/2011,13:00:00,60.75
03/01/2011,14:00:00,59.00
03/01/2011,15:00:00,47.00
03/01/2011,16:00:00,46.75
03/01/2011,17:00:00,30.00
03/01/2011,18:00:00,23.50
03/01/2011,19:00:00,23.75
03/01/2011,20:00:00,25.25
03/01/2011,21:00:00,21.75
03/01/2011,22:00:00,26.00
03/01/2011,23:00:00,30.50
04/01/2011,00:00:00,32.75
04/01/2011,01:00:00,29.00
04/01/2011,02:00:00,29.00
04/01/2011,03:00:00,35.25
08/02/2011,18:00:00,3.50
08/02/2011,19:00:00,7.75
08/02/2011,20:00:00,18.00
08/02/2011,21:00:00,12.25
08/02/2011,22:00:00,12.25
08/02/2011,23:00:00,16.25
09/02/2011,00:00:00,12.75
09/02/2011,01:00:00,10.75
09/02/2011,02:00:00,8.25
09/02/2011,03:00:00,10.25
09/02/2011,04:00:00,8.25
09/02/2011,05:00:00,6.25
09/02/2011,06:00:00,7.25
09/02/2011,07:00:00,4.50
09/02/2011,08:00:00,4.00
09/02/2011,09:00:00,11.50
09/02/2011,10:00:00,12.50
09/02/2011,11:00:00,15.50
09/02/2011,12:00:00,19.50
09/02/2011,13:00:00,25.00
09/02/2011,14:00:00,26.25
09/02/2011,15:00:00,16.25
09/02/2011,16:00:00,15.50
09/02/2011,17:00:00,16.50
09/02/2011,18:00:00,16.00
09/02/2011,19:00:00,12.50
09/02/2011,20:00:00,8.75
09/02/2011,21:00:00,9.50
09/02/2011,22:00:00,8.25
09/02/2011,23:00:00,8.75
10/02/2011,00:00:00,8.50
10/02/2011,01:00:00,7.00
10/02/2011,02:00:00,8.25
10/02/2011,03:00:00,8.50
10/02/2011,06:00:00,7.33
10/02/2011,07:00:00,7.25
10/02/2011,08:00:00,10.25
10/02/2011,09:00:00,10.50
10/02/2011,10:00:00,20.25
10/02/2011,11:00:00,32.75
10/02/2011,12:00:00,29.00
10/02/2011,13:00:00,25.00
10/02/2011,14:00:00,26.00
10/02/2011,15:00:00,21.75
10/02/2011,16:00:00,19.75
10/02/2011,17:00:00,17.25
10/02/2011,18:00:00,16.25
10/02/2011,19:00:00,14.00
10/02/2011,20:00:00,16.75
10/02/2011,21:00:00,20.25
10/02/2011,22:00:00,19.50
10/02/2011,23:00:00,16.25
11/02/2011,00:00:00,12.75
11/02/2011,01:00:00,11.25
11/02/2011,02:00:00,10.25
11/02/2011,03:00:00,14.00
11/02/2011,04:00:00,12.75
11/02/2011,05:00:00,12.50
11/02/2011,06:00:00,10.75
11/02/2011,07:00:00,9.25
11/02/2011,08:00:00,11.25
11/02/2011,09:00:00,17.75
11/02/2011,10:00:00,25.50
11/02/2011,11:00:00,27.25
11/02/2011,12:00:00,24.00
11/02/2011,13:00:00,23.25
11/02/2011,14:00:00,28.00
11/02/2011,15:00:00,18.50
11/02/2011,16:00:00,11.50
11/02/2011,17:00:00,14.75
11/02/2011,18:00:00,16.00
11/02/2011,19:00:00,13.75
11/02/2011,20:00:00,11.00
11/02/2011,21:00:00,17.25
11/02/2011,22:00:00,14.50
11/02/2011,23:00:00,7.50
12/02/2011,00:00:00,11.75
12/02/2011,01:00:00,11.50
12/02/2011,02:00:00,10.25
12/02/2011,03:00:00,15.75
12/02/2011,04:00:00,14.50
12/02/2011,05:00:00,10.75
12/02/2011,06:00:00,9.25
12/02/2011,07:00:00,5.25
12/02/2011,08:00:00,9.00
12/02/2011,09:00:00,21.00
12/02/2011,10:00:00,27.75
12/02/2011,11:00:00,38.75
12/02/2011,12:00:00,44.25
12/02/2011,13:00:00,90.00
12/02/2011,14:00:00,97.25
12/02/2011,15:00:00,52.25
12/02/2011,16:00:00,49.25
12/02/2011,17:00:00,50.00
12/02/2011,18:00:00,55.50
12/02/2011,19:00:00,41.75
12/02/2011,20:00:00,37.75
12/02/2011,21:00:00,25.25
12/02/2011,22:00:00,22.00
12/02/2011,23:00:00,14.50
13/02/2011,00:00:00,8.75
13/02/2011,01:00:00,4.75
13/02/2011,02:00:00,3.25
13/02/2011,03:00:00,16.50
13/02/2011,04:00:00,75.75
13/02/2011,05:00:00,116.75
13/02/2011,06:00:00,108.00
13/02/2011,07:00:00,80.00
