Date,Time,Values
09/04/2015,14:00:00,30.80
09/04/2015,15:00:00,30.22
09/04/2015,16:00:00,29.74
09/04/2015,17:00:00,28.70
09/04/2015,18:00:00,26.59
09/04/2015,19:00:00,23.80
09/04/2015,20:00:00,20.44
09/04/2015,21:00:00,18.90
09/04/2015,22:00:00,19.95
09/04/2015,23:00:00,21.20
10/04/2015,00:00:00,19.95
10/04/2015,01:00:00,19.69
10/04/2015,02:00:00,19.81
10/04/2015,03:00:00,16.86
10/04/2015,04:00:00,16.22
10/04/2015,05:00:00,15.47
10/04/2015,06:00:00,15.54
10/04/2015,07:00:00,20.02
10/04/2015,08:00:00,24.72
10/04/2015,09:00:00,26.94
10/04/2015,10:00:00,28.91
10/04/2015,11:00:00,30.90
10/04/2015,12:00:00,31.93
10/04/2015,13:00:00,32.95
10/04/2015,14:00:00,33.15
10/04/2015,15:00:00,32.97
10/04/2015,16:00:00,32.04
10/04/2015,17:00:00,31.26
10/04/2015,18:00:00,27.34
10/04/2015,19:00:00,24.21
10/04/2015,20:00:00,21.13
10/04/2015,21:00:00,19.86
10/04/2015,22:00:00,18.87
10/04/2015,23:00:00,18.67
11/04/2015,00:00:00,17.78
11/04/2015,01:00:00,16.94
11/04/2015,02:00:00,16.50
11/04/2015,03:00:00,15.79
11/04/2015,04:00:00,15.62
11/04/2015,05:00:00,15.10
11/04/2015,06:00:00,15.63
11/04/2015,07:00:00,20.59
11/04/2015,08:00:00,26.07
11/04/2015,09:00:00,29.40
11/04/2015,11:00:00,33.77
11/04/2015,12:00:00,34.72
11/04/2015,13:00:00,33.89
11/04/2015,14:00:00,35.17
11/04/2015,15:00:00,34.54
11/04/2015,16:00:00,31.67
11/04/2015,17:00:00,27.53
11/04/2015,18:00:00,25.21
11/04/2015,19:00:00,24.30
13/04/2015,11:00:00,28.77
13/04/2015,12:00:00,28.68
13/04/2015,13:00:00,29.58
13/04/2015,14:00:00,29.34
13/04/2015,15:00:00,29.29
13/04/2015,16:00:00,25.48
13/04/2015,17:00:00,24.90
13/04/2015,18:00:00,20.62
13/04/2015,19:00:00,20.28
13/04/2015,20:00:00,20.61
13/04/2015,21:00:00,20.71
13/04/2015,22:00:00,20.22
13/04/2015,23:00:00,19.87
14/04/2015,00:00:00,19.29
14/04/2015,01:00:00,19.68
14/04/2015,02:00:00,18.38
14/04/2015,03:00:00,18.68
14/04/2015,04:00:00,19.08
14/04/2015,05:00:00,18.17
14/04/2015,06:00:00,18.85
14/04/2015,07:00:00,20.67
14/04/2015,08:00:00,22.83
14/04/2015,09:00:00,25.09
14/04/2015,10:00:00,26.53
14/04/2015,11:00:00,28.39
14/04/2015,12:00:00,29.30
14/04/2015,13:00:00,30.33
14/04/2015,14:00:00,30.54
14/04/2015,15:00:00,29.95
14/04/2015,16:00:00,29.46
14/04/2015,17:00:00,28.13
14/04/2015,18:00:00,26.18
14/04/2015,19:00:00,23.92
14/04/2015,20:00:00,21.50
14/04/2015,21:00:00,20.34
14/04/2015,22:00:00,19.24
14/04/2015,23:00:00,18.51
15/04/2015,00:00:00,17.82
15/04/2015,01:00:00,17.35
15/04/2015,02:00:00,17.44
15/04/2015,18:00:00,25.65
15/04/2015,19:00:00,25.31
15/04/2015,20:00:00,24.57
15/04/2015,21:00:00,21.69
15/04/2015,22:00:00,20.48
15/04/2015,23:00:00,20.60
16/04/2015,00:00:00,21.07
16/04/2015,01:00:00,20.22
16/04/2015,02:00:00,18.48
16/04/2015,03:00:00,17.61
16/04/2015,04:00:00,17.26
16/04/2015,05:00:00,16.77
16/04/2015,06:00:00,17.50
16/04/2015,07:00:00,22.21
16/04/2015,08:00:00,25.94
16/04/2015,09:00:00,28.30
16/04/2015,10:00:00,24.68
16/04/2015,11:00:00,28.13
16/04/2015,15:00:00,26.58
16/04/2015,16:00:00,25.17
16/04/2015,17:00:00,23.36
16/04/2015,18:00:00,21.78
16/04/2015,19:00:00,20.29
16/04/2015,20:00:00,19.53
16/04/2015,21:00:00,19.08
16/04/2015,22:00:00,18.79
16/04/2015,23:00:00,17.83
17/04/2015,00:00:00,17.73
17/04/2015,01:00:00,17.12
17/04/2015,02:00:00,16.82
