Date,Time,Values
19/04/2011,13:00:00,32.04
19/04/2011,14:00:00,34.52
19/04/2011,15:00:00,29.38
19/04/2011,16:00:00,35.87
19/04/2011,17:00:00,32.32
19/04/2011,18:00:00,28.50
19/04/2011,19:00:00,38.37
19/04/2011,20:00:00,46.63
19/04/2011,21:00:00,40.20
19/04/2011,22:00:00,41.55
19/04/2011,23:00:00,41.17
20/04/2011,00:00:00,51.70
20/04/2011,01:00:00,64.48
20/04/2011,02:00:00,66.80
20/04/2011,03:00:00,75.07
20/04/2011,04:00:00,70.12
20/04/2011,05:00:00,65.93
20/04/2011,06:00:00,79.02
20/04/2011,07:00:00,72.08
20/04/2011,08:00:00,70.08
20/04/2011,09:00:00,60.70
20/04/2011,10:00:00,57.03
20/04/2011,11:00:00,51.82
20/04/2011,12:00:00,47.38
20/04/2011,13:00:00,27.60
24/04/2011,14:00:00,32.30
24/04/2011,15:00:00,29.62
24/04/2011,16:00:00,33.52
24/04/2011,17:00:00,34.92
24/04/2011,18:00:00,33.60
24/04/2011,19:00:00,33.02
24/04/2011,20:00:00,47.60
24/04/2011,21:00:00,42.10
24/04/2011,22:00:00,45.12
24/04/2011,23:00:00,53.45
25/04/2011,00:00:00,60.00
25/04/2011,01:00:00,68.12
25/04/2011,02:00:00,69.67
25/04/2011,03:00:00,79.57
25/04/2011,04:00:00,87.97
25/04/2011,05:00:00,88.15
25/04/2011,06:00:00,95.32
25/04/2011,07:00:00,87.17
25/04/2011,08:00:00,86.02
25/04/2011,09:00:00,94.00
25/04/2011,10:00:00,67.83
25/04/2011,11:00:00,53.05
25/04/2011,12:00:00,43.18
25/04/2011,13:00:00,33.77
25/04/2011,14:00:00,37.72
25/04/2011,15:00:00,32.68
25/04/2011,16:00:00,42.55
25/04/2011,17:00:00,38.90
25/04/2011,18:00:00,36.62
25/04/2011,19:00:00,35.43
25/04/2011,20:00:00,46.85
25/04/2011,21:00:00,41.52
25/04/2011,22:00:00,55.40
25/04/2011,23:00:00,71.25
26/04/2011,00:00:00,77.25
26/04/2011,01:00:00,85.52
26/04/2011,02:00:00,85.43
26/04/2011,03:00:00,75.53
26/04/2011,04:00:00,71.78
26/04/2011,05:00:00,53.05
26/04/2011,06:00:00,48.75
26/04/2011,07:00:00,57.07
26/04/2011,08:00:00,39.52
26/04/2011,09:00:00,162.45
26/04/2011,10:00:00,105.87
26/04/2011,11:00:00,99.33
26/04/2011,12:00:00,66.53
26/04/2011,13:00:00,48.92
26/04/2011,14:00:00,64.24
26/04/2011,15:00:00,59.72
26/04/2011,16:00:00,86.57
26/04/2011,17:00:00,70.15
26/04/2011,18:00:00,52.47
26/04/2011,19:00:00,36.73
26/04/2011,20:00:00,93.97
26/04/2011,21:00:00,38.73
26/04/2011,22:00:00,42.37
26/04/2011,23:00:00,49.88
27/04/2011,00:00:00,56.57
27/04/2011,01:00:00,80.50
27/04/2011,02:00:00,74.02
27/04/2011,03:00:00,71.75
27/04/2011,04:00:00,73.22
27/04/2011,05:00:00,51.28
27/04/2011,06:00:00,49.82
27/04/2011,07:00:00,47.25
27/04/2011,08:00:00,41.33
27/04/2011,09:00:00,84.70
27/04/2011,10:00:00,92.62
27/04/2011,11:00:00,77.83
27/04/2011,12:00:00,66.28
27/04/2011,13:00:00,39.30
27/04/2011,14:00:00,52.96
27/04/2011,15:00:00,49.33
27/04/2011,16:00:00,71.07
27/04/2011,17:00:00,62.10
27/04/2011,18:00:00,48.58
27/04/2011,19:00:00,32.48
27/04/2011,20:00:00,76.00
27/04/2011,21:00:00,39.42
27/04/2011,22:00:00,33.15
27/04/2011,23:00:00,31.52
28/04/2011,00:00:00,32.05
28/04/2011,01:00:00,37.18
28/04/2011,02:00:00,187.72
28/04/2011,03:00:00,116.67
28/04/2011,04:00:00,83.38
28/04/2011,05:00:00,67.32
28/04/2011,06:00:00,60.13
28/04/2011,07:00:00,43.37
28/04/2011,08:00:00,38.85
28/04/2011,09:00:00,75.95
28/04/2011,10:00:00,73.62
28/04/2011,11:00:00,80.08
28/04/2011,12:00:00,68.83
28/04/2011,13:00:00,47.72
28/04/2011,14:00:00,53.24
28/04/2011,15:00:00,54.58
28/04/2011,16:00:00,69.70
28/04/2011,17:00:00,58.35
28/04/2011,18:00:00,55.65
28/04/2011,19:00:00,50.15
28/04/2011,20:00:00,49.18
28/04/2011,21:00:00,38.83
28/04/2011,22:00:00,38.48
28/04/2011,23:00:00,43.10
29/04/2011,00:00:00,35.73
29/04/2011,01:00:00,21.37
29/04/2011,02:00:00,29.65
29/04/2011,03:00:00,69.53
29/04/2011,04:00:00,160.66
29/04/2011,05:00:00,91.40
29/04/2011,06:00:00,82.33
29/04/2011,07:00:00,63.77
29/04/2011,08:00:00,62.87
29/04/2011,09:00:00,62.12
29/04/2011,10:00:00,47.72
29/04/2011,11:00:00,39.23
29/04/2011,12:00:00,36.00
29/04/2011,13:00:00,25.17
29/04/2011,14:00:00,26.14
29/04/2011,15:00:00,26.55
29/04/2011,16:00:00,33.67
29/04/2011,17:00:00,30.87
29/04/2011,18:00:00,30.37
29/04/2011,19:00:00,30.98
29/04/2011,20:00:00,31.05
29/04/2011,21:00:00,24.23
29/04/2011,22:00:00,26.88
29/04/2011,23:00:00,28.12
30/04/2011,00:00:00,31.88
30/04/2011,01:00:00,39.28
30/04/2011,02:00:00,45.13
30/04/2011,03:00:00,53.28
30/04/2011,04:00:00,60.53
30/04/2011,05:00:00,34.62
30/04/2011,06:00:00,29.97
30/04/2011,07:00:00,25.93
30/04/2011,08:00:00,31.68
30/04/2011,09:00:00,39.62
30/04/2011,10:00:00,38.70
30/04/2011,11:00:00,36.95
30/04/2011,21:00:00,24.54
30/04/2011,22:00:00,24.68
30/04/2011,23:00:00,41.62
01/05/2011,00:00:00,59.00
01/05/2011,01:00:00,77.55
01/05/2011,02:00:00,75.27
01/05/2011,03:00:00,65.45
01/05/2011,04:00:00,61.92
01/05/2011,05:00:00,35.62
01/05/2011,06:00:00,32.25
01/05/2011,07:00:00,31.12
01/05/2011,08:00:00,41.73
01/05/2011,09:00:00,53.47
01/05/2011,10:00:00,50.55
01/05/2011,11:00:00,36.82
01/05/2011,12:00:00,31.50
01/05/2011,13:00:00,20.45
01/05/2011,14:00:00,21.70
01/05/2011,15:00:00,21.73
01/05/2011,16:00:00,21.18
01/05/2011,17:00:00,20.53
01/05/2011,18:00:00,19.18
01/05/2011,19:00:00,21.32
01/05/2011,20:00:00,22.70
01/05/2011,21:00:00,20.40
01/05/2011,22:00:00,25.73
01/05/2011,23:00:00,31.47
02/05/2011,00:00:00,40.02
02/05/2011,01:00:00,44.68
02/05/2011,02:00:00,55.43
02/05/2011,03:00:00,51.98
02/05/2011,04:00:00,59.13
02/05/2011,05:00:00,42.53
02/05/2011,06:00:00,29.98
02/05/2011,07:00:00,27.30
02/05/2011,08:00:00,28.30
02/05/2011,09:00:00,54.03
02/05/2011,10:00:00,48.22
02/05/2011,11:00:00,40.05
02/05/2011,12:00:00,42.12
02/05/2011,13:00:00,35.08
02/05/2011,14:00:00,48.46
02/05/2011,15:00:00,43.87
02/05/2011,16:00:00,44.67
02/05/2011,17:00:00,37.43
02/05/2011,18:00:00,42.35
02/05/2011,19:00:00,47.22
02/05/2011,20:00:00,40.38
02/05/2011,21:00:00,37.68
02/05/2011,22:00:00,55.80
02/05/2011,23:00:00,72.80
03/05/2011,00:00:00,84.40
03/05/2011,01:00:00,80.38
03/05/2011,02:00:00,71.47
03/05/2011,03:00:00,67.18
03/05/2011,04:00:00,58.98
03/05/2011,05:00:00,53.92
03/05/2011,06:00:00,57.55
03/05/2011,07:00:00,54.33
03/05/2011,08:00:00,79.53
03/05/2011,09:00:00,71.83
03/05/2011,10:00:00,60.50
03/05/2011,11:00:00,52.25
03/05/2011,12:00:00,45.38
03/05/2011,13:00:00,32.30
03/05/2011,14:00:00,41.48
03/05/2011,15:00:00,33.33
03/05/2011,16:00:00,38.30
03/05/2011,17:00:00,34.40
03/05/2011,18:00:00,29.30
03/05/2011,19:00:00,26.92
03/05/2011,20:00:00,21.18
03/05/2011,21:00:00,21.48
03/05/2011,22:00:00,24.17
03/05/2011,23:00:00,28.80
04/05/2011,00:00:00,40.50
04/05/2011,01:00:00,38.72
04/05/2011,02:00:00,37.03
04/05/2011,03:00:00,36.27
04/05/2011,04:00:00,38.12
04/05/2011,05:00:00,31.77
04/05/2011,06:00:00,33.08
04/05/2011,07:00:00,33.13
04/05/2011,08:00:00,56.65
04/05/2011,09:00:00,57.13
04/05/2011,10:00:00,58.70
04/05/2011,11:00:00,53.22
04/05/2011,12:00:00,47.23
04/05/2011,13:00:00,29.10
04/05/2011,14:00:00,39.98
04/05/2011,15:00:00,38.30
04/05/2011,16:00:00,73.25
04/05/2011,17:00:00,56.27
04/05/2011,18:00:00,46.48
04/05/2011,19:00:00,42.18
04/05/2011,20:00:00,31.83
04/05/2011,21:00:00,25.27
04/05/2011,22:00:00,26.80
04/05/2011,23:00:00,32.72
05/05/2011,00:00:00,66.85
05/05/2011,01:00:00,65.67
05/05/2011,02:00:00,73.90
05/05/2011,03:00:00,76.95
05/05/2011,04:00:00,55.37
05/05/2011,05:00:00,32.60
05/05/2011,06:00:00,37.48
05/05/2011,07:00:00,38.93
05/05/2011,08:00:00,38.28
05/05/2011,09:00:00,45.15
05/05/2011,10:00:00,69.92
05/05/2011,11:00:00,152.07
05/05/2011,12:00:00,173.60
05/05/2011,13:00:00,89.72
05/05/2011,14:00:00,167.92
05/05/2011,15:00:00,136.83
05/05/2011,16:00:00,114.90
05/05/2011,17:00:00,91.25
05/05/2011,18:00:00,87.68
05/05/2011,19:00:00,73.72
05/05/2011,20:00:00,59.18
05/05/2011,21:00:00,32.52
05/05/2011,22:00:00,42.93
05/05/2011,23:00:00,54.50
06/05/2011,00:00:00,70.13
06/05/2011,01:00:00,61.78
06/05/2011,02:00:00,58.90
06/05/2011,03:00:00,42.47
06/05/2011,04:00:00,120.47
06/05/2011,05:00:00,62.57
06/05/2011,06:00:00,30.63
06/05/2011,07:00:00,31.52
06/05/2011,08:00:00,33.67
06/05/2011,09:00:00,43.42
06/05/2011,10:00:00,51.67
06/05/2011,11:00:00,53.13
06/05/2011,12:00:00,73.57
06/05/2011,13:00:00,41.13
06/05/2011,14:00:00,137.64
06/05/2011,15:00:00,114.93
06/05/2011,16:00:00,185.63
06/05/2011,17:00:00,92.80
06/05/2011,18:00:00,66.80
06/05/2011,19:00:00,56.15
06/05/2011,20:00:00,86.28
06/05/2011,21:00:00,32.82
06/05/2011,22:00:00,25.35
06/05/2011,23:00:00,27.05
07/05/2011,00:00:00,31.32
07/05/2011,01:00:00,99.37
07/05/2011,02:00:00,81.07
07/05/2011,03:00:00,71.98
07/05/2011,04:00:00,94.83
07/05/2011,05:00:00,52.28
07/05/2011,06:00:00,46.20
07/05/2011,07:00:00,32.83
07/05/2011,08:00:00,21.93
07/05/2011,09:00:00,22.22
07/05/2011,10:00:00,24.80
07/05/2011,11:00:00,129.07
07/05/2011,12:00:00,86.57
07/05/2011,13:00:00,49.22
07/05/2011,14:00:00,64.04
07/05/2011,15:00:00,57.63
07/05/2011,16:00:00,86.32
07/05/2011,17:00:00,63.27
07/05/2011,18:00:00,52.70
07/05/2011,19:00:00,48.63
07/05/2011,20:00:00,47.67
07/05/2011,21:00:00,36.47
08/05/2011,12:00:00,44.00
08/05/2011,13:00:00,37.23
08/05/2011,14:00:00,38.06
08/05/2011,15:00:00,37.58
08/05/2011,16:00:00,47.03
08/05/2011,17:00:00,45.42
08/05/2011,18:00:00,48.48
08/05/2011,19:00:00,44.13
08/05/2011,20:00:00,44.32
08/05/2011,21:00:00,33.63
08/05/2011,22:00:00,28.72
08/05/2011,23:00:00,28.08
