Date,Time,Values
09/04/2015,14:00:00,735.00
09/04/2015,15:00:00,736.00
09/04/2015,16:00:00,736.00
09/04/2015,17:00:00,736.00
09/04/2015,18:00:00,736.00
09/04/2015,19:00:00,736.00
09/04/2015,20:00:00,736.00
09/04/2015,21:00:00,736.00
09/04/2015,22:00:00,736.00
09/04/2015,23:00:00,736.00
10/04/2015,00:00:00,736.00
10/04/2015,01:00:00,736.00
10/04/2015,02:00:00,736.00
10/04/2015,03:00:00,736.42
10/04/2015,04:00:00,737.00
10/04/2015,05:00:00,737.00
10/04/2015,06:00:00,737.00
10/04/2015,07:00:00,736.25
10/04/2015,08:00:00,736.00
10/04/2015,09:00:00,736.00
10/04/2015,10:00:00,736.00
10/04/2015,11:00:00,736.00
10/04/2015,12:00:00,735.83
10/04/2015,13:00:00,735.08
10/04/2015,14:00:00,735.00
10/04/2015,15:00:00,735.00
10/04/2015,16:00:00,735.00
10/04/2015,17:00:00,735.00
10/04/2015,18:00:00,736.00
10/04/2015,19:00:00,736.00
10/04/2015,20:00:00,736.00
10/04/2015,21:00:00,736.00
10/04/2015,22:00:00,736.00
10/04/2015,23:00:00,736.00
11/04/2015,00:00:00,736.00
11/04/2015,01:00:00,736.00
11/04/2015,02:00:00,736.00
11/04/2015,03:00:00,736.00
11/04/2015,04:00:00,737.00
11/04/2015,05:00:00,737.00
11/04/2015,06:00:00,737.00
11/04/2015,07:00:00,736.00
11/04/2015,08:00:00,736.00
11/04/2015,09:00:00,736.00
11/04/2015,11:00:00,735.13
11/04/2015,12:00:00,735.00
11/04/2015,13:00:00,735.00
11/04/2015,14:00:00,735.00
11/04/2015,15:00:00,735.00
11/04/2015,16:00:00,735.42
11/04/2015,17:00:00,736.00
11/04/2015,18:00:00,736.00
11/04/2015,19:00:00,736.00
13/04/2015,11:00:00,736.00
13/04/2015,12:00:00,736.00
13/04/2015,13:00:00,736.00
13/04/2015,14:00:00,736.00
13/04/2015,15:00:00,736.00
13/04/2015,16:00:00,736.00
13/04/2015,17:00:00,736.00
13/04/2015,18:00:00,736.00
13/04/2015,19:00:00,736.00
13/04/2015,20:00:00,736.00
13/04/2015,21:00:00,736.00
13/04/2015,22:00:00,736.00
13/04/2015,23:00:00,736.00
14/04/2015,00:00:00,736.75
14/04/2015,01:00:00,737.00
14/04/2015,02:00:00,737.00
14/04/2015,03:00:00,737.00
14/04/2015,04:00:00,737.00
14/04/2015,05:00:00,737.00
14/04/2015,06:00:00,736.25
14/04/2015,07:00:00,736.00
14/04/2015,08:00:00,736.00
14/04/2015,09:00:00,736.00
14/04/2015,10:00:00,736.00
14/04/2015,11:00:00,736.00
14/04/2015,12:00:00,736.00
14/04/2015,13:00:00,736.00
14/04/2015,14:00:00,736.00
14/04/2015,15:00:00,736.00
14/04/2015,16:00:00,736.00
14/04/2015,17:00:00,736.00
14/04/2015,18:00:00,736.00
14/04/2015,19:00:00,736.00
14/04/2015,20:00:00,736.00
14/04/2015,21:00:00,736.00
14/04/2015,22:00:00,737.00
14/04/2015,23:00:00,737.00
15/04/2015,00:00:00,737.00
15/04/2015,01:00:00,737.00
15/04/2015,02:00:00,737.00
15/04/2015,18:00:00,736.00
15/04/2015,19:00:00,736.00
15/04/2015,20:00:00,736.00
15/04/2015,21:00:00,736.17
15/04/2015,22:00:00,737.00
15/04/2015,23:00:00,736.92
16/04/2015,00:00:00,736.42
16/04/2015,01:00:00,737.00
16/04/2015,02:00:00,737.00
16/04/2015,03:00:00,737.00
16/04/2015,04:00:00,737.00
16/04/2015,05:00:00,737.00
16/04/2015,06:00:00,737.00
16/04/2015,07:00:00,736.17
16/04/2015,08:00:00,736.00
16/04/2015,09:00:00,736.00
16/04/2015,10:00:00,736.00
16/04/2015,11:00:00,736.00
16/04/2015,15:00:00,736.00
16/04/2015,16:00:00,736.00
16/04/2015,17:00:00,736.00
16/04/2015,18:00:00,736.00
16/04/2015,19:00:00,736.00
16/04/2015,20:00:00,736.00
16/04/2015,21:00:00,736.25
16/04/2015,22:00:00,736.75
16/04/2015,23:00:00,736.92
17/04/2015,00:00:00,737.00
17/04/2015,01:00:00,737.00
17/04/2015,02:00:00,737.00
17/04/2015,03:00:00,737.00
17/04/2015,04:00:00,737.00
17/04/2015,05:00:00,737.00
17/04/2015,06:00:00,737.00
17/04/2015,07:00:00,736.50
17/04/2015,08:00:00,736.00
17/04/2015,09:00:00,736.00
17/04/2015,10:00:00,736.00
17/04/2015,11:00:00,736.00
17/04/2015,12:00:00,736.00
17/04/2015,13:00:00,736.00
17/04/2015,14:00:00,736.00
17/04/2015,15:00:00,735.83
17/04/2015,16:00:00,735.42
17/04/2015,17:00:00,736.00
17/04/2015,18:00:00,736.00
18/04/2015,07:00:00,736.00
18/04/2015,09:00:00,736.00
18/04/2015,10:00:00,736.00
18/04/2015,11:00:00,736.00
18/04/2015,14:00:00,735.00
18/04/2015,15:00:00,735.00
18/04/2015,16:00:00,735.00
18/04/2015,19:00:00,736.00
18/04/2015,20:00:00,736.00
18/04/2015,21:00:00,736.00
18/04/2015,22:00:00,736.00
18/04/2015,23:00:00,736.00
19/04/2015,00:00:00,736.00
19/04/2015,01:00:00,736.00
19/04/2015,02:00:00,736.00
19/04/2015,03:00:00,736.00
19/04/2015,04:00:00,736.00
19/04/2015,05:00:00,736.00
19/04/2015,06:00:00,736.00
19/04/2015,07:00:00,736.00
19/04/2015,08:00:00,736.00
19/04/2015,09:00:00,736.00
19/04/2015,10:00:00,735.17
19/04/2015,11:00:00,735.00
19/04/2015,12:00:00,735.00
19/04/2015,13:00:00,735.00
19/04/2015,14:00:00,735.00
19/04/2015,15:00:00,735.00
19/04/2015,17:00:00,736.00
19/04/2015,18:00:00,736.00
19/04/2015,19:00:00,736.00
19/04/2015,20:00:00,736.00
19/04/2015,21:00:00,736.00
19/04/2015,22:00:00,736.00
19/04/2015,23:00:00,736.00
20/04/2015,00:00:00,736.00
20/04/2015,01:00:00,736.00
20/04/2015,02:00:00,736.00
20/04/2015,03:00:00,736.00
20/04/2015,04:00:00,736.00
20/04/2015,05:00:00,736.00
20/04/2015,06:00:00,736.00
20/04/2015,07:00:00,736.00
