Date,Time,Values
19/04/2011,13:00:00,NA
19/04/2011,14:00:00,NA
19/04/2011,15:00:00,NA
19/04/2011,16:00:00,NA
19/04/2011,17:00:00,NA
19/04/2011,18:00:00,NA
19/04/2011,19:00:00,NA
19/04/2011,20:00:00,1.70
19/04/2011,21:00:00,1.95
19/04/2011,22:00:00,1.38
19/04/2011,23:00:00,NA
20/04/2011,00:00:00,NA
20/04/2011,01:00:00,NA
20/04/2011,02:00:00,NA
20/04/2011,03:00:00,NA
20/04/2011,04:00:00,NA
20/04/2011,05:00:00,NA
20/04/2011,06:00:00,1.05
20/04/2011,07:00:00,NA
20/04/2011,08:00:00,1.10
20/04/2011,09:00:00,NA
20/04/2011,10:00:00,NA
20/04/2011,11:00:00,NA
20/04/2011,12:00:00,NA
20/04/2011,13:00:00,NA
24/04/2011,14:00:00,NA
24/04/2011,15:00:00,NA
24/04/2011,16:00:00,NA
24/04/2011,17:00:00,NA
24/04/2011,18:00:00,NA
24/04/2011,19:00:00,1.33
24/04/2011,20:00:00,1.88
24/04/2011,21:00:00,2.45
24/04/2011,22:00:00,3.18
24/04/2011,23:00:00,2.98
25/04/2011,00:00:00,2.82
25/04/2011,01:00:00,3.33
25/04/2011,02:00:00,4.42
25/04/2011,03:00:00,4.63
25/04/2011,04:00:00,4.35
25/04/2011,05:00:00,3.55
25/04/2011,06:00:00,3.03
25/04/2011,07:00:00,3.53
25/04/2011,08:00:00,3.67
25/04/2011,09:00:00,1.18
25/04/2011,10:00:00,NA
25/04/2011,11:00:00,NA
25/04/2011,12:00:00,NA
25/04/2011,13:00:00,NA
25/04/2011,14:00:00,NA
25/04/2011,15:00:00,NA
25/04/2011,16:00:00,NA
25/04/2011,17:00:00,NA
25/04/2011,18:00:00,NA
25/04/2011,19:00:00,1.38
25/04/2011,20:00:00,2.50
25/04/2011,21:00:00,2.95
25/04/2011,22:00:00,2.53
25/04/2011,23:00:00,2.72
26/04/2011,00:00:00,3.07
26/04/2011,01:00:00,3.37
26/04/2011,02:00:00,2.58
26/04/2011,03:00:00,2.27
26/04/2011,04:00:00,1.12
26/04/2011,05:00:00,NA
26/04/2011,06:00:00,NA
26/04/2011,07:00:00,NA
26/04/2011,08:00:00,NA
26/04/2011,09:00:00,NA
26/04/2011,10:00:00,NA
26/04/2011,11:00:00,NA
26/04/2011,12:00:00,NA
26/04/2011,13:00:00,NA
26/04/2011,14:00:00,NA
26/04/2011,15:00:00,NA
26/04/2011,16:00:00,NA
26/04/2011,17:00:00,NA
26/04/2011,18:00:00,NA
26/04/2011,19:00:00,NA
26/04/2011,20:00:00,NA
26/04/2011,21:00:00,NA
26/04/2011,22:00:00,NA
26/04/2011,23:00:00,NA
27/04/2011,00:00:00,NA
27/04/2011,01:00:00,NA
27/04/2011,02:00:00,NA
27/04/2011,03:00:00,NA
27/04/2011,04:00:00,NA
27/04/2011,05:00:00,NA
27/04/2011,06:00:00,NA
27/04/2011,07:00:00,NA
27/04/2011,08:00:00,NA
27/04/2011,09:00:00,NA
27/04/2011,10:00:00,NA
27/04/2011,11:00:00,NA
27/04/2011,12:00:00,NA
27/04/2011,13:00:00,NA
27/04/2011,14:00:00,NA
27/04/2011,15:00:00,NA
27/04/2011,16:00:00,NA
27/04/2011,17:00:00,NA
27/04/2011,18:00:00,1.25
27/04/2011,19:00:00,1.53
27/04/2011,20:00:00,2.63
27/04/2011,21:00:00,3.07
27/04/2011,22:00:00,1.63
27/04/2011,23:00:00,1.05
28/04/2011,00:00:00,1.17
28/04/2011,01:00:00,1.15
28/04/2011,02:00:00,1.08
28/04/2011,03:00:00,NA
28/04/2011,04:00:00,NA
28/04/2011,05:00:00,1.02
28/04/2011,06:00:00,1.17
28/04/2011,07:00:00,1.42
28/04/2011,08:00:00,1.25
28/04/2011,09:00:00,NA
28/04/2011,10:00:00,NA
28/04/2011,11:00:00,NA
28/04/2011,12:00:00,NA
28/04/2011,13:00:00,NA
28/04/2011,14:00:00,NA
28/04/2011,15:00:00,NA
28/04/2011,16:00:00,NA
28/04/2011,17:00:00,1.55
28/04/2011,18:00:00,1.70
28/04/2011,19:00:00,1.62
28/04/2011,20:00:00,1.92
28/04/2011,21:00:00,5.18
