Date,Time,Values
19/04/2011,13:00:00,NA
19/04/2011,14:00:00,NA
19/04/2011,15:00:00,NA
19/04/2011,16:00:00,NA
19/04/2011,17:00:00,NA
19/04/2011,18:00:00,NA
19/04/2011,19:00:00,NA
19/04/2011,20:00:00,6.60
19/04/2011,21:00:00,12.43
19/04/2011,22:00:00,11.02
19/04/2011,23:00:00,5.58
20/04/2011,00:00:00,NA
20/04/2011,01:00:00,NA
20/04/2011,02:00:00,NA
20/04/2011,03:00:00,NA
20/04/2011,04:00:00,NA
20/04/2011,05:00:00,NA
20/04/2011,06:00:00,NA
20/04/2011,07:00:00,NA
20/04/2011,08:00:00,NA
20/04/2011,09:00:00,NA
20/04/2011,10:00:00,NA
20/04/2011,11:00:00,NA
20/04/2011,12:00:00,NA
20/04/2011,13:00:00,NA
24/04/2011,14:00:00,NA
24/04/2011,15:00:00,NA
24/04/2011,16:00:00,NA
24/04/2011,17:00:00,NA
24/04/2011,18:00:00,NA
24/04/2011,19:00:00,NA
24/04/2011,20:00:00,5.65
24/04/2011,21:00:00,9.08
24/04/2011,22:00:00,10.58
24/04/2011,23:00:00,14.15
25/04/2011,00:00:00,12.62
25/04/2011,01:00:00,11.63
25/04/2011,02:00:00,14.13
25/04/2011,03:00:00,16.35
25/04/2011,04:00:00,17.20
25/04/2011,05:00:00,16.45
25/04/2011,06:00:00,10.40
25/04/2011,07:00:00,7.47
25/04/2011,08:00:00,10.38
25/04/2011,09:00:00,8.07
25/04/2011,10:00:00,NA
25/04/2011,11:00:00,NA
25/04/2011,12:00:00,NA
25/04/2011,13:00:00,NA
25/04/2011,14:00:00,NA
25/04/2011,15:00:00,NA
25/04/2011,16:00:00,NA
25/04/2011,17:00:00,NA
25/04/2011,18:00:00,NA
25/04/2011,19:00:00,NA
25/04/2011,20:00:00,9.02
25/04/2011,21:00:00,14.02
25/04/2011,22:00:00,12.78
25/04/2011,23:00:00,9.45
26/04/2011,00:00:00,9.85
26/04/2011,01:00:00,13.12
26/04/2011,02:00:00,14.68
26/04/2011,03:00:00,9.90
26/04/2011,04:00:00,6.32
26/04/2011,05:00:00,NA
26/04/2011,06:00:00,NA
26/04/2011,07:00:00,NA
26/04/2011,08:00:00,NA
26/04/2011,09:00:00,NA
26/04/2011,10:00:00,NA
26/04/2011,11:00:00,NA
26/04/2011,12:00:00,NA
26/04/2011,13:00:00,NA
26/04/2011,14:00:00,NA
26/04/2011,15:00:00,NA
26/04/2011,16:00:00,NA
26/04/2011,17:00:00,NA
26/04/2011,18:00:00,NA
26/04/2011,19:00:00,NA
26/04/2011,20:00:00,NA
26/04/2011,21:00:00,NA
26/04/2011,22:00:00,NA
26/04/2011,23:00:00,NA
27/04/2011,00:00:00,NA
27/04/2011,01:00:00,NA
27/04/2011,02:00:00,NA
27/04/2011,03:00:00,NA
27/04/2011,04:00:00,NA
27/04/2011,05:00:00,NA
27/04/2011,06:00:00,NA
27/04/2011,07:00:00,NA
27/04/2011,08:00:00,NA
27/04/2011,09:00:00,NA
27/04/2011,10:00:00,NA
27/04/2011,11:00:00,NA
27/04/2011,12:00:00,NA
27/04/2011,13:00:00,NA
27/04/2011,14:00:00,NA
27/04/2011,15:00:00,NA
27/04/2011,16:00:00,NA
27/04/2011,17:00:00,NA
27/04/2011,18:00:00,NA
27/04/2011,19:00:00,NA
27/04/2011,20:00:00,5.25
27/04/2011,21:00:00,10.15
27/04/2011,22:00:00,9.02
27/04/2011,23:00:00,NA
28/04/2011,00:00:00,NA
28/04/2011,01:00:00,NA
28/04/2011,02:00:00,NA
28/04/2011,03:00:00,NA
28/04/2011,04:00:00,NA
28/04/2011,05:00:00,NA
28/04/2011,06:00:00,NA
28/04/2011,07:00:00,NA
28/04/2011,08:00:00,NA
28/04/2011,09:00:00,NA
28/04/2011,10:00:00,NA
28/04/2011,11:00:00,NA
28/04/2011,12:00:00,NA
28/04/2011,13:00:00,NA
28/04/2011,14:00:00,NA
28/04/2011,15:00:00,NA
28/04/2011,16:00:00,NA
28/04/2011,17:00:00,NA
28/04/2011,18:00:00,5.98
28/04/2011,19:00:00,5.52
28/04/2011,20:00:00,NA
28/04/2011,21:00:00,10.57
28/04/2011,22:00:00,21.98
