Date,Time,Values
19/04/2011,13:00:00,2.52
19/04/2011,14:00:00,4.50
19/04/2011,15:00:00,2.53
19/04/2011,16:00:00,4.17
19/04/2011,17:00:00,3.40
19/04/2011,18:00:00,2.82
19/04/2011,19:00:00,4.70
19/04/2011,20:00:00,15.82
19/04/2011,21:00:00,21.78
19/04/2011,22:00:00,16.68
19/04/2011,23:00:00,5.78
20/04/2011,00:00:00,7.93
20/04/2011,01:00:00,5.30
20/04/2011,02:00:00,3.97
20/04/2011,03:00:00,4.13
20/04/2011,04:00:00,6.60
20/04/2011,05:00:00,19.65
20/04/2011,06:00:00,25.03
20/04/2011,07:00:00,10.68
20/04/2011,08:00:00,13.28
20/04/2011,09:00:00,4.45
20/04/2011,10:00:00,4.02
20/04/2011,11:00:00,2.87
20/04/2011,12:00:00,2.33
20/04/2011,13:00:00,5.40
24/04/2011,14:00:00,1.30
24/04/2011,15:00:00,2.25
24/04/2011,16:00:00,2.73
24/04/2011,17:00:00,3.13
24/04/2011,18:00:00,2.53
24/04/2011,19:00:00,3.62
24/04/2011,20:00:00,10.45
24/04/2011,21:00:00,39.82
24/04/2011,22:00:00,94.73
24/04/2011,23:00:00,91.60
25/04/2011,00:00:00,69.95
25/04/2011,01:00:00,143.38
25/04/2011,02:00:00,302.65
25/04/2011,03:00:00,311.48
25/04/2011,04:00:00,284.30
25/04/2011,05:00:00,185.85
25/04/2011,06:00:00,131.08
25/04/2011,07:00:00,150.23
25/04/2011,08:00:00,181.52
25/04/2011,09:00:00,11.22
25/04/2011,10:00:00,4.65
25/04/2011,11:00:00,3.75
25/04/2011,12:00:00,1.18
25/04/2011,13:00:00,3.08
25/04/2011,14:00:00,2.52
25/04/2011,15:00:00,2.78
25/04/2011,16:00:00,4.28
25/04/2011,17:00:00,2.53
25/04/2011,18:00:00,2.73
25/04/2011,19:00:00,3.75
25/04/2011,20:00:00,17.87
25/04/2011,21:00:00,41.88
25/04/2011,22:00:00,30.10
25/04/2011,23:00:00,48.65
26/04/2011,00:00:00,89.78
26/04/2011,01:00:00,144.90
26/04/2011,02:00:00,111.40
