Date,Time,Values
19/04/2011,13:00:00,24.74
19/04/2011,14:00:00,22.58
19/04/2011,15:00:00,20.03
19/04/2011,16:00:00,31.57
19/04/2011,17:00:00,43.93
19/04/2011,18:00:00,63.43
19/04/2011,19:00:00,130.45
19/04/2011,20:00:00,189.22
19/04/2011,21:00:00,208.27
19/04/2011,22:00:00,195.47
19/04/2011,23:00:00,174.37
20/04/2011,00:00:00,183.50
20/04/2011,01:00:00,168.72
20/04/2011,02:00:00,160.23
20/04/2011,03:00:00,142.22
20/04/2011,04:00:00,121.70
20/04/2011,05:00:00,141.30
20/04/2011,06:00:00,130.12
20/04/2011,07:00:00,104.50
20/04/2011,08:00:00,140.23
20/04/2011,09:00:00,77.83
20/04/2011,10:00:00,56.27
20/04/2011,11:00:00,34.43
20/04/2011,12:00:00,26.43
20/04/2011,13:00:00,28.10
24/04/2011,14:00:00,21.80
24/04/2011,15:00:00,18.65
24/04/2011,16:00:00,27.52
24/04/2011,17:00:00,31.67
24/04/2011,18:00:00,71.18
24/04/2011,19:00:00,166.42
24/04/2011,20:00:00,203.83
24/04/2011,21:00:00,229.92
24/04/2011,22:00:00,293.37
24/04/2011,23:00:00,293.92
25/04/2011,00:00:00,281.63
25/04/2011,01:00:00,330.72
25/04/2011,02:00:00,441.12
25/04/2011,03:00:00,425.37
25/04/2011,04:00:00,380.85
25/04/2011,05:00:00,291.12
25/04/2011,06:00:00,249.38
25/04/2011,07:00:00,322.33
25/04/2011,08:00:00,471.22
25/04/2011,09:00:00,148.90
25/04/2011,10:00:00,105.45
25/04/2011,11:00:00,73.27
25/04/2011,12:00:00,26.28
25/04/2011,13:00:00,26.03
25/04/2011,14:00:00,25.14
25/04/2011,15:00:00,28.65
25/04/2011,16:00:00,35.12
25/04/2011,17:00:00,47.62
25/04/2011,18:00:00,86.55
25/04/2011,19:00:00,173.25
25/04/2011,20:00:00,255.10
25/04/2011,21:00:00,267.58
25/04/2011,22:00:00,241.53
25/04/2011,23:00:00,244.70
26/04/2011,00:00:00,279.10
26/04/2011,01:00:00,321.42
26/04/2011,02:00:00,269.48
26/04/2011,03:00:00,263.85
26/04/2011,04:00:00,128.48
26/04/2011,05:00:00,76.68
26/04/2011,06:00:00,72.12
26/04/2011,07:00:00,86.57
26/04/2011,08:00:00,100.97
26/04/2011,09:00:00,70.55
26/04/2011,10:00:00,62.97
26/04/2011,11:00:00,57.70
26/04/2011,12:00:00,53.97
26/04/2011,13:00:00,54.15
26/04/2011,14:00:00,52.32
26/04/2011,15:00:00,61.50
26/04/2011,16:00:00,78.43
26/04/2011,17:00:00,99.72
26/04/2011,18:00:00,116.83
26/04/2011,19:00:00,100.35
26/04/2011,20:00:00,85.97
26/04/2011,21:00:00,89.75
26/04/2011,22:00:00,105.33
26/04/2011,23:00:00,93.00
27/04/2011,00:00:00,72.07
27/04/2011,01:00:00,64.47
27/04/2011,02:00:00,51.87
27/04/2011,03:00:00,72.27
27/04/2011,04:00:00,75.42
27/04/2011,05:00:00,85.93
27/04/2011,06:00:00,106.90
27/04/2011,07:00:00,79.27
27/04/2011,08:00:00,111.23
27/04/2011,09:00:00,107.92
27/04/2011,10:00:00,75.02
27/04/2011,11:00:00,68.72
27/04/2011,12:00:00,88.22
27/04/2011,13:00:00,76.77
27/04/2011,14:00:00,74.00
27/04/2011,15:00:00,68.77
27/04/2011,16:00:00,81.53
27/04/2011,17:00:00,130.33
27/04/2011,18:00:00,169.33
27/04/2011,19:00:00,174.18
27/04/2011,20:00:00,251.42
27/04/2011,21:00:00,278.98
27/04/2011,22:00:00,203.62
27/04/2011,23:00:00,133.97
28/04/2011,00:00:00,163.57
28/04/2011,01:00:00,202.50
28/04/2011,02:00:00,148.77
28/04/2011,03:00:00,128.18
28/04/2011,04:00:00,141.63
28/04/2011,05:00:00,134.90
28/04/2011,06:00:00,158.22
28/04/2011,07:00:00,164.68
28/04/2011,08:00:00,145.82
28/04/2011,09:00:00,95.98
28/04/2011,10:00:00,55.02
28/04/2011,11:00:00,48.05
28/04/2011,12:00:00,45.22
28/04/2011,13:00:00,55.62
28/04/2011,14:00:00,56.34
28/04/2011,15:00:00,49.55
28/04/2011,16:00:00,51.63
28/04/2011,17:00:00,167.62
28/04/2011,18:00:00,192.95
28/04/2011,19:00:00,188.12
28/04/2011,20:00:00,192.00
28/04/2011,21:00:00,437.03
28/04/2011,22:00:00,409.52
28/04/2011,23:00:00,413.13
29/04/2011,00:00:00,444.45
29/04/2011,01:00:00,562.62
29/04/2011,02:00:00,549.50
29/04/2011,03:00:00,311.02
29/04/2011,04:00:00,211.98
29/04/2011,05:00:00,120.50
29/04/2011,06:00:00,114.35
29/04/2011,07:00:00,131.80
29/04/2011,08:00:00,125.13
29/04/2011,09:00:00,83.22
29/04/2011,10:00:00,54.45
29/04/2011,11:00:00,35.42
29/04/2011,12:00:00,24.97
29/04/2011,13:00:00,21.70
29/04/2011,14:00:00,24.32
29/04/2011,15:00:00,23.77
29/04/2011,16:00:00,35.27
29/04/2011,17:00:00,58.93
29/04/2011,18:00:00,114.72
29/04/2011,19:00:00,186.55
29/04/2011,20:00:00,183.92
29/04/2011,21:00:00,136.32
29/04/2011,22:00:00,159.22
29/04/2011,23:00:00,151.92
30/04/2011,00:00:00,131.93
30/04/2011,01:00:00,169.82
30/04/2011,02:00:00,171.77
30/04/2011,03:00:00,174.88
30/04/2011,04:00:00,130.48
30/04/2011,05:00:00,94.65
30/04/2011,06:00:00,128.98
30/04/2011,07:00:00,162.03
30/04/2011,08:00:00,104.23
30/04/2011,09:00:00,44.22
30/04/2011,10:00:00,29.33
30/04/2011,11:00:00,25.30
30/04/2011,21:00:00,172.36
30/04/2011,22:00:00,194.00
30/04/2011,23:00:00,205.17
01/05/2011,00:00:00,195.92
01/05/2011,01:00:00,190.60
01/05/2011,02:00:00,174.63
01/05/2011,03:00:00,177.72
01/05/2011,04:00:00,135.82
01/05/2011,05:00:00,109.02
01/05/2011,06:00:00,98.48
01/05/2011,07:00:00,110.65
01/05/2011,08:00:00,103.87
01/05/2011,09:00:00,74.12
01/05/2011,10:00:00,56.30
01/05/2011,11:00:00,36.60
01/05/2011,12:00:00,19.68
01/05/2011,13:00:00,18.17
01/05/2011,14:00:00,15.74
01/05/2011,15:00:00,17.73
01/05/2011,16:00:00,30.07
01/05/2011,17:00:00,29.28
01/05/2011,18:00:00,43.60
01/05/2011,19:00:00,73.07
01/05/2011,20:00:00,86.23
01/05/2011,21:00:00,100.48
01/05/2011,22:00:00,102.17
01/05/2011,23:00:00,83.10
02/05/2011,00:00:00,84.08
02/05/2011,01:00:00,79.43
02/05/2011,02:00:00,85.30
02/05/2011,03:00:00,129.20
02/05/2011,04:00:00,171.87
02/05/2011,05:00:00,177.78
02/05/2011,06:00:00,96.12
02/05/2011,07:00:00,68.87
02/05/2011,08:00:00,52.97
02/05/2011,09:00:00,59.15
02/05/2011,10:00:00,50.40
02/05/2011,11:00:00,37.92
02/05/2011,12:00:00,20.05
02/05/2011,13:00:00,25.97
02/05/2011,14:00:00,28.16
02/05/2011,15:00:00,29.88
02/05/2011,16:00:00,36.95
02/05/2011,17:00:00,39.18
02/05/2011,18:00:00,76.95
02/05/2011,19:00:00,118.03
02/05/2011,20:00:00,144.92
02/05/2011,21:00:00,171.22
02/05/2011,22:00:00,235.87
02/05/2011,23:00:00,221.85
03/05/2011,00:00:00,148.82
03/05/2011,01:00:00,138.08
03/05/2011,02:00:00,167.48
03/05/2011,03:00:00,198.22
03/05/2011,04:00:00,205.12
03/05/2011,05:00:00,193.92
03/05/2011,06:00:00,174.33
03/05/2011,07:00:00,245.32
03/05/2011,08:00:00,169.88
03/05/2011,09:00:00,70.13
03/05/2011,10:00:00,52.97
03/05/2011,11:00:00,46.32
03/05/2011,12:00:00,29.60
03/05/2011,13:00:00,26.95
03/05/2011,14:00:00,32.30
03/05/2011,15:00:00,29.32
03/05/2011,16:00:00,48.58
03/05/2011,17:00:00,48.38
03/05/2011,18:00:00,42.07
03/05/2011,19:00:00,32.00
03/05/2011,20:00:00,41.77
03/05/2011,21:00:00,39.63
03/05/2011,22:00:00,36.07
03/05/2011,23:00:00,27.53
04/05/2011,00:00:00,33.57
04/05/2011,01:00:00,46.37
04/05/2011,02:00:00,43.75
04/05/2011,03:00:00,35.23
04/05/2011,04:00:00,28.78
04/05/2011,05:00:00,43.23
04/05/2011,06:00:00,63.95
04/05/2011,07:00:00,97.68
04/05/2011,08:00:00,67.62
04/05/2011,09:00:00,101.82
04/05/2011,10:00:00,155.15
04/05/2011,11:00:00,216.17
04/05/2011,12:00:00,68.15
04/05/2011,13:00:00,48.25
04/05/2011,14:00:00,38.40
04/05/2011,15:00:00,34.32
04/05/2011,16:00:00,47.00
04/05/2011,17:00:00,89.37
04/05/2011,18:00:00,54.00
04/05/2011,19:00:00,87.12
04/05/2011,20:00:00,130.67
04/05/2011,21:00:00,172.30
04/05/2011,22:00:00,231.10
04/05/2011,23:00:00,231.98
05/05/2011,00:00:00,172.08
05/05/2011,01:00:00,91.70
05/05/2011,02:00:00,72.18
05/05/2011,03:00:00,49.40
05/05/2011,04:00:00,35.68
05/05/2011,05:00:00,57.83
05/05/2011,06:00:00,64.05
05/05/2011,07:00:00,88.60
05/05/2011,08:00:00,108.20
05/05/2011,09:00:00,176.12
05/05/2011,10:00:00,171.17
05/05/2011,11:00:00,112.27
05/05/2011,12:00:00,97.20
05/05/2011,13:00:00,103.30
05/05/2011,14:00:00,95.18
05/05/2011,15:00:00,93.45
05/05/2011,16:00:00,86.97
05/05/2011,17:00:00,123.20
05/05/2011,18:00:00,171.27
05/05/2011,19:00:00,201.72
05/05/2011,20:00:00,139.60
05/05/2011,21:00:00,137.87
