Date,Time,Values
19/04/2011,13:00:00,27.30
19/04/2011,14:00:00,28.10
19/04/2011,15:00:00,22.55
19/04/2011,16:00:00,36.20
19/04/2011,17:00:00,46.68
19/04/2011,18:00:00,64.52
19/04/2011,19:00:00,131.33
19/04/2011,20:00:00,203.67
19/04/2011,21:00:00,230.63
19/04/2011,22:00:00,210.90
19/04/2011,23:00:00,174.92
20/04/2011,00:00:00,186.70
20/04/2011,01:00:00,168.77
20/04/2011,02:00:00,158.63
20/04/2011,03:00:00,141.77
20/04/2011,04:00:00,123.57
20/04/2011,05:00:00,163.58
20/04/2011,06:00:00,160.77
20/04/2011,07:00:00,115.38
20/04/2011,08:00:00,153.23
20/04/2011,09:00:00,80.82
20/04/2011,10:00:00,59.48
20/04/2011,11:00:00,37.07
20/04/2011,12:00:00,28.67
20/04/2011,13:00:00,34.90
24/04/2011,14:00:00,22.60
24/04/2011,15:00:00,20.73
24/04/2011,16:00:00,30.30
24/04/2011,17:00:00,34.80
24/04/2011,18:00:00,71.62
24/04/2011,19:00:00,164.00
24/04/2011,20:00:00,209.80
24/04/2011,21:00:00,277.65
24/04/2011,22:00:00,418.50
24/04/2011,23:00:00,414.48
25/04/2011,00:00:00,371.02
25/04/2011,01:00:00,525.23
25/04/2011,02:00:00,863.57
25/04/2011,03:00:00,861.57
25/04/2011,04:00:00,779.25
25/04/2011,05:00:00,549.65
25/04/2011,06:00:00,429.70
25/04/2011,07:00:00,527.33
25/04/2011,08:00:00,715.15
25/04/2011,09:00:00,158.47
25/04/2011,10:00:00,107.42
25/04/2011,11:00:00,75.32
25/04/2011,12:00:00,26.67
25/04/2011,13:00:00,29.40
25/04/2011,14:00:00,27.76
25/04/2011,15:00:00,30.40
25/04/2011,16:00:00,38.30
25/04/2011,17:00:00,49.15
25/04/2011,18:00:00,85.70
25/04/2011,19:00:00,170.13
25/04/2011,20:00:00,269.57
25/04/2011,21:00:00,316.58
25/04/2011,22:00:00,274.48
25/04/2011,23:00:00,304.72
26/04/2011,00:00:00,397.63
26/04/2011,01:00:00,518.57
26/04/2011,02:00:00,420.12
26/04/2011,03:00:00,381.45
26/04/2011,04:00:00,126.98
26/04/2011,05:00:00,78.20
26/04/2011,06:00:00,77.33
26/04/2011,07:00:00,96.90
26/04/2011,08:00:00,111.03
26/04/2011,09:00:00,76.90
26/04/2011,10:00:00,69.35
26/04/2011,11:00:00,63.43
26/04/2011,12:00:00,58.35
26/04/2011,13:00:00,58.27
26/04/2011,14:00:00,57.00
26/04/2011,15:00:00,64.75
26/04/2011,16:00:00,82.33
26/04/2011,17:00:00,102.03
26/04/2011,18:00:00,116.48
26/04/2011,19:00:00,98.78
26/04/2011,20:00:00,84.68
26/04/2011,21:00:00,90.10
26/04/2011,22:00:00,105.18
26/04/2011,23:00:00,93.63
27/04/2011,00:00:00,73.40
27/04/2011,01:00:00,65.08
27/04/2011,02:00:00,54.43
27/04/2011,03:00:00,74.47
27/04/2011,04:00:00,75.80
27/04/2011,05:00:00,88.42
27/04/2011,06:00:00,113.03
27/04/2011,07:00:00,85.62
27/04/2011,08:00:00,120.32
27/04/2011,09:00:00,117.35
27/04/2011,10:00:00,77.80
27/04/2011,11:00:00,72.72
27/04/2011,12:00:00,91.32
27/04/2011,13:00:00,79.57
27/04/2011,14:00:00,77.80
27/04/2011,15:00:00,71.18
27/04/2011,16:00:00,81.88
27/04/2011,17:00:00,128.02
27/04/2011,18:00:00,167.02
27/04/2011,19:00:00,172.42
27/04/2011,20:00:00,288.43
27/04/2011,21:00:00,363.78
27/04/2011,22:00:00,204.15
27/04/2011,23:00:00,132.43
28/04/2011,00:00:00,164.73
28/04/2011,01:00:00,205.12
28/04/2011,02:00:00,152.67
28/04/2011,03:00:00,133.17
28/04/2011,04:00:00,148.23
28/04/2011,05:00:00,148.75
28/04/2011,06:00:00,196.90
28/04/2011,07:00:00,185.37
28/04/2011,08:00:00,154.28
28/04/2011,09:00:00,102.58
28/04/2011,10:00:00,57.62
28/04/2011,11:00:00,50.55
28/04/2011,12:00:00,45.37
28/04/2011,13:00:00,56.90
28/04/2011,14:00:00,57.56
28/04/2011,15:00:00,50.42
28/04/2011,16:00:00,51.67
28/04/2011,17:00:00,165.42
28/04/2011,18:00:00,189.05
28/04/2011,19:00:00,183.08
28/04/2011,20:00:00,192.33
28/04/2011,21:00:00,588.87
28/04/2011,22:00:00,610.65
28/04/2011,23:00:00,656.90
29/04/2011,00:00:00,655.30
29/04/2011,01:00:00,"1,046.68"
29/04/2011,02:00:00,939.95
29/04/2011,03:00:00,542.87
29/04/2011,04:00:00,348.02
29/04/2011,05:00:00,134.02
29/04/2011,06:00:00,123.53
29/04/2011,07:00:00,138.55
29/04/2011,08:00:00,130.37
29/04/2011,09:00:00,87.12
29/04/2011,10:00:00,57.12
29/04/2011,11:00:00,37.95
29/04/2011,12:00:00,29.88
29/04/2011,13:00:00,24.45
29/04/2011,14:00:00,28.22
29/04/2011,15:00:00,27.58
29/04/2011,16:00:00,39.23
29/04/2011,17:00:00,59.58
29/04/2011,18:00:00,115.12
29/04/2011,19:00:00,199.08
29/04/2011,20:00:00,205.20
