Date,Time,Values
19/04/2011,13:00:00,228.58
19/04/2011,14:00:00,217.22
19/04/2011,15:00:00,220.55
19/04/2011,16:00:00,219.13
19/04/2011,17:00:00,194.08
19/04/2011,18:00:00,150.72
19/04/2011,19:00:00,45.37
19/04/2011,20:00:00,15.75
19/04/2011,21:00:00,16.95
19/04/2011,22:00:00,26.33
19/04/2011,23:00:00,38.70
20/04/2011,00:00:00,23.70
20/04/2011,01:00:00,36.07
20/04/2011,02:00:00,28.43
20/04/2011,03:00:00,21.03
20/04/2011,04:00:00,18.68
20/04/2011,05:00:00,13.58
20/04/2011,06:00:00,15.75
20/04/2011,07:00:00,44.08
20/04/2011,08:00:00,95.30
20/04/2011,09:00:00,184.27
20/04/2011,10:00:00,233.30
20/04/2011,11:00:00,250.33
20/04/2011,12:00:00,255.83
20/04/2011,13:00:00,253.90
24/04/2011,14:00:00,333.00
24/04/2011,15:00:00,329.82
24/04/2011,16:00:00,311.85
24/04/2011,17:00:00,263.65
24/04/2011,18:00:00,156.80
24/04/2011,19:00:00,43.62
24/04/2011,20:00:00,15.30
24/04/2011,21:00:00,11.88
24/04/2011,22:00:00,16.72
24/04/2011,23:00:00,17.55
25/04/2011,00:00:00,13.08
25/04/2011,01:00:00,18.10
25/04/2011,02:00:00,26.80
25/04/2011,03:00:00,33.82
25/04/2011,04:00:00,32.12
25/04/2011,05:00:00,22.13
25/04/2011,06:00:00,14.23
25/04/2011,07:00:00,6.95
25/04/2011,08:00:00,24.00
25/04/2011,09:00:00,104.60
25/04/2011,10:00:00,231.38
25/04/2011,11:00:00,275.00
25/04/2011,12:00:00,296.00
25/04/2011,13:00:00,333.48
25/04/2011,14:00:00,296.60
25/04/2011,15:00:00,313.05
25/04/2011,16:00:00,338.67
25/04/2011,17:00:00,302.65
25/04/2011,18:00:00,188.23
25/04/2011,19:00:00,54.10
25/04/2011,20:00:00,12.92
25/04/2011,21:00:00,9.32
25/04/2011,22:00:00,8.23
25/04/2011,23:00:00,11.20
26/04/2011,00:00:00,16.17
26/04/2011,01:00:00,23.67
26/04/2011,02:00:00,19.17
26/04/2011,03:00:00,21.47
