Date,Time,Values
09/04/2015,15:00:00,61.00
09/04/2015,16:00:00,60.45
09/04/2015,17:00:00,52.45
09/04/2015,18:00:00,45.60
09/04/2015,19:00:00,69.33
09/04/2015,20:00:00,100.67
09/04/2015,21:00:00,135.17
09/04/2015,22:00:00,196.50
09/04/2015,23:00:00,217.17
10/04/2015,00:00:00,178.83
10/04/2015,01:00:00,157.50
10/04/2015,02:00:00,151.83
10/04/2015,03:00:00,132.67
10/04/2015,04:00:00,113.67
10/04/2015,05:00:00,102.00
10/04/2015,06:00:00,105.33
10/04/2015,07:00:00,129.83
10/04/2015,08:00:00,183.33
10/04/2015,09:00:00,246.50
10/04/2015,10:00:00,192.67
10/04/2015,11:00:00,147.67
10/04/2015,12:00:00,194.17
10/04/2015,13:00:00,128.50
10/04/2015,14:00:00,93.83
10/04/2015,15:00:00,81.17
10/04/2015,16:00:00,68.83
10/04/2015,17:00:00,53.00
10/04/2015,18:00:00,53.00
10/04/2015,19:00:00,129.00
10/04/2015,20:00:00,138.09
10/04/2015,21:00:00,186.64
10/04/2015,22:00:00,225.36
10/04/2015,23:00:00,246.09
11/04/2015,00:00:00,248.40
11/04/2015,01:00:00,232.18
11/04/2015,02:00:00,202.17
11/04/2015,03:00:00,179.33
11/04/2015,04:00:00,165.67
11/04/2015,05:00:00,193.00
11/04/2015,06:00:00,215.83
11/04/2015,07:00:00,227.83
11/04/2015,08:00:00,222.50
11/04/2015,09:00:00,250.00
11/04/2015,11:00:00,93.25
11/04/2015,12:00:00,96.40
11/04/2015,13:00:00,95.64
11/04/2015,14:00:00,102.27
11/04/2015,15:00:00,100.27
11/04/2015,16:00:00,103.27
11/04/2015,17:00:00,91.73
11/04/2015,18:00:00,109.36
11/04/2015,19:00:00,174.00
13/04/2015,11:00:00,204.00
13/04/2015,12:00:00,171.00
13/04/2015,13:00:00,160.83
13/04/2015,14:00:00,109.60
13/04/2015,15:00:00,106.80
13/04/2015,16:00:00,107.11
13/04/2015,17:00:00,121.33
13/04/2015,18:00:00,99.33
13/04/2015,19:00:00,78.00
13/04/2015,20:00:00,62.83
13/04/2015,21:00:00,73.17
13/04/2015,22:00:00,133.36
13/04/2015,23:00:00,150.83
14/04/2015,00:00:00,137.50
14/04/2015,01:00:00,125.67
14/04/2015,02:00:00,127.82
14/04/2015,03:00:00,118.00
14/04/2015,04:00:00,133.33
14/04/2015,05:00:00,162.00
14/04/2015,06:00:00,165.00
14/04/2015,07:00:00,131.33
14/04/2015,08:00:00,133.83
14/04/2015,09:00:00,109.50
14/04/2015,10:00:00,96.00
14/04/2015,11:00:00,116.00
14/04/2015,12:00:00,110.50
14/04/2015,13:00:00,79.18
14/04/2015,14:00:00,64.40
14/04/2015,15:00:00,75.40
14/04/2015,16:00:00,79.83
14/04/2015,17:00:00,73.80
14/04/2015,18:00:00,81.00
14/04/2015,19:00:00,125.67
14/04/2015,20:00:00,149.50
14/04/2015,21:00:00,164.67
14/04/2015,22:00:00,214.17
14/04/2015,23:00:00,145.67
15/04/2015,00:00:00,150.83
15/04/2015,01:00:00,154.17
15/04/2015,02:00:00,125.00
15/04/2015,19:00:00,158.00
15/04/2015,20:00:00,155.20
15/04/2015,21:00:00,137.80
15/04/2015,22:00:00,113.00
15/04/2015,23:00:00,117.00
16/04/2015,00:00:00,145.33
16/04/2015,01:00:00,199.83
16/04/2015,02:00:00,161.00
16/04/2015,03:00:00,146.00
16/04/2015,04:00:00,143.33
16/04/2015,05:00:00,130.33
16/04/2015,06:00:00,134.33
16/04/2015,07:00:00,166.00
16/04/2015,08:00:00,267.33
16/04/2015,09:00:00,250.67
16/04/2015,10:00:00,134.00
16/04/2015,16:00:00,106.00
16/04/2015,17:00:00,105.33
16/04/2015,18:00:00,96.33
16/04/2015,19:00:00,69.67
16/04/2015,20:00:00,81.27
16/04/2015,21:00:00,99.33
16/04/2015,22:00:00,116.00
16/04/2015,23:00:00,108.67
17/04/2015,00:00:00,74.67
17/04/2015,01:00:00,89.64
17/04/2015,02:00:00,94.00
17/04/2015,03:00:00,81.83
17/04/2015,04:00:00,90.00
17/04/2015,05:00:00,66.09
17/04/2015,06:00:00,81.82
17/04/2015,07:00:00,96.00
17/04/2015,08:00:00,131.00
17/04/2015,09:00:00,164.27
17/04/2015,10:00:00,147.09
17/04/2015,11:00:00,126.50
17/04/2015,12:00:00,129.70
17/04/2015,13:00:00,91.00
17/04/2015,14:00:00,122.00
17/04/2015,15:00:00,119.80
17/04/2015,16:00:00,112.00
17/04/2015,17:00:00,116.45
17/04/2015,18:00:00,114.00
18/04/2015,07:00:00,206.00
18/04/2015,09:00:00,258.50
18/04/2015,10:00:00,210.80
18/04/2015,11:00:00,194.00
18/04/2015,15:00:00,168.00
18/04/2015,16:00:00,168.00
18/04/2015,19:00:00,168.00
18/04/2015,20:00:00,256.00
18/04/2015,21:00:00,264.17
18/04/2015,22:00:00,306.00
18/04/2015,23:00:00,321.83
19/04/2015,00:00:00,367.67
19/04/2015,01:00:00,315.20
19/04/2015,02:00:00,269.83
19/04/2015,03:00:00,255.40
19/04/2015,04:00:00,235.50
19/04/2015,05:00:00,200.60
19/04/2015,06:00:00,173.50
19/04/2015,07:00:00,195.64
19/04/2015,08:00:00,239.17
19/04/2015,09:00:00,232.73
19/04/2015,10:00:00,197.22
19/04/2015,11:00:00,176.83
19/04/2015,12:00:00,189.27
19/04/2015,13:00:00,190.80
19/04/2015,14:00:00,140.17
19/04/2015,18:00:00,151.00
19/04/2015,19:00:00,351.00
19/04/2015,20:00:00,335.55
19/04/2015,21:00:00,281.50
19/04/2015,22:00:00,354.00
19/04/2015,23:00:00,326.33
20/04/2015,00:00:00,326.83
20/04/2015,01:00:00,385.83
20/04/2015,02:00:00,342.33
20/04/2015,03:00:00,367.50
20/04/2015,04:00:00,308.33
20/04/2015,05:00:00,291.50
20/04/2015,06:00:00,252.17
20/04/2015,07:00:00,289.00
20/04/2015,08:00:00,394.00
20/04/2015,09:00:00,421.00
20/04/2015,10:00:00,431.50
20/04/2015,11:00:00,484.00
20/04/2015,12:00:00,480.00
20/04/2015,13:00:00,479.50
20/04/2015,14:00:00,477.00
20/04/2015,15:00:00,477.00
20/04/2015,16:00:00,338.00
20/04/2015,17:00:00,338.00
20/04/2015,18:00:00,387.00
20/04/2015,19:00:00,389.17
20/04/2015,20:00:00,410.83
20/04/2015,21:00:00,469.00
20/04/2015,22:00:00,471.91
20/04/2015,23:00:00,317.67
21/04/2015,00:00:00,291.67
21/04/2015,01:00:00,247.83
21/04/2015,02:00:00,262.50
21/04/2015,03:00:00,283.83
21/04/2015,04:00:00,393.50
21/04/2015,05:00:00,471.00
21/04/2015,06:00:00,460.00
21/04/2015,07:00:00,458.18
21/04/2015,08:00:00,450.00
21/04/2015,09:00:00,476.00
21/04/2015,10:00:00,473.33
21/04/2015,11:00:00,450.17
21/04/2015,12:00:00,398.00
21/04/2015,13:00:00,386.50
21/04/2015,14:00:00,384.83
21/04/2015,15:00:00,299.67
21/04/2015,16:00:00,322.33
21/04/2015,17:00:00,164.83
21/04/2015,18:00:00,148.55
21/04/2015,19:00:00,173.00
21/04/2015,20:00:00,208.83
21/04/2015,21:00:00,288.00
21/04/2015,22:00:00,284.00
21/04/2015,23:00:00,282.67
22/04/2015,00:00:00,272.50
22/04/2015,01:00:00,254.09
22/04/2015,02:00:00,247.09
22/04/2015,03:00:00,228.73
22/04/2015,04:00:00,201.00
22/04/2015,05:00:00,184.27
22/04/2015,06:00:00,206.18
22/04/2015,07:00:00,303.73
22/04/2015,08:00:00,428.64
22/04/2015,09:00:00,463.17
22/04/2015,10:00:00,319.55
22/04/2015,11:00:00,277.50
22/04/2015,12:00:00,265.00
22/04/2015,13:00:00,186.33
22/04/2015,14:00:00,167.33
22/04/2015,15:00:00,164.50
22/04/2015,16:00:00,163.67
22/04/2015,17:00:00,141.83
22/04/2015,18:00:00,115.45
22/04/2015,19:00:00,116.67
22/04/2015,20:00:00,147.17
22/04/2015,21:00:00,207.50
22/04/2015,22:00:00,217.50
22/04/2015,23:00:00,280.50
23/04/2015,00:00:00,275.00
23/04/2015,01:00:00,235.50
23/04/2015,02:00:00,239.17
23/04/2015,03:00:00,242.33
23/04/2015,04:00:00,226.82
23/04/2015,05:00:00,217.00
23/04/2015,06:00:00,216.09
23/04/2015,07:00:00,222.73
23/04/2015,08:00:00,281.55
23/04/2015,09:00:00,332.45
23/04/2015,10:00:00,330.60
23/04/2015,11:00:00,177.17
23/04/2015,12:00:00,182.50
23/04/2015,13:00:00,137.17
23/04/2015,14:00:00,163.83
23/04/2015,15:00:00,118.17
23/04/2015,16:00:00,115.33
23/04/2015,17:00:00,97.67
23/04/2015,18:00:00,103.18
23/04/2015,19:00:00,125.17
23/04/2015,20:00:00,190.33
23/04/2015,21:00:00,230.00
23/04/2015,22:00:00,307.00
23/04/2015,23:00:00,287.17
24/04/2015,00:00:00,294.00
24/04/2015,01:00:00,362.67
24/04/2015,02:00:00,340.50
24/04/2015,03:00:00,310.83
24/04/2015,04:00:00,290.00
24/04/2015,05:00:00,235.17
24/04/2015,06:00:00,215.33
24/04/2015,07:00:00,262.33
24/04/2015,08:00:00,389.00
24/04/2015,09:00:00,359.00
24/04/2015,10:00:00,359.00
24/04/2015,11:00:00,347.17
24/04/2015,12:00:00,271.67
24/04/2015,13:00:00,188.33
24/04/2015,14:00:00,171.17
24/04/2015,15:00:00,126.00
24/04/2015,16:00:00,125.00
24/04/2015,17:00:00,142.33
24/04/2015,18:00:00,137.17
24/04/2015,19:00:00,184.67
24/04/2015,20:00:00,218.00
24/04/2015,21:00:00,492.00
24/04/2015,22:00:00,457.83
24/04/2015,23:00:00,287.33
25/04/2015,00:00:00,289.33
25/04/2015,01:00:00,291.67
25/04/2015,02:00:00,285.00
25/04/2015,03:00:00,231.83
25/04/2015,04:00:00,211.50
25/04/2015,05:00:00,189.00
25/04/2015,06:00:00,193.33
25/04/2015,07:00:00,238.82
25/04/2015,08:00:00,368.83
25/04/2015,09:00:00,479.33
25/04/2015,10:00:00,455.00
25/04/2015,11:00:00,424.50
25/04/2015,12:00:00,425.83
25/04/2015,13:00:00,433.50
25/04/2015,14:00:00,365.00
25/04/2015,15:00:00,306.36
25/04/2015,16:00:00,291.67
25/04/2015,17:00:00,299.33
