Date,Time,Values
09/04/2015,15:00:00,38.00
09/04/2015,16:00:00,34.50
09/04/2015,17:00:00,15.67
09/04/2015,18:00:00,11.55
09/04/2015,19:00:00,23.50
09/04/2015,20:00:00,28.50
09/04/2015,21:00:00,44.67
09/04/2015,22:00:00,65.67
09/04/2015,23:00:00,81.18
10/04/2015,00:00:00,89.00
10/04/2015,01:00:00,81.33
10/04/2015,02:00:00,86.67
10/04/2015,03:00:00,79.17
10/04/2015,04:00:00,72.67
10/04/2015,05:00:00,59.50
10/04/2015,06:00:00,53.33
10/04/2015,07:00:00,65.83
10/04/2015,08:00:00,99.17
10/04/2015,09:00:00,116.33
10/04/2015,10:00:00,91.33
10/04/2015,11:00:00,62.00
10/04/2015,12:00:00,75.50
10/04/2015,13:00:00,41.33
10/04/2015,14:00:00,33.67
10/04/2015,15:00:00,37.00
10/04/2015,16:00:00,35.73
10/04/2015,17:00:00,30.00
10/04/2015,18:00:00,30.00
10/04/2015,19:00:00,70.00
10/04/2015,20:00:00,67.83
10/04/2015,21:00:00,59.33
10/04/2015,22:00:00,73.73
10/04/2015,23:00:00,101.00
11/04/2015,00:00:00,104.33
11/04/2015,01:00:00,118.17
11/04/2015,02:00:00,102.60
11/04/2015,03:00:00,95.55
11/04/2015,04:00:00,87.18
11/04/2015,05:00:00,116.00
11/04/2015,06:00:00,122.17
11/04/2015,07:00:00,127.33
11/04/2015,08:00:00,124.45
11/04/2015,09:00:00,129.00
11/04/2015,11:00:00,59.43
11/04/2015,12:00:00,51.91
11/04/2015,13:00:00,63.33
11/04/2015,14:00:00,26.17
11/04/2015,15:00:00,32.00
11/04/2015,16:00:00,30.36
11/04/2015,17:00:00,23.45
11/04/2015,18:00:00,32.55
11/04/2015,19:00:00,53.00
13/04/2015,11:00:00,47.00
13/04/2015,12:00:00,37.00
13/04/2015,13:00:00,36.67
13/04/2015,14:00:00,37.83
13/04/2015,15:00:00,47.82
13/04/2015,16:00:00,30.83
13/04/2015,17:00:00,41.00
13/04/2015,18:00:00,43.45
13/04/2015,19:00:00,31.17
13/04/2015,20:00:00,29.33
13/04/2015,21:00:00,43.00
13/04/2015,22:00:00,55.67
13/04/2015,23:00:00,65.36
14/04/2015,00:00:00,49.18
14/04/2015,01:00:00,51.00
14/04/2015,02:00:00,57.33
14/04/2015,03:00:00,66.17
14/04/2015,04:00:00,76.27
14/04/2015,05:00:00,71.91
14/04/2015,06:00:00,64.64
14/04/2015,07:00:00,53.17
14/04/2015,08:00:00,49.00
14/04/2015,09:00:00,46.00
14/04/2015,10:00:00,32.17
14/04/2015,11:00:00,41.50
14/04/2015,12:00:00,55.83
14/04/2015,13:00:00,34.18
14/04/2015,14:00:00,NA
14/04/2015,15:00:00,19.00
14/04/2015,16:00:00,43.73
14/04/2015,17:00:00,31.50
14/04/2015,18:00:00,49.82
14/04/2015,19:00:00,72.67
14/04/2015,20:00:00,56.00
14/04/2015,21:00:00,57.83
14/04/2015,22:00:00,65.33
14/04/2015,23:00:00,60.78
15/04/2015,00:00:00,72.67
15/04/2015,01:00:00,64.50
15/04/2015,02:00:00,57.00
15/04/2015,19:00:00,29.00
15/04/2015,20:00:00,33.36
15/04/2015,21:00:00,49.00
15/04/2015,22:00:00,30.83
15/04/2015,23:00:00,41.83
16/04/2015,00:00:00,52.45
16/04/2015,01:00:00,67.18
16/04/2015,02:00:00,67.17
16/04/2015,03:00:00,64.83
16/04/2015,04:00:00,72.83
16/04/2015,05:00:00,66.64
16/04/2015,06:00:00,63.00
16/04/2015,07:00:00,70.45
16/04/2015,08:00:00,103.17
16/04/2015,09:00:00,92.17
16/04/2015,10:00:00,63.20
16/04/2015,11:00:00,84.00
16/04/2015,15:00:00,84.00
16/04/2015,16:00:00,57.00
16/04/2015,17:00:00,43.00
16/04/2015,18:00:00,NA
16/04/2015,19:00:00,NA
16/04/2015,20:00:00,25.17
16/04/2015,21:00:00,34.83
16/04/2015,22:00:00,52.33
16/04/2015,23:00:00,40.36
17/04/2015,00:00:00,27.50
