Date,Time,Values
19/04/2011,13:00:00,16.20
19/04/2011,14:00:00,15.50
19/04/2011,15:00:00,14.17
19/04/2011,16:00:00,15.17
19/04/2011,17:00:00,17.33
19/04/2011,18:00:00,21.50
19/04/2011,19:00:00,30.33
19/04/2011,20:00:00,33.83
19/04/2011,21:00:00,32.00
19/04/2011,22:00:00,31.00
19/04/2011,23:00:00,33.67
20/04/2011,00:00:00,37.33
20/04/2011,01:00:00,38.67
20/04/2011,02:00:00,44.83
20/04/2011,03:00:00,56.83
20/04/2011,04:00:00,64.17
20/04/2011,05:00:00,62.83
20/04/2011,06:00:00,59.50
20/04/2011,07:00:00,47.33
20/04/2011,08:00:00,36.33
20/04/2011,09:00:00,29.67
20/04/2011,10:00:00,24.83
20/04/2011,11:00:00,21.83
20/04/2011,12:00:00,19.33
20/04/2011,13:00:00,18.00
24/04/2011,14:00:00,10.00
24/04/2011,15:00:00,9.17
24/04/2011,16:00:00,10.17
24/04/2011,17:00:00,13.67
24/04/2011,18:00:00,21.67
24/04/2011,19:00:00,29.50
24/04/2011,20:00:00,32.67
24/04/2011,21:00:00,37.00
24/04/2011,22:00:00,40.00
24/04/2011,23:00:00,42.67
25/04/2011,00:00:00,42.33
25/04/2011,01:00:00,46.17
25/04/2011,02:00:00,50.83
25/04/2011,03:00:00,55.33
25/04/2011,04:00:00,59.50
25/04/2011,05:00:00,56.83
25/04/2011,06:00:00,52.33
25/04/2011,07:00:00,43.17
25/04/2011,08:00:00,33.17
25/04/2011,09:00:00,21.50
25/04/2011,10:00:00,15.67
25/04/2011,11:00:00,12.33
25/04/2011,12:00:00,9.33
25/04/2011,13:00:00,10.17
25/04/2011,14:00:00,8.83
25/04/2011,15:00:00,8.33
25/04/2011,16:00:00,9.50
25/04/2011,17:00:00,12.50
25/04/2011,18:00:00,18.50
25/04/2011,19:00:00,28.67
25/04/2011,20:00:00,34.33
25/04/2011,21:00:00,32.17
25/04/2011,22:00:00,34.33
25/04/2011,23:00:00,39.50
26/04/2011,00:00:00,43.83
26/04/2011,01:00:00,47.83
26/04/2011,02:00:00,47.17
26/04/2011,03:00:00,38.67
26/04/2011,04:00:00,40.00
26/04/2011,05:00:00,50.33
26/04/2011,06:00:00,56.50
26/04/2011,07:00:00,53.67
26/04/2011,08:00:00,44.33
26/04/2011,09:00:00,35.67
26/04/2011,10:00:00,33.00
26/04/2011,11:00:00,30.00
26/04/2011,12:00:00,26.67
26/04/2011,13:00:00,24.50
26/04/2011,14:00:00,23.50
26/04/2011,15:00:00,24.33
26/04/2011,16:00:00,25.50
26/04/2011,17:00:00,28.00
26/04/2011,18:00:00,33.83
26/04/2011,19:00:00,38.83
26/04/2011,20:00:00,39.67
26/04/2011,21:00:00,41.67
26/04/2011,22:00:00,44.17
26/04/2011,23:00:00,48.00
27/04/2011,00:00:00,51.33
27/04/2011,01:00:00,54.17
27/04/2011,02:00:00,55.33
27/04/2011,03:00:00,57.00
27/04/2011,04:00:00,59.17
27/04/2011,05:00:00,62.17
27/04/2011,06:00:00,60.50
27/04/2011,07:00:00,55.50
27/04/2011,08:00:00,50.83
27/04/2011,09:00:00,41.17
27/04/2011,10:00:00,33.67
27/04/2011,11:00:00,29.33
27/04/2011,12:00:00,26.67
27/04/2011,13:00:00,24.83
27/04/2011,14:00:00,23.50
27/04/2011,15:00:00,23.67
27/04/2011,16:00:00,24.50
27/04/2011,17:00:00,26.83
27/04/2011,18:00:00,37.33
27/04/2011,19:00:00,46.83
27/04/2011,20:00:00,51.17
27/04/2011,21:00:00,48.33
27/04/2011,22:00:00,43.67
27/04/2011,23:00:00,43.33
28/04/2011,00:00:00,49.17
28/04/2011,01:00:00,58.50
28/04/2011,02:00:00,61.83
28/04/2011,03:00:00,55.33
28/04/2011,04:00:00,58.50
28/04/2011,05:00:00,64.00
28/04/2011,06:00:00,60.33
28/04/2011,07:00:00,46.50
28/04/2011,08:00:00,36.17
28/04/2011,09:00:00,29.67
28/04/2011,10:00:00,26.83
28/04/2011,11:00:00,22.67
28/04/2011,12:00:00,18.17
28/04/2011,13:00:00,18.00
28/04/2011,14:00:00,17.50
28/04/2011,15:00:00,17.00
28/04/2011,16:00:00,17.00
28/04/2011,17:00:00,23.33
28/04/2011,18:00:00,34.33
28/04/2011,19:00:00,40.33
28/04/2011,20:00:00,41.83
28/04/2011,21:00:00,46.00
28/04/2011,22:00:00,51.00
28/04/2011,23:00:00,55.50
29/04/2011,00:00:00,55.50
29/04/2011,01:00:00,58.33
29/04/2011,02:00:00,54.50
29/04/2011,03:00:00,49.33
29/04/2011,04:00:00,48.17
29/04/2011,05:00:00,39.67
29/04/2011,06:00:00,37.33
29/04/2011,07:00:00,32.00
29/04/2011,08:00:00,25.50
29/04/2011,09:00:00,20.50
29/04/2011,10:00:00,15.50
29/04/2011,11:00:00,12.00
29/04/2011,12:00:00,10.17
29/04/2011,13:00:00,9.00
29/04/2011,14:00:00,8.67
29/04/2011,15:00:00,9.33
29/04/2011,16:00:00,10.67
29/04/2011,17:00:00,12.33
29/04/2011,18:00:00,17.17
29/04/2011,19:00:00,26.33
29/04/2011,20:00:00,21.17
29/04/2011,21:00:00,15.67
29/04/2011,22:00:00,18.50
29/04/2011,23:00:00,23.33
30/04/2011,00:00:00,26.67
30/04/2011,01:00:00,31.17
30/04/2011,02:00:00,34.33
30/04/2011,03:00:00,35.33
30/04/2011,04:00:00,30.50
30/04/2011,05:00:00,28.67
30/04/2011,06:00:00,28.83
30/04/2011,07:00:00,25.00
30/04/2011,08:00:00,22.00
30/04/2011,09:00:00,20.17
30/04/2011,10:00:00,16.17
30/04/2011,11:00:00,14.00
30/04/2011,21:00:00,32.40
30/04/2011,22:00:00,35.17
30/04/2011,23:00:00,38.50
01/05/2011,00:00:00,39.83
01/05/2011,01:00:00,40.67
01/05/2011,02:00:00,41.33
01/05/2011,03:00:00,40.17
01/05/2011,04:00:00,35.50
01/05/2011,05:00:00,36.00
01/05/2011,06:00:00,34.83
01/05/2011,07:00:00,30.50
01/05/2011,08:00:00,26.17
01/05/2011,09:00:00,21.00
01/05/2011,10:00:00,16.83
01/05/2011,11:00:00,12.17
01/05/2011,12:00:00,9.33
01/05/2011,13:00:00,9.00
01/05/2011,14:00:00,8.67
01/05/2011,15:00:00,8.83
01/05/2011,16:00:00,7.67
01/05/2011,17:00:00,9.17
01/05/2011,18:00:00,11.50
01/05/2011,19:00:00,15.00
01/05/2011,20:00:00,16.00
01/05/2011,21:00:00,17.67
01/05/2011,22:00:00,23.67
01/05/2011,23:00:00,32.50
02/05/2011,00:00:00,33.17
02/05/2011,01:00:00,33.67
02/05/2011,02:00:00,41.83
02/05/2011,03:00:00,44.83
02/05/2011,04:00:00,42.17
02/05/2011,05:00:00,40.83
02/05/2011,06:00:00,29.00
02/05/2011,07:00:00,27.67
02/05/2011,08:00:00,24.67
02/05/2011,09:00:00,20.67
02/05/2011,10:00:00,17.50
02/05/2011,11:00:00,15.17
02/05/2011,12:00:00,12.00
02/05/2011,13:00:00,11.00
02/05/2011,14:00:00,11.00
02/05/2011,15:00:00,10.50
02/05/2011,16:00:00,11.00
02/05/2011,17:00:00,11.83
02/05/2011,18:00:00,19.33
02/05/2011,19:00:00,24.83
02/05/2011,20:00:00,30.67
02/05/2011,21:00:00,34.67
02/05/2011,22:00:00,38.33
02/05/2011,23:00:00,36.83
03/05/2011,00:00:00,39.33
03/05/2011,01:00:00,43.00
03/05/2011,02:00:00,44.83
03/05/2011,03:00:00,48.67
03/05/2011,04:00:00,52.50
03/05/2011,05:00:00,54.33
03/05/2011,06:00:00,54.00
03/05/2011,07:00:00,43.50
03/05/2011,08:00:00,30.33
03/05/2011,09:00:00,22.00
03/05/2011,10:00:00,18.83
03/05/2011,11:00:00,15.67
03/05/2011,12:00:00,12.33
03/05/2011,13:00:00,11.00
03/05/2011,14:00:00,10.67
03/05/2011,15:00:00,10.67
03/05/2011,16:00:00,11.17
03/05/2011,17:00:00,11.83
03/05/2011,18:00:00,14.83
03/05/2011,19:00:00,17.17
03/05/2011,20:00:00,21.67
03/05/2011,21:00:00,22.67
03/05/2011,22:00:00,24.00
03/05/2011,23:00:00,24.17
04/05/2011,00:00:00,26.17
04/05/2011,01:00:00,29.67
04/05/2011,02:00:00,30.33
04/05/2011,03:00:00,30.17
04/05/2011,04:00:00,33.33
04/05/2011,05:00:00,34.33
04/05/2011,06:00:00,37.00
04/05/2011,07:00:00,34.00
04/05/2011,08:00:00,31.67
04/05/2011,09:00:00,32.83
04/05/2011,10:00:00,30.83
04/05/2011,11:00:00,32.83
04/05/2011,12:00:00,23.33
04/05/2011,13:00:00,20.83
04/05/2011,14:00:00,20.00
04/05/2011,15:00:00,19.50
04/05/2011,16:00:00,20.50
04/05/2011,17:00:00,23.83
04/05/2011,18:00:00,24.00
04/05/2011,19:00:00,25.33
04/05/2011,20:00:00,28.17
04/05/2011,21:00:00,30.33
04/05/2011,22:00:00,32.00
04/05/2011,23:00:00,31.83
05/05/2011,00:00:00,35.17
05/05/2011,01:00:00,47.50
05/05/2011,02:00:00,47.67
05/05/2011,03:00:00,45.00
05/05/2011,04:00:00,45.83
05/05/2011,05:00:00,50.50
05/05/2011,06:00:00,54.67
05/05/2011,07:00:00,54.83
05/05/2011,08:00:00,55.67
05/05/2011,09:00:00,54.33
05/05/2011,10:00:00,56.33
05/05/2011,11:00:00,45.00
05/05/2011,12:00:00,40.33
05/05/2011,13:00:00,34.83
05/05/2011,14:00:00,32.33
05/05/2011,15:00:00,30.33
05/05/2011,16:00:00,29.50
05/05/2011,17:00:00,31.83
05/05/2011,18:00:00,34.83
05/05/2011,19:00:00,36.83
05/05/2011,20:00:00,39.50
05/05/2011,21:00:00,40.00
05/05/2011,22:00:00,41.50
05/05/2011,23:00:00,48.33
06/05/2011,00:00:00,56.67
06/05/2011,01:00:00,58.83
06/05/2011,02:00:00,59.17
06/05/2011,03:00:00,55.83
06/05/2011,04:00:00,61.33
