Date,Time,Values
09/04/2015,14:00:00,376.00
09/04/2015,15:00:00,234.33
09/04/2015,16:00:00,72.67
09/04/2015,17:00:00,46.50
09/04/2015,18:00:00,13.92
09/04/2015,19:00:00,5.00
09/04/2015,20:00:00,5.25
09/04/2015,21:00:00,5.25
09/04/2015,22:00:00,5.17
09/04/2015,23:00:00,5.08
10/04/2015,00:00:00,5.00
10/04/2015,01:00:00,5.00
10/04/2015,02:00:00,5.00
10/04/2015,03:00:00,5.08
10/04/2015,04:00:00,5.00
10/04/2015,05:00:00,5.75
10/04/2015,06:00:00,33.08
10/04/2015,07:00:00,198.17
10/04/2015,08:00:00,349.75
10/04/2015,09:00:00,389.08
10/04/2015,10:00:00,408.58
10/04/2015,11:00:00,383.75
10/04/2015,12:00:00,408.33
10/04/2015,13:00:00,397.92
10/04/2015,14:00:00,379.83
10/04/2015,15:00:00,248.08
10/04/2015,16:00:00,84.67
10/04/2015,17:00:00,62.20
10/04/2015,18:00:00,6.00
10/04/2015,19:00:00,5.00
10/04/2015,20:00:00,5.17
10/04/2015,21:00:00,5.17
10/04/2015,22:00:00,5.25
10/04/2015,23:00:00,5.08
11/04/2015,00:00:00,5.00
11/04/2015,01:00:00,5.08
11/04/2015,02:00:00,5.08
11/04/2015,03:00:00,5.08
11/04/2015,04:00:00,5.17
11/04/2015,05:00:00,5.50
11/04/2015,06:00:00,35.58
11/04/2015,07:00:00,185.17
11/04/2015,08:00:00,345.58
11/04/2015,09:00:00,381.20
11/04/2015,11:00:00,360.88
11/04/2015,12:00:00,373.75
11/04/2015,13:00:00,348.75
11/04/2015,14:00:00,349.58
11/04/2015,15:00:00,236.00
11/04/2015,16:00:00,79.25
11/04/2015,17:00:00,54.08
11/04/2015,18:00:00,14.00
11/04/2015,19:00:00,5.14
13/04/2015,11:00:00,408.33
13/04/2015,12:00:00,402.92
13/04/2015,13:00:00,381.92
13/04/2015,14:00:00,359.08
13/04/2015,15:00:00,280.00
13/04/2015,16:00:00,114.92
13/04/2015,17:00:00,96.92
13/04/2015,18:00:00,40.08
13/04/2015,19:00:00,5.00
13/04/2015,20:00:00,5.00
13/04/2015,21:00:00,5.00
13/04/2015,22:00:00,5.00
13/04/2015,23:00:00,5.00
14/04/2015,00:00:00,5.00
14/04/2015,01:00:00,5.00
14/04/2015,02:00:00,5.00
14/04/2015,03:00:00,5.00
14/04/2015,04:00:00,5.00
14/04/2015,05:00:00,5.83
14/04/2015,06:00:00,30.42
14/04/2015,07:00:00,185.58
14/04/2015,08:00:00,324.67
14/04/2015,09:00:00,385.42
14/04/2015,10:00:00,405.42
14/04/2015,11:00:00,377.75
14/04/2015,12:00:00,396.67
14/04/2015,13:00:00,386.17
14/04/2015,14:00:00,346.36
14/04/2015,15:00:00,243.18
14/04/2015,16:00:00,114.58
14/04/2015,17:00:00,52.58
14/04/2015,18:00:00,19.42
14/04/2015,19:00:00,5.17
14/04/2015,20:00:00,5.17
14/04/2015,21:00:00,5.00
14/04/2015,22:00:00,5.08
14/04/2015,23:00:00,5.08
15/04/2015,00:00:00,5.08
15/04/2015,01:00:00,5.00
15/04/2015,02:00:00,5.00
15/04/2015,18:00:00,5.00
15/04/2015,19:00:00,5.00
15/04/2015,20:00:00,5.00
15/04/2015,21:00:00,5.25
15/04/2015,22:00:00,5.00
15/04/2015,23:00:00,5.00
16/04/2015,00:00:00,5.00
16/04/2015,01:00:00,5.17
16/04/2015,02:00:00,5.08
16/04/2015,03:00:00,5.00
16/04/2015,04:00:00,5.08
16/04/2015,05:00:00,6.25
16/04/2015,06:00:00,40.83
16/04/2015,07:00:00,168.25
16/04/2015,08:00:00,326.92
16/04/2015,09:00:00,307.58
16/04/2015,10:00:00,293.83
16/04/2015,11:00:00,412.00
16/04/2015,15:00:00,160.17
16/04/2015,16:00:00,119.30
16/04/2015,17:00:00,76.82
16/04/2015,18:00:00,20.42
16/04/2015,19:00:00,5.08
16/04/2015,20:00:00,5.00
16/04/2015,21:00:00,5.08
16/04/2015,22:00:00,5.00
16/04/2015,23:00:00,5.08
17/04/2015,00:00:00,5.00
17/04/2015,01:00:00,5.08
17/04/2015,02:00:00,5.17
17/04/2015,03:00:00,4.92
17/04/2015,04:00:00,5.00
17/04/2015,05:00:00,6.17
17/04/2015,06:00:00,44.50
17/04/2015,07:00:00,170.92
17/04/2015,08:00:00,329.42
17/04/2015,09:00:00,381.92
17/04/2015,10:00:00,397.25
17/04/2015,11:00:00,387.67
17/04/2015,12:00:00,397.33
17/04/2015,13:00:00,388.42
17/04/2015,14:00:00,369.33
17/04/2015,15:00:00,250.67
17/04/2015,16:00:00,133.25
17/04/2015,17:00:00,76.25
17/04/2015,18:00:00,24.13
18/04/2015,07:00:00,141.00
18/04/2015,09:00:00,383.00
18/04/2015,10:00:00,388.92
18/04/2015,11:00:00,391.00
18/04/2015,14:00:00,345.00
18/04/2015,15:00:00,244.75
18/04/2015,16:00:00,134.40
18/04/2015,19:00:00,5.10
18/04/2015,20:00:00,5.08
18/04/2015,21:00:00,5.08
18/04/2015,22:00:00,5.00
18/04/2015,23:00:00,5.00
19/04/2015,00:00:00,5.00
19/04/2015,01:00:00,5.00
19/04/2015,02:00:00,5.17
19/04/2015,03:00:00,5.08
19/04/2015,04:00:00,5.00
19/04/2015,05:00:00,6.50
19/04/2015,06:00:00,42.08
19/04/2015,07:00:00,168.33
19/04/2015,08:00:00,325.75
19/04/2015,09:00:00,367.17
19/04/2015,10:00:00,377.75
19/04/2015,11:00:00,371.92
19/04/2015,12:00:00,383.83
19/04/2015,13:00:00,371.92
19/04/2015,14:00:00,354.17
19/04/2015,15:00:00,339.00
19/04/2015,17:00:00,56.50
19/04/2015,18:00:00,10.78
19/04/2015,19:00:00,5.25
19/04/2015,20:00:00,5.00
19/04/2015,21:00:00,5.08
19/04/2015,22:00:00,5.00
19/04/2015,23:00:00,5.00
20/04/2015,00:00:00,5.00
20/04/2015,01:00:00,5.00
20/04/2015,02:00:00,5.00
20/04/2015,03:00:00,5.08
20/04/2015,04:00:00,5.00
20/04/2015,05:00:00,6.17
20/04/2015,06:00:00,31.92
20/04/2015,07:00:00,122.92
20/04/2015,08:00:00,286.25
20/04/2015,09:00:00,360.50
20/04/2015,10:00:00,383.75
20/04/2015,11:00:00,373.58
20/04/2015,12:00:00,380.33
20/04/2015,13:00:00,326.08
20/04/2015,14:00:00,346.67
20/04/2015,15:00:00,223.56
20/04/2015,16:00:00,131.75
20/04/2015,17:00:00,67.00
20/04/2015,18:00:00,17.25
20/04/2015,19:00:00,5.08
20/04/2015,20:00:00,5.00
20/04/2015,21:00:00,5.00
20/04/2015,22:00:00,5.17
20/04/2015,23:00:00,5.00
21/04/2015,00:00:00,5.00
21/04/2015,01:00:00,5.00
21/04/2015,02:00:00,5.00
21/04/2015,03:00:00,5.08
21/04/2015,04:00:00,5.08
21/04/2015,05:00:00,6.58
21/04/2015,06:00:00,46.58
21/04/2015,07:00:00,160.58
21/04/2015,08:00:00,310.50
21/04/2015,09:00:00,357.25
21/04/2015,10:00:00,364.25
21/04/2015,11:00:00,360.33
21/04/2015,12:00:00,386.58
21/04/2015,13:00:00,381.75
21/04/2015,14:00:00,367.42
21/04/2015,15:00:00,253.17
21/04/2015,16:00:00,116.67
21/04/2015,17:00:00,68.33
21/04/2015,18:00:00,18.50
21/04/2015,19:00:00,5.00
21/04/2015,20:00:00,5.00
21/04/2015,21:00:00,5.17
21/04/2015,22:00:00,5.25
21/04/2015,23:00:00,5.42
22/04/2015,00:00:00,5.00
22/04/2015,01:00:00,5.17
22/04/2015,02:00:00,5.00
